Date,Open,High,Low,Close,Volume
2009-05-14 04:00:00,36.47,37.11,36.41,36.66,3914360
2009-05-15 04:00:00,36.56,36.98,36.39,36.65,3122920
2009-05-18 04:00:00,37.14,37.7,36.38,37.52,3146020
2009-05-19 04:00:00,37.25,37.25,36.42,36.58,4901330
2009-05-20 04:00:00,36.97,37.07,36.4,36.51,5970740
2009-05-21 04:00:00,36.05,36.46,35.66,36.44,4373980
2009-05-22 04:00:00,36.52,36.75,35.63,35.65,3271270
2009-05-26 04:00:00,35.52,36.4,35.3,36.33,3309300
2009-05-27 04:00:00,36.37,36.4,35.21,35.28,2890760
2009-05-28 04:00:00,35.53,35.75,34.83,35.47,3711070
2009-05-29 04:00:00,35.52,35.99,34.96,35.96,2410230
2009-06-01 04:00:00,36.25,36.36,35.49,35.65,2671500
2009-06-02 04:00:00,35.42,36.29,35.42,35.82,3593500
2009-06-03 04:00:00,35.65,36.08,35.53,35.77,1944430
2009-06-04 04:00:00,36.04,36.51,35.5,36.02,2964450
2009-06-05 04:00:00,36.43,36.79,35.97,36.33,2545480
2009-06-08 04:00:00,36.23,36.72,36.12,36.61,1930000
2009-06-09 04:00:00,36.64,37.02,36.34,36.81,1946050
2009-06-10 04:00:00,36.91,36.91,36.49,36.77,1804520
2009-06-11 04:00:00,36.93,37.04,36.2,36.84,2151270
2009-06-12 04:00:00,36.77,37.03,36.37,37.03,2038260
2009-06-15 04:00:00,36.82,36.86,36.39,36.44,2496830
2009-06-16 04:00:00,36.45,36.78,36.18,36.26,3240040
2009-06-17 04:00:00,36.07,37.15,36.06,36.68,2487470
2009-06-18 04:00:00,36.66,37.04,36.49,36.95,1373080
2009-06-19 04:00:00,37.14,37.87,37.0,37.63,3152170
2009-06-22 04:00:00,37.35,37.96,37.11,37.43,2610410
2009-06-23 04:00:00,37.56,37.9,37.26,37.52,1831780
2009-06-24 04:00:00,37.63,37.69,36.98,37.2,2467580
2009-06-25 04:00:00,37.15,37.67,36.87,37.56,1897590
2009-06-26 04:00:00,37.58,37.64,36.84,37.0,1702220
2009-06-29 04:00:00,37.04,37.86,37.04,37.7,2749800
2009-06-30 04:00:00,37.64,38.0,37.13,37.87,2213240
2009-07-01 04:00:00,37.89,38.15,37.14,37.91,1611480
2009-07-02 04:00:00,36.88,37.16,36.5,36.56,1940830
2009-07-06 04:00:00,36.43,37.39,36.43,37.37,1980230
2009-07-07 04:00:00,37.25,37.57,36.56,36.6,2022380
2009-07-08 04:00:00,36.76,36.98,36.35,36.82,2662180
2009-07-09 04:00:00,36.94,37.56,36.57,36.83,1832470
2009-07-10 04:00:00,36.75,36.91,36.45,36.68,1927440
2009-07-13 04:00:00,36.82,37.45,36.52,37.44,2927520
2009-07-14 04:00:00,37.45,37.62,36.8,37.55,1525810
2009-07-15 04:00:00,37.78,38.17,37.47,37.93,2365300
2009-07-16 04:00:00,37.69,38.44,37.65,38.26,1676600
2009-07-17 04:00:00,38.22,38.37,37.39,37.72,2481190
2009-07-20 04:00:00,37.74,38.69,37.11,37.35,2386260
2009-07-21 04:00:00,37.47,37.81,36.93,37.13,1955040
2009-07-22 04:00:00,36.75,37.34,36.74,36.84,2280450
2009-07-23 04:00:00,36.94,37.76,36.93,37.16,3074730
2009-07-24 04:00:00,36.93,37.27,36.86,36.9,2762510
