Date,Open,High,Low,Close,Volume
2009-05-18 04:00:00,45.7,64.77,45.51,64.25,2871467
2009-05-19 04:00:00,64.41,65.27,46.77,46.83,2556692
2009-05-20 04:00:00,47.14,64.67,46.67,63.47,2183952
2009-05-21 04:00:00,62.77,62.77,44.45,44.94,1868462
2009-05-22 04:00:00,45.01,46.28,44.91,45.71,1712596
2009-05-26 04:00:00,45.35,47.08,44.94,46.82,1999325
2009-05-27 04:00:00,46.68,47.14,45.54,45.57,1848170
2009-05-28 04:00:00,45.94,62.9,45.05,62.68,1462261
2009-05-29 04:00:00,63.29,64.89,62.66,64.84,1686454
2009-06-01 04:00:00,65.57,68.44,49.64,49.93,1812018
2009-06-02 04:00:00,49.87,68.48,49.54,68.27,1527088
2009-06-03 04:00:00,68.16,68.16,47.94,48.76,1597914
2009-06-04 04:00:00,48.88,68.38,48.63,68.23,1500987
2009-06-05 04:00:00,68.76,68.94,67.05,68.26,1609468
2009-06-08 04:00:00,68.12,68.12,48.83,49.39,1685705
2009-06-09 04:00:00,49.5,50.39,49.39,50.05,1425305
2009-06-10 04:00:00,50.68,50.91,48.57,49.63,1674412
2009-06-11 04:00:00,49.6,51.3,49.59,50.28,1936863
2009-06-12 04:00:00,49.85,50.05,49.17,49.82,1709323
2009-06-15 04:00:00,49.3,65.96,47.82,65.79,1495702
2009-06-16 04:00:00,66.1,66.17,47.34,47.41,1454895
2009-06-17 04:00:00,47.18,65.99,46.8,64.41,3097886
2009-06-18 04:00:00,64.47,65.86,47.81,65.54,1720975
2009-06-19 04:00:00,65.7,66.19,47.19,47.58,1614098
2009-06-22 04:00:00,47.03,47.27,45.37,45.4,1797760
2009-06-23 04:00:00,45.43,63.25,44.97,63.22,2238909
2009-06-24 04:00:00,63.87,64.65,46.08,46.45,1364753
2009-06-25 04:00:00,46.57,47.57,46.06,47.54,1560038
2009-06-26 04:00:00,47.38,48.01,46.95,47.76,1282476
2009-06-29 04:00:00,48.14,48.63,47.7,48.38,977693
2009-06-30 04:00:00,48.01,48.42,47.37,47.65,1552909
2009-07-01 04:00:00,47.97,48.75,47.54,47.69,1294806
2009-07-02 04:00:00,46.86,63.28,45.84,46.02,1120989
2009-07-06 04:00:00,45.34,46.47,45.22,46.38,1621614
2009-07-07 04:00:00,46.22,46.33,44.68,44.79,1500164
2009-07-08 04:00:00,45.93,62.51,45.47,62.21,3340820
2009-07-09 04:00:00,62.78,63.769,46.41,46.55,1447858
2009-07-10 04:00:00,46.2,47.16,45.83,46.71,1401052
2009-07-13 04:00:00,62.82,64.68,47.52,47.85,1096261
2009-07-14 04:00:00,47.85,65.0797,47.42,65.04,1125287
2009-07-15 04:00:00,65.49,67.26,49.11,49.68,1550732
2009-07-16 04:00:00,49.59,50.69,49.45,50.54,1630332
