Date,Open,High,Low,Close,Volume
2009-05-15 04:00:00,10.512,11.7,10.457,10.548,18708228
2009-05-18 04:00:00,10.721,10.721,10.539,10.63,15812646
2009-05-19 04:00:00,10.53,11.5,10.293,11.42,16288301
2009-05-20 04:00:00,11.48,11.67,10.339,10.375,12825115
2009-05-21 04:00:00,10.075,10.166,9.866,10.13,16000164
2009-05-22 04:00:00,10.03,11.25,10.002,11.13,9566964
2009-05-26 04:00:00,10.9,11.48,10.339,10.43,9162430
2009-05-27 04:00:00,10.484,11.55,10.393,11.44,8274777
2009-05-28 04:00:00,11.57,11.58,10.484,10.702,8894040
2009-05-29 04:00:00,10.811,10.984,10.557,10.984,12686704
2009-06-01 04:00:00,11.093,12.19,10.962,12.14,10435200
2009-06-02 04:00:00,12.15,12.33,11.066,11.194,16406076
2009-06-03 04:00:00,11.112,11.194,10.893,11.112,8992252
2009-06-04 04:00:00,11.193,12.69,11.148,11.603,13486256
2009-06-05 04:00:00,11.548,11.784,11.348,11.621,14258573
2009-06-08 04:00:00,12.51,12.8,12.46,12.75,7463749
2009-06-09 04:00:00,12.9,12.93,11.548,11.585,8953117
2009-06-10 04:00:00,11.639,12.84,11.203,12.81,13587727
2009-06-11 04:00:00,12.76,12.8801,11.73,11.83,16008359
2009-06-12 04:00:00,11.785,11.83,11.43,11.794,6594318
2009-06-15 04:00:00,11.73,12.45,11.23,12.39,13044594
2009-06-16 04:00:00,12.47,12.64,11.184,11.184,11208987
2009-06-17 04:00:00,11.248,11.694,11.212,11.557,11016741
2009-06-18 04:00:00,11.53,11.594,11.275,11.421,7049628
2009-06-19 04:00:00,11.599,11.839,11.503,11.712,9408490
2009-06-22 04:00:00,11.594,12.53,11.303,12.33,8636806
2009-06-23 04:00:00,12.43,12.45,11.048,11.13,8728510
2009-06-24 04:00:00,11.221,11.412,11.121,11.303,10183565
2009-06-25 04:00:00,11.275,12.66,11.212,12.64,7521826
2009-06-26 04:00:00,12.77,12.79,11.412,11.512,8769043
2009-06-29 04:00:00,11.594,11.675,11.494,11.557,7671994
2009-06-30 04:00:00,11.584,11.666,11.394,11.484,9702312
2009-07-01 04:00:00,11.512,11.821,11.366,11.594,8662171
2009-07-02 04:00:00,11.557,11.594,11.175,11.294,6937691
2009-07-06 04:00:00,11.239,11.248,10.966,11.084,7801522
2009-07-07 04:00:00,11.121,12.08,10.693,10.712,9327351
