Date,Open,High,Low,Close,Volume
2009-05-14 04:00:00,24.01,24.92,23.58,24.68,17464665
2009-05-15 04:00:00,24.67,25.32,23.9,24.27,17352760
2009-05-18 04:00:00,24.79,26.32,24.28,26.13,20442143
2009-05-19 04:00:00,25.98,26.26,24.76,24.82,19729630
2009-05-20 04:00:00,25.32,25.74,23.82,24.0,23618980
2009-05-21 04:00:00,23.57,24.2701,23.21,24.14,20835332
2009-05-22 04:00:00,24.0,24.18,23.3,23.41,12232234
2009-05-26 04:00:00,23.21,24.69,23.05,24.5457,17837836
2009-05-27 04:00:00,24.75,24.85,23.43,23.53,15057773
2009-05-28 04:00:00,23.87,24.33,23.26,24.29,14172392
2009-05-29 04:00:00,24.13,24.89,23.66,24.85,15588118
2009-06-01 04:00:00,25.55,26.56,25.35,26.21,18940582
2009-06-02 04:00:00,24.8,25.22,24.27,24.74,30133775
2009-06-03 04:00:00,24.72,24.99,24.16,24.53,16730969
2009-06-04 04:00:00,24.63,25.5,24.54,25.19,16388809
2009-06-05 04:00:00,25.55,26.02,24.84,25.04,15233744
2009-06-08 04:00:00,24.59,25.87,24.55,25.61,14523657
2009-06-09 04:00:00,26.05,27.02,25.95,26.9,24647247
2009-06-10 04:00:00,27.15,27.4,26.12,26.7,17017931
2009-06-11 04:00:00,26.64,26.92,25.25,25.61,24387791
2009-06-12 04:00:00,25.39,25.69,24.83,25.23,14145291
2009-06-15 04:00:00,24.96,25.58,24.5,25.27,17609591
2009-06-16 04:00:00,25.37,25.54,24.59,24.7,12716019
2009-06-17 04:00:00,24.55,24.8,23.61,23.89,16656370
2009-06-18 04:00:00,24.09,24.3653,23.68,24.05,13900580
2009-06-19 04:00:00,24.42,24.89,24.07,24.66,15071908
2009-06-22 04:00:00,24.31,24.5097,23.21,23.25,15237145
2009-06-23 04:00:00,23.23,23.54,22.41,23.39,22873894
2009-06-24 04:00:00,23.72,23.72,22.53,22.91,17776340
2009-06-25 04:00:00,22.61,24.51,22.5,24.48,24098900
2009-06-26 04:00:00,24.33,24.4,23.53,23.68,18717104
2009-06-29 04:00:00,23.9,24.47,23.61,23.98,12205745
2009-06-30 04:00:00,23.99,24.33,23.08,23.25,18758780
2009-07-01 04:00:00,23.48,23.52,22.95,23.01,12462226
