Date,Open,High,Low,Close,Volume
2009-05-18 04:00:00,11.55,12.1,11.52,11.72,506657822
2009-05-19 04:00:00,11.95,12.24,11.27,11.35,430928800
2009-05-20 04:00:00,11.88,12.24,11.21,11.51,897229167
2009-05-21 04:00:00,11.45,11.97,11.2,11.36,553240100
2009-05-22 04:00:00,11.6,11.65,10.75,11.07,454163395
2009-05-26 04:00:00,10.9,11.27,10.81,10.9799,467011840
2009-05-27 04:00:00,11.32,11.54,10.92,10.97,497501396
2009-05-28 04:00:00,10.91,11.27,10.57,11.2399,424599031
2009-05-29 04:00:00,11.5,11.5,10.97,11.28,336485153
2009-06-01 04:00:00,11.41,11.75,11.31,11.44,323071525
2009-06-02 04:00:00,11.19,11.6,11.1,11.4214,286472987
2009-06-03 04:00:00,11.37,11.54,11.14,11.25,225017731
2009-06-04 04:00:00,11.37,11.85,11.2,11.8,296399954
2009-06-05 04:00:00,12.24,12.33,11.88,11.9111,338368562
2009-06-08 04:00:00,11.76,12.18,11.6591,12.01,237742342
2009-06-09 04:00:00,12.14,12.15,11.93,12.0101,187626033
2009-06-10 04:00:00,12.12,12.35,11.93,11.97,314540517
2009-06-11 04:00:00,12.2,13.22,12.19,12.95,506670526
2009-06-12 04:00:00,13.3,13.93,13.23,13.73,427762649
2009-06-15 04:00:00,13.62,13.69,13.16,13.35,322235037
2009-06-16 04:00:00,13.4,13.4,12.72,12.74,349807924
2009-06-17 04:00:00,12.56,12.76,12.02,12.27,421578020
2009-06-18 04:00:00,12.41,12.95,12.34,12.88,312365873
2009-06-19 04:00:00,13.1,13.35,12.829,13.23,367297326
2009-06-22 04:00:00,12.88,13.05,11.96,11.97,399418596
2009-06-23 04:00:00,12.11,12.44,11.93,12.219,341062976
2009-06-24 04:00:00,12.45,12.67,12.18,12.34,319755746
2009-06-25 04:00:00,12.09,12.36,12.01,12.34,309426099
2009-06-26 04:00:00,12.34,12.78,12.27,12.76,279599783
2009-06-29 04:00:00,12.79,13.19,12.52,13.14,288515521
2009-06-30 04:00:00,13.26,13.48,12.94,13.14,286080338
2009-07-01 04:00:00,13.28,13.45,13.04,13.071,228926171
2009-07-02 04:00:00,12.79,12.95,12.63,12.68,197182043
2009-07-06 04:00:00,12.47,12.59,11.84,12.12,352962711
2009-07-07 04:00:00,12.14,12.37,11.95,12.14,258453898
2009-07-08 04:00:00,12.19,12.29,11.27,11.8,467743964
2009-07-09 04:00:00,12.1,12.25,11.84,11.95,257753833
2009-07-10 04:00:00,11.87,11.96,11.58,11.86,203118707
2009-07-13 04:00:00,12.37,12.98,12.27,12.97,359032150
2009-07-14 04:00:00,13.21,13.23,12.79,12.9,251874099
2009-07-15 04:00:00,13.23,13.62,13.1,13.43,344916269
2009-07-16 04:00:00,13.2,13.43,13.02,13.17,286286744
2009-07-17 04:00:00,13.25,13.47,12.76,12.86,413860389
2009-07-20 04:00:00,12.83,12.86,12.12,12.24,360902867
2009-07-21 04:00:00,12.28,12.4,11.93,12.178,247082076
2009-07-22 04:00:00,11.96,12.48,11.93,12.24,234235250
2009-07-23 04:00:00,12.35,12.88,12.2,12.67,268284353
2009-07-24 04:00:00,12.63,12.78,12.27,12.52,182231876
2009-07-27 04:00:00,12.56,13.13,12.56,13.089,233073772
2009-07-28 04:00:00,12.95,13.43,12.91,13.35,230839448
2009-07-29 04:00:00,13.23,13.75,13.23,13.53,247298719
2009-07-30 04:00:00,13.87,14.14,13.79,13.95,273116962
2009-07-31 04:00:00,14.1,14.75,14.02,14.72,303075453
2009-08-03 04:00:00,15.25,15.62,14.82,15.31,447075312
2009-08-04 04:00:00,15.19,15.98,15.05,15.65,349751474
2009-08-05 04:00:00,16.03,16.82,15.84,16.62,459422426
2009-08-06 04:00:00,17.24,17.35,16.39,16.67,444142253
2009-08-07 04:00:00,16.99,17.14,16.26,16.39,359417641
2009-08-10 04:00:00,16.32,16.89,16.16,16.68,226868324
2009-08-11 04:00:00,16.7,16.85,15.8,15.88,308499219
2009-08-12 04:00:00,15.53,16.17,15.4,15.9,287149880
2009-08-13 04:00:00,16.66,17.0001,16.23,17.0,310900939
2009-08-14 04:00:00,16.97,17.47,16.57,17.39,288355924
