Date,Open,High,Low,Close,Volume
2009-05-13 04:00:00,22.64,23.1,22.64,22.78,8000119
2009-05-14 04:00:00,22.8,51.03,22.53,50.57,3439733
2009-05-15 04:00:00,50.63,50.63,22.18,22.24,5866335
2009-05-18 04:00:00,22.3,49.53,21.9,22.05,5552038
2009-05-19 04:00:00,22.03,22.26,21.89,21.95,6798607
2009-05-20 04:00:00,22.05,49.44,21.74,21.76,5790979
2009-05-21 04:00:00,21.6,21.96,21.53,21.84,7437269
2009-05-22 04:00:00,21.83,50.2,21.83,49.82,5837385
2009-05-26 04:00:00,49.75,50.9,22.49,22.6,5082184
2009-05-27 04:00:00,22.64,22.75,22.25,22.29,6623934
2009-05-28 04:00:00,22.21,50.09,22.07,49.83,4676050
2009-05-29 04:00:00,49.92,51.3,49.68,51.28,3652552
2009-06-01 04:00:00,51.48,51.5,49.15,49.23,7148464
2009-06-02 04:00:00,49.32,49.48,21.51,21.53,21480018
2009-06-03 04:00:00,21.57,22.3,21.3,22.02,20652430
2009-06-04 04:00:00,22.15,22.15,20.36,21.17,43844124
2009-06-05 04:00:00,21.25,21.44,20.96,21.25,19638686
2009-06-08 04:00:00,20.88,21.37,20.81,20.9,14006385
2009-06-09 04:00:00,21.03,47.12,20.81,46.83,10356754
2009-06-10 04:00:00,47.12,47.36,20.63,20.85,10959700
2009-06-11 04:00:00,20.9,21.73,20.74,21.51,23767352
2009-06-12 04:00:00,21.44,22.67,21.14,22.25,21538607
2009-06-15 04:00:00,22.28,48.51,21.53,48.29,10924198
2009-06-16 04:00:00,21.74,48.38,21.44,47.87,8746485
2009-06-17 04:00:00,47.83,49.32,21.88,48.8,7235772
2009-06-18 04:00:00,48.92,50.55,48.5,49.77,4316210
2009-06-19 04:00:00,50.16,50.72,22.64,23.09,16793630
2009-06-22 04:00:00,22.85,22.85,22.49,22.67,10171908
2009-06-23 04:00:00,22.68,50.68,22.47,50.45,5745031
2009-06-24 04:00:00,50.82,50.86,22.56,22.75,4542001
