Date,Open,High,Low,Close,Volume
2009-05-15 04:00:00,65.9,66.25,64.96,65.11,2232703
2009-05-18 04:00:00,65.49,65.49,64.45,64.86,2685505
2009-05-19 04:00:00,64.87,65.44,64.36,64.54,1638486
2009-05-20 04:00:00,65.08,65.91,64.77,65.07,1106944
2009-05-21 04:00:00,64.97,65.25,64.41,65.04,1574522
2009-05-22 04:00:00,65.01,66.28,64.88,65.93,1131204
2009-05-26 04:00:00,65.2,67.31,64.95,67.12,1762008
2009-05-27 04:00:00,67.22,67.71,66.77,67.07,3811996
2009-05-28 04:00:00,67.25,67.71,66.73,67.01,2089810
2009-05-29 04:00:00,66.96,67.74,66.0,67.72,1925918
2009-06-01 04:00:00,67.79,68.42,67.7,68.0,1771695
2009-06-02 04:00:00,68.02,69.14,67.7,68.83,1279613
2009-06-03 04:00:00,68.52,69.07,68.08,68.96,1366160
2009-06-04 04:00:00,69.06,69.18,67.0,67.52,2498457
2009-06-05 04:00:00,67.54,67.8,67.1,67.35,1777942
2009-06-08 04:00:00,66.98,67.85,66.58,67.25,1634540
2009-06-09 04:00:00,67.6,68.5,67.2,68.06,1624830
2009-06-10 04:00:00,68.47,68.67,67.2,67.59,1511206
2009-06-11 04:00:00,67.63,69.21,67.52,68.28,1354805
2009-06-12 04:00:00,67.72,68.87,67.72,68.3,1281595
2009-06-15 04:00:00,67.96,68.21,67.0,67.16,1032336
2009-06-16 04:00:00,67.13,67.45,66.91,67.02,1463097
2009-06-17 04:00:00,66.92,68.97,66.92,68.12,1258339
2009-06-18 04:00:00,68.03,69.78,67.85,69.27,1141123
2009-06-19 04:00:00,69.36,70.31,67.45,69.1,1749421
2009-06-22 04:00:00,68.44,68.87,67.81,68.26,1056931
2009-06-23 04:00:00,68.59,69.09,67.95,68.19,901335
2009-06-24 04:00:00,68.5,69.19,68.01,68.54,973385
2009-06-25 04:00:00,68.26,71.15,67.98,71.01,1608996
2009-06-26 04:00:00,70.88,71.24,70.326,70.92,1038315
2009-06-29 04:00:00,71.19,71.94,70.01,71.72,1035530
2009-06-30 04:00:00,71.76,71.76,70.65,71.39,1361307
2009-07-01 04:00:00,71.5,71.55,70.2,70.658,1110049
2009-07-02 04:00:00,70.4,70.4,69.43,69.52,1024827
2009-07-06 04:00:00,68.94,70.43,68.75,70.36,920851
2009-07-07 04:00:00,70.22,70.62,69.28,69.34,997087
2009-07-08 04:00:00,69.45,69.78,68.2,68.69,1220294
2009-07-09 04:00:00,68.81,68.89,67.75,68.04,1235786
2009-07-10 04:00:00,67.72,68.29,67.5,67.67,1058574
2009-07-13 04:00:00,68.01,69.21,67.55,69.06,1169359
2009-07-14 04:00:00,69.01,69.81,68.707,69.81,1091894
2009-07-15 04:00:00,70.05,70.86,69.5,70.8,1374139
2009-07-16 04:00:00,70.82,71.41,70.4,70.8,1736783
2009-07-17 04:00:00,70.77,71.06,69.085,69.49,1328953
2009-07-20 04:00:00,69.7,69.75,68.95,69.63,862108
2009-07-21 04:00:00,69.91,70.46,69.39,70.0,1284419
2009-07-22 04:00:00,70.07,70.82,69.74,69.85,1760981
2009-07-23 04:00:00,69.73,71.82,69.73,71.38,1931187
2009-07-24 04:00:00,71.09,71.87,71.0,71.78,979816
2009-07-27 04:00:00,71.89,72.59,71.19,72.26,850435
2009-07-28 04:00:00,72.12,72.93,71.64,72.11,1241040
2009-07-29 04:00:00,71.79,74.1,71.64,73.6,2261856
2009-07-30 04:00:00,74.67,75.25,65.69,67.4,11411644
2009-07-31 04:00:00,66.16,66.55,65.0,65.2,6431660
2009-08-03 04:00:00,65.24,65.7,64.1,65.43,3430831
2009-08-04 04:00:00,65.44,65.98,64.91,65.52,2111464
2009-08-05 04:00:00,65.45,65.88,64.45,65.18,2165464
2009-08-06 04:00:00,65.26,65.33,63.41,63.69,3003492
2009-08-07 04:00:00,64.27,64.98,63.87,64.42,2078408
2009-08-10 04:00:00,64.5,65.77,64.5,65.73,1533539
2009-08-11 04:00:00,65.52,66.4899,65.27,66.02,1963586
2009-08-12 04:00:00,66.05,67.79,66.05,67.27,1923289
2009-08-13 04:00:00,67.31,67.31,65.62,65.8,1902581
2009-08-14 04:00:00,66.0,66.47,65.47,66.45,1514406
2009-08-17 04:00:00,67.5,67.53,66.23,66.31,2540034
2009-08-18 04:00:00,66.69,67.25,65.23,65.64,2306691
2009-08-19 04:00:00,65.4,66.0,64.42,65.62,3170617
2009-08-20 04:00:00,66.1,68.0,65.9,67.74,2230149
2009-08-21 04:00:00,68.29,68.95,67.505,68.85,2080290
2009-08-24 04:00:00,69.9,69.9,68.41,68.63,1677646
2009-08-25 04:00:00,68.96,69.49,68.68,68.98,1436349
2009-08-26 04:00:00,68.95,70.2,68.63,69.96,2293232
2009-08-27 04:00:00,70.16,70.2,69.06,69.91,1769889
2009-08-28 04:00:00,70.67,71.59,70.0,70.51,2521554
2009-08-31 04:00:00,70.32,70.93,69.1536,69.59,2205545
2009-09-01 04:00:00,69.53,69.71,68.03,68.31,2321964
2009-09-02 04:00:00,68.01,69.35,68.01,68.39,1935108
2009-09-03 04:00:00,68.67,69.85,68.5,68.95,1113522
2009-09-04 04:00:00,69.04,70.28,68.8,70.26,1330727
2009-09-08 04:00:00,70.09,70.25,68.99,69.11,2068667
2009-09-09 04:00:00,69.25,70.6,69.25,70.33,1577339
2009-09-10 04:00:00,70.63,71.0569,70.18,70.91,1202842
2009-09-11 04:00:00,71.15,71.585,70.91,71.35,1478343
2009-09-14 04:00:00,71.35,71.4856,70.66,70.77,1055660
2009-09-15 04:00:00,70.93,71.02,69.81,70.52,918402
2009-09-16 04:00:00,70.78,71.0,69.75,70.4079,1404164
2009-09-17 04:00:00,70.21,70.68,69.51,70.0,1286873
2009-09-18 04:00:00,69.94,70.66,69.71,70.19,1219055
2009-09-21 04:00:00,70.03,71.0,69.99,70.54,1134356
2009-09-22 04:00:00,70.83,71.25,69.88,70.19,926984
2009-09-23 04:00:00,70.45,70.45,69.29,69.34,959777
2009-09-24 04:00:00,69.57,69.57,68.34,68.72,844200
2009-09-25 04:00:00,68.63,69.0,68.12,68.56,945742
2009-09-28 04:00:00,68.79,71.11,68.54,70.46,1489160
2009-09-29 04:00:00,70.52,70.58,69.99,70.29,1506427
2009-09-30 04:00:00,69.84,69.92,68.64,69.63,2812684
2009-10-01 04:00:00,69.5,69.81,68.29,68.29,1769157
2009-10-02 04:00:00,68.06,68.52,66.861,67.306,2004903
2009-10-05 04:00:00,67.6,67.6,66.76,67.19,1386049
2009-10-06 04:00:00,67.63,67.91,67.2,67.53,1941825
2009-10-07 04:00:00,67.5,67.79,67.29,67.69,1173582
2009-10-08 04:00:00,67.91,69.41,67.82,68.41,1248405
2009-10-09 04:00:00,68.4,69.16,68.4,68.72,1014610
2009-10-12 04:00:00,68.92,68.99,68.4,68.56,647185
2009-10-13 04:00:00,68.61,69.21,68.46,68.81,1338453
2009-10-14 04:00:00,69.0,69.0,68.31,68.56,1526330
2009-10-15 04:00:00,68.31,68.74,67.98,68.35,1577875
2009-10-16 04:00:00,68.2,69.46,68.2,69.26,1491997
2009-10-19 04:00:00,69.26,69.47,68.8,68.9,1239269
2009-10-20 04:00:00,68.55,68.8,67.425,67.53,2224696
2009-10-21 04:00:00,67.99,68.54,67.35,67.48,2153823
2009-10-22 04:00:00,67.47,68.52,67.2,68.04,1488453
2009-10-23 04:00:00,68.53,68.62,67.47,67.5,1878204
2009-10-26 04:00:00,67.49,67.73,67.04,67.5,2396032
2009-10-27 04:00:00,67.18,67.97,67.18,67.44,1718602
2009-10-28 04:00:00,67.31,67.6,66.55,66.61,2566283
2009-10-29 04:00:00,66.27,68.13,66.2,68.01,2453521
2009-10-30 04:00:00,67.79,68.72,67.53,68.35,2199013
2009-11-02 05:00:00,68.27,69.24,67.894,68.95,2128667
2009-11-03 05:00:00,69.0,69.91,67.67,69.89,2960731
2009-11-04 05:00:00,70.28,70.97,68.34,68.5,3221943
2009-11-05 05:00:00,68.66,69.0,68.14,68.85,2681409
2009-11-06 05:00:00,68.96,70.97,68.72,70.61,2476155
2009-11-09 05:00:00,70.82,71.8,70.68,71.67,1512706
2009-11-10 05:00:00,71.67,72.0,71.29,71.84,1756328
2009-11-11 05:00:00,71.91,73.17,71.79,72.85,1944541
2009-11-12 05:00:00,72.22,72.64,71.39,72.22,1644085
2009-11-13 05:00:00,72.43,72.8,72.0,72.68,1060885
2009-11-16 05:00:00,72.71,73.4,72.58,73.24,1461908
2009-11-17 05:00:00,73.29,73.9,73.12,73.77,1369344
2009-11-18 05:00:00,74.0,74.42,73.28,73.58,1545749
2009-11-19 05:00:00,73.44,73.74,72.7,73.46,1580412
2009-11-20 05:00:00,74.98,74.98,73.25,73.71,1590466
2009-11-23 05:00:00,74.37,75.27,74.1,75.24,2247026
2009-11-24 05:00:00,75.94,76.09,75.32,75.64,1551724
2009-11-25 05:00:00,75.57,76.0,75.2,75.49,899840
