Date,Open,High,Low,Close,Volume
2009-05-14 04:00:00,101.99,103.47,98.0,99.7,1784901
2009-05-15 04:00:00,99.84,101.1,98.55,99.66,890612
2009-05-18 04:00:00,100.0,101.85,98.94,101.61,1731052
2009-05-19 04:00:00,101.61,105.93,100.53,103.99,1086189
2009-05-20 04:00:00,105.03,107.62,102.28,102.84,704464
2009-05-21 04:00:00,101.55,103.14,99.3,100.45,913766
2009-05-22 04:00:00,100.87,102.17,98.51,101.25,556544
2009-05-26 04:00:00,100.54,106.48,99.53,105.29,1077552
2009-05-27 04:00:00,104.89,108.62,104.8,104.83,808057
2009-05-28 04:00:00,104.35,107.98,103.984,107.95,694449
2009-05-29 04:00:00,108.32,110.11,107.76,110.09,852558
2009-06-01 04:00:00,110.32,115.035,110.32,114.3,1403328
2009-06-02 04:00:00,114.6,116.09,112.59,115.38,1004153
2009-06-03 04:00:00,114.69,116.4,113.9,115.57,1176655
2009-06-04 04:00:00,116.45,116.71,113.5,116.5075,649042
2009-06-05 04:00:00,116.4,118.4,114.101,116.27,1421267
2009-06-08 04:00:00,116.5,117.24,113.04,116.28,1067462
2009-06-09 04:00:00,115.77,119.14,115.24,118.0,1022403
2009-06-10 04:00:00,119.13,119.13,114.1605,115.9,768073
2009-06-11 04:00:00,116.38,117.19,113.75,115.53,659533
2009-06-12 04:00:00,113.88,115.99,113.19,115.27,634579
2009-06-15 04:00:00,114.07,114.67,110.25,111.05,933934
2009-06-16 04:00:00,112.76,113.17,108.21,109.41,1082113
2009-06-17 04:00:00,110.24,111.42,107.76,110.0,877271
2009-06-18 04:00:00,109.65,110.9,108.46,110.15,452762
2009-06-19 04:00:00,111.19,113.69,110.98,112.88,791750
2009-06-22 04:00:00,111.4,111.4,105.33,106.78,765025
2009-06-23 04:00:00,107.31,108.66,103.46,106.58,877158
2009-06-24 04:00:00,103.06,110.88,103.05,110.35,835280
2009-06-25 04:00:00,109.67,113.95,108.78,113.73,511262
2009-06-26 04:00:00,113.87,116.2093,112.57,114.92,630030
2009-06-29 04:00:00,115.86,116.07,112.63,114.75,521865
2009-06-30 04:00:00,115.3,115.4,110.0,111.54,738824
2009-07-01 04:00:00,112.87,115.07,111.46,112.62,672332
2009-07-02 04:00:00,112.2,112.25,109.5,109.94,524098
2009-07-06 04:00:00,109.6,109.85,106.42,108.05,596098
2009-07-07 04:00:00,107.16,108.88,104.94,105.87,633944
2009-07-08 04:00:00,105.75,106.23,102.32,103.76,1323606
2009-07-09 04:00:00,106.49,106.99,103.62,106.4,741467
2009-07-10 04:00:00,105.6,107.47,104.72,106.61,575612
2009-07-13 04:00:00,106.93,109.78,104.74,109.06,672740
2009-07-14 04:00:00,108.46,110.75,107.22,110.32,711971
2009-07-15 04:00:00,112.81,115.91,112.0,115.57,1059654
2009-07-16 04:00:00,115.25,117.71,114.38,117.31,994190
2009-07-17 04:00:00,116.99,116.99,114.87,116.07,665390
2009-07-20 04:00:00,116.51,120.38,116.51,118.91,826484
2009-07-21 04:00:00,120.19,121.79,117.481,119.71,875726
2009-07-22 04:00:00,119.34,121.72,119.24,120.85,759839
2009-07-23 04:00:00,120.16,125.0,119.92,123.01,775735
2009-07-24 04:00:00,122.0,123.76,121.36,123.39,569288
2009-07-27 04:00:00,124.33,124.95,121.8,122.6,560342
2009-07-28 04:00:00,121.53,124.37,120.1,124.17,704891
2009-07-29 04:00:00,122.16,123.54,121.36,122.55,733820
2009-07-30 04:00:00,124.0,128.64,123.94,126.94,1123020
2009-07-31 04:00:00,127.82,130.97,127.5,129.63,1055858
2009-08-03 04:00:00,133.25,134.08,131.9,133.605,1081043
2009-08-04 04:00:00,133.64,133.64,129.4374,130.12,763308
2009-08-05 04:00:00,130.43,132.64,128.36,132.41,944974
2009-08-06 04:00:00,133.26,135.1,128.62,129.91,1145598
