Date,Open,High,Low,Close,Volume
2009-05-14 04:00:00,138.53,142.2,137.23,139.81,593443
2009-05-15 04:00:00,140.02,144.25,136.82,141.32,921746
2009-05-18 04:00:00,143.25,145.0281,140.25,144.48,950389
2009-05-19 04:00:00,145.52,145.52,138.64,138.95,807855
2009-05-20 04:00:00,141.79,143.08,136.48,137.57,509442
2009-05-21 04:00:00,135.38,141.89,134.5,141.75,1363737
2009-05-22 04:00:00,143.15,149.25,141.48,147.71,860867
2009-05-26 04:00:00,145.69,154.64,145.33,154.31,933204
2009-05-27 04:00:00,154.96,157.0,148.5,149.11,560174
2009-05-28 04:00:00,149.43,153.9,148.84,153.54,443722
2009-05-29 04:00:00,153.97,159.16,151.34,159.16,651397
2009-06-01 04:00:00,162.92,165.75,157.98,164.48,762026
2009-06-02 04:00:00,165.84,168.307,163.08,167.46,730513
2009-06-03 04:00:00,166.23,167.73,162.37,164.77,796983
2009-06-04 04:00:00,165.25,166.7,162.36,164.15,588845
2009-06-05 04:00:00,167.82,169.75,163.2,163.88,1046577
2009-06-08 04:00:00,169.0,170.56,164.7,168.95,744262
2009-06-09 04:00:00,173.0,183.8,169.41,182.21,1759973
2009-06-10 04:00:00,180.0,182.51,176.565,178.52,964810
2009-06-11 04:00:00,180.2,183.76,178.55,182.6,732505
2009-06-12 04:00:00,179.6,180.0,170.21,176.23,1570370
2009-06-15 04:00:00,174.94,174.94,166.15,169.81,1160982
2009-06-16 04:00:00,170.24,172.5,168.32,169.9,1145258
2009-06-17 04:00:00,170.1,172.54,165.74,167.5,691092
2009-06-18 04:00:00,168.25,172.81,167.5501,170.26,436452
2009-06-19 04:00:00,172.53,175.49,171.43,174.8,446578
2009-06-22 04:00:00,173.43,174.5,167.26,167.46,525258
2009-06-23 04:00:00,168.1,170.89,167.46,167.99,481406
2009-06-24 04:00:00,167.65,174.869,167.65,173.45,532160
2009-06-25 04:00:00,173.73,177.92,172.4,175.13,672003
2009-06-26 04:00:00,176.7,177.98,175.45,176.95,521783
2009-06-29 04:00:00,176.5,177.95,175.1,175.51,375718
2009-06-30 04:00:00,177.9,177.9,173.65,175.17,252227
2009-07-01 04:00:00,176.1,176.22,172.52,172.53,396508
2009-07-02 04:00:00,172.05,172.05,168.0,168.02,291821
2009-07-06 04:00:00,167.75,168.28,164.75,166.39,537457
2009-07-07 04:00:00,167.92,167.92,162.07,162.25,568476
2009-07-08 04:00:00,165.25,165.25,159.45,161.45,675489
2009-07-09 04:00:00,160.56,167.38,160.55,166.29,423022
2009-07-10 04:00:00,166.5,167.37,164.0,165.87,297876
2009-07-13 04:00:00,168.63,172.12,165.56,172.09,481965
2009-07-14 04:00:00,172.52,173.19,169.5,172.71,589289
2009-07-15 04:00:00,174.45,180.32,173.19,179.4135,421738
2009-07-16 04:00:00,179.99,180.15,175.47,179.12,342778
2009-07-17 04:00:00,177.69,180.09,177.69,179.82,295247
2009-07-20 04:00:00,181.49,185.3,180.07,184.513,504392
2009-07-21 04:00:00,181.52,184.93,178.4,184.17,843768
2009-07-22 04:00:00,181.15,185.83,179.48,185.43,699071
2009-07-23 04:00:00,186.0,199.63,185.68,197.77,1332071
