Date,Open,High,Low,Close,Volume
2009-05-13 04:00:00,340.3,347.0,325.1,327.9,3830597
2009-05-14 04:00:00,321.3,340.4,34.4,35.7,35141811
2009-05-15 04:00:00,350.0,351.0,330.8,334.7,2339636
2009-05-18 04:00:00,349.1,356.7,34.62,35.0,12723753
2009-05-19 04:00:00,36.35,37.22,35.2,36.25,31075892
2009-05-20 04:00:00,37.3,38.71,34.62,35.49,38771780
2009-05-21 04:00:00,352.0,359.7,36.7,357.7,8120327
2009-05-22 04:00:00,361.5,362.5,351.0,352.9,1324411
2009-05-26 04:00:00,354.8,368.3,36.81,37.6,7219387
2009-05-27 04:00:00,38.2,364.4,37.5,355.8,7174534
2009-05-28 04:00:00,358.6,359.6,348.2,352.9,1545736
2009-05-29 04:00:00,361.6,365.0,36.8,357.7,7365156
2009-06-01 04:00:00,37.7,359.6,36.8,354.9,12847585
2009-06-02 04:00:00,36.0,36.3,34.6,35.1,27490305
2009-06-03 04:00:00,332.8,333.7,33.2,326.0,15462371
2009-06-04 04:00:00,34.3,345.2,33.9,343.3,19798582
2009-06-05 04:00:00,347.0,347.9,332.7,332.7,1746969
2009-06-08 04:00:00,32.6,34.82,32.5,32.89,27996723
2009-06-09 04:00:00,33.03,33.42,32.65,32.79,19502257
2009-06-10 04:00:00,33.95,34.91,33.37,33.47,30050290
2009-06-11 04:00:00,33.56,34.04,33.18,33.47,16162431
2009-06-12 04:00:00,33.47,34.24,33.18,33.37,13647582
2009-06-15 04:00:00,33.18,33.37,32.22,32.41,13420331
2009-06-16 04:00:00,32.5,32.5,31.16,31.25,17377387
2009-06-17 04:00:00,308.7,315.4,287.6,296.2,3391949
2009-06-18 04:00:00,29.81,30.87,28.94,30.1,21409592
2009-06-19 04:00:00,31.07,31.16,30.29,30.48,18469064
2009-06-22 04:00:00,30.19,30.19,28.56,28.85,19103704
2009-06-23 04:00:00,29.04,29.33,27.8,28.95,23934545
2009-06-24 04:00:00,29.23,29.72,28.85,29.23,12734409
2009-06-25 04:00:00,293.3,294.3,29.9,291.4,8648255
2009-06-26 04:00:00,29.43,29.53,28.85,29.14,9240789
2009-06-29 04:00:00,292.4,293.3,289.5,290.4,1012375
2009-06-30 04:00:00,30.1,289.5,29.6,285.6,4508647
2009-07-01 04:00:00,287.5,288.5,29.6,29.7,6998250
2009-07-02 04:00:00,29.3,29.4,28.9,29.1,10708087
2009-07-06 04:00:00,28.6,278.0,27.6,268.3,7083579
2009-07-07 04:00:00,270.2,270.2,255.8,258.7,1539324
2009-07-08 04:00:00,259.6,260.6,245.2,252.0,2083998
2009-07-09 04:00:00,257.7,259.7,26.6,26.8,2192749
2009-07-10 04:00:00,26.8,257.8,25.6,25.8,7505520
2009-07-13 04:00:00,256.7,268.3,251.9,267.3,2098045
2009-07-14 04:00:00,279.8,282.7,273.1,280.8,2004898
2009-07-15 04:00:00,291.3,308.7,287.5,304.8,3709594
2009-07-16 04:00:00,31.7,32.0,30.1,30.3,30171187
2009-07-17 04:00:00,307.8,309.8,287.5,290.4,3946559
2009-07-20 04:00:00,30.2,276.0,27.6,268.3,22029669
2009-07-21 04:00:00,268.3,270.2,252.0,254.8,3598371
2009-07-22 04:00:00,258.6,275.1,27.6,27.8,7153916
2009-07-23 04:00:00,28.3,273.1,28.1,266.4,13486902
2009-07-24 04:00:00,28.0,265.4,26.9,262.5,6131215
