Date,Open,High,Low,Close,Volume
2009-05-18 04:00:00,36.41,37.46,28.94,29.32,11721715
2009-05-19 04:00:00,38.29,38.5,37.54,37.71,10049313
2009-05-20 04:00:00,29.57,38.83,29.21,37.29,16290415
2009-05-21 04:00:00,36.76,37.01,27.54,35.55,15005388
2009-05-22 04:00:00,36.05,36.1,26.54,26.63,14799327
2009-05-26 04:00:00,26.63,27.76,26.36,27.16,16998885
2009-05-27 04:00:00,35.5,35.59,34.85,35.06,13018332
2009-05-28 04:00:00,27.02,34.71,25.97,34.57,17099416
2009-05-29 04:00:00,34.96,35.62,34.791,35.46,10270415
2009-06-01 04:00:00,36.37,37.73,28.69,37.59,15694499
2009-06-02 04:00:00,37.51,37.95,37.19,37.43,7554433
2009-06-03 04:00:00,37.0,37.21,28.11,28.45,9911077
2009-06-04 04:00:00,28.59,38.18,28.14,29.51,12053094
2009-06-05 04:00:00,29.85,38.75,28.94,38.53,16007916
2009-06-08 04:00:00,38.03,38.88,36.9,38.57,12888596
2009-06-09 04:00:00,38.49,38.9,29.6,29.68,11571107
2009-06-10 04:00:00,38.74,38.75,36.93,37.66,14448052
2009-06-11 04:00:00,37.75,38.29,37.25,37.62,9417783
2009-06-12 04:00:00,37.47,37.67,28.84,29.28,9171106
2009-06-15 04:00:00,28.71,28.77,27.82,28.03,12532732
2009-06-16 04:00:00,36.46,36.97,27.49,27.6,13478381
2009-06-17 04:00:00,27.3,35.27,26.35,34.78,16376294
2009-06-18 04:00:00,34.91,34.93,26.35,26.45,15550057
2009-06-19 04:00:00,26.67,33.87,26.26,33.6,16157814
2009-06-22 04:00:00,33.49,33.51,32.01,32.32,13274398
2009-06-23 04:00:00,32.47,33.15,32.14,33.01,10110049
2009-06-24 04:00:00,33.52,34.36,33.13,33.41,10057792
2009-06-25 04:00:00,26.32,34.785,25.74,34.5,12633749
2009-06-26 04:00:00,34.54,35.2,26.75,26.82,9081551
2009-06-29 04:00:00,27.09,35.0,26.54,26.96,7426986
2009-06-30 04:00:00,26.9,33.26,25.6,33.0675,17992432
2009-07-01 04:00:00,33.48,34.15,25.71,25.76,12164320
2009-07-02 04:00:00,25.38,32.08,24.78,31.82,15168784
