Date,Open,High,Low,Close,Volume
2009-05-15 04:00:00,40.1,40.1,38.81,38.94,3512166
2009-05-18 04:00:00,39.66,40.5,38.5,40.41,4497846
2009-05-19 04:00:00,40.19,40.2,38.69,38.72,4550047
2009-05-20 04:00:00,39.27,39.51,38.0,38.14,4866832
2009-05-21 04:00:00,38.25,38.83,38.03,38.56,4037485
2009-05-22 04:00:00,38.79,39.55,38.37,39.01,3986227
2009-05-26 04:00:00,38.81,40.26,38.62,40.19,4151492
2009-05-27 04:00:00,40.23,40.41,38.53,38.6,4407589
2009-05-28 04:00:00,39.1,39.18,38.4,39.05,3922900
2009-05-29 04:00:00,39.12,39.71,38.56,39.69,2665002
2009-06-01 04:00:00,39.86,40.59,39.64,40.1,3401295
2009-06-02 04:00:00,40.3,41.43,40.03,40.97,3700948
2009-06-03 04:00:00,40.77,41.23,40.47,40.8,2435796
2009-06-04 04:00:00,41.09,41.52,40.67,41.44,2691240
2009-06-05 04:00:00,42.15,42.15,40.81,41.17,3605149
2009-06-08 04:00:00,40.8,41.34,40.63,41.11,2157545
2009-06-09 04:00:00,41.22,41.39,40.81,41.04,2067340
2009-06-10 04:00:00,41.2,41.5,41.07,41.38,3134520
2009-06-11 04:00:00,41.39,41.78,41.18,41.18,2000374
2009-06-12 04:00:00,41.2,41.24,40.56,40.82,1524310
2009-06-15 04:00:00,40.63,40.73,39.63,39.7,2353425
2009-06-16 04:00:00,40.04,40.26,39.74,39.81,2760876
2009-06-17 04:00:00,39.68,40.58,39.51,40.01,3072052
2009-06-18 04:00:00,39.99,40.5,39.86,40.28,1954933
2009-06-19 04:00:00,40.61,40.75,39.81,40.12,3095223
2009-06-22 04:00:00,39.68,40.6,39.64,39.67,3333663
2009-06-23 04:00:00,40.01,40.06,39.14,39.38,2456344
2009-06-24 04:00:00,39.23,39.79,39.05,39.33,3312676
2009-06-25 04:00:00,39.27,39.97,38.58,39.88,2414876
2009-06-26 04:00:00,39.87,39.87,39.26,39.43,1608501
2009-06-29 04:00:00,39.65,40.28,39.38,40.12,1964033
2009-06-30 04:00:00,40.14,40.14,39.39,39.93,2071824
2009-07-01 04:00:00,40.17,40.68,39.89,40.42,1650351
2009-07-02 04:00:00,39.86,40.18,38.73,38.86,2776560
2009-07-06 04:00:00,38.7,39.54,38.7,39.53,2580171
2009-07-07 04:00:00,39.19,39.69,38.84,38.85,2359221
2009-07-08 04:00:00,39.07,39.66,38.85,39.22,4175270
2009-07-09 04:00:00,39.67,39.77,39.11,39.5,1988539
2009-07-10 04:00:00,39.34,39.39,38.87,39.12,2091925
2009-07-13 04:00:00,39.5,41.05,39.28,41.02,3330144
2009-07-14 04:00:00,41.05,41.26,40.11,40.3,2591114
2009-07-15 04:00:00,40.73,41.94,40.26,41.59,4298913
2009-07-16 04:00:00,41.64,41.75,40.58,41.11,3498868
2009-07-17 04:00:00,41.17,41.61,40.49,40.66,3488782
2009-07-20 04:00:00,40.74,40.92,40.325,40.64,2278031
2009-07-21 04:00:00,40.925,41.015,40.61,40.94,2255764
2009-07-22 04:00:00,40.6,41.77,40.4,41.55,2538376
2009-07-23 04:00:00,41.67,42.69,41.49,42.61,2998275
2009-07-24 04:00:00,44.21,45.5,43.69,45.43,6368794
2009-07-27 04:00:00,45.3,45.68,44.97,45.33,3142278
2009-07-28 04:00:00,45.13,45.747,44.92,45.12,3338482
