Date,Open,High,Low,Close,Volume
2009-05-14 04:00:00,22.1,22.68,21.69,22.35,1429868
2009-05-15 04:00:00,22.19,22.5,21.79,21.92,1912018
2009-05-18 04:00:00,22.21,23.5,22.16,23.47,1444538
2009-05-19 04:00:00,23.36,23.59,23.01,23.07,993034
2009-05-20 04:00:00,23.42,23.79,23.12,23.22,1360357
2009-05-21 04:00:00,22.76,22.99,22.38,22.67,1203811
2009-05-22 04:00:00,22.71,22.89,22.19,22.66,915810
2009-05-26 04:00:00,22.27,23.47,22.26,23.33,1317252
2009-05-27 04:00:00,23.31,24.12,23.16,23.7,1996219
2009-05-28 04:00:00,24.17,24.57,23.6,24.47,2391367
2009-05-29 04:00:00,24.61,24.83,24.15,24.46,2719981
2009-06-01 04:00:00,24.52,24.94,24.33,24.68,1692555
2009-06-02 04:00:00,24.41,24.88,23.8826,24.29,1615925
2009-06-03 04:00:00,24.0,24.0,22.715,23.0,2023066
2009-06-04 04:00:00,23.27,23.27,22.5,22.89,1667744
2009-06-05 04:00:00,23.2,23.43,22.6,23.09,1755400
2009-06-08 04:00:00,22.9,22.9,22.12,22.44,1305241
2009-06-09 04:00:00,22.52,23.21,22.34,23.16,1667398
2009-06-10 04:00:00,23.5,23.5,22.04,22.23,2256655
2009-06-11 04:00:00,22.15,22.59,22.0,22.4,2214665
2009-06-12 04:00:00,22.15,23.34,22.15,23.23,1794326
2009-06-15 04:00:00,22.98,22.98,22.43,22.58,1238451
2009-06-16 04:00:00,22.64,23.04,22.24,22.29,1490703
2009-06-17 04:00:00,22.31,22.62,21.88,22.24,1847882
2009-06-18 04:00:00,22.19,22.57,22.01,22.33,1107260
2009-06-19 04:00:00,22.49,22.81,22.28,22.45,820208
2009-06-22 04:00:00,22.28,22.3,21.71,21.82,1275402
2009-06-23 04:00:00,21.81,22.21,21.49,22.06,1817066
2009-06-24 04:00:00,22.42,23.6,22.39,23.37,2393444
2009-06-25 04:00:00,23.17,23.99,23.04,23.95,1416200
2009-06-26 04:00:00,23.89,24.99,23.65,24.57,1834088
2009-06-29 04:00:00,23.64,24.59,23.64,24.1,1488730
2009-06-30 04:00:00,24.15,24.25,23.67,23.99,980867
2009-07-01 04:00:00,23.94,24.53,23.94,24.3,1723536
2009-07-02 04:00:00,23.78,24.59,23.67,24.36,3207647
2009-07-06 04:00:00,24.35,24.39,23.18,23.44,2279518
2009-07-07 04:00:00,23.53,23.59,22.78,23.09,2010747
2009-07-08 04:00:00,23.09,23.36,22.73,23.22,1794607
2009-07-09 04:00:00,23.47,24.13,23.19,23.82,1654688
2009-07-10 04:00:00,23.84,24.12,23.36,23.73,1304801
2009-07-13 04:00:00,23.8,24.15,23.55,24.14,1627514
2009-07-14 04:00:00,24.25,24.49,23.91,24.3,1217586
2009-07-15 04:00:00,24.42,25.42,24.35,25.35,1411732
2009-07-16 04:00:00,25.42,25.69,25.02,25.58,661454
2009-07-17 04:00:00,25.55,25.56,25.09,25.4,836082
2009-07-20 04:00:00,25.44,26.245,25.38,26.16,1416592
2009-07-21 04:00:00,26.47,27.05,26.39,26.94,2156677
2009-07-22 04:00:00,26.77,27.43,26.6,27.01,1518788
2009-07-23 04:00:00,27.27,27.87,27.05,27.67,1234400
2009-07-24 04:00:00,27.52,27.6,27.07,27.35,1053657
2009-07-27 04:00:00,27.65,27.65,26.75,27.15,1842479
2009-07-28 04:00:00,26.85,27.53,26.63,27.48,1378175
2009-07-29 04:00:00,27.12,27.27,26.53,27.03,1119350
2009-07-30 04:00:00,27.43,29.43,27.43,29.07,3222848
2009-07-31 04:00:00,29.09,29.57,28.71,28.74,2552705
2009-08-03 04:00:00,29.17,29.23,28.66,28.99,1893324
2009-08-04 04:00:00,28.87,29.65,28.71,29.28,1638593
2009-08-05 04:00:00,29.84,29.99,28.55,28.87,1407666
2009-08-06 04:00:00,29.12,29.24,27.9813,28.19,1351988
2009-08-07 04:00:00,28.4,28.945,27.99,28.14,1186750
2009-08-10 04:00:00,28.0,28.24,27.43,27.48,1260943
2009-08-11 04:00:00,27.38,27.69,26.99,27.01,1611810
2009-08-12 04:00:00,27.19,27.65,26.92,27.08,2255253
2009-08-13 04:00:00,27.35,28.18,27.2,28.06,1113651
2009-08-14 04:00:00,28.01,28.01,27.35,27.59,1022297
2009-08-17 04:00:00,26.97,27.09,26.58,26.61,808228
2009-08-18 04:00:00,26.67,27.75,26.51,27.58,1104680
2009-08-19 04:00:00,27.16,27.97,27.01,27.9,1520253
2009-08-20 04:00:00,27.87,28.54,27.73,28.51,1348663
2009-08-21 04:00:00,28.71,29.08,28.45,28.97,1476290
2009-08-24 04:00:00,29.09,29.12,28.36,28.48,1007731
2009-08-25 04:00:00,28.5,29.16,28.38,28.42,812947
2009-08-26 04:00:00,28.42,28.79,28.12,28.22,970424
2009-08-27 04:00:00,28.49,28.49,27.69,27.88,1380551
2009-08-28 04:00:00,28.15,28.5,27.51,27.67,1367986
2009-08-31 04:00:00,27.32,27.34,26.6901,26.78,1421396
2009-09-01 04:00:00,26.62,27.03,25.97,26.05,2680098
2009-09-02 04:00:00,25.8,26.52,25.79,26.09,1681483
2009-09-03 04:00:00,26.22,27.04,26.1,26.93,2341560
2009-09-04 04:00:00,27.06,28.05,26.71,27.83,1742733
2009-09-08 04:00:00,27.97,28.39,27.83,28.32,2065011
2009-09-09 04:00:00,28.12,28.73,28.05,28.67,1053283
2009-09-10 04:00:00,28.8,29.08,28.46,29.08,1190331
2009-09-11 04:00:00,29.33,29.9,29.18,29.7,1676460
2009-09-14 04:00:00,29.68,29.68,28.82,29.21,2266322
2009-09-15 04:00:00,29.35,29.91,29.13,29.8,1407880
2009-09-16 04:00:00,30.17,30.83,29.95,30.47,1748949
2009-09-17 04:00:00,30.51,30.87,30.2045,30.46,1391661
2009-09-18 04:00:00,30.74,30.98,30.05,30.94,1411243
2009-09-21 04:00:00,30.81,31.6199,30.5,31.44,1295662
2009-09-22 04:00:00,31.64,32.24,31.51,31.85,1557432
2009-09-23 04:00:00,32.04,32.3199,31.45,31.7,1421028
2009-09-24 04:00:00,31.74,31.82,30.63,31.13,1854018
2009-09-25 04:00:00,30.79,31.26,30.64,31.12,837955
2009-09-28 04:00:00,31.18,31.65,31.01,31.63,889810
2009-09-29 04:00:00,31.46,31.76,31.16,31.26,868846
2009-09-30 04:00:00,31.34,31.75,30.63,31.35,1511250
2009-10-01 04:00:00,31.17,31.17,30.21,30.3,1553220
2009-10-02 04:00:00,30.02,30.94,29.64,30.49,1464250
2009-10-05 04:00:00,30.77,31.17,30.55,31.02,934626
2009-10-06 04:00:00,30.5,31.97,30.5,31.44,917343
2009-10-07 04:00:00,31.25,31.39,30.92,31.32,616560
2009-10-08 04:00:00,31.64,31.71,31.06,31.07,758667
2009-10-09 04:00:00,30.88,31.465,30.88,31.46,1199227
2009-10-12 04:00:00,31.77,32.25,31.68,31.95,1134375
2009-10-13 04:00:00,32.1,32.2,31.74,31.92,983462
2009-10-14 04:00:00,32.41,32.83,32.24,32.55,1360044
2009-10-15 04:00:00,32.15,34.44,32.11,34.36,3893993
2009-10-16 04:00:00,34.22,34.23,33.64,33.69,1273280
2009-10-19 04:00:00,33.91,34.5,33.71,34.43,1398839
2009-10-20 04:00:00,34.41,35.0,33.45,33.8,2213987
2009-10-21 04:00:00,33.78,34.35,33.02,33.1,1556929
2009-10-22 04:00:00,33.07,33.7,32.77,32.94,1222827
2009-10-23 04:00:00,33.21,33.28,32.1,32.25,1108327
2009-10-26 04:00:00,32.4,33.01,31.63,31.92,1274036
2009-10-27 04:00:00,31.96,32.27,31.16,31.2,1419226
2009-10-28 04:00:00,31.0,31.41,30.505,30.55,1744293
2009-10-29 04:00:00,30.76,31.44,30.76,31.05,1702923
2009-10-30 04:00:00,30.82,31.02,30.06,30.22,1548930
2009-11-02 05:00:00,30.48,30.65,29.47,30.01,1899255
2009-11-03 05:00:00,29.66,31.62,29.5,31.57,1794115
2009-11-04 05:00:00,32.38,34.27,31.92,31.98,3489317
2009-11-05 05:00:00,33.41,33.41,32.43,32.85,1352662
2009-11-06 05:00:00,32.65,33.72,32.58,33.56,1452813
2009-11-09 05:00:00,33.95,35.0,33.86,34.99,1706342
2009-11-10 05:00:00,34.82,35.11,34.51,34.92,1138878
2009-11-11 05:00:00,35.44,36.66,35.44,36.53,3002130
2009-11-12 05:00:00,36.56,36.67,35.85,36.11,1793698
2009-11-13 05:00:00,36.33,36.98,35.39,36.59,1102348
2009-11-16 05:00:00,37.0,37.59,36.85,37.15,1472986
2009-11-17 05:00:00,37.04,37.94,36.73,37.79,1175207
2009-11-18 05:00:00,37.69,37.7,36.8,37.4,1630389
2009-11-19 05:00:00,36.86,37.12,36.41,36.99,1861435
2009-11-20 05:00:00,36.74,37.625,36.425,37.48,1196961
