Date,Open,High,Low,Close,Volume
2009-05-18 04:00:00,5.39,5.68,5.35,5.67,3360077
2009-05-19 04:00:00,5.64,5.85,5.6,5.75,2714063
2009-05-20 04:00:00,5.8,5.96,5.73,5.75,4555417
2009-05-21 04:00:00,5.6,5.76,5.47,5.55,2647730
2009-05-22 04:00:00,5.56,5.71,5.46,5.62,1820036
2009-05-26 04:00:00,5.56,5.8201,5.46,5.77,2479345
2009-05-27 04:00:00,5.72,5.99,5.71,5.78,2603471
2009-05-28 04:00:00,5.83,6.0025,5.75,5.99,3707686
2009-05-29 04:00:00,5.96,6.0,5.55,5.64,5946455
2009-06-01 04:00:00,5.74,5.83,5.621,5.7,5704019
2009-06-02 04:00:00,5.81,5.85,5.63,5.81,4479560
2009-06-03 04:00:00,5.8,5.83,5.67,5.79,3112930
2009-06-04 04:00:00,5.9,6.05,5.85,6.02,3835086
2009-06-05 04:00:00,6.1,6.13,5.91,5.97,1757463
2009-06-08 04:00:00,5.94,5.96,5.66,5.8,2882604
2009-06-09 04:00:00,5.88,5.935,5.795,5.9,1296040
2009-06-10 04:00:00,5.97,6.0,5.8,5.93,2121540
2009-06-11 04:00:00,5.93,6.4052,5.93,6.355,6228490
2009-06-12 04:00:00,6.29,6.39,6.1397,6.3,2073779
2009-06-15 04:00:00,6.18,6.27,5.9,6.04,3210135
2009-06-16 04:00:00,6.07,6.24,5.95,5.96,2795135
2009-06-17 04:00:00,5.98,6.1,5.92,6.04,2640404
2009-06-18 04:00:00,6.03,6.09,5.95,6.06,1500688
2009-06-19 04:00:00,6.03,6.16,6.0,6.01,1685496
2009-06-22 04:00:00,5.96,6.01,5.65,5.66,3006650
2009-06-23 04:00:00,5.69,5.8,5.61,5.67,2456156
2009-06-24 04:00:00,5.63,5.9,5.63,5.77,1946267
2009-06-25 04:00:00,5.73,5.96,5.71,5.96,1332698
2009-06-26 04:00:00,5.91,6.05,5.82,6.01,2029172
2009-06-29 04:00:00,6.0,6.13,5.86,6.09,3020626
2009-06-30 04:00:00,6.1,6.15,5.8075,5.9,2488057
2009-07-01 04:00:00,5.95,6.04,5.81,5.93,3732000
2009-07-02 04:00:00,5.85,5.88,5.68,5.78,2482188
2009-07-06 04:00:00,5.68,5.69,5.53,5.61,2774263
2009-07-07 04:00:00,5.6,5.6,5.33,5.35,4850076
2009-07-08 04:00:00,5.33,5.42,5.11,5.26,4336512
2009-07-09 04:00:00,5.3,5.5,5.28,5.38,2292735
2009-07-10 04:00:00,5.34,5.47,5.3,5.43,1544492
2009-07-13 04:00:00,5.46,5.56,5.26,5.55,1896585
2009-07-14 04:00:00,5.53,5.61,5.44,5.53,1630326
2009-07-15 04:00:00,5.68,5.79,5.51,5.78,2143060
2009-07-16 04:00:00,5.75,5.96,5.75,5.93,1588085
