Date,Open,High,Low,Close,Volume
2010-09-14 04:00:00,38.0,38.0,34.5,35.0,81225
2010-09-15 04:00:00,34.06,34.75,34.06,34.75,72583
2010-09-16 04:00:00,34.1,34.6,33.46,34.11,35300
2010-09-17 04:00:00,34.75,34.75,34.3,34.5,8400
2010-09-20 04:00:00,34.5,34.5,34.15,34.5,74951
2010-09-21 04:00:00,33.64,34.5,33.0,33.84,35321
2010-09-22 04:00:00,34.0,34.0,33.0,33.5,5621
2010-09-23 04:00:00,33.03,33.5,33.03,33.3,7095
2010-09-24 04:00:00,33.57,34.0,33.0,33.8,6806
2010-09-27 04:00:00,33.49,33.5,33.05,33.05,20042
2010-09-28 04:00:00,33.44,33.49,33.44,33.49,200
2010-09-29 04:00:00,33.49,33.5,33.0,33.23,152319
2010-09-30 04:00:00,33.01,33.03,32.01,32.5,83212
2010-10-01 04:00:00,33.5,33.5,32.4,33.1,46473
2010-10-04 04:00:00,33.75,33.75,32.0,32.98,28103
2010-10-05 04:00:00,32.97,33.0,32.21,32.9,22450
2010-10-06 04:00:00,32.41,32.9,32.41,32.42,13599
2010-10-07 04:00:00,32.5,32.5,32.1,32.17,37300
2010-10-08 04:00:00,32.5,32.5,32.0,32.0,16142
2010-10-11 04:00:00,32.5,33.0,32.5,32.9,62201
2010-10-12 04:00:00,32.82,33.24,32.82,32.9,139659
2010-10-13 04:00:00,33.0,33.02,32.01,32.5,112190
2010-10-14 04:00:00,32.5,33.2,32.38,33.0,427208
2010-10-15 04:00:00,33.3,33.56,32.71,33.22,629604
2010-10-18 04:00:00,33.17,33.17,32.31,32.9,172350
2010-10-19 04:00:00,32.75,33.39,32.6,33.09,51166
2010-10-20 04:00:00,33.18,33.25,32.87,32.98,156076
2010-10-21 04:00:00,33.0,33.09,32.35,32.93,261994
2010-10-22 04:00:00,33.0,33.12,32.93,33.12,269079
2010-10-25 04:00:00,33.02,33.21,32.31,32.5,28180
2010-10-26 04:00:00,32.92,33.3,32.61,32.66,7650
2010-10-27 04:00:00,32.51,32.95,32.25,32.46,12200
2010-10-28 04:00:00,32.47,32.88,32.16,32.47,4020
2010-10-29 04:00:00,32.61,32.61,31.36,32.48,22880
2010-11-01 04:00:00,33.35,33.37,32.03,32.55,42270
2010-11-02 04:00:00,32.67,32.74,32.2,32.39,55098
2010-11-03 04:00:00,31.76,33.99,31.75,33.49,188906
