Date,Open,High,Low,Close,Volume
2009-05-14 04:00:00,21.74,22.15,21.02,21.74,4473535
2009-05-15 04:00:00,21.73,22.89,21.4,21.63,4343440
2009-05-18 04:00:00,21.9,21.91,20.69,21.36,4606572
2009-05-19 04:00:00,21.36,21.8,20.92,21.0,3477837
2009-05-20 04:00:00,21.28,21.98,20.8,20.83,3118833
2009-05-21 04:00:00,20.51,21.64,20.36,20.73,4320552
2009-05-22 04:00:00,20.65,20.97,19.89,19.93,3133357
2009-05-26 04:00:00,19.78,20.67,19.32,20.47,3606162
2009-05-27 04:00:00,20.31,21.04,20.16,20.22,3566666
2009-05-28 04:00:00,20.43,22.2,20.43,21.89,6542665
2009-05-29 04:00:00,21.85,22.3,21.2,22.05,4507273
2009-06-01 04:00:00,22.35,23.38,22.14,23.1,4414700
2009-06-02 04:00:00,22.82,24.03,22.6,23.34,4394881
2009-06-03 04:00:00,22.21,23.22,22.03,23.22,5131916
2009-06-04 04:00:00,23.47,23.83,22.49,23.1,3753455
2009-06-05 04:00:00,23.49,23.6,22.53,22.86,2519560
2009-06-08 04:00:00,22.73,22.78,21.11,21.28,6563898
2009-06-09 04:00:00,21.55,21.58,19.85,20.41,8983066
2009-06-10 04:00:00,20.67,21.27,20.17,20.49,4543975
2009-06-11 04:00:00,20.24,21.12,20.0,20.9,4456022
2009-06-12 04:00:00,20.63,21.16,20.21,20.78,3781391
2009-06-15 04:00:00,20.29,20.65,20.04,20.41,3355631
2009-06-16 04:00:00,20.3,21.87,20.27,21.53,6898094
2009-06-17 04:00:00,21.45,22.16,21.1,21.72,5396317
2009-06-18 04:00:00,21.87,23.74,21.82,23.65,8025986
2009-06-19 04:00:00,24.18,25.43,24.06,25.25,11053941
2009-06-22 04:00:00,24.59,25.07,23.59,23.83,6257042
2009-06-23 04:00:00,23.98,24.16,23.5,23.75,3390480
2009-06-24 04:00:00,24.13,24.35,23.57,23.68,4583962
2009-06-25 04:00:00,23.49,25.6,23.29,24.96,6541217
2009-06-26 04:00:00,24.9,25.1,24.38,24.67,2923756
2009-06-29 04:00:00,24.65,24.89,23.86,24.12,3828256
2009-06-30 04:00:00,24.12,24.43,23.76,24.11,4237141
2009-07-01 04:00:00,23.88,24.86,23.54,24.44,3749923
2009-07-02 04:00:00,24.07,24.35,23.52,23.57,4208382
2009-07-06 04:00:00,23.54,23.84,23.1,23.45,3397048
2009-07-07 04:00:00,23.51,25.68,23.46,25.2,8923795
2009-07-08 04:00:00,25.41,25.52,23.31,24.0,7208321
2009-07-09 04:00:00,24.11,24.65,23.18,23.94,4952691
2009-07-10 04:00:00,23.75,24.59,23.71,23.94,2908718
2009-07-13 04:00:00,24.11,24.7,23.955,24.66,3066670
2009-07-14 04:00:00,24.65,25.07,24.155,24.57,3093630
2009-07-15 04:00:00,24.82,25.1,23.49,24.54,5413509
2009-07-16 04:00:00,24.49,24.84,23.21,24.755,5629956
2009-07-17 04:00:00,24.93,25.0,24.45,24.91,3885052
2009-07-20 04:00:00,24.85,25.0,24.29,24.92,2688716
