Date,Open,High,Low,Close,Volume
2009-05-14 04:00:00,3.203,7.56,3.142,7.425,64612510
2009-05-15 04:00:00,7.395,7.45,7.165,7.205,42491830
2009-05-18 04:00:00,7.255,7.565,3.199,3.216,40043332
2009-05-19 04:00:00,3.22,7.58,3.173,7.5,64073452
2009-05-20 04:00:00,7.52,7.618,7.39,7.435,29834312
2009-05-21 04:00:00,7.32,7.37,7.115,7.225,38860216
2009-05-22 04:00:00,7.215,7.245,7.055,7.11,20340162
2009-05-26 04:00:00,7.005,7.435,6.99,7.345,39574314
2009-05-27 04:00:00,7.315,7.385,3.006,3.033,82113502
2009-05-28 04:00:00,3.042,7.175,2.982,3.01,59005506
2009-05-29 04:00:00,3.008,3.008,2.795,2.921,177225592
2009-06-01 04:00:00,2.955,7.01,2.94,6.96,64259746
2009-06-02 04:00:00,6.94,7.095,2.966,3.067,109074634
2009-06-03 04:00:00,3.059,7.095,2.959,7.095,71074256
2009-06-04 04:00:00,7.12,7.22,3.05,3.069,53865192
2009-06-05 04:00:00,3.086,7.095,2.955,7.055,65420310
2009-06-08 04:00:00,7.01,7.28,6.915,7.175,27753746
2009-06-09 04:00:00,7.215,7.28,7.08,7.2,32149414
2009-06-10 04:00:00,7.275,7.315,6.975,7.145,33780544
2009-06-11 04:00:00,7.12,7.345,3.073,3.078,67664832
2009-06-12 04:00:00,3.044,7.195,2.989,7.19,37877050
2009-06-15 04:00:00,7.095,7.1,6.85,6.91,42468844
2009-06-16 04:00:00,6.92,6.99,6.72,6.765,52041792
2009-06-17 04:00:00,6.815,6.985,6.76,6.93,48939274
2009-06-18 04:00:00,6.94,7.05,6.865,6.935,30799832
2009-06-19 04:00:00,7.02,7.04,2.914,2.942,59539718
2009-06-22 04:00:00,2.895,6.9,2.838,6.81,81336026
2009-06-23 04:00:00,6.785,6.985,6.78,6.9,39571994
2009-06-24 04:00:00,6.885,7.02,2.915,2.933,73859496
2009-06-25 04:00:00,2.923,7.2,2.904,7.185,77957514
2009-06-26 04:00:00,7.13,7.205,7.01,7.115,31993220
2009-06-29 04:00:00,7.13,7.21,7.05,7.18,23379748
2009-06-30 04:00:00,7.185,7.23,3.048,3.067,37305716
2009-07-01 04:00:00,3.073,3.139,3.059,3.069,65407170
2009-07-02 04:00:00,3.033,7.04,2.937,6.945,39379686
2009-07-06 04:00:00,6.885,7.005,2.933,6.95,43076416
2009-07-07 04:00:00,6.92,6.925,6.63,6.645,49788848
2009-07-08 04:00:00,6.68,6.82,6.66,6.75,49080326
2009-07-09 04:00:00,6.78,6.835,6.65,6.695,29335204
2009-07-10 04:00:00,6.66,6.7,2.788,6.63,46702944
2009-07-13 04:00:00,6.605,6.77,6.52,6.755,30467164
2009-07-14 04:00:00,6.755,6.845,6.725,6.775,23924970
2009-07-15 04:00:00,6.835,7.06,2.944,7.055,44361234
2009-07-16 04:00:00,7.005,7.105,6.958,7.08,20761744
2009-07-17 04:00:00,7.08,7.105,6.95,7.085,23330814
2009-07-20 04:00:00,7.045,7.26,7.045,7.255,24276186
2009-07-21 04:00:00,7.275,7.32,7.035,7.155,29678284
2009-07-22 04:00:00,7.14,7.16,2.999,7.07,43210900
2009-07-23 04:00:00,7.09,7.27,3.08,3.089,36013268
2009-07-24 04:00:00,3.067,7.26,3.035,7.25,39934212
2009-07-27 04:00:00,7.245,7.455,7.16,7.445,34211216
2009-07-28 04:00:00,7.395,7.48,7.36,7.445,34374118
2009-07-29 04:00:00,7.425,7.498,3.082,3.11,66749574
2009-07-30 04:00:00,3.155,3.24,3.142,3.202,99989006
2009-07-31 04:00:00,3.193,7.5,3.135,7.44,44945342
2009-08-03 04:00:00,7.43,7.58,7.384,7.565,32080538
2009-08-04 04:00:00,7.505,7.84,7.505,7.7,62588082
2009-08-05 04:00:00,3.257,7.563,3.18,7.515,72031338
2009-08-06 04:00:00,7.72,7.8,3.182,7.53,84376210
2009-08-07 04:00:00,7.51,7.595,3.187,7.485,95789180
2009-08-10 04:00:00,7.46,7.58,7.395,7.5,38478052
2009-08-11 04:00:00,7.52,7.525,7.345,7.38,31685334
2009-08-12 04:00:00,7.38,7.475,3.155,3.165,76894866
2009-08-13 04:00:00,3.161,7.515,3.121,7.475,76135304
2009-08-14 04:00:00,7.445,7.525,7.22,7.405,30227452
2009-08-17 04:00:00,7.31,7.335,3.093,3.103,54098600
2009-08-18 04:00:00,3.108,3.121,3.054,3.057,91512836
2009-08-19 04:00:00,3.025,7.34,3.01,3.114,75552936
2009-08-20 04:00:00,3.106,3.138,3.086,3.101,106575332
2009-08-21 04:00:00,3.15,7.585,3.089,7.535,60941830
2009-08-24 04:00:00,7.54,7.635,3.204,3.219,68209962
2009-08-25 04:00:00,3.219,7.725,3.214,7.615,89875838
2009-08-26 04:00:00,7.6,7.64,3.219,7.57,69170680
2009-08-27 04:00:00,7.55,7.815,7.485,7.775,47984084
2009-08-28 04:00:00,7.79,7.93,7.73,7.85,38676422
2009-08-31 04:00:00,7.805,7.87,3.246,3.265,51786018
2009-09-01 04:00:00,3.259,3.332,3.212,3.229,132126422
2009-09-02 04:00:00,3.223,7.765,3.206,7.715,77034092
2009-09-03 04:00:00,7.72,7.775,3.289,3.3,48965378
2009-09-04 04:00:00,3.304,8.205,3.278,8.165,83538480
2009-09-08 04:00:00,8.175,8.285,3.481,3.511,50014218
2009-09-09 04:00:00,3.515,8.44,3.483,8.425,73618448
2009-09-10 04:00:00,8.385,8.565,3.628,3.656,65848502
2009-09-11 04:00:00,3.641,3.679,3.624,3.669,83107368
2009-09-14 04:00:00,3.641,3.722,3.611,3.718,94922874
2009-09-15 04:00:00,3.707,8.77,3.681,8.7,48038594
2009-09-16 04:00:00,8.695,8.84,8.575,8.785,42954508
2009-09-17 04:00:00,8.74,8.745,8.495,8.525,46585356
2009-09-18 04:00:00,8.575,8.67,3.613,8.635,84944510
2009-09-21 04:00:00,8.615,8.66,3.673,3.679,31953456
2009-09-22 04:00:00,3.679,3.718,3.654,3.669,74221496
2009-09-23 04:00:00,3.675,8.535,3.609,8.43,55890082
2009-09-24 04:00:00,8.465,8.49,3.564,3.564,46343514
2009-09-25 04:00:00,3.558,8.395,3.521,8.345,60894108
2009-09-28 04:00:00,8.41,8.525,3.598,8.52,45597238
2009-09-29 04:00:00,8.525,8.715,8.505,8.695,54134308
2009-09-30 04:00:00,8.69,8.695,3.575,3.598,105823406
2009-10-01 04:00:00,3.487,7.965,3.329,7.845,189343630
2009-10-02 04:00:00,7.89,7.895,7.57,7.61,87455002
2009-10-05 04:00:00,7.675,7.795,3.269,3.284,90752774
2009-10-06 04:00:00,3.304,7.87,3.278,7.725,59158280
2009-10-07 04:00:00,7.665,7.78,7.62,7.77,35533506
2009-10-08 04:00:00,7.785,7.905,7.755,7.825,42123494
2009-10-09 04:00:00,7.8,7.83,3.291,7.775,55320946
2009-10-12 04:00:00,7.73,7.795,7.58,7.645,29510038
2009-10-13 04:00:00,7.68,7.82,3.278,3.289,76704474
2009-10-14 04:00:00,3.321,7.7,3.28,7.675,96538322
2009-10-15 04:00:00,7.73,7.853,3.261,3.269,95025732
2009-10-16 04:00:00,3.289,7.68,3.25,7.625,57224098
2009-10-19 04:00:00,7.655,7.75,7.54,7.72,43860746
2009-10-20 04:00:00,7.73,7.785,7.573,7.675,47073244
2009-10-21 04:00:00,7.635,7.81,3.276,7.555,49646522
2009-10-22 04:00:00,7.6,7.795,3.321,3.323,45766718
2009-10-23 04:00:00,3.308,3.321,3.207,3.224,106436864
2009-10-26 04:00:00,3.201,7.62,3.154,3.177,57119158
2009-10-27 04:00:00,3.192,3.239,3.128,3.149,78788450
2009-10-28 04:00:00,7.335,7.395,7.2,7.325,43765168
2009-10-29 04:00:00,7.35,7.55,3.207,3.214,47604410
2009-10-30 04:00:00,3.197,7.35,3.13,7.23,71389194
2009-11-02 05:00:00,7.195,7.375,3.072,3.107,70318344
2009-11-03 05:00:00,3.117,7.265,3.072,7.255,69581462
2009-11-04 05:00:00,7.355,7.38,3.0,3.01,108969824
2009-11-05 05:00:00,3.051,7.14,2.987,7.1,105140822
2009-11-06 05:00:00,7.115,7.385,3.107,3.124,69732728
2009-11-09 05:00:00,3.145,7.52,3.135,3.244,99160850
2009-11-10 05:00:00,3.239,3.257,3.162,3.179,103025204
2009-11-11 05:00:00,3.205,7.515,3.179,3.233,63176574
2009-11-12 05:00:00,3.248,7.675,3.232,7.665,130084602
