Date,Open,High,Low,Close,Volume
2009-05-18 04:00:00,7.752,58.0,7.67,57.61,17033120
2009-05-19 04:00:00,57.22,58.0,56.095,56.242,5332925
2009-05-20 04:00:00,57.446,57.54,54.3,54.822,5189550
2009-05-21 04:00:00,55.44,56.536,7.62,56.036,17803240
2009-05-22 04:00:00,56.154,59.66,56.02,58.702,7085890
2009-05-26 04:00:00,58.174,60.95,8.282,8.366,19481835
2009-05-27 04:00:00,8.384,60.329,8.158,59.65,36533570
2009-05-28 04:00:00,60.442,62.734,8.552,8.772,34617170
2009-05-29 04:00:00,8.854,64.306,8.63,64.296,18082845
2009-06-01 04:00:00,65.34,66.68,64.982,65.94,5979855
2009-06-02 04:00:00,65.716,68.426,9.2,9.212,21611115
2009-06-03 04:00:00,9.168,66.394,9.058,65.65,10325445
2009-06-04 04:00:00,65.314,67.392,64.984,67.34,4621285
2009-06-05 04:00:00,68.154,68.882,66.066,66.954,5186525
2009-06-08 04:00:00,66.054,66.568,9.036,9.134,13815395
2009-06-09 04:00:00,9.226,9.286,9.136,9.178,25602250
2009-06-10 04:00:00,67.436,67.7,8.898,9.034,13345300
2009-06-11 04:00:00,9.072,69.248,9.01,68.378,14761585
2009-06-12 04:00:00,67.404,68.784,67.042,68.12,4819340
2009-06-15 04:00:00,67.17,67.96,9.138,9.14,10607725
2009-06-16 04:00:00,9.208,67.196,9.174,66.018,12364440
2009-06-17 04:00:00,66.36,66.896,8.956,9.0,15905325
2009-06-18 04:00:00,9.028,65.916,8.94,65.894,17662030
2009-06-19 04:00:00,66.342,66.39,64.925,65.424,4639990
2009-06-22 04:00:00,64.918,65.0,8.322,8.364,49199185
2009-06-23 04:00:00,8.446,60.97,8.046,8.366,33684455
2009-06-24 04:00:00,8.428,8.84,8.398,8.654,39487975
2009-06-25 04:00:00,8.614,63.088,8.452,63.088,20383925
2009-06-26 04:00:00,63.14,63.984,62.722,63.27,3246180
2009-06-29 04:00:00,63.6,64.534,62.659,63.642,2824810
2009-06-30 04:00:00,63.64,63.64,8.576,8.576,8425570
2009-07-01 04:00:00,8.64,61.736,8.372,61.558,19906545
2009-07-02 04:00:00,61.2,61.396,60.072,60.366,4031070
2009-07-06 04:00:00,59.5,59.698,8.05,8.194,21293375
2009-07-07 04:00:00,59.668,59.69,7.704,7.774,31248490
2009-07-08 04:00:00,7.774,53.724,7.148,7.274,65803830
2009-07-09 04:00:00,7.478,54.876,7.26,7.37,37101600
2009-07-10 04:00:00,7.324,7.324,7.024,7.254,53219525
2009-07-13 04:00:00,7.282,54.776,7.178,54.678,11260915
2009-07-14 04:00:00,54.4,54.832,7.268,7.408,31438555
2009-07-15 04:00:00,7.518,7.828,7.476,7.66,59083770
2009-07-16 04:00:00,7.734,54.596,7.506,7.51,22319830
2009-07-17 04:00:00,7.456,55.512,7.422,7.568,22397465
2009-07-20 04:00:00,7.59,56.094,7.59,55.696,19545590
2009-07-21 04:00:00,56.438,56.444,7.46,54.8,14413680
2009-07-22 04:00:00,54.368,56.34,54.2,54.574,7054875
2009-07-23 04:00:00,55.974,55.994,52.606,55.132,8450800
2009-07-24 04:00:00,55.196,55.2,7.404,7.466,15387445
2009-07-27 04:00:00,7.456,7.566,7.37,7.446,30211370
2009-07-28 04:00:00,7.352,53.6,7.134,53.208,17977370
2009-07-29 04:00:00,53.012,54.358,52.644,53.828,3492510
2009-07-30 04:00:00,54.792,56.178,7.458,55.47,25055875
2009-07-31 04:00:00,56.64,56.64,7.604,7.686,16895010
2009-08-03 04:00:00,7.712,7.802,7.59,7.794,28942565
2009-08-04 04:00:00,7.696,56.7,7.678,55.79,16864625
2009-08-05 04:00:00,55.846,56.29,55.244,55.724,2944975
2009-08-06 04:00:00,56.26,56.402,54.0,54.6,4435250
2009-08-07 04:00:00,55.204,57.724,7.782,57.218,31192585
2009-08-10 04:00:00,56.308,57.58,56.308,56.586,2532980
2009-08-11 04:00:00,56.456,56.9,7.588,7.608,9908285
2009-08-12 04:00:00,7.712,7.918,7.646,7.774,34959440
2009-08-13 04:00:00,7.834,7.962,7.79,7.858,27717900
2009-08-14 04:00:00,7.856,56.309,7.654,56.22,9645425
2009-08-17 04:00:00,55.3,55.49,7.408,7.432,16944995
2009-08-18 04:00:00,7.462,54.496,7.388,7.414,13694550
2009-08-19 04:00:00,7.308,53.972,7.278,53.718,9861335
2009-08-20 04:00:00,53.472,54.576,7.42,54.41,13391480
2009-08-21 04:00:00,55.2,55.444,7.622,55.166,11177665
2009-08-24 04:00:00,55.586,55.753,53.4,53.596,4919800
