Date,Open,High,Low,Close,Volume
2009-05-15 04:00:00,75.19,77.35,74.5,74.72,569536
2009-05-18 04:00:00,75.72,77.51,73.9891,77.09,482334
2009-05-19 04:00:00,77.39,79.03,76.39,77.95,730442
2009-05-20 04:00:00,78.5,78.96,74.75,75.02,714715
2009-05-21 04:00:00,74.96,77.1178,74.3401,75.37,372618
2009-05-22 04:00:00,75.85,76.0,73.79,74.43,221099
2009-05-26 04:00:00,73.33,80.08,73.33,79.41,591958
2009-05-27 04:00:00,79.89,83.64,79.4,80.79,669586
2009-05-28 04:00:00,81.93,82.03,78.66,79.99,405175
2009-05-29 04:00:00,80.54,80.54,77.8,79.21,519038
2009-06-01 04:00:00,80.53,84.83,80.0,84.53,579035
2009-06-02 04:00:00,83.96,87.27,83.32,86.5,484229
2009-06-03 04:00:00,85.68,88.28,85.2,86.82,484169
2009-06-04 04:00:00,89.06,89.24,87.32,88.9,420330
2009-06-05 04:00:00,87.01,89.55,85.11,85.35,776835
2009-06-08 04:00:00,84.51,84.83,82.0,82.96,982121
2009-06-09 04:00:00,83.77,84.88,82.0016,84.52,720217
2009-06-10 04:00:00,85.9,86.35,81.38,83.0,650734
2009-06-11 04:00:00,83.13,83.59,80.7401,80.78,421195
2009-06-12 04:00:00,80.54,81.96,79.22,81.8,537340
2009-06-15 04:00:00,82.55,82.55,79.58,80.95,449049
2009-06-16 04:00:00,81.34,81.76,78.44,78.52,687481
2009-06-17 04:00:00,80.57,80.57,77.21,79.16,717748
2009-06-18 04:00:00,79.43,83.17,79.43,81.88,601034
2009-06-19 04:00:00,83.21,84.9,82.78,84.04,599461
2009-06-22 04:00:00,83.39,83.58,80.78,81.02,371925
2009-06-23 04:00:00,81.02,81.65,78.6,78.71,361448
2009-06-24 04:00:00,79.38,81.5,78.74,79.04,390464
2009-06-25 04:00:00,78.73,82.0,78.1,80.59,377004
2009-06-26 04:00:00,80.53,80.875,79.8001,80.14,438493
2009-06-29 04:00:00,80.36,81.0,78.621,79.34,306526
2009-06-30 04:00:00,79.45,80.8,79.45,80.0,460490
2009-07-01 04:00:00,81.21,82.81,79.5,82.63,584324
2009-07-02 04:00:00,81.76,82.75,78.78,78.84,517605
2009-07-06 04:00:00,78.78,79.42,77.38,79.19,287638
2009-07-07 04:00:00,79.3,79.9,76.75,76.87,341164
2009-07-08 04:00:00,76.87,78.47,76.76,78.37,265837
2009-07-09 04:00:00,78.49,79.8573,78.21,79.46,276337
2009-07-10 04:00:00,79.47,81.37,79.24,79.66,455451
2009-07-13 04:00:00,79.97,81.5937,78.47,80.66,372621
2009-07-14 04:00:00,80.9,82.36,79.92,82.19,339959
2009-07-15 04:00:00,83.19,83.6,81.39,81.9,410878
2009-07-16 04:00:00,82.99,85.39,82.5,85.06,517767
2009-07-17 04:00:00,85.46,85.46,83.98,84.92,271108
2009-07-20 04:00:00,85.21,90.0,85.21,88.3,961147
2009-07-21 04:00:00,89.91,90.9,87.55,88.74,726174
2009-07-22 04:00:00,88.3,91.68,87.44,88.77,1195759
2009-07-23 04:00:00,86.85,93.35,83.64,91.71,1697886
2009-07-24 04:00:00,91.0,91.8,89.94,91.16,513396
2009-07-27 04:00:00,91.23,92.0,90.0,91.93,491384
2009-07-28 04:00:00,91.73,96.96,91.69,95.53,1079177
2009-07-29 04:00:00,95.29,97.21,93.7922,94.21,637595
2009-07-30 04:00:00,94.76,95.9,93.8101,94.01,460790
2009-07-31 04:00:00,94.05,95.39,93.45,93.85,274019
2009-08-03 04:00:00,94.86,95.64,93.41,94.83,501067
2009-08-04 04:00:00,94.96,97.15,94.85,96.75,388152
2009-08-05 04:00:00,96.73,97.04,95.97,96.68,247405
2009-08-06 04:00:00,96.31,96.85,92.55,93.03,617019
2009-08-07 04:00:00,93.74,94.5,91.57,93.65,622188
