Date,Open,High,Low,Close,Volume
2009-05-13 04:00:00,9.26,9.345,4.588,4.595,521576
2009-05-14 04:00:00,4.633,9.47,4.548,9.385,710414
2009-05-15 04:00:00,9.37,9.5,9.125,9.215,582308
2009-05-18 04:00:00,9.325,9.34,8.87,9.18,490448
2009-05-19 04:00:00,9.225,9.49,9.035,9.45,952408
2009-05-20 04:00:00,9.52,10.03,9.48,9.865,1217200
2009-05-21 04:00:00,9.76,9.875,4.715,9.69,1462894
2009-05-22 04:00:00,9.71,9.725,8.95,8.965,939374
2009-05-26 04:00:00,8.865,9.36,8.79,9.26,455254
2009-05-27 04:00:00,9.26,9.295,9.015,9.105,582354
2009-05-28 04:00:00,9.235,9.27,9.04,9.055,611432
2009-05-29 04:00:00,9.11,9.15,8.935,9.09,598168
2009-06-01 04:00:00,9.195,9.225,8.91,9.005,843746
2009-06-02 04:00:00,8.98,9.355,8.94,9.08,945806
2009-06-03 04:00:00,8.995,9.295,8.86,9.28,627426
2009-06-04 04:00:00,9.285,9.345,9.125,9.33,832286
2009-06-05 04:00:00,9.375,9.395,9.225,9.325,561946
2009-06-08 04:00:00,9.31,9.415,9.11,9.18,464790
2009-06-09 04:00:00,9.205,9.275,8.83,9.115,671188
2009-06-10 04:00:00,9.15,9.15,8.775,8.89,771960
2009-06-11 04:00:00,8.865,9.12,8.76,8.915,588566
2009-06-12 04:00:00,8.885,8.935,8.78,8.89,323460
2009-06-15 04:00:00,8.78,8.855,8.66,8.8,484744
2009-06-16 04:00:00,8.86,9.0,8.725,8.89,384138
2009-06-17 04:00:00,8.84,9.195,8.75,9.07,572894
2009-06-18 04:00:00,9.03,9.47,9.005,9.405,424382
2009-06-19 04:00:00,9.555,10.28,9.535,10.005,1846370
2009-06-22 04:00:00,9.995,10.065,4.885,4.975,1205976
2009-06-23 04:00:00,4.983,10.043,4.933,10.01,941122
2009-06-24 04:00:00,9.91,9.92,9.295,9.5,2034792
2009-06-25 04:00:00,9.505,10.015,9.495,9.85,727386
2009-06-26 04:00:00,9.84,10.445,9.825,10.25,989662
2009-06-29 04:00:00,10.15,10.295,5.058,5.083,609960
2009-06-30 04:00:00,5.06,5.175,4.918,4.995,1073432
2009-07-01 04:00:00,5.06,10.16,4.945,10.15,658258
2009-07-02 04:00:00,10.005,10.085,9.715,9.785,596444
2009-07-06 04:00:00,9.675,9.83,9.335,9.55,713374
2009-07-07 04:00:00,9.585,9.875,9.445,9.755,748096
2009-07-08 04:00:00,9.885,9.885,9.46,9.61,594770
2009-07-09 04:00:00,9.62,9.685,9.205,9.32,481126
2009-07-10 04:00:00,9.045,9.585,9.045,9.37,540656
2009-07-13 04:00:00,9.42,9.63,9.26,9.585,302972
2009-07-14 04:00:00,9.625,9.695,9.36,9.415,456892
2009-07-15 04:00:00,9.51,9.565,9.3,9.44,424518
2009-07-16 04:00:00,9.385,9.44,9.175,9.26,657948
2009-07-17 04:00:00,9.25,9.32,8.75,9.075,2625402
2009-07-20 04:00:00,9.005,9.005,8.83,8.93,1213224
2009-07-21 04:00:00,8.99,9.05,8.75,8.95,850974
2009-07-22 04:00:00,8.955,9.215,8.955,9.08,368796
2009-07-23 04:00:00,9.04,9.325,9.01,9.265,639968
2009-07-24 04:00:00,9.185,9.383,8.885,9.21,1406904
2009-07-27 04:00:00,9.095,9.295,8.94,8.98,1214746
2009-07-28 04:00:00,9.6,10.025,9.26,9.73,2194402
2009-07-29 04:00:00,9.75,10.15,9.59,10.05,943044
2009-07-30 04:00:00,10.125,10.24,9.9,9.965,672108
2009-07-31 04:00:00,9.88,9.9,9.64,9.655,474772
2009-08-03 04:00:00,9.735,9.735,9.32,9.58,556738
2009-08-04 04:00:00,9.545,9.62,9.34,9.495,559396
2009-08-05 04:00:00,9.455,9.455,8.99,9.02,583446
2009-08-06 04:00:00,9.075,9.105,8.87,9.025,443060
2009-08-07 04:00:00,9.155,9.33,9.025,9.125,500052
2009-08-10 04:00:00,9.1,9.185,8.975,9.075,449014
2009-08-11 04:00:00,9.075,9.19,8.99,9.005,258610
2009-08-12 04:00:00,8.98,9.1,8.97,8.985,533456
2009-08-13 04:00:00,9.02,9.08,8.795,9.045,315898
2009-08-14 04:00:00,9.035,9.06,8.735,8.755,787320
2009-08-17 04:00:00,8.67,9.215,8.585,9.125,761074
2009-08-18 04:00:00,9.13,9.24,8.985,9.095,603852
2009-08-19 04:00:00,9.045,9.14,4.508,9.11,536012
2009-08-20 04:00:00,9.12,9.325,9.105,9.25,282268
2009-08-21 04:00:00,9.32,9.37,9.185,9.295,734354
2009-08-24 04:00:00,9.275,9.305,9.045,9.125,716966
2009-08-25 04:00:00,9.145,9.27,8.975,8.99,891142
