Date,Open,High,Low,Close,Volume
2009-05-13 04:00:00,24.26,24.88,23.1,23.97,25100997
2009-05-14 04:00:00,23.65,24.94,22.92,24.64,18791605
2009-05-15 04:00:00,25.23,26.8,24.16,24.4875,22464267
2009-05-18 04:00:00,25.31,26.28,24.74,26.07,16409703
2009-05-19 04:00:00,25.68,26.38,24.76,24.81,12776085
2009-05-20 04:00:00,25.26,25.39,22.23,23.1,29001276
2009-05-21 04:00:00,22.93,23.88,22.17,22.96,17372343
2009-05-22 04:00:00,22.75,23.24,21.79,21.88,11860169
2009-05-26 04:00:00,21.71,22.88,21.65,22.65,13424418
2009-05-27 04:00:00,22.74,24.0,22.26,22.3,12370156
2009-05-28 04:00:00,22.63,23.39,21.77,23.3,12620533
2009-05-29 04:00:00,23.12,24.56,22.75,24.51,11792126
2009-06-01 04:00:00,24.69,25.6799,24.11,24.91,12698954
2009-06-02 04:00:00,24.64,24.94,23.48,24.44,12310766
2009-06-03 04:00:00,24.05,24.83,23.62,23.93,8664196
2009-06-04 04:00:00,24.16,25.23,23.55,24.94,9306389
2009-06-05 04:00:00,25.54,25.8,24.03,24.15,8586310
2009-06-08 04:00:00,23.93,24.08,23.0,23.4,12795857
2009-06-09 04:00:00,23.91,24.61,23.85,24.01,9556475
2009-06-10 04:00:00,24.28,24.83,23.88,24.24,8450487
2009-06-11 04:00:00,24.49,24.95,24.25,24.59,10282388
2009-06-12 04:00:00,24.5,24.5,23.72,23.95,8067696
2009-06-15 04:00:00,23.54,23.85,23.2,23.43,7328745
2009-06-16 04:00:00,23.55,23.94,23.14,23.16,10453793
2009-06-17 04:00:00,22.79,23.49,21.225,22.48,18696732
2009-06-18 04:00:00,22.79,23.22,21.79,22.28,11542854
2009-06-19 04:00:00,22.59,22.59,21.59,22.33,12316875
2009-06-22 04:00:00,21.68,22.07,20.42,20.47,10717246
2009-06-23 04:00:00,20.56,21.58,20.24,21.16,9199155
2009-06-24 04:00:00,21.42,22.05,20.98,21.27,7922867
2009-06-25 04:00:00,21.12,22.18,21.0,22.18,7259840
2009-06-26 04:00:00,22.06,22.15,21.5,21.96,5325953
2009-06-29 04:00:00,22.06,22.66,21.64,22.39,6074187
2009-06-30 04:00:00,22.35,22.44,21.6499,21.9,6037356
2009-07-01 04:00:00,22.01,22.47,21.735,21.85,4194738
2009-07-02 04:00:00,21.46,21.7,20.83,20.97,5198373
2009-07-06 04:00:00,20.73,21.51,20.53,20.95,7023402
2009-07-07 04:00:00,20.8,21.11,20.43,20.47,6676389
2009-07-08 04:00:00,20.62,20.92,19.73,20.59,12827184
2009-07-09 04:00:00,20.88,21.56,20.69,21.19,7936807
2009-07-10 04:00:00,20.76,20.98,20.32,20.63,6547598
2009-07-13 04:00:00,21.02,21.97,20.73,21.88,8294717
2009-07-14 04:00:00,21.9,23.28,21.2936,23.09,14715534
2009-07-15 04:00:00,24.05,26.36,24.0,25.84,19676365
2009-07-16 04:00:00,25.35,27.13,25.21,26.92,14400353
2009-07-17 04:00:00,26.54,27.06,26.27,26.49,8416692
2009-07-20 04:00:00,26.65,27.35,26.41,26.71,7966350
2009-07-21 04:00:00,26.96,27.2,25.96,26.34,6595093
2009-07-22 04:00:00,25.76,26.74,25.7,26.47,7070754
2009-07-23 04:00:00,26.56,28.18,26.4,27.84,9204593
2009-07-24 04:00:00,26.51,30.59,26.4,30.09,23792461
2009-07-27 04:00:00,29.9,30.8,29.56,29.83,11506249
2009-07-28 04:00:00,29.58,30.33,29.32,29.67,8949801
2009-07-29 04:00:00,29.47,30.24,29.21,29.72,7045123
2009-07-30 04:00:00,30.39,31.63,30.1,30.36,9928846
2009-07-31 04:00:00,30.3,31.27,30.15,30.67,6456787
2009-08-03 04:00:00,31.29,31.94,30.71,31.36,7847657
2009-08-04 04:00:00,31.0,31.85,30.61,31.49,7512923
2009-08-05 04:00:00,31.41,31.68,29.98,31.42,12270229
2009-08-06 04:00:00,31.91,33.2094,30.9733,32.1,13612650
2009-08-07 04:00:00,32.9,34.58,32.6,34.1,12793073
2009-08-10 04:00:00,33.84,35.05,33.67,33.88,11275681
2009-08-11 04:00:00,33.65,33.91,32.27,32.77,9668661
2009-08-12 04:00:00,32.88,33.88,32.57,33.77,8274622
2009-08-13 04:00:00,34.69,35.33,34.05,35.29,9563366
2009-08-14 04:00:00,35.01,35.45,34.112,35.11,7769707
2009-08-17 04:00:00,33.98,35.3,33.6,34.06,13296276
2009-08-18 04:00:00,34.42,35.36,34.08,35.24,7670314
2009-08-19 04:00:00,34.63,34.96,34.1,34.44,9195904
2009-08-20 04:00:00,34.44,35.12,34.13,35.02,7142412
2009-08-21 04:00:00,35.68,36.58,32.42,36.48,8100702
2009-08-24 04:00:00,37.59,37.95,36.37,36.46,9188721
2009-08-25 04:00:00,36.71,36.91,36.07,36.36,7429340
2009-08-26 04:00:00,36.1,36.79,35.65,36.49,6402601
2009-08-27 04:00:00,36.4,36.74,36.02,36.63,4444175
2009-08-28 04:00:00,37.14,37.14,36.22,36.76,4559089
2009-08-31 04:00:00,36.1,37.42,35.96,37.32,6081549
2009-09-01 04:00:00,37.01,37.49,34.94,35.11,9010668
2009-09-02 04:00:00,35.17,35.4,34.26,34.32,8863456
2009-09-03 04:00:00,34.79,35.28,34.31,34.86,5428946
2009-09-04 04:00:00,34.93,35.47,34.67,35.2,4029206
2009-09-08 04:00:00,35.77,36.1,34.75,35.41,5106204
2009-09-09 04:00:00,36.45,37.77,35.66,37.46,8675617
2009-09-10 04:00:00,37.52,38.25,36.6,38.17,6361496
2009-09-11 04:00:00,38.25,38.54,37.5,37.95,4681666
2009-09-14 04:00:00,37.5,38.36,36.6,38.29,6114551
2009-09-15 04:00:00,38.14,38.14,36.41,37.39,11305988
2009-09-16 04:00:00,37.86,39.25,37.13,39.0,10799122
2009-09-17 04:00:00,38.66,39.7,37.94,38.1,7728912
2009-09-18 04:00:00,38.31,38.41,37.24,37.51,7702903
2009-09-21 04:00:00,37.0,37.34,36.08,36.3,6674473
2009-09-22 04:00:00,36.75,37.65,36.52,37.23,6149368
2009-09-23 04:00:00,37.36,37.48,36.18,36.21,4899062
2009-09-24 04:00:00,36.51,36.65,35.25,35.82,5162769
2009-09-25 04:00:00,35.62,36.0,34.64,35.14,6785593
2009-09-28 04:00:00,35.29,36.71,34.66,36.67,5552630
2009-09-29 04:00:00,36.78,36.88,35.2,35.26,6427517
2009-09-30 04:00:00,35.48,36.19,34.81,35.7,6751056
2009-10-01 04:00:00,35.41,35.59,33.56,33.62,7716243
2009-10-02 04:00:00,32.74,33.93,32.56,33.18,7833957
2009-10-05 04:00:00,34.74,36.08,34.5,35.91,10269837
2009-10-06 04:00:00,36.09,36.75,34.73,36.02,6709859
2009-10-07 04:00:00,35.77,37.05,35.66,36.93,7566933
2009-10-08 04:00:00,37.34,37.78,36.96,37.44,6428766
2009-10-09 04:00:00,37.47,37.88,36.91,37.6,4486770
2009-10-12 04:00:00,37.95,38.7,37.61,38.28,5125758
2009-10-13 04:00:00,38.01,38.43,37.46,38.22,6093507
2009-10-14 04:00:00,38.46,39.44,37.67,39.34,8579980
2009-10-15 04:00:00,37.43,38.545,36.7,38.13,13391360
2009-10-16 04:00:00,37.46,37.75,36.31,36.36,7758903
2009-10-19 04:00:00,36.8,37.78,36.35,37.27,6884480
2009-10-20 04:00:00,37.32,37.925,36.66,36.88,4998617
2009-10-21 04:00:00,36.71,38.22,36.44,36.55,5722314
2009-10-22 04:00:00,36.82,38.6,36.41,38.33,8195636
2009-10-23 04:00:00,37.27,38.17,35.78,36.52,22590304
2009-10-26 04:00:00,36.8,41.63,36.44,39.48,9580055
2009-10-27 04:00:00,39.55,40.56,39.22,39.68,7188383
2009-10-28 04:00:00,39.36,39.73,37.35,37.39,7814848
2009-10-29 04:00:00,38.0,39.01,37.43,38.91,5356489
2009-10-30 04:00:00,38.74,38.74,35.97,36.58,8226914
