Date,Open,High,Low,Close,Volume
2009-05-18 04:00:00,44.59,45.93,44.55,45.54,10102113
2009-05-19 04:00:00,45.86,46.52,45.75,45.88,10343079
2009-05-20 04:00:00,46.78,47.32,46.04,46.18,10875638
2009-05-21 04:00:00,45.18,45.35,44.132,44.68,10911747
2009-05-22 04:00:00,44.93,45.17,44.27,44.38,7148797
2009-05-26 04:00:00,44.0,45.15,43.7,45.06,9420690
2009-05-27 04:00:00,45.14,46.1,44.26,44.46,10581319
2009-05-28 04:00:00,44.85,45.88,44.83,45.56,14374615
2009-05-29 04:00:00,46.45,46.65,45.45,45.89,12434069
2009-06-01 04:00:00,47.03,48.19,46.72,47.91,12692036
2009-06-02 04:00:00,48.01,48.71,47.78,47.88,13531337
2009-06-03 04:00:00,47.28,47.28,44.95,45.71,19327824
2009-06-04 04:00:00,46.1,46.38,45.2,45.95,18663161
2009-06-05 04:00:00,46.35,46.63,44.72,45.05,16606885
2009-06-08 04:00:00,44.76,45.3,44.22,45.02,13022745
2009-06-09 04:00:00,45.52,45.97,44.905,45.55,12376872
2009-06-10 04:00:00,46.43,46.53,45.25,45.78,11910538
2009-06-11 04:00:00,45.91,46.5,45.47,45.5,15461114
2009-06-12 04:00:00,44.97,45.05,43.77,44.38,19466554
2009-06-15 04:00:00,43.83,43.86,42.45,43.15,16717562
2009-06-16 04:00:00,43.91,44.22,43.08,43.33,15123052
2009-06-17 04:00:00,43.1,43.23,41.96,42.57,12443816
2009-06-18 04:00:00,42.47,42.9,42.04,42.79,12651510
2009-06-19 04:00:00,43.4,43.63,42.85,42.98,15192440
2009-06-22 04:00:00,42.15,42.2,40.44,40.46,17707199
2009-06-23 04:00:00,41.06,41.54,40.54,41.24,13777812
2009-06-24 04:00:00,41.82,42.56,41.51,41.7,13617731
2009-06-25 04:00:00,41.36,42.0,40.98,41.78,16781671
2009-06-26 04:00:00,41.83,41.96,41.3205,41.6,8045062
2009-06-29 04:00:00,42.25,42.57,41.86,42.21,11280942
2009-06-30 04:00:00,42.11,42.56,41.36,42.08,17587692
2009-07-01 04:00:00,42.64,42.94,42.0,42.03,11125610
2009-07-02 04:00:00,41.5,41.54,41.0,41.04,11637633
2009-07-06 04:00:00,40.12,40.89,39.74,40.87,13012457
2009-07-07 04:00:00,40.74,40.84,39.54,39.99,15662815
2009-07-08 04:00:00,39.81,40.08,38.62,39.47,21740310
2009-07-09 04:00:00,39.87,40.97,39.87,40.28,15235956
2009-07-10 04:00:00,39.68,39.85,39.06,39.73,12099782
2009-07-13 04:00:00,39.97,40.64,39.16,40.6,12103032
2009-07-14 04:00:00,40.87,41.24,40.18,40.52,13141204
2009-07-15 04:00:00,41.08,41.8,41.07,41.61,12290300
2009-07-16 04:00:00,41.4,42.6,41.34,42.33,10813347
2009-07-17 04:00:00,42.43,42.74,42.0,42.4,10413140
2009-07-20 04:00:00,42.87,43.32,42.555,43.2,11904236
2009-07-21 04:00:00,43.55,43.93,43.0,43.53,11121318
2009-07-22 04:00:00,42.95,43.65,42.63,43.17,9654552
2009-07-23 04:00:00,43.06,44.2,43.06,43.98,11393327
2009-07-24 04:00:00,43.76,45.11,43.75,44.96,11664949
2009-07-27 04:00:00,45.21,45.74,44.84,45.3,10579276
2009-07-28 04:00:00,44.75,45.09,44.155,44.98,12049741
2009-07-29 04:00:00,43.9,43.93,42.37,42.86,18379649
2009-07-30 04:00:00,43.46,43.9,42.86,43.2,13034490
2009-07-31 04:00:00,43.0,43.84,42.59,43.67,12199675
2009-08-03 04:00:00,44.26,45.34,44.26,45.0,12471503
2009-08-04 04:00:00,44.8,45.07,44.43,44.87,7976807
2009-08-05 04:00:00,44.87,44.92,44.15,44.61,7964831
2009-08-06 04:00:00,44.63,44.71,43.82,44.13,7490124
2009-08-07 04:00:00,44.66,44.83,43.92,44.07,6595782
2009-08-10 04:00:00,43.99,44.5,43.84,44.22,8223551
2009-08-11 04:00:00,44.05,44.27,43.56,43.65,7618911
2009-08-12 04:00:00,43.64,44.19,43.64,43.88,10768442
2009-08-13 04:00:00,44.03,44.25,43.62,44.18,10073056
2009-08-14 04:00:00,44.21,44.4,43.25,43.76,7552616
2009-08-17 04:00:00,42.81,42.81,42.06,42.36,9315159
2009-08-18 04:00:00,42.42,42.81,42.2,42.61,7364342
2009-08-19 04:00:00,42.17,43.64,42.05,43.15,9637390
2009-08-20 04:00:00,43.08,43.65,42.98,43.25,8410038
2009-08-21 04:00:00,43.99,44.31,43.7,44.16,14653507
2009-08-24 04:00:00,44.5,45.41,44.44,45.32,16086956
2009-08-25 04:00:00,45.49,45.83,44.87,45.07,10813252
2009-08-26 04:00:00,44.66,45.76,44.5,45.6,14610784
