Date,Open,High,Low,Close,Volume
2009-05-14 04:00:00,9.79,10.038,9.683,9.918,6580676
2009-05-15 04:00:00,10.0,10.19,2.508,2.518,18477856
2009-05-18 04:00:00,2.533,10.105,2.486,10.088,15038612
2009-05-19 04:00:00,10.083,10.373,2.494,10.25,28185204
2009-05-20 04:00:00,10.313,10.513,10.008,10.048,7032208
2009-05-21 04:00:00,10.043,10.103,2.451,2.479,36957744
2009-05-22 04:00:00,9.07,9.323,8.775,9.04,35040348
2009-05-26 04:00:00,9.115,9.495,8.783,9.375,10782176
2009-05-27 04:00:00,9.34,9.43,2.28,9.125,22784828
2009-05-28 04:00:00,9.145,9.478,2.34,2.36,24721608
2009-05-29 04:00:00,2.332,9.4,2.309,2.376,19838904
2009-06-01 04:00:00,2.396,9.98,2.396,9.948,17365400
2009-06-02 04:00:00,9.92,9.99,9.76,9.813,6256896
2009-06-03 04:00:00,9.76,9.83,9.583,9.83,9260000
2009-06-04 04:00:00,9.855,10.03,2.435,2.454,29908352
2009-06-05 04:00:00,2.48,10.0,2.457,9.785,15624340
2009-06-08 04:00:00,9.743,9.838,9.603,9.663,9762972
2009-06-09 04:00:00,9.753,9.99,9.68,9.885,8149536
2009-06-10 04:00:00,9.998,10.05,9.845,9.995,15099480
2009-06-11 04:00:00,10.0,10.385,2.583,2.6,26270952
2009-06-12 04:00:00,2.598,10.37,2.526,2.6,10944108
2009-06-15 04:00:00,2.563,10.178,2.513,10.143,10729476
2009-06-16 04:00:00,10.285,10.295,2.492,2.498,26152932
2009-06-17 04:00:00,2.508,10.153,2.487,10.115,17702484
2009-06-18 04:00:00,10.218,10.218,9.878,10.03,4800996
2009-06-19 04:00:00,10.06,10.183,2.482,9.98,13726324
2009-06-22 04:00:00,9.803,9.803,9.325,9.325,7905528
2009-06-23 04:00:00,9.37,9.485,9.095,9.428,8928360
2009-06-24 04:00:00,9.56,9.875,9.5,9.815,8431840
2009-06-25 04:00:00,9.75,9.953,9.57,9.933,5524612
2009-06-26 04:00:00,9.898,9.935,2.408,2.428,12861444
2009-06-29 04:00:00,2.438,2.441,2.399,2.429,15135248
2009-06-30 04:00:00,2.434,9.695,2.413,9.545,7777088
2009-07-01 04:00:00,9.626,9.828,2.428,2.43,11825476
2009-07-02 04:00:00,9.59,9.69,9.445,9.505,5473224
2009-07-06 04:00:00,9.408,9.49,2.3,2.316,29937732
2009-07-07 04:00:00,2.305,9.029,2.234,8.893,24634108
2009-07-08 04:00:00,8.883,8.935,2.213,2.282,38626188
2009-07-09 04:00:00,2.301,9.325,2.277,9.193,9511184
2009-07-10 04:00:00,9.1,9.168,2.28,2.327,13714424
2009-07-13 04:00:00,2.346,2.391,2.331,2.39,25533040
2009-07-14 04:00:00,2.384,9.55,2.357,9.55,10832336
2009-07-15 04:00:00,9.733,9.883,2.458,2.479,17589892
2009-07-16 04:00:00,2.456,10.07,2.447,10.003,10944296
2009-07-17 04:00:00,10.018,10.255,2.537,2.554,8460272
2009-07-20 04:00:00,2.578,10.455,2.557,10.435,9515624
2009-07-21 04:00:00,10.433,10.473,2.581,10.455,9247660
2009-07-22 04:00:00,10.44,10.643,10.295,10.618,5005928
2009-07-23 04:00:00,10.638,11.078,10.568,11.033,5904028
2009-07-24 04:00:00,10.905,11.295,2.75,11.278,18393660
2009-07-27 04:00:00,11.263,11.283,11.078,11.129,4011544
2009-07-28 04:00:00,10.798,11.01,2.7,2.721,12486500
2009-07-29 04:00:00,2.702,2.723,2.672,2.698,14628312
2009-07-30 04:00:00,10.833,11.125,10.833,10.925,5862192
2009-07-31 04:00:00,10.953,11.04,2.704,2.706,6291240
2009-08-03 04:00:00,2.746,11.175,2.72,11.163,8822924
2009-08-04 04:00:00,11.058,11.478,11.01,11.383,5233932
2009-08-05 04:00:00,11.428,11.475,11.163,11.28,5997788
2009-08-06 04:00:00,11.263,11.383,11.218,11.333,5146424
2009-08-07 04:00:00,11.5,11.808,11.475,11.685,8841520
2009-08-10 04:00:00,11.698,11.793,11.438,11.448,5189524
2009-08-11 04:00:00,11.448,11.5,2.799,2.8,5368840
2009-08-12 04:00:00,2.826,3.032,2.826,3.007,67662236
2009-08-13 04:00:00,3.007,12.053,2.958,12.0,27853048
2009-08-14 04:00:00,12.005,12.078,2.926,2.944,11833744
2009-08-17 04:00:00,2.911,2.911,2.802,2.806,22898060
2009-08-18 04:00:00,2.822,11.098,2.733,11.06,34353056
2009-08-19 04:00:00,10.94,11.158,2.775,2.819,22496288
2009-08-20 04:00:00,2.829,11.658,2.823,2.886,32210408
2009-08-21 04:00:00,12.913,13.438,3.307,3.36,70013472
2009-08-24 04:00:00,13.525,13.75,3.261,3.296,36883060
2009-08-25 04:00:00,3.211,13.248,3.211,3.27,30402520
2009-08-26 04:00:00,3.272,13.25,3.243,13.215,12490800
2009-08-27 04:00:00,13.193,13.209,3.252,3.293,14940652
2009-08-28 04:00:00,3.298,3.338,3.246,3.265,28951260
2009-08-31 04:00:00,3.238,3.249,3.206,3.241,25747088
2009-09-01 04:00:00,3.218,12.873,3.171,12.773,30547984
2009-09-02 04:00:00,12.725,12.923,3.205,3.22,12979912
2009-09-03 04:00:00,3.254,13.115,3.204,13.09,16240264
2009-09-04 04:00:00,13.075,13.26,13.048,13.195,5606868
2009-09-08 04:00:00,13.27,13.53,3.348,3.402,16775972
