Date,Open,High,Low,Close,Volume
2009-05-18 04:00:00,18.14,18.81,18.06,18.72,58908206
2009-05-19 04:00:00,18.71,19.35,18.64,18.89,51310480
2009-05-20 04:00:00,19.04,19.1,18.46,18.6,46232543
2009-05-21 04:00:00,18.43,18.5,17.85,18.16,59457234
2009-05-22 04:00:00,18.1,18.15,17.66,17.9,31596795
2009-05-26 04:00:00,17.66,18.67,17.61,18.51,43188035
2009-05-27 04:00:00,18.43,18.71,18.11,18.22,37042796
2009-05-28 04:00:00,18.35,18.6625,18.06,18.51,50349737
2009-05-29 04:00:00,18.54,18.6,18.09,18.49,52700022
2009-06-01 04:00:00,19.15,19.77,19.0076,19.51,93386710
2009-06-02 04:00:00,19.57,19.86,19.41,19.6,50305076
2009-06-03 04:00:00,19.55,19.61,19.1,19.35,49289812
2009-06-04 04:00:00,19.47,19.81,19.3,19.66,37520397
2009-06-05 04:00:00,19.94,20.02,19.52,19.88,64355010
2009-06-08 04:00:00,19.73,20.06,19.53,19.87,39059274
2009-06-09 04:00:00,19.96,20.2,19.68,20.08,47454166
2009-06-10 04:00:00,20.22,20.24,19.58,19.96,52449236
2009-06-11 04:00:00,19.92,20.35,19.9,20.06,42389339
2009-06-12 04:00:00,19.92,19.98,19.62,19.92,39070832
2009-06-15 04:00:00,19.68,19.7,19.1,19.36,43139551
2009-06-16 04:00:00,19.41,19.48,19.03,19.07,41685812
2009-06-17 04:00:00,19.04,19.49,18.97,19.19,45594888
2009-06-18 04:00:00,19.23,19.29,18.92,18.98,34865543
2009-06-19 04:00:00,19.18,19.2,18.8,18.91,41440219
2009-06-22 04:00:00,18.76,18.8,18.35,18.4,41546559
2009-06-23 04:00:00,18.44,18.71,18.25,18.57,40065215
2009-06-24 04:00:00,18.74,19.0,18.52,18.6,44482702
2009-06-25 04:00:00,18.55,19.19,18.5,19.04,39654864
2009-06-26 04:00:00,18.93,19.1701,18.86,18.89,38622450
2009-06-29 04:00:00,19.02,19.05,18.79,18.99,45353740
2009-06-30 04:00:00,18.94,19.07,18.53,18.64,45049078
2009-07-01 04:00:00,18.825,19.115,18.76,18.8,33746520
2009-07-02 04:00:00,18.67,18.73,18.45,18.51,38443854
2009-07-06 04:00:00,18.33,18.7,18.3,18.54,33487666
2009-07-07 04:00:00,18.54,18.62,18.19,18.24,39277834
2009-07-08 04:00:00,18.25,18.33,17.82,18.14,49320196
2009-07-09 04:00:00,18.27,18.51,18.06,18.16,50344784
2009-07-10 04:00:00,18.08,18.45,18.02,18.34,43661508
2009-07-13 04:00:00,18.41,18.58,17.92,18.58,58438646
2009-07-14 04:00:00,18.44,18.93,18.43,18.72,43609365
2009-07-15 04:00:00,19.34,19.88,19.16,19.82,80551576
2009-07-16 04:00:00,19.75,20.2,19.71,20.14,55197914
2009-07-17 04:00:00,20.19,20.58,19.98,20.53,61515534
2009-07-20 04:00:00,20.82,21.27,20.8,21.17,73952374
2009-07-21 04:00:00,21.27,21.58,20.88,21.58,69020132
2009-07-22 04:00:00,21.44,21.82,21.27,21.46,48286525
2009-07-23 04:00:00,21.44,22.07,21.28,21.9,57868342
2009-07-24 04:00:00,21.48,21.97,21.42,21.88,37591360
2009-07-27 04:00:00,21.86,21.955,21.67,21.83,30015401
2009-07-28 04:00:00,21.62,21.99,21.37,21.93,37803539
2009-07-29 04:00:00,21.8,21.87,21.5,21.75,31577399
2009-07-30 04:00:00,21.96,22.4,21.84,21.97,48528398
2009-07-31 04:00:00,21.91,22.1825,21.85,22.03,36331168
2009-08-03 04:00:00,22.21,22.61,22.19,22.57,56214768
