Date,Open,High,Low,Close,Volume
2009-05-13 04:00:00,6.135,6.404,6.044,6.066,17043494
2009-05-14 04:00:00,6.059,12.54,6.041,12.47,8679646
2009-05-15 04:00:00,12.43,13.0,12.4,12.875,9543780
2009-05-18 04:00:00,13.41,13.715,13.035,13.2,17267194
2009-05-19 04:00:00,12.805,12.96,6.251,12.84,16517780
2009-05-20 04:00:00,12.83,13.145,12.695,12.75,7912812
2009-05-21 04:00:00,12.55,12.745,6.076,12.435,12150898
2009-05-22 04:00:00,12.555,12.72,6.115,6.115,12652452
2009-05-26 04:00:00,6.004,12.97,5.931,12.88,9647072
2009-05-27 04:00:00,12.87,13.25,6.364,12.89,14762612
2009-05-28 04:00:00,13.02,13.13,12.56,12.735,8975270
2009-05-29 04:00:00,12.825,12.985,6.189,6.209,22656420
2009-06-01 04:00:00,6.323,13.39,6.303,13.3,15805242
2009-06-02 04:00:00,13.38,13.445,13.22,13.34,7041822
2009-06-03 04:00:00,13.285,13.295,6.322,12.965,11888912
2009-06-04 04:00:00,13.025,13.285,6.547,6.608,16249630
2009-06-05 04:00:00,6.621,13.675,6.547,13.615,16350598
2009-06-08 04:00:00,13.505,13.64,13.269,13.55,8843324
2009-06-09 04:00:00,6.685,13.785,6.672,13.715,20958474
2009-06-10 04:00:00,13.72,13.83,6.469,6.549,25833654
2009-06-11 04:00:00,6.562,6.68,6.52,6.554,18355746
2009-06-12 04:00:00,6.522,13.35,6.466,6.603,12907838
2009-06-15 04:00:00,6.554,12.91,6.293,12.905,18363974
2009-06-16 04:00:00,13.145,13.15,6.288,6.288,13431310
2009-06-17 04:00:00,6.394,12.993,6.254,6.342,11517896
2009-06-18 04:00:00,6.433,6.433,6.258,6.315,14789650
2009-06-19 04:00:00,6.431,12.89,6.293,12.85,13023114
2009-06-22 04:00:00,12.675,12.755,12.415,12.44,6878866
2009-06-23 04:00:00,12.515,12.56,12.22,12.43,7933952
2009-06-24 04:00:00,12.495,12.905,12.455,12.805,8208174
2009-06-25 04:00:00,12.695,13.085,6.409,6.475,13792890
2009-06-26 04:00:00,6.401,13.44,6.377,13.315,7364528
2009-06-29 04:00:00,13.725,13.725,6.677,6.704,14352678
2009-06-30 04:00:00,6.707,6.722,6.492,6.581,18121556
2009-07-01 04:00:00,6.798,13.77,6.663,13.59,9056432
2009-07-02 04:00:00,13.5,13.535,6.547,13.3,9235896
2009-07-06 04:00:00,13.14,13.22,13.005,13.205,8375242
2009-07-07 04:00:00,13.215,13.25,6.362,12.885,11707288
2009-07-08 04:00:00,13.015,13.22,12.555,12.775,10483500
2009-07-09 04:00:00,12.8,12.85,6.253,6.278,11147836
2009-07-10 04:00:00,6.339,13.26,6.295,6.51,19872554
2009-07-13 04:00:00,6.539,6.658,6.382,6.65,16166384
2009-07-14 04:00:00,6.741,13.67,6.619,13.59,10547808
2009-07-15 04:00:00,13.775,14.08,6.86,6.889,15464492
2009-07-16 04:00:00,6.887,14.225,6.803,14.18,11919210
2009-07-17 04:00:00,14.26,14.755,7.128,7.153,16651406
2009-07-20 04:00:00,7.296,7.395,7.2,7.289,25811708
2009-07-21 04:00:00,7.284,14.62,7.072,14.605,22582468
2009-07-22 04:00:00,14.59,14.715,14.375,14.63,7420826
2009-07-23 04:00:00,14.645,14.74,7.217,7.417,15712160
2009-07-24 04:00:00,7.38,15.261,7.323,15.19,7999894
2009-07-27 04:00:00,15.21,15.41,15.105,15.365,6420148
2009-07-28 04:00:00,15.2,15.365,7.429,7.456,12148120
2009-07-29 04:00:00,7.461,15.075,7.331,15.06,11151528
2009-07-30 04:00:00,15.22,15.285,7.441,15.105,7572290
2009-07-31 04:00:00,15.12,15.22,7.269,7.294,11365802
2009-08-03 04:00:00,7.38,15.363,7.337,15.225,22268332
2009-08-04 04:00:00,8.153,16.885,8.072,16.795,54733998
2009-08-05 04:00:00,16.925,17.4,8.316,17.295,26726730
2009-08-06 04:00:00,17.295,17.36,16.78,17.035,10942690
2009-08-07 04:00:00,17.08,17.275,16.993,17.06,9817194
2009-08-10 04:00:00,17.235,17.345,8.299,8.383,11320792
2009-08-11 04:00:00,8.324,8.41,8.279,8.326,12979166
2009-08-12 04:00:00,8.302,17.5,8.294,17.405,12010530
2009-08-13 04:00:00,17.405,17.475,8.437,8.526,9450720
