Date,Open,High,Low,Close,Volume
2009-05-18 04:00:00,47.75,66.17,47.14,66.09,15307828
2009-05-19 04:00:00,65.98,66.22,47.17,47.23,15093566
2009-05-20 04:00:00,47.65,66.0,47.32,65.17,18444303
2009-05-21 04:00:00,64.53,64.9,45.89,46.24,13767320
2009-05-22 04:00:00,46.43,65.11,46.31,64.45,10425860
2009-05-26 04:00:00,63.81,65.66,45.74,65.61,13733401
2009-05-27 04:00:00,65.73,66.24,64.39,64.55,10506006
2009-05-28 04:00:00,65.04,66.35,64.26,65.84,11241219
2009-05-29 04:00:00,66.75,66.94,47.23,47.81,11393374
2009-06-01 04:00:00,48.58,69.67,48.36,69.22,15207402
2009-06-02 04:00:00,69.1,69.74,49.64,49.74,10238109
2009-06-03 04:00:00,49.18,68.34,48.19,68.32,16629014
2009-06-04 04:00:00,68.92,69.85,68.48,69.7,10079694
2009-06-05 04:00:00,70.15,70.59,68.88,69.43,10257987
2009-06-08 04:00:00,69.0,69.98,68.63,69.56,8963504
2009-06-09 04:00:00,70.15,70.59,50.31,50.34,10000449
2009-06-10 04:00:00,50.9,70.92,50.69,70.24,16130492
2009-06-11 04:00:00,50.49,72.5,50.37,71.85,16045951
2009-06-12 04:00:00,71.19,72.75,50.9,72.72,15639584
2009-06-15 04:00:00,71.96,71.96,50.45,50.98,14944821
2009-06-16 04:00:00,51.4,70.82,50.59,69.91,11882203
2009-06-17 04:00:00,69.44,69.88,68.46,68.91,14284343
2009-06-18 04:00:00,68.55,69.27,68.0,68.29,9535850
2009-06-19 04:00:00,68.82,68.92,67.37,67.95,13914001
2009-06-22 04:00:00,67.08,67.3,47.07,47.16,17152771
2009-06-23 04:00:00,66.15,66.75,65.59,65.88,11260551
2009-06-24 04:00:00,66.34,66.67,47.38,65.77,11797229
2009-06-25 04:00:00,65.5,67.3,65.22,66.87,11179931
2009-06-26 04:00:00,66.61,66.61,65.78,65.82,7536732
2009-06-29 04:00:00,66.4,67.09,66.08,66.96,8935106
2009-06-30 04:00:00,66.94,67.48,65.52,66.31,10209849
2009-07-01 04:00:00,66.93,67.87,47.63,47.71,10999304
2009-07-02 04:00:00,65.61,65.78,46.14,46.2,10963583
2009-07-06 04:00:00,63.69,64.28,62.57,64.2,9899592
2009-07-07 04:00:00,63.75,64.09,44.94,44.97,11742439
2009-07-08 04:00:00,44.86,63.05,44.38,62.8,12718595
2009-07-09 04:00:00,63.62,63.65,45.07,45.24,9369671
2009-07-10 04:00:00,44.3,44.32,43.66,44.03,22462644
2009-07-13 04:00:00,61.46,61.96,44.39,44.78,17201966
2009-07-14 04:00:00,45.17,45.43,44.73,45.18,16982545
2009-07-15 04:00:00,45.85,64.73,45.85,64.57,13417735
2009-07-16 04:00:00,64.26,65.09,64.01,64.86,9459802
2009-07-17 04:00:00,64.73,65.18,46.38,46.7,12876985
2009-07-20 04:00:00,47.1,65.9,46.79,47.07,9926948
2009-07-21 04:00:00,47.5,66.35,47.17,66.28,9957165
2009-07-22 04:00:00,65.6,66.75,47.15,47.29,11103869
2009-07-23 04:00:00,65.97,68.09,65.92,67.88,9597390
2009-07-24 04:00:00,67.66,68.6,67.44,68.45,7680967
2009-07-27 04:00:00,68.63,68.99,48.97,68.86,8534653
2009-07-28 04:00:00,68.21,68.53,48.59,49.01,9467386
2009-07-29 04:00:00,67.49,67.82,66.46,67.12,9840683
2009-07-30 04:00:00,67.88,68.5,67.01,67.64,10603201
2009-07-31 04:00:00,67.15,68.95,49.4,49.82,16434173
2009-08-03 04:00:00,50.43,70.5,50.11,50.49,14369559
2009-08-04 04:00:00,50.18,70.45,49.94,70.41,10412517
2009-08-05 04:00:00,70.42,70.49,69.4,69.82,8462422
2009-08-06 04:00:00,69.86,69.88,49.3,69.21,9086811
2009-08-07 04:00:00,69.81,70.15,49.84,49.84,10287239
2009-08-10 04:00:00,49.69,69.791,49.38,69.22,7633444
2009-08-11 04:00:00,68.83,69.1,67.68,67.97,8139211
2009-08-12 04:00:00,68.11,69.12,49.18,49.28,10106716
2009-08-13 04:00:00,49.53,49.53,48.82,49.15,10622843
2009-08-14 04:00:00,49.17,68.65,48.48,68.64,8443313
2009-08-17 04:00:00,66.66,67.07,66.35,66.58,9722920
2009-08-18 04:00:00,66.56,67.09,66.5,66.89,7129242
2009-08-19 04:00:00,66.25,68.5,66.06,68.14,10372603
2009-08-20 04:00:00,68.37,68.78,68.01,68.6,6566054
2009-08-21 04:00:00,69.36,69.95,69.06,69.63,11444149
2009-08-24 04:00:00,70.1,70.94,51.02,51.25,10466664
2009-08-25 04:00:00,51.53,71.5,50.99,51.17,11510573
2009-08-26 04:00:00,50.77,71.2,50.51,71.13,7637739
2009-08-27 04:00:00,70.71,70.88,50.78,51.43,8341818
2009-08-28 04:00:00,71.25,71.4,70.41,70.7,6423177
2009-08-31 04:00:00,70.22,70.38,50.3,50.66,7417722
2009-09-01 04:00:00,50.52,69.03,49.5,49.6,12126915
2009-09-02 04:00:00,49.55,68.89,49.47,68.03,8862206
2009-09-03 04:00:00,68.42,68.65,49.29,49.49,7388642
2009-09-04 04:00:00,49.5,69.09,49.37,49.95,6667539
2009-09-08 04:00:00,50.44,51.13,50.42,51.05,11444312
2009-09-09 04:00:00,51.23,70.61,50.93,70.29,9033659
2009-09-10 04:00:00,70.89,71.74,70.3799,71.45,8810149
2009-09-11 04:00:00,71.79,71.96,51.17,51.25,9676014
2009-09-14 04:00:00,50.63,51.52,50.57,51.46,8690355
2009-09-15 04:00:00,51.71,71.7,51.01,71.57,11661492
2009-09-16 04:00:00,71.86,72.6,71.54,72.47,9335597
2009-09-17 04:00:00,72.18,72.75,71.81,72.01,7395627
2009-09-18 04:00:00,72.82,73.37,72.5,72.66,13500741
2009-09-21 04:00:00,71.68,72.23,51.97,52.19,10037697
2009-09-22 04:00:00,52.68,72.91,52.27,72.62,8453930
2009-09-23 04:00:00,72.5,72.88,71.25,71.29,8618467
2009-09-24 04:00:00,71.45,71.6,50.89,51.22,9470376
2009-09-25 04:00:00,51.05,71.16,50.95,70.76,7312783
2009-09-28 04:00:00,70.79,71.97,51.81,51.94,6561027
2009-09-29 04:00:00,51.77,71.32,51.26,70.94,8922841
2009-09-30 04:00:00,71.12,71.14,69.77,70.35,11828015
2009-10-01 04:00:00,70.4,70.4,68.7,68.75,8332971
2009-10-02 04:00:00,49.45,68.72,49.34,68.08,10376583
2009-10-05 04:00:00,68.27,69.56,50.2,50.26,9860575
2009-10-06 04:00:00,50.81,70.8,50.36,70.56,9184176
2009-10-07 04:00:00,70.31,70.69,69.49,70.5,6321726
2009-10-08 04:00:00,70.89,71.26,51.23,51.75,11965343
2009-10-09 04:00:00,52.08,72.84,51.73,72.8,8927067
2009-10-12 04:00:00,73.36,74.1,53.09,53.36,6983473
2009-10-13 04:00:00,53.41,74.32,53.04,74.07,8751840
2009-10-14 04:00:00,74.88,75.74,54.04,75.47,9543653
2009-10-15 04:00:00,75.19,76.86,75.02,76.68,9184335
2009-10-16 04:00:00,76.37,76.7,55.37,55.64,10134453
2009-10-19 04:00:00,76.94,78.05,76.54,77.62,7496535
2009-10-20 04:00:00,77.65,77.71,76.32,77.01,7282307
2009-10-21 04:00:00,76.68,78.08,55.65,55.75,10180256
2009-10-22 04:00:00,55.49,77.73,55.05,77.29,14603522
2009-10-23 04:00:00,77.14,77.38,76.2,76.69,7794066
2009-10-26 04:00:00,76.96,78.44,75.3418,75.46,10468403
2009-10-27 04:00:00,75.82,77.25,55.08,55.48,10200198
2009-10-28 04:00:00,55.35,77.04,54.8,54.97,13089649
2009-10-29 04:00:00,55.14,78.22,54.88,77.86,14016269
2009-10-30 04:00:00,78.25,78.5,75.57,76.38,17472066
2009-11-02 05:00:00,76.86,77.6,75.73,76.56,9438474
2009-11-03 05:00:00,75.81,77.33,55.35,55.56,9368141
2009-11-04 05:00:00,55.84,77.5,55.42,76.29,10186757
2009-11-05 05:00:00,76.62,77.75,76.55,77.3,8002459
2009-11-06 05:00:00,55.47,77.58,55.19,77.52,8436749
2009-11-09 05:00:00,78.29,78.38,56.12,56.25,12994454
2009-11-10 05:00:00,56.09,78.44,56.04,78.32,10327944
2009-11-11 05:00:00,78.78,79.14,56.49,56.87,8718618
2009-11-12 05:00:00,56.67,78.57,55.8,56.08,9406154
2009-11-13 05:00:00,55.99,56.87,55.96,56.46,10196020
2009-11-16 05:00:00,57.1,78.65,57.0,78.59,10663459
2009-11-17 05:00:00,78.45,78.97,57.35,57.59,7357171
2009-11-18 05:00:00,57.56,78.65,57.28,57.67,8107649
2009-11-19 05:00:00,57.41,77.46,56.26,77.29,10417198
2009-11-20 05:00:00,76.86,77.23,55.78,56.1,9907432
2009-11-23 05:00:00,78.31,79.24,78.15,78.74,8134293
2009-11-24 05:00:00,78.73,79.23,57.55,57.75,6944650
2009-11-25 05:00:00,57.82,58.34,57.49,58.19,8422617
2009-11-27 05:00:00,56.75,57.56,56.48,57.12,6965453
2009-11-30 05:00:00,56.86,78.34,56.65,78.05,8209087
2009-12-01 05:00:00,79.1,79.415,78.8323,79.06,6505674
2009-12-02 05:00:00,78.97,79.01,57.14,78.72,6933200
2009-12-03 05:00:00,78.605,78.82,77.73,77.92,7038325
2009-12-04 05:00:00,78.74,79.25,77.52,78.06,8687084
2009-12-07 05:00:00,77.92,78.92,77.7,78.17,7126077
2009-12-08 05:00:00,77.82,77.98,76.45,76.81,8490588
2009-12-09 05:00:00,76.88,77.31,55.67,56.31,7434696
2009-12-10 05:00:00,56.74,77.9225,56.48,77.43,12833178
2009-12-11 05:00:00,77.67,78.17,56.58,56.82,7286221
2009-12-14 05:00:00,57.3,77.71,56.68,77.26,9612508
2009-12-15 05:00:00,77.02,77.97,77.01,77.43,7815157
2009-12-16 05:00:00,77.9,78.69,77.55,77.95,9080692
2009-12-17 05:00:00,77.54,77.55,76.71,76.71,8382147
2009-12-18 05:00:00,77.42,77.67,55.91,56.19,12238268
2009-12-21 05:00:00,56.72,77.84,56.48,77.48,6695800
2009-12-22 05:00:00,77.83,78.04,77.29,77.44,6302936
2009-12-23 05:00:00,77.87,77.93,77.02,77.07,6841497
2009-12-24 05:00:00,77.02,77.5,77.02,77.45,2402379
2009-12-28 05:00:00,77.79,77.9,77.31,77.84,3740794
2009-12-29 05:00:00,77.81,77.94,77.19,77.21,4224689
2009-12-30 05:00:00,77.1,77.67,56.52,56.74,4410207
2009-12-31 05:00:00,56.81,77.5,56.23,56.26,3880138
2010-01-04 05:00:00,57.24,79.2,57.11,79.07,10744581
2010-01-05 05:00:00,79.22,79.39,57.77,58.18,9950069
2010-01-06 05:00:00,58.05,79.88,57.87,79.63,12987067
2010-01-07 05:00:00,79.36,79.7,78.97,79.33,7913548
2010-01-08 05:00:00,57.83,79.45,57.66,79.45,6327465
2010-01-11 05:00:00,80.2,81.09,80.06,80.91,10915292
2010-01-12 05:00:00,79.52,80.45,58.16,80.35,13907958
2010-01-13 05:00:00,80.27,80.41,79.09,79.81,8906857
2010-01-14 05:00:00,79.63,79.8,57.99,58.13,7475132
2010-01-15 05:00:00,79.54,79.69,78.28,79.1,11479803
2010-01-19 05:00:00,78.96,79.75,57.41,79.68,9012685
2010-01-20 05:00:00,78.71,78.93,77.65,78.18,8003290
2010-01-21 05:00:00,78.15,78.18,55.62,55.71,13966574
2010-01-22 05:00:00,55.54,76.59,55.3,74.55,13041947
2010-01-25 05:00:00,75.15,75.27,74.09,74.54,8585482
2010-01-26 05:00:00,74.13,74.88,73.7,74.08,9656430
2010-01-27 05:00:00,73.94,74.36,73.13,73.76,11704485
2010-01-28 05:00:00,73.97,74.18,72.32,73.25,12280657
2010-01-29 05:00:00,73.53,73.97,52.77,72.06,16049631
2010-02-01 05:00:00,72.58,73.07,53.31,53.77,13156474
2010-02-02 05:00:00,73.7,74.58,73.0,74.48,10958313
2010-02-03 05:00:00,74.18,74.36,53.42,73.16,13686973
2010-02-04 05:00:00,72.56,72.83,71.06,71.2,13038291
2010-02-05 05:00:00,71.0,71.24,69.55,71.22,15656189
2010-02-08 05:00:00,71.24,71.32,51.55,70.16,12343790
2010-02-09 05:00:00,70.89,71.5,51.74,52.11,15326644
2010-02-10 05:00:00,51.92,52.08,51.18,51.7,15225999
2010-02-11 05:00:00,51.67,72.09,51.37,71.74,13017315
2010-02-12 05:00:00,70.535,71.3,70.17,71.27,11172631
2010-02-16 05:00:00,71.99,73.32,71.93,73.0,12503153
2010-02-17 05:00:00,73.22,73.43,53.5,72.85,9672510
2010-02-18 05:00:00,72.69,73.72,72.34,73.58,9406357
2010-02-19 05:00:00,73.44,74.38,54.43,54.63,13462339
2010-02-22 05:00:00,54.73,54.77,53.71,53.82,10787027
2010-02-23 05:00:00,53.56,53.8,52.95,53.14,15242252
2010-02-24 05:00:00,53.19,53.43,52.81,53.37,11359696
2010-02-25 05:00:00,52.47,72.19,52.3,72.18,12216482
2010-02-26 05:00:00,72.19,72.69,71.82,72.22,6451710
2010-03-01 05:00:00,72.63,73.18,53.62,53.71,7880696
2010-03-02 05:00:00,54.1,73.68,53.9,73.27,11164532
2010-03-03 05:00:00,73.63,73.85,53.96,73.1,9187331
2010-03-04 05:00:00,73.07,73.5,72.71,73.08,8182524
2010-03-05 05:00:00,73.54,74.47,54.54,74.35,9316818
2010-03-08 05:00:00,74.49,74.88,74.15,74.65,6206870
2010-03-09 05:00:00,54.83,74.91,54.8,74.27,9223008
2010-03-10 05:00:00,74.14,74.33,54.24,54.56,15646087
2010-03-11 05:00:00,54.66,54.67,54.27,54.58,8828826
2010-03-12 05:00:00,54.69,73.9,54.3,54.38,8714791
2010-03-15 04:00:00,54.3,54.33,53.76,54.27,10988843
2010-03-16 04:00:00,54.5,74.12,54.14,74.0,8097781
2010-03-17 04:00:00,74.18,75.06,74.16,74.68,9713540
2010-03-18 04:00:00,74.89,75.07,54.9,55.15,10560093
2010-03-19 04:00:00,55.58,74.7,54.75,74.65,16721007
2010-03-22 04:00:00,74.17,74.64,54.69,54.93,10307791
2010-03-23 04:00:00,54.93,74.79,54.63,74.74,7297855
2010-03-24 04:00:00,74.22,74.5,73.78,73.95,8365460
2010-03-25 04:00:00,74.4,74.57,54.57,73.8,11259642
2010-03-26 04:00:00,74.0,74.88,73.82,74.43,9627996
2010-03-29 04:00:00,74.61,75.44,74.49,75.23,7841734
2010-03-30 04:00:00,75.29,75.5,55.49,55.55,6556126
2010-03-31 04:00:00,55.66,75.9,55.37,75.85,10891485
2010-04-01 04:00:00,76.4,77.13,76.34,76.7,7189303
2010-04-05 04:00:00,76.99,77.75,76.73,77.68,7616854
2010-04-06 04:00:00,77.57,78.0,77.2,77.87,5986008
2010-04-07 04:00:00,77.67,77.78,56.76,57.08,9985693
2010-04-08 04:00:00,56.76,77.95,56.53,77.66,8067254
2010-04-09 04:00:00,78.1,79.56,58.59,58.65,10005004
2010-04-12 04:00:00,58.62,80.8,58.55,80.43,11045326
2010-04-13 04:00:00,80.51,80.57,59.01,59.17,7996662
2010-04-14 04:00:00,59.39,80.61,59.07,80.54,8310633
2010-04-15 04:00:00,80.69,81.62,60.09,60.19,8816077
2010-04-16 04:00:00,60.06,81.16,59.41,80.75,13850086
2010-04-19 04:00:00,59.19,60.11,59.04,59.99,11335923
2010-04-20 04:00:00,60.34,82.36,60.22,82.08,11647738
2010-04-21 04:00:00,82.28,82.67,81.24,81.89,8831854
2010-04-22 04:00:00,81.11,81.45,59.85,59.9,10046460
2010-04-23 04:00:00,59.79,82.77,59.72,82.66,9813502
2010-04-26 04:00:00,82.4,83.14,82.34,82.63,8732144
2010-04-27 04:00:00,82.1,82.51,80.07,80.26,12169172
2010-04-28 04:00:00,80.62,80.68,58.85,59.47,14038456
2010-04-29 04:00:00,59.88,82.99,59.88,60.71,12200075
2010-04-30 04:00:00,60.72,82.79,60.37,81.5,13041822
2010-05-03 04:00:00,60.4,83.41,59.96,82.88,12137221
2010-05-04 04:00:00,82.01,82.24,79.63,80.89,14044831
2010-05-05 04:00:00,79.69,80.73,79.45,80.21,11985777
2010-05-06 04:00:00,79.42,80.21,71.5,77.33,18496294
2010-05-07 04:00:00,77.22,78.61,76.41,77.16,20273585
2010-05-10 04:00:00,79.72,80.56,57.88,58.94,14763425
2010-05-11 04:00:00,58.66,80.57,58.55,79.82,13185304
2010-05-12 04:00:00,79.77,80.46,79.36,80.04,8522760
2010-05-13 04:00:00,79.8,80.06,78.75,78.92,10004494
2010-05-14 04:00:00,78.42,78.49,76.98,77.96,12223523
2010-05-17 04:00:00,77.39,77.95,75.95,77.87,13301251
2010-05-18 04:00:00,78.32,78.67,76.39,76.88,14159611
2010-05-19 04:00:00,76.36,77.0,75.54,76.58,10190780
2010-05-20 04:00:00,75.05,75.4,54.84,73.65,19087704
2010-05-21 04:00:00,72.11,73.95,54.13,55.46,17948743
2010-05-24 04:00:00,55.29,74.38,54.68,73.41,10884499
2010-05-25 04:00:00,71.85,72.69,70.8,72.53,20764959
2010-05-26 04:00:00,73.19,73.5,71.44,71.58,15541682
2010-05-27 04:00:00,54.48,74.36,53.86,74.3234,16194549
2010-05-28 04:00:00,73.99,74.35,54.44,73.8,14998679
2010-06-01 04:00:00,73.43,74.52,53.79,53.83,14336639
2010-06-02 04:00:00,54.15,74.1,53.75,74.06,14357379
2010-06-03 04:00:00,55.59,55.66,54.46,55.03,17811137
2010-06-04 04:00:00,72.16,72.71,70.8,71.4,16327476
2010-06-07 04:00:00,71.66,72.49,71.19,71.29,10782793
2010-06-08 04:00:00,71.7,71.73,69.82,71.03,15725045
2010-06-09 04:00:00,71.18,72.39,52.55,52.71,15425376
2010-06-10 04:00:00,54.34,74.15,54.19,74.08,11985293
2010-06-11 04:00:00,73.48,73.74,54.65,55.14,8224552
2010-06-14 04:00:00,55.22,56.2,55.17,55.23,14978760
2010-06-15 04:00:00,55.57,75.26,55.26,75.19,11407429
2010-06-16 04:00:00,74.62,75.39,74.45,75.0,9046795
2010-06-17 04:00:00,75.02,75.49,74.2,75.34,9781272
2010-06-18 04:00:00,75.74,75.75,74.9,75.52,12007356
2010-06-21 04:00:00,76.81,77.25,56.02,56.38,11264810
2010-06-22 04:00:00,56.1,74.4,55.03,74.09,11996643
