Date,Open,High,Low,Close,Volume
2009-05-14 04:00:00,31.36,31.44,30.68,31.01,2434656
2009-05-15 04:00:00,30.91,31.02,30.25,30.54,3061367
2009-05-18 04:00:00,30.82,30.82,30.12,30.53,2413898
2009-05-19 04:00:00,30.56,31.59,30.56,31.43,3382517
2009-05-20 04:00:00,31.68,31.716,31.08,31.12,3033707
2009-05-21 04:00:00,30.9,30.92,30.44,30.74,3039118
2009-05-22 04:00:00,30.72,31.19,30.55,30.82,1914438
2009-05-26 04:00:00,30.94,31.7278,30.5,31.54,3543002
2009-05-27 04:00:00,31.33,31.4,30.31,30.35,3512627
2009-05-28 04:00:00,30.5,31.3,30.41,31.14,2934672
2009-05-29 04:00:00,31.36,31.84,30.98,31.8,3903813
2009-06-01 04:00:00,31.95,33.035,31.72,32.89,4067944
2009-06-02 04:00:00,32.89,32.94,32.29,32.6,2557502
2009-06-03 04:00:00,32.35,32.59,31.62,31.94,2429403
2009-06-04 04:00:00,32.08,32.19,31.82,32.08,2123133
2009-06-05 04:00:00,32.2,32.55,31.67,32.03,2902551
2009-06-08 04:00:00,32.03,32.1,31.3,31.77,2724842
2009-06-09 04:00:00,31.83,32.19,31.52,31.85,3303041
2009-06-10 04:00:00,32.03,32.43,31.9,32.25,2822045
2009-06-11 04:00:00,32.23,33.42,32.22,32.95,3783358
2009-06-12 04:00:00,32.88,33.52,32.44,33.4,3407449
2009-06-15 04:00:00,33.1,33.32,32.24,32.65,2754300
2009-06-16 04:00:00,32.81,32.87,32.35,32.5,2551209
2009-06-17 04:00:00,32.49,32.8855,32.18,32.42,2808576
2009-06-18 04:00:00,32.5,33.39,32.26,33.34,2786847
2009-06-19 04:00:00,33.48,33.59,32.6,32.73,4427597
2009-06-22 04:00:00,32.63,33.23,32.54,33.01,2921362
2009-06-23 04:00:00,33.09,33.27,32.43,32.53,2415796
2009-06-24 04:00:00,32.65,33.08,32.6,32.77,2277880
2009-06-25 04:00:00,32.73,33.52,32.3,33.32,2558113
2009-06-26 04:00:00,33.32,33.53,33.05,33.35,1867418
2009-06-29 04:00:00,33.5,33.93,33.25,33.87,1733080
2009-06-30 04:00:00,33.81,33.81,32.96,33.42,2342962
2009-07-01 04:00:00,33.65,34.32,33.51,34.2,3282211
2009-07-02 04:00:00,33.79,33.92,33.15,33.25,3142517
2009-07-06 04:00:00,33.12,33.69,33.0,33.45,2439501
2009-07-07 04:00:00,33.5,33.66,32.63,32.69,2197472
2009-07-08 04:00:00,32.76,33.01,32.23,32.6,3081622
2009-07-09 04:00:00,32.76,33.1,32.276,32.78,3349399
2009-07-10 04:00:00,32.69,32.7,32.1,32.41,2514389
2009-07-13 04:00:00,32.59,33.04,32.2,32.98,2371880
2009-07-14 04:00:00,33.12,33.14,32.6,33.13,2263488
2009-07-15 04:00:00,33.4,33.56,32.93,33.13,3962006
2009-07-16 04:00:00,33.13,33.38,32.52,33.14,3244991
2009-07-17 04:00:00,33.09,33.34,32.62,32.87,3018518
2009-07-20 04:00:00,33.11,33.12,32.57,32.86,2498786
2009-07-21 04:00:00,33.17,33.17,32.71,33.03,3179945
2009-07-22 04:00:00,32.66,33.34,32.66,33.08,2214070
2009-07-23 04:00:00,33.09,34.19,33.07,33.88,3502662
2009-07-24 04:00:00,33.8,34.7,33.75,34.64,2683742
2009-07-27 04:00:00,34.6,34.84,34.47,34.8175,2486215
2009-07-28 04:00:00,34.67,34.8,34.0,34.17,2024488
2009-07-29 04:00:00,34.0,34.4,33.55,34.16,2120562
2009-07-30 04:00:00,34.34,34.73,34.23,34.5,2624397
2009-07-31 04:00:00,34.76,34.8,33.78,33.83,2838829
2009-08-03 04:00:00,34.16,34.16,33.58,33.9,3355382
2009-08-04 04:00:00,33.82,34.1,33.62,33.76,2237870
2009-08-05 04:00:00,33.85,34.73,33.46,33.67,2210691
2009-08-06 04:00:00,33.75,33.93,33.53,33.79,2459142
2009-08-07 04:00:00,34.08,34.2,33.43,33.63,3311920
2009-08-10 04:00:00,33.55,33.66,33.11,33.64,2346809
2009-08-11 04:00:00,33.55,33.65,33.22,33.47,2310893
2009-08-12 04:00:00,33.34,33.96,33.33,33.7,2595206
2009-08-13 04:00:00,33.75,33.75,33.34,33.61,1927510
2009-08-14 04:00:00,33.63,33.76,33.22,33.55,1925277
2009-08-17 04:00:00,33.04,33.43,33.04,33.12,2207868
2009-08-18 04:00:00,33.13,33.31,32.92,33.17,2026921
2009-08-19 04:00:00,33.12,33.5,33.0,33.41,2043996
2009-08-20 04:00:00,33.48,33.69,33.2,33.64,1802500
2009-08-21 04:00:00,34.0,34.25,33.65,34.21,2964905
2009-08-24 04:00:00,34.33,34.45,34.1,34.45,2210757
2009-08-25 04:00:00,34.49,34.65,34.27,34.31,2320541
2009-08-26 04:00:00,33.96,33.96,33.33,33.47,3139414
2009-08-27 04:00:00,33.55,33.58,33.23,33.44,2461540
2009-08-28 04:00:00,33.68,33.68,33.04,33.24,2186093
2009-08-31 04:00:00,33.09,33.25,32.89,33.09,2410320
2009-09-01 04:00:00,33.01,33.28,32.84,32.97,3079496
2009-09-02 04:00:00,32.95,33.0,32.56,32.77,2281161
2009-09-03 04:00:00,32.93,33.03,32.57,32.77,2494638
2009-09-04 04:00:00,32.76,33.02,32.56,32.95,2523611
2009-09-08 04:00:00,33.14,33.14,32.774,33.03,2229042
2009-09-09 04:00:00,33.0,33.22,32.9,33.06,2284583
