Date,Open,High,Low,Close,Volume
2009-05-18 04:00:00,20.89,24.26,20.83,24.24,8398184
2009-05-19 04:00:00,24.25,24.4,23.75,23.8,10751159
2009-05-20 04:00:00,24.0,24.28,20.76,20.85,10621253
2009-05-21 04:00:00,20.43,23.3,20.32,23.23,12665969
2009-05-22 04:00:00,23.25,24.0,23.05,23.7,10427845
2009-05-26 04:00:00,23.47,24.61,23.38,24.58,15497479
2009-05-27 04:00:00,24.44,24.72,23.77,23.85,14187166
2009-05-28 04:00:00,24.11,24.4,20.82,21.24,12789483
2009-05-29 04:00:00,24.14,24.25,23.5,24.24,9523370
2009-06-01 04:00:00,24.83,25.26,24.75,25.02,10743558
2009-06-02 04:00:00,25.09,25.46,24.88,25.16,9318184
2009-06-03 04:00:00,24.86,25.16,24.75,25.11,9881070
2009-06-04 04:00:00,25.01,25.22,22.13,22.26,10999136
2009-06-05 04:00:00,22.57,25.205,22.05,24.94,10969714
2009-06-08 04:00:00,24.94,25.55,24.63,25.34,9952072
2009-06-09 04:00:00,25.18,25.49,25.08,25.37,8139717
2009-06-10 04:00:00,25.47,25.52,21.99,22.22,11629560
2009-06-11 04:00:00,22.29,22.73,22.25,22.34,9862225
2009-06-12 04:00:00,22.14,25.06,21.69,22.19,7196258
2009-06-15 04:00:00,21.96,24.27,21.33,24.23,7247172
2009-06-16 04:00:00,24.31,24.43,20.74,20.8,12815664
2009-06-17 04:00:00,20.73,23.95,20.67,23.7,8652180
2009-06-18 04:00:00,23.76,23.97,20.92,21.0,9251200
2009-06-19 04:00:00,21.17,23.88,20.81,20.83,14036712
2009-06-22 04:00:00,20.53,20.66,20.04,20.06,12630480
2009-06-23 04:00:00,20.12,23.02,19.97,22.88,8776859
2009-06-24 04:00:00,23.08,23.48,22.78,22.9,9374935
2009-06-25 04:00:00,22.86,23.73,22.78,23.55,10868893
2009-06-26 04:00:00,23.42,23.56,20.51,23.41,7900527
2009-06-29 04:00:00,23.5,23.84,23.31,23.65,7225205
2009-06-30 04:00:00,23.7,23.75,23.04,23.32,9113245
2009-07-01 04:00:00,23.5,23.93,20.79,23.44,7578841
2009-07-02 04:00:00,23.15,23.18,22.57,22.86,14311857
2009-07-06 04:00:00,22.68,23.12,20.08,23.1,14165711
2009-07-07 04:00:00,23.11,23.22,22.5,22.53,14498954
2009-07-08 04:00:00,22.68,22.8433,19.541,19.691,14485279
2009-07-09 04:00:00,19.833,22.64,19.664,19.948,10075602
2009-07-10 04:00:00,19.753,22.45,19.62,22.39,11288559
2009-07-13 04:00:00,19.913,20.17,19.541,20.1,8300491
2009-07-14 04:00:00,20.09,23.21,20.04,23.14,9319784
2009-07-15 04:00:00,23.37,24.13,23.37,24.09,10891028
2009-07-16 04:00:00,24.5,24.99,24.36,24.8,14340190
2009-07-17 04:00:00,24.81,24.83,24.43,24.5,9730079
2009-07-20 04:00:00,25.06,25.06,22.09,22.46,13574117
2009-07-21 04:00:00,22.46,25.53,22.1,22.31,13238841
2009-07-22 04:00:00,22.41,25.41,22.11,25.4,8862668
2009-07-23 04:00:00,25.45,26.84,25.31,26.8,15490015
2009-07-24 04:00:00,26.63,26.82,26.17,26.6,8430260
2009-07-27 04:00:00,26.55,26.68,23.33,26.45,9661594
2009-07-28 04:00:00,26.57,26.59,26.09,26.35,10235376
2009-07-29 04:00:00,26.29,26.64,22.88,25.91,11570924
2009-07-30 04:00:00,26.38,26.51,23.2,23.22,17448086
2009-07-31 04:00:00,25.39,25.64,25.04,25.12,22794076
2009-08-03 04:00:00,25.52,25.6,22.52,22.6,18275249
2009-08-04 04:00:00,25.35,25.55,22.4,22.7,10173936
2009-08-05 04:00:00,22.67,22.73,22.1,22.37,12702570
2009-08-06 04:00:00,22.45,22.69,22.21,22.46,9598113
2009-08-07 04:00:00,22.7,26.83,22.66,26.7,13726211
2009-08-10 04:00:00,26.5,26.54,26.14,26.42,7538069
2009-08-11 04:00:00,26.33,26.41,25.77,25.91,7729678
2009-08-12 04:00:00,25.91,26.39,23.12,23.22,8938344
2009-08-13 04:00:00,23.28,23.34,22.77,23.25,11683108
2009-08-14 04:00:00,23.23,26.09,22.99,25.85,8194018
2009-08-17 04:00:00,25.43,25.54,22.17,22.21,8506927
2009-08-18 04:00:00,22.33,25.25,22.13,25.21,9685743
2009-08-19 04:00:00,25.0,25.6,25.0,25.5,9669536
2009-08-20 04:00:00,25.53,25.99,25.47,25.89,9403453
2009-08-21 04:00:00,26.26,26.86,25.87,26.79,12718289
2009-08-24 04:00:00,26.99,27.0,23.69,26.82,9220276
2009-08-25 04:00:00,26.98,27.3,23.76,23.79,11397144
2009-08-26 04:00:00,23.65,27.2,23.52,27.028,11106413
