Date,Open,High,Low,Close,Volume
2009-05-14 04:00:00,34.2,35.24,33.6,34.9,2390750
2009-05-15 04:00:00,34.16,34.84,33.26,33.66,1711261
2009-05-18 04:00:00,34.42,37.01,33.97,36.69,3562156
2009-05-19 04:00:00,36.16,36.25,34.67,35.16,1992571
2009-05-20 04:00:00,35.87,36.26,35.08,35.36,1883937
2009-05-21 04:00:00,34.65,35.75,34.38,35.19,1678207
2009-05-22 04:00:00,35.23,35.6,34.31,34.52,972192
2009-05-26 04:00:00,34.55,36.5999,34.06,36.33,1627552
2009-05-27 04:00:00,35.68,36.14,34.03,34.35,1967637
2009-05-28 04:00:00,36.49,36.49,33.36,34.72,2093907
2009-05-29 04:00:00,34.79,36.08,34.27,35.98,1808211
2009-06-01 04:00:00,35.8,38.02,35.8,37.36,2305995
2009-06-02 04:00:00,37.45,37.53,36.73,36.93,1895733
2009-06-03 04:00:00,36.65,37.0,35.75,36.26,1506205
2009-06-04 04:00:00,36.83,38.0799,36.27,37.62,1939643
2009-06-05 04:00:00,38.0,38.0,36.64,36.82,1382533
2009-06-08 04:00:00,36.35,37.03,36.26,36.59,1377094
2009-06-09 04:00:00,36.59,37.21,36.07,37.04,924094
2009-06-10 04:00:00,37.32,37.42,36.0,36.67,1226109
2009-06-11 04:00:00,36.37,36.58,35.42,35.51,796247
2009-06-12 04:00:00,35.61,37.05,35.37,36.94,708461
2009-06-15 04:00:00,36.15,36.41,35.03,35.26,1457460
2009-06-16 04:00:00,35.61,35.97,34.18,34.79,848874
2009-06-17 04:00:00,34.45,34.67,33.26,33.44,1089567
2009-06-18 04:00:00,33.3,34.17,33.08,33.83,1162930
2009-06-19 04:00:00,33.9,34.73,33.88,34.66,1136692
2009-06-22 04:00:00,34.12,34.39,32.79,32.96,1039720
2009-06-23 04:00:00,33.36,33.71,32.83,33.2,865831
2009-06-24 04:00:00,33.9,33.95,32.79,33.76,1051367
2009-06-25 04:00:00,33.52,34.49,33.4,34.43,936842
2009-06-26 04:00:00,34.44,34.5,33.72,34.06,939850
2009-06-29 04:00:00,34.08,34.82,33.79,34.61,1395737
2009-06-30 04:00:00,34.98,36.25,34.87,35.89,1426098
2009-07-01 04:00:00,36.18,36.18,35.78,36.01,1182003
2009-07-02 04:00:00,35.61,35.96,35.28,35.43,1508261
2009-07-06 04:00:00,35.07,36.4,34.83,36.27,1599926
2009-07-07 04:00:00,36.25,36.25,35.03,35.18,1374851
2009-07-08 04:00:00,35.21,35.59,34.56,35.43,1296570
2009-07-09 04:00:00,35.74,35.83,34.77,34.89,930247
2009-07-10 04:00:00,34.5,34.97,34.27,34.69,701388
2009-07-13 04:00:00,34.74,36.22,34.35,36.06,1101390
2009-07-14 04:00:00,35.93,37.1025,35.49,36.96,1024065
2009-07-15 04:00:00,37.05,38.07,36.51,37.87,1542719
2009-07-16 04:00:00,37.42,38.42,37.23,38.05,1076135
2009-07-17 04:00:00,37.98,37.98,36.99,37.2,800925
2009-07-20 04:00:00,37.35,38.63,37.21,38.08,1060183
2009-07-21 04:00:00,38.19,38.35,37.25,38.19,1240403
2009-07-22 04:00:00,38.16,38.98,37.32,38.46,1011801
2009-07-23 04:00:00,38.31,39.73,38.01,39.3,845935
2009-07-24 04:00:00,38.95,40.0,38.73,39.9,853775
2009-07-27 04:00:00,39.94,39.94,38.6,39.09,1442533
2009-07-28 04:00:00,38.86,39.96,38.64,39.7,814959
2009-07-29 04:00:00,39.46,39.62,38.75,39.05,1053737
2009-07-30 04:00:00,39.55,40.93,39.41,39.8,1428245
2009-07-31 04:00:00,39.75,40.88,39.52,40.56,981656
2009-08-03 04:00:00,41.07,41.49,40.5,41.34,930569
2009-08-04 04:00:00,40.27,42.67,40.0,42.19,2092173
2009-08-05 04:00:00,42.37,44.23,42.14,44.14,2225227
2009-08-06 04:00:00,44.49,45.88,43.47,44.0,2278281
2009-08-07 04:00:00,44.04,46.96,44.01,45.88,1545331
2009-08-10 04:00:00,45.77,45.9,44.49,44.82,1523888
2009-08-11 04:00:00,44.52,44.9,43.64,44.38,1206592
2009-08-12 04:00:00,44.38,45.63,44.21,44.66,1033001
2009-08-13 04:00:00,45.03,45.6,44.36,44.9,1300273
2009-08-14 04:00:00,43.71,44.05,43.04,43.47,1801560
2009-08-17 04:00:00,42.14,42.89,42.09,42.33,1638231
2009-08-18 04:00:00,42.34,42.8,41.38,41.61,1758335
2009-08-19 04:00:00,41.0,41.13,40.4,40.79,1312359
2009-08-20 04:00:00,41.09,42.46,40.93,42.41,1035975
2009-08-21 04:00:00,43.1,44.49,42.64,43.67,860783
2009-08-24 04:00:00,44.13,44.38,43.19,43.23,802363
2009-08-25 04:00:00,43.75,43.76,42.4,43.02,1088994
2009-08-26 04:00:00,43.02,43.22,42.32,43.06,1029480
2009-08-27 04:00:00,43.2,43.755,42.34,43.64,816771
2009-08-28 04:00:00,44.08,44.22,43.18,44.08,917207
2009-08-31 04:00:00,43.58,44.1,43.22,43.52,1264845
2009-09-01 04:00:00,43.15,43.17,41.53,41.63,1942603
