Date,Open,High,Low,Close,Volume
2019-04-02 04:00:00,55.12,57.39,54.3,55.98,15560871
2019-04-03 04:00:00,57.08,57.2,55.51,56.88,13875367
2019-04-04 04:00:00,57.2,60.52,57.1,59.66,12902978
2019-04-05 04:00:00,58.39,58.98,56.27,57.24,16072251
2019-04-08 04:00:00,56.5,58.39,56.27,57.17,10339029
2019-04-09 04:00:00,56.8,57.2,56.08,56.29,8800232
2019-04-10 04:00:00,55.99,56.41,55.1,55.72,8646369
2019-04-11 04:00:00,55.7,56.21,54.83,54.89,6900354
2019-04-12 04:00:00,55.93,58.33,55.93,58.3,8561710
2019-04-15 04:00:00,58.57,58.85,57.29,57.78,5188821
2019-04-16 04:00:00,58.71,58.99,57.84,58.5,6152683
2019-04-17 04:00:00,58.95,59.05,58.2,58.33,5595921
2019-04-18 04:00:00,58.36,58.61,57.55,57.77,4435085
2019-04-22 04:00:00,57.48,58.41,57.26,57.89,4261683
2019-04-23 04:00:00,57.29,57.84,57.0,57.62,5359765
2019-04-24 04:00:00,57.49,57.89,55.865,56.02,5003396
2019-04-25 04:00:00,55.76,55.98,54.82,55.31,5880850
2019-04-26 04:00:00,55.3,55.6,54.95,55.26,3648340
2019-04-29 04:00:00,55.05,55.685,54.8,55.5,5611357
2019-04-30 04:00:00,55.76,57.205,55.6,56.73,5373340
2019-05-01 04:00:00,56.82,57.48,55.88,56.14,7129011
2019-05-02 04:00:00,55.54,56.16,52.03,52.66,13069310
2019-05-03 04:00:00,53.2,53.35,51.72,53.28,6735086
2019-05-06 04:00:00,52.15,54.03,51.7,53.16,4630855
2019-05-07 04:00:00,52.86,53.325,52.65,52.95,5458879
2019-05-08 04:00:00,53.33,53.395,52.31,52.47,4080743
2019-05-09 04:00:00,52.26,53.14,51.55,52.92,4261079
2019-05-10 04:00:00,52.94,53.7141,52.49,53.1,3476212
2019-05-13 04:00:00,52.28,52.55,50.76,50.95,3686761
2019-05-14 04:00:00,51.33,53.0,50.84,52.49,3385806
2019-05-15 04:00:00,51.98,53.325,51.67,52.95,2690395
2019-05-16 04:00:00,53.29,53.55,52.73,52.95,3077843
2019-05-17 04:00:00,52.34,52.52,50.66,50.76,3641448
2019-05-20 04:00:00,50.4,50.54,49.92,50.07,4550474
2019-05-21 04:00:00,50.28,51.19,50.02,50.63,3506916
2019-05-22 04:00:00,50.46,50.61,49.965,50.22,2596572
2019-05-23 04:00:00,49.5,49.86,48.21,48.7,4077351
2019-05-24 04:00:00,49.39,49.575,48.44,49.21,2657831
2019-05-28 04:00:00,49.37,49.43,48.1,48.55,3214594
2019-05-29 04:00:00,48.2,49.43,48.01,48.69,3040883
2019-05-30 04:00:00,48.12,48.59,48.02,48.47,2945983
2019-05-31 04:00:00,47.96,48.0,46.75,46.76,2819137
2019-06-04 04:00:00,48.68,49.84,48.64,49.82,5553306
2019-06-05 04:00:00,50.49,50.57,49.0496,50.325,4753037
2019-06-06 04:00:00,50.28,51.31,50.15,51.05,4899490
2019-06-07 04:00:00,51.13,51.69,50.87,51.29,4595336
2019-06-10 04:00:00,51.72,52.1,51.58,51.63,3981900
2019-06-11 04:00:00,52.0,52.17,51.56,52.05,4609481
2019-06-12 04:00:00,52.06,52.64,51.68,52.5099,2531419
2019-06-13 04:00:00,52.68,52.95,52.04,52.88,3358238
2019-06-14 04:00:00,52.63,52.69,51.0,51.15,3214368
2019-06-17 04:00:00,50.06,50.33,49.05,49.34,4964268
2019-06-18 04:00:00,49.75,50.57,49.4,49.63,4249089
2019-06-19 04:00:00,49.95,50.24,48.33,48.5,4362845
2019-06-20 04:00:00,49.095,49.59,48.62,48.93,3465673
2019-06-21 04:00:00,48.82,49.27,48.31,48.36,5818157
2019-06-24 04:00:00,48.51,49.7,48.32,49.6,3634929
2019-06-25 04:00:00,49.49,50.2228,49.05,49.71,3566391
2019-06-26 04:00:00,49.85,51.22,49.81,50.45,3459287
2019-06-27 04:00:00,50.61,51.14,50.5307,50.92,3634914
2019-06-28 04:00:00,51.1,51.2,49.08,49.23,4266326
2019-07-01 04:00:00,50.0,50.2,49.52,50.15,4038992
2019-07-02 04:00:00,50.0,50.06,48.76,49.41,4126382
2019-07-03 04:00:00,49.46,49.65,49.2,49.3,1946665
2019-07-05 04:00:00,49.01,49.37,48.96,49.31,2131122
2019-07-08 04:00:00,49.34,49.5,48.385,48.53,5431400
2019-07-09 04:00:00,48.3,48.43,47.5,47.89,4426840
2019-07-10 04:00:00,48.34,48.42,47.52,47.55,2801024
2019-07-11 04:00:00,47.73,48.06,47.18,47.76,3715113
2019-07-12 04:00:00,48.46,50.04,48.08,49.71,3582936
2019-07-15 04:00:00,49.77,50.95,49.66,50.89,4402956
2019-07-16 04:00:00,50.95,52.6446,50.95,52.32,5589573
2019-07-17 04:00:00,52.16,52.3,51.23,51.61,3981503
2019-07-18 04:00:00,51.55,52.05,51.28,51.76,3305027
2019-07-19 04:00:00,51.77,51.83,51.5,51.54,2596445
2019-07-22 04:00:00,51.5041,51.57,50.6,50.88,2573431
2019-07-23 04:00:00,51.0,52.9,50.95,52.62,3907979
2019-07-24 04:00:00,52.5,52.99,52.04,52.77,3022324
2019-07-25 04:00:00,51.64,51.99,50.3,50.8,3859365
2019-07-26 04:00:00,50.27,50.3,48.92,49.1,4619094
2019-07-29 04:00:00,48.52,48.88,47.98,48.06,3527008
2019-07-30 04:00:00,47.78,48.44,47.78,48.41,3648635
2019-07-31 04:00:00,48.49,49.43,47.95,48.42,4216215
2019-08-01 04:00:00,48.15,48.6,46.78,46.82,5176951
2019-08-02 04:00:00,46.69,47.22,45.37,45.58,4172383
2019-08-05 04:00:00,45.06,45.13,44.07,44.74,4371530
2019-08-06 04:00:00,45.11,45.45,43.735,44.42,4045802
2019-08-07 04:00:00,44.1,45.0,43.91,44.885,3670353
2019-08-08 04:00:00,45.1972,46.82,45.19,46.8,3690241
2019-08-09 04:00:00,46.51,46.99,46.1,46.63,3903921
2019-08-12 04:00:00,46.39,46.8,45.52,45.67,3136378
2019-08-13 04:00:00,45.78,47.76,45.58,46.84,3617714
2019-08-14 04:00:00,45.8,46.15,44.0,44.07,4124086
2019-08-15 04:00:00,44.34,44.37,42.96,43.355,2931173
2019-08-16 04:00:00,43.29,44.81,42.77,44.51,4010713
2019-08-19 04:00:00,45.36,45.8634,45.15,45.585,3019164
2019-08-20 04:00:00,45.25,45.25,43.07,43.17,5534669
2019-08-21 04:00:00,43.85,44.2398,43.24,43.3,3765639
2019-08-22 04:00:00,43.32,43.9,42.02,42.08,5454291
2019-08-23 04:00:00,42.0,42.02,40.44,40.715,5439565
2019-08-26 04:00:00,41.27,41.35,40.61,40.85,2776513
2019-08-27 04:00:00,41.19,41.73,40.919,41.13,3434734
2019-08-28 04:00:00,41.15,42.64,40.76,42.52,3917495
2019-08-29 04:00:00,42.33,43.0,42.21,42.37,2981742
2019-08-30 04:00:00,42.83,43.0,42.27,42.57,3182736
2019-09-03 04:00:00,42.14,42.23,41.15,41.8,2917263
2019-09-04 04:00:00,42.59,42.79,41.85,42.52,2351048
2019-09-05 04:00:00,43.15,43.97,43.09,43.37,3324041
2019-09-06 04:00:00,43.54,43.66,42.66,43.26,2818803
2019-09-09 04:00:00,43.53,44.6273,43.26,44.46,3022918
2019-09-10 04:00:00,45.1,46.37,44.78,46.29,4278491
2019-09-11 04:00:00,46.52,47.05,45.58,46.895,3250088
2019-09-12 04:00:00,47.07,47.19,45.57,46.97,3189253
2019-09-13 04:00:00,47.64,48.44,47.25,48.19,3632112
2019-09-16 04:00:00,48.69,49.98,48.28,48.98,4055481
2019-09-17 04:00:00,48.67,49.09,47.61,47.99,3214482
2019-09-18 04:00:00,47.9,47.9,47.02,47.505,2340975
2019-09-19 04:00:00,48.12,48.41,47.49,47.63,1924987
2019-09-20 04:00:00,47.47,48.85,47.07,48.31,7156198
2019-09-23 04:00:00,47.39,48.215,47.12,47.92,3073256
2019-09-24 04:00:00,47.78,48.0,45.95,46.61,3561475
2019-09-25 04:00:00,46.55,47.97,46.13,47.69,3452800
2019-09-26 04:00:00,47.51,47.69,46.9343,47.24,2546033
2019-09-27 04:00:00,47.4,47.8799,47.01,47.09,2420174
2019-09-30 04:00:00,47.26,47.79,47.11,47.66,1923438
2019-10-01 04:00:00,47.94,48.57,45.9,45.99,3079215
2019-10-02 04:00:00,44.67,45.17,44.36,44.975,3779877
2019-10-03 04:00:00,44.85,45.39,44.37,45.32,3043939
2019-10-04 04:00:00,45.18,45.7803,45.01,45.35,2952607
2019-10-07 04:00:00,45.08,45.77,44.765,45.17,2436900
2019-10-08 04:00:00,44.75,45.05,43.83,43.85,2644555
2019-10-09 04:00:00,44.39,44.54,44.0,44.035,2030214
2019-10-10 04:00:00,44.33,45.29,44.02,44.92,4018398
2019-10-11 04:00:00,45.75,47.72,45.503,47.135,3324084
2019-10-14 04:00:00,46.28,47.27,46.24,46.85,1851111
2019-10-15 04:00:00,46.82,48.1,46.53,47.21,2941247
2019-10-16 04:00:00,47.49,47.92,47.01,47.13,3260378
2019-10-17 04:00:00,47.44,48.54,47.14,47.81,2398025
2019-10-18 04:00:00,47.91,48.1908,47.36,47.96,2634150
2019-10-21 04:00:00,48.59,48.97,47.09,47.13,3246091
2019-10-22 04:00:00,47.08,47.3843,46.02,46.84,4223819
2019-10-23 04:00:00,46.78,47.51,46.55,47.25,3613773
2019-10-24 04:00:00,48.65,49.9,47.84,49.47,5634034
2019-10-25 04:00:00,49.78,50.76,48.9,50.46,5016503
2019-10-28 04:00:00,50.75,51.44,50.43,51.19,4026549
2019-10-29 04:00:00,50.96,51.6299,50.37,51.49,3143112
2019-10-30 04:00:00,51.2,51.47,50.33,51.04,3046744
2019-10-31 04:00:00,49.945,50.52,49.86,50.49,2154515
2019-11-01 04:00:00,50.98,52.49,50.9,52.33,2881597
