Date,Open,High,Low,Close,Volume
2009-05-18 04:00:00,40.83,41.07,40.2,40.68,2154044
2009-05-19 04:00:00,40.47,41.16,40.41,40.68,2900384
2009-05-20 04:00:00,40.86,41.1,40.17,40.26,2779947
2009-05-21 04:00:00,40.17,40.38,39.93,40.32,3223501
2009-05-22 04:00:00,40.32,41.22,40.2,41.1,2757133
2009-05-26 04:00:00,41.07,42.09,40.68,42.09,2716627
2009-05-27 04:00:00,42.06,42.06,41.19,41.25,2689511
2009-05-28 04:00:00,41.37,42.42,41.37,42.09,3134005
2009-05-29 04:00:00,42.18,42.6,41.61,42.45,2919602
2009-06-01 04:00:00,42.6,43.35,42.57,43.08,2331293
2009-06-02 04:00:00,42.93,43.26,42.27,42.33,2411034
2009-06-03 04:00:00,42.27,42.45,41.88,42.27,1844537
2009-06-04 04:00:00,42.36,42.42,42.03,42.21,1970600
2009-06-05 04:00:00,42.21,42.87,42.0,42.39,2080856
2009-06-08 04:00:00,42.39,42.72,41.94,42.27,1896587
2009-06-09 04:00:00,42.45,42.78,42.09,42.24,2991155
2009-06-10 04:00:00,42.42,42.87,41.94,42.39,2494277
2009-06-11 04:00:00,42.48,43.86,42.36,43.32,3339817
2009-06-12 04:00:00,43.23,44.28,42.75,44.01,2737037
2009-06-15 04:00:00,43.56,43.83,42.9,43.35,1986706
2009-06-16 04:00:00,44.49,44.49,42.42,42.66,4120619
2009-06-17 04:00:00,42.66,43.23,42.42,42.9,3629322
2009-06-18 04:00:00,42.99,44.04,41.73,43.86,2952613
2009-06-19 04:00:00,43.86,44.25,43.11,43.26,3456635
2009-06-22 04:00:00,42.96,44.22,42.96,43.95,2825889
2009-06-23 04:00:00,43.59,43.89,42.9,43.17,3244144
2009-06-24 04:00:00,43.44,43.56,42.87,43.2,2377327
2009-06-25 04:00:00,43.14,44.1,42.72,43.89,3028930
2009-06-26 04:00:00,43.8,43.86,43.02,43.26,2360932
2009-06-29 04:00:00,43.41,43.83,43.05,43.77,1590926
2009-06-30 04:00:00,44.07,44.13,43.17,43.8,2583899
2009-07-01 04:00:00,43.71,44.82,43.62,44.46,2423628
2009-07-02 04:00:00,44.13,44.13,43.2,43.2,2002753
2009-07-06 04:00:00,43.11,43.98,43.05,43.86,1602351
2009-07-07 04:00:00,43.86,43.95,42.9,42.93,3018011
2009-07-08 04:00:00,43.2,43.44,42.51,42.87,2653950
2009-07-09 04:00:00,43.05,43.11,42.3,42.66,1985337
2009-07-10 04:00:00,42.57,43.29,42.3,42.96,1876451
2009-07-13 04:00:00,43.14,43.83,42.72,43.71,2601720
2009-07-14 04:00:00,43.74,43.86,43.29,43.59,2400744
2009-07-15 04:00:00,43.5,44.37,43.5,44.28,2048177
2009-07-16 04:00:00,44.1,44.46,43.77,44.28,1868897
2009-07-17 04:00:00,44.4,44.4,43.92,44.22,2150123
2009-07-20 04:00:00,44.37,44.46,43.86,44.25,2065769
2009-07-21 04:00:00,44.79,44.82,44.46,44.64,1881482
2009-07-22 04:00:00,44.46,44.91,44.37,44.52,1691193
2009-07-23 04:00:00,44.4,45.63,44.4,45.42,2504294
2009-07-24 04:00:00,45.18,46.35,45.18,46.17,2244272
2009-07-27 04:00:00,46.17,46.35,45.81,46.32,1623258
2009-07-28 04:00:00,46.2,46.35,45.45,45.87,1500105
2009-07-29 04:00:00,45.75,46.41,45.36,46.02,2176852
2009-07-30 04:00:00,46.35,46.89,45.84,46.53,2297467
2009-07-31 04:00:00,46.47,46.71,46.11,46.38,1552164
2009-08-03 04:00:00,46.71,46.86,46.29,46.71,3112538
2009-08-04 04:00:00,46.95,46.95,46.38,46.68,2629765
2009-08-05 04:00:00,46.59,46.59,45.63,45.96,2218704
2009-08-06 04:00:00,45.75,46.41,45.75,46.38,1534732
2009-08-07 04:00:00,46.53,47.19,46.38,47.04,2349591
2009-08-10 04:00:00,46.92,46.92,46.2,46.62,2048663
2009-08-11 04:00:00,46.77,46.98,46.5,46.77,1795385
2009-08-12 04:00:00,46.08,46.17,45.54,45.84,3088447
2009-08-13 04:00:00,46.02,46.02,45.39,45.93,3548043
2009-08-14 04:00:00,46.02,46.14,45.51,46.14,1747884
2009-08-17 04:00:00,45.42,45.99,45.42,45.78,1952327
2009-08-18 04:00:00,45.96,45.96,45.48,45.75,1728697
2009-08-19 04:00:00,45.6,46.11,45.45,46.05,2239149
2009-08-20 04:00:00,46.23,46.5,45.81,46.44,1705665
2009-08-21 04:00:00,46.65,46.95,46.44,46.8,2180221
2009-08-24 04:00:00,46.95,47.07,46.71,47.07,1475225
2009-08-25 04:00:00,46.98,47.22,46.8,46.83,1521237
2009-08-26 04:00:00,46.89,47.07,46.38,46.95,1396383
2009-08-27 04:00:00,46.8,47.04,46.53,46.8,1487934
2009-08-28 04:00:00,47.07,47.07,46.53,46.8,1533112
2009-08-31 04:00:00,46.68,46.8,46.2,46.44,2097307
2009-09-01 04:00:00,46.32,46.68,45.75,45.9,3147344
2009-09-02 04:00:00,45.9,45.9,45.33,45.48,1934222
2009-09-03 04:00:00,45.51,45.96,45.12,45.9,3191062
2009-09-04 04:00:00,46.02,46.56,46.02,46.56,2196933
2009-09-08 04:00:00,46.8,46.86,46.297,46.62,2280560
2009-09-09 04:00:00,46.5,46.65,46.14,46.26,2658792
2009-09-10 04:00:00,46.29,46.38,46.05,46.29,1505407
2009-09-11 04:00:00,46.44,46.47,46.14,46.29,1715064
2009-09-14 04:00:00,46.47,46.98,46.38,46.95,1900739
2009-09-15 04:00:00,47.04,47.04,46.41,46.98,2003190
2009-09-16 04:00:00,47.25,47.85,46.56,47.55,3096034
2009-09-17 04:00:00,47.73,47.849,47.19,47.52,2861496
2009-09-18 04:00:00,47.4,48.06,47.31,47.88,3054802
2009-09-21 04:00:00,47.67,47.85,47.19,47.28,1987422
2009-09-22 04:00:00,47.4,47.4,46.86,47.07,1843441
2009-09-23 04:00:00,47.22,47.85,47.04,47.19,2014646
