Date,Open,High,Low,Close,Volume
2009-05-14 04:00:00,3.74,3.89,3.53,3.79,337943
2009-05-15 04:00:00,3.83,4.2296,3.79,4.05,213169
2009-05-18 04:00:00,4.21,4.6,4.185,4.52,289566
2009-05-19 04:00:00,4.5,4.6,4.32,4.57,118532
2009-05-20 04:00:00,4.44,4.8,4.44,4.61,149242
2009-05-21 04:00:00,4.54,4.77,4.49,4.61,217290
2009-05-22 04:00:00,4.63,4.81,4.63,4.75,94830
2009-05-26 04:00:00,4.63,5.09,4.63,5.01,460740
2009-05-27 04:00:00,4.98,5.47,4.81,5.31,341901
2009-05-28 04:00:00,5.34,5.34,4.85,5.05,361807
2009-05-29 04:00:00,5.07,5.56,5.05,5.56,401418
2009-06-01 04:00:00,5.52,5.96,5.52,5.64,241804
2009-06-02 04:00:00,5.63,5.74,5.42,5.46,216350
2009-06-03 04:00:00,5.41,5.52,5.06,5.22,247915
2009-06-04 04:00:00,5.24,5.49,5.18,5.45,262736
2009-06-05 04:00:00,5.54,5.57,5.3,5.45,159372
2009-06-08 04:00:00,5.45,6.23,5.43,5.59,1152913
2009-06-09 04:00:00,5.6,5.67,5.5,5.53,109986
2009-06-10 04:00:00,5.57,5.7,5.52,5.69,778367
2009-06-11 04:00:00,5.69,5.89,5.56,5.76,234126
2009-06-12 04:00:00,5.79,6.26,5.72,6.22,286580
2009-06-15 04:00:00,5.94,6.4299,5.87,6.37,388200
2009-06-16 04:00:00,6.26,6.56,6.23,6.46,404735
2009-06-17 04:00:00,6.54,7.05,6.39,6.7,541456
2009-06-18 04:00:00,6.76,6.81,6.27,6.29,329376
2009-06-19 04:00:00,6.39,6.39,5.97,6.0,616160
2009-06-22 04:00:00,5.98,6.26,5.86,6.03,357998
2009-06-23 04:00:00,6.11,6.39,6.05,6.27,280014
2009-06-24 04:00:00,6.14,6.48,6.11,6.26,226278
2009-06-25 04:00:00,6.21,6.39,6.16,6.3,259460
2009-06-26 04:00:00,6.24,6.34,6.08,6.24,675831
2009-06-29 04:00:00,6.29,6.3,6.09,6.23,177994
2009-06-30 04:00:00,6.23,6.36,6.05,6.19,185379
2009-07-01 04:00:00,6.27,6.38,6.1838,6.21,163092
2009-07-02 04:00:00,6.17,6.17,5.8,5.88,293189
2009-07-06 04:00:00,5.86,5.86,5.41,5.61,317722
2009-07-07 04:00:00,5.64,5.66,5.28,5.29,335999
2009-07-08 04:00:00,5.33,5.54,5.2488,5.35,468460
2009-07-09 04:00:00,5.37,5.455,5.25,5.33,191270
2009-07-10 04:00:00,5.3,5.59,5.2699,5.32,96920
2009-07-13 04:00:00,5.35,5.42,5.25,5.4,128202
2009-07-14 04:00:00,5.38,5.57,5.31,5.5,144413
2009-07-15 04:00:00,5.59,5.81,5.59,5.75,337878
2009-07-16 04:00:00,5.7,5.78,5.58,5.7,225563
2009-07-17 04:00:00,5.72,5.72,5.46,5.5,205512
2009-07-20 04:00:00,5.56,5.65,5.5,5.6,113524
2009-07-21 04:00:00,5.66,5.66,5.4,5.45,580389
2009-07-22 04:00:00,5.44,5.66,5.4,5.59,134315
2009-07-23 04:00:00,5.57,5.79,5.54,5.69,296349
2009-07-24 04:00:00,5.7,5.93,5.39,5.8,747979
2009-07-27 04:00:00,5.81,6.0,5.5,5.97,245760
2009-07-28 04:00:00,5.91,6.17,5.8048,6.15,160899
2009-07-29 04:00:00,6.19,6.58,5.96,6.56,720470
2009-07-30 04:00:00,6.61,6.96,6.49,6.76,530199
2009-07-31 04:00:00,6.71,6.73,6.34,6.46,227654
2009-08-03 04:00:00,6.49,6.75,6.37,6.68,289791
2009-08-04 04:00:00,6.61,7.45,6.58,7.13,699094
2009-08-05 04:00:00,7.17,7.21,6.76,6.8,192647
2009-08-06 04:00:00,6.87,6.89,6.69,6.69,286041
2009-08-07 04:00:00,6.8,7.0,6.64,6.84,233892
2009-08-10 04:00:00,6.76,6.9,6.55,6.65,123974
2009-08-11 04:00:00,6.59,6.8199,6.5,6.54,117681
2009-08-12 04:00:00,6.51,6.8,6.51,6.76,188714
2009-08-13 04:00:00,6.78,6.96,6.51,6.83,280647
2009-08-14 04:00:00,6.83,6.91,6.66,6.91,448442
2009-08-17 04:00:00,6.75,6.94,6.56,6.82,340723
2009-08-18 04:00:00,6.84,7.27,6.745,7.23,305614
2009-08-19 04:00:00,7.15,7.66,7.14,7.61,504532
2009-08-20 04:00:00,7.57,7.91,7.5,7.87,498535
2009-08-21 04:00:00,7.98,8.96,7.61,8.37,811283
2009-08-24 04:00:00,8.48,8.64,8.07,8.21,777233
2009-08-25 04:00:00,8.28,8.31,8.08,8.22,247936
2009-08-26 04:00:00,8.27,8.29,8.07,8.2,728907
2009-08-27 04:00:00,8.13,8.31,7.93,8.12,272592
2009-08-28 04:00:00,8.15,8.21,7.85,7.95,162840
2009-08-31 04:00:00,7.89,7.95,7.36,7.81,200020
2009-09-01 04:00:00,7.73,8.02,7.6,7.69,191999
2009-09-02 04:00:00,7.63,7.78,7.57,7.71,275217
2009-09-03 04:00:00,7.75,8.09,7.65,8.04,271278
2009-09-04 04:00:00,8.04,8.12,7.96,8.08,436141
2009-09-08 04:00:00,8.12,8.19,7.95,8.13,165052
2009-09-09 04:00:00,8.14,8.39,8.1101,8.36,282206
2009-09-10 04:00:00,8.31,8.54,8.1,8.47,283506
2009-09-11 04:00:00,8.47,8.47,8.19,8.25,129918
2009-09-14 04:00:00,8.25,8.308,8.03,8.2,122200
2009-09-15 04:00:00,8.16,8.16,7.98,8.04,126294
2009-09-16 04:00:00,8.09,8.09,7.77,8.02,220998
2009-09-17 04:00:00,8.0,8.07,7.85,7.92,86342
2009-09-18 04:00:00,7.95,8.01,7.89,8.0,247201
2009-09-21 04:00:00,7.94,8.11,7.82,8.0,178638
2009-09-22 04:00:00,8.04,8.26,7.95,8.03,345180
2009-09-23 04:00:00,8.07,8.15,7.94,7.97,164310
2009-09-24 04:00:00,8.0,8.13,7.73,7.82,271901
2009-09-25 04:00:00,7.77,7.82,7.51,7.72,444362
2009-09-28 04:00:00,7.77,8.07,7.59,7.98,218220
2009-09-29 04:00:00,7.96,8.1,7.91,8.0,106370
2009-09-30 04:00:00,8.0,8.0,7.64,7.92,157885
2009-10-01 04:00:00,7.91,7.95,7.63,7.63,206996
2009-10-02 04:00:00,7.5,7.63,7.25,7.53,170648
2009-10-05 04:00:00,7.58,8.26,7.58,8.22,347654
2009-10-06 04:00:00,8.25,8.25,7.93,8.03,183434
2009-10-07 04:00:00,7.96,8.0,7.8,7.88,123134
2009-10-08 04:00:00,7.9,7.92,7.65,7.68,198860
2009-10-09 04:00:00,7.61,7.9,7.6,7.88,144533
2009-10-12 04:00:00,7.93,8.0,7.7,7.74,216640
2009-10-13 04:00:00,7.75,7.75,7.52,7.63,131572
2009-10-14 04:00:00,7.75,7.79,7.58,7.73,133598
2009-10-15 04:00:00,7.65,7.96,7.55,7.85,135885
2009-10-16 04:00:00,7.77,7.85,7.55,7.72,112870
2009-10-19 04:00:00,7.77,7.88,7.51,7.86,110921
2009-10-20 04:00:00,7.86,7.9499,7.73,7.78,130431
2009-10-21 04:00:00,7.75,7.99,7.55,7.59,128044
2009-10-22 04:00:00,7.58,7.75,7.53,7.72,142214
2009-10-23 04:00:00,7.72,7.79,7.42,7.48,116247
2009-10-26 04:00:00,7.49,7.69,7.29,7.33,134581
2009-10-27 04:00:00,7.33,7.5,7.1606,7.34,291213
2009-10-28 04:00:00,7.34,7.4,6.96,6.97,194063
2009-10-29 04:00:00,7.06,7.13,6.95,7.03,192905
2009-10-30 04:00:00,7.0,7.07,6.5314,6.86,405341
2009-11-02 05:00:00,6.94,6.94,6.65,6.78,153011
2009-11-03 05:00:00,6.71,6.92,6.6,6.9,142320
2009-11-04 05:00:00,6.92,7.05,6.91,6.94,174295
2009-11-05 05:00:00,6.98,7.4,6.98,7.33,260973
2009-11-06 05:00:00,7.22,7.49,7.17,7.39,163810
2009-11-09 05:00:00,7.48,7.66,7.37,7.41,138384
2009-11-10 05:00:00,7.37,7.43,7.15,7.3,134661
2009-11-11 05:00:00,7.39,7.5,7.29,7.37,62565
2009-11-12 05:00:00,7.38,7.45,6.99,7.02,143530
2009-11-13 05:00:00,7.08,7.5,7.08,7.29,153240
2009-11-16 05:00:00,7.47,7.69,7.33,7.58,262438
2009-11-17 05:00:00,7.57,7.61,7.4,7.51,78520
2009-11-18 05:00:00,7.51,7.57,7.35,7.43,79641
2009-11-19 05:00:00,7.38,7.44,7.25,7.27,108690
2009-11-20 05:00:00,7.24,7.46,7.19,7.26,128088
2009-11-23 05:00:00,7.39,7.54,7.34,7.39,118837
2009-11-24 05:00:00,7.38,7.38,7.2,7.29,157907
2009-11-25 05:00:00,7.34,7.44,7.26,7.26,78625
2009-11-27 05:00:00,7.05,7.2,7.0,7.01,44598
2009-11-30 05:00:00,7.04,7.38,7.04,7.25,323202
2009-12-01 05:00:00,7.28,7.41,7.11,7.2,613118
2009-12-02 05:00:00,7.2,7.33,7.16,7.24,199193
2009-12-03 05:00:00,7.29,7.54,7.13,7.15,442173
2009-12-04 05:00:00,7.33,7.5,7.18,7.47,134813
2009-12-07 05:00:00,7.29,7.43,7.25,7.3,259975
2009-12-08 05:00:00,7.23,7.316,7.13,7.13,371662
2009-12-09 05:00:00,7.16,7.34,7.05,7.31,292733
2009-12-10 05:00:00,7.37,7.6,7.36,7.49,251009
2009-12-11 05:00:00,7.55,7.75,7.42,7.58,359213
2009-12-14 05:00:00,7.65,7.67,7.45,7.66,77724
2009-12-15 05:00:00,7.62,7.87,7.49,7.71,113957
2009-12-16 05:00:00,7.8,7.8,7.605,7.72,92463
2009-12-17 05:00:00,7.67,7.85,7.371,7.54,224111
2009-12-18 05:00:00,7.61,7.65,7.21,7.27,379039
2009-12-21 05:00:00,7.34,7.48,7.14,7.23,219233
2009-12-22 05:00:00,7.19,7.44,7.12,7.3,279430
2009-12-23 05:00:00,7.35,7.59,7.35,7.56,331984
2009-12-24 05:00:00,7.6,7.76,7.58,7.74,77826
2009-12-28 05:00:00,7.78,7.9,7.6525,7.865,186865
2009-12-29 05:00:00,7.89,8.08,7.8,8.05,191539
2009-12-30 05:00:00,7.99,8.12,7.89,8.12,130859
2009-12-31 05:00:00,8.14,8.24,8.04,8.08,140404
2010-01-04 05:00:00,8.21,8.56,8.21,8.56,348230
2010-01-05 05:00:00,8.52,8.79,8.46,8.69,419800
2010-01-06 05:00:00,8.71,9.11,8.64,8.95,1031440
2010-01-07 05:00:00,9.02,9.34,8.91,9.21,334390
