Date,Open,High,Low,Close,Volume
2009-05-18 04:00:00,21.12,21.63,20.93,21.44,6336160
2009-05-19 04:00:00,21.34,22.45,20.76,22.07,7736120
2009-05-20 04:00:00,22.15,23.23,21.98,22.08,9492450
2009-05-21 04:00:00,21.39,22.26,21.34,22.02,6388180
2009-05-22 04:00:00,22.07,22.37,21.49,21.9,4377240
2009-05-26 04:00:00,21.31,22.65,21.3,22.44,6089240
2009-05-27 04:00:00,22.33,22.69,22.1,22.14,4821130
2009-05-28 04:00:00,22.16,22.97,21.56,22.32,6808240
2009-05-29 04:00:00,21.99,22.93,21.76,22.91,7746530
2009-06-01 04:00:00,23.68,23.77,23.07,23.46,7665620
2009-06-02 04:00:00,23.76,23.76,23.03,23.1,5558890
2009-06-03 04:00:00,22.91,23.42,22.5,22.99,7716740
2009-06-04 04:00:00,23.11,23.41,22.73,23.13,5010630
2009-06-05 04:00:00,23.26,23.48,22.49,23.0,3980870
2009-06-08 04:00:00,22.93,23.1,21.9,22.23,8101180
2009-06-09 04:00:00,22.51,22.74,21.94,22.0,6761410
2009-06-10 04:00:00,22.04,22.35,21.53,21.96,9627110
2009-06-11 04:00:00,22.0,22.3,21.7,21.81,5647590
2009-06-12 04:00:00,21.8,22.04,21.6,21.93,4948860
2009-06-15 04:00:00,21.97,21.97,21.2,21.37,5539070
2009-06-16 04:00:00,21.15,21.79,20.8,20.8,5410780
2009-06-17 04:00:00,21.0,21.26,20.68,20.83,6703450
2009-06-18 04:00:00,20.97,20.97,20.24,20.52,5864030
2009-06-19 04:00:00,20.69,20.9,20.45,20.72,7167640
2009-06-22 04:00:00,20.43,20.55,19.91,19.97,5908430
2009-06-23 04:00:00,19.99,20.49,19.85,20.42,10054380
2009-06-24 04:00:00,20.69,21.06,20.1,20.94,6617510
2009-06-25 04:00:00,20.62,21.08,20.38,21.06,5311490
2009-06-26 04:00:00,20.88,21.36,20.81,20.9,4450610
2009-06-29 04:00:00,20.91,21.13,20.58,20.81,3260470
2009-06-30 04:00:00,21.68,22.09,21.34,21.72,10684960
2009-07-01 04:00:00,21.96,22.44,21.77,21.96,5137480
2009-07-02 04:00:00,21.8,21.95,21.1,21.47,5458480
2009-07-06 04:00:00,21.74,21.76,20.87,21.16,3554770
2009-07-07 04:00:00,21.04,21.34,20.26,20.26,5633470
2009-07-08 04:00:00,20.33,20.64,19.96,20.26,5882520
2009-07-09 04:00:00,20.8,21.07,20.69,20.79,5308050
2009-07-10 04:00:00,20.65,21.17,20.65,20.97,4487480
2009-07-13 04:00:00,20.97,21.54,20.58,21.48,5246540
2009-07-14 04:00:00,21.18,21.48,21.03,21.18,4668640
2009-07-15 04:00:00,21.31,21.61,21.14,21.4,6605060
2009-07-16 04:00:00,21.35,21.44,20.97,21.37,5390170
2009-07-17 04:00:00,21.34,21.63,20.79,20.93,7845630
2009-07-20 04:00:00,20.85,21.46,20.75,21.4,5766810
2009-07-21 04:00:00,21.56,22.0,21.39,21.98,6891880
2009-07-22 04:00:00,21.78,22.11,21.58,21.8,5005490
2009-07-23 04:00:00,21.59,22.12,21.53,21.67,7265570
2009-07-24 04:00:00,21.59,21.59,20.85,21.16,8033220
2009-07-27 04:00:00,21.24,21.49,20.49,20.73,9045580
2009-07-28 04:00:00,20.48,21.11,20.47,21.1,5260070
2009-07-29 04:00:00,20.88,21.08,20.65,20.75,4226840
2009-07-30 04:00:00,21.27,21.66,20.92,21.1,6039220
2009-07-31 04:00:00,21.53,21.75,21.0,21.47,6774600
2009-08-03 04:00:00,21.59,21.9,21.14,21.55,6642990
2009-08-04 04:00:00,21.57,22.14,21.35,21.89,11495490
2009-08-05 04:00:00,21.23,21.41,20.08,20.4,21736320
2009-08-06 04:00:00,20.49,20.77,20.25,20.69,8738710
2009-08-07 04:00:00,20.91,21.0,20.5,20.71,9429790
2009-08-10 04:00:00,20.58,20.85,20.56,20.74,5385190
2009-08-11 04:00:00,20.61,20.83,20.2,20.34,6542370
2009-08-12 04:00:00,20.76,21.35,20.38,21.1,8281460
2009-08-13 04:00:00,20.98,21.35,20.73,21.05,4753750
2009-08-14 04:00:00,20.93,21.53,20.9,21.29,6934430
2009-08-17 04:00:00,20.88,20.88,19.57,19.57,12598250
2009-08-18 04:00:00,19.6,19.91,19.25,19.5,16806440
2009-08-19 04:00:00,19.51,19.6,18.62,19.09,15638900
2009-08-20 04:00:00,18.97,19.37,18.95,19.25,6921600
2009-08-21 04:00:00,19.28,19.79,19.11,19.44,5158470
2009-08-24 04:00:00,19.44,19.75,19.13,19.45,5487170
2009-08-25 04:00:00,19.601,19.601,18.72,18.85,8701200
2009-08-26 04:00:00,18.92,19.2,18.8,19.1,4913490
2009-08-27 04:00:00,19.0,19.17,18.66,19.0,4527190
2009-08-28 04:00:00,19.155,19.175,18.575,18.735,9284400
2009-08-31 04:00:00,18.31,18.5,18.03,18.22,9626360
2009-09-01 04:00:00,18.12,18.55,17.74,17.82,9126160
2009-09-02 04:00:00,18.09,18.29,17.7,18.21,8826650
2009-09-03 04:00:00,18.46,18.66,17.94,18.09,5217690
2009-09-04 04:00:00,18.515,18.535,18.115,18.505,3428180
2009-09-08 04:00:00,18.875,19.045,18.575,18.955,6575840
2009-09-09 04:00:00,18.95,19.01,18.4,18.53,8075480
2009-09-10 04:00:00,18.14,18.34,17.95,18.05,14817740
2009-09-11 04:00:00,17.92,18.32,17.68,18.18,13949320
2009-09-14 04:00:00,18.32,18.43,17.99,18.11,8652600
2009-09-15 04:00:00,18.25,18.34,17.749,18.08,15500100
2009-09-16 04:00:00,18.4,19.01,18.21,18.85,13945500
2009-09-17 04:00:00,18.94,19.2,18.569,18.74,6295160
2009-09-18 04:00:00,18.835,18.965,18.425,18.685,5898130
2009-09-21 04:00:00,18.55,19.11,18.28,18.34,7098930
2009-09-22 04:00:00,18.39,18.67,18.26,18.52,6235140
2009-09-23 04:00:00,18.55,20.33,18.55,19.83,27437090
2009-09-24 04:00:00,19.24,19.44,19.01,19.29,11318630
2009-09-25 04:00:00,19.27,19.61,19.09,19.46,8491170
2009-09-28 04:00:00,19.55,19.8,19.2,19.28,6543130
2009-09-29 04:00:00,19.39,19.53,19.09,19.14,6483630
2009-09-30 04:00:00,19.23,19.562,19.019,19.12,6352420
2009-10-01 04:00:00,19.03,19.09,18.46,18.46,5876390
2009-10-02 04:00:00,18.3,18.731,18.23,18.34,7883610
2009-10-05 04:00:00,18.43,18.93,18.31,18.67,5812330
2009-10-06 04:00:00,18.9,19.27,18.73,19.22,7980210
2009-10-07 04:00:00,19.3,20.14,19.255,20.0,8775560
2009-10-08 04:00:00,20.09,20.69,19.78,20.63,9667100
2009-10-09 04:00:00,20.65,20.65,20.04,20.37,5950980
2009-10-12 04:00:00,20.35,20.85,20.35,20.58,5515620
2009-10-13 04:00:00,20.44,20.96,20.33,20.73,5776830
2009-10-14 04:00:00,20.94,21.02,20.78,20.9,5084470
2009-10-15 04:00:00,20.86,21.07,20.18,20.35,9477530
2009-10-16 04:00:00,20.17,20.74,20.12,20.56,5818200
2009-10-19 04:00:00,20.67,20.99,20.58,20.83,3703670
2009-10-20 04:00:00,20.38,20.6,19.74,19.97,9987840
2009-10-21 04:00:00,19.755,20.32,19.735,19.785,6581810
2009-10-22 04:00:00,19.72,19.96,19.31,19.96,8263940
2009-10-23 04:00:00,20.23,20.29,19.476,19.646,4614600
2009-10-26 04:00:00,19.71,19.97,19.4,19.47,4601230
2009-10-27 04:00:00,19.47,19.73,18.79,18.95,9414980
2009-10-28 04:00:00,18.95,18.96,18.44,18.52,8042830
2009-10-29 04:00:00,18.71,18.82,18.43,18.69,4144380
2009-10-30 04:00:00,18.851,18.961,18.14,18.24,9424320
2009-11-02 05:00:00,18.25,18.4,17.9,18.01,13734310
2009-11-03 05:00:00,17.87,18.05,17.57,17.77,17026210
2009-11-04 05:00:00,17.79,18.12,17.7,17.73,10464250
2009-11-05 05:00:00,17.97,18.41,17.94,18.16,5241970
2009-11-06 05:00:00,18.25,19.13,18.16,19.0,10676330
2009-11-09 05:00:00,19.34,19.68,19.07,19.53,11763900
2009-11-10 05:00:00,18.31,18.48,17.799,18.31,19808220
2009-11-11 05:00:00,18.37,18.5,18.18,18.45,7521570
2009-11-12 05:00:00,18.43,18.561,18.23,18.28,9765940
2009-11-13 05:00:00,18.255,18.355,18.015,18.125,7089260
2009-11-16 05:00:00,18.09,18.29,17.98,18.02,7402690
2009-11-17 05:00:00,18.1,18.17,17.57,17.85,9927980
2009-11-18 05:00:00,17.795,18.056,17.68,17.735,5514190
2009-11-19 05:00:00,17.65,17.8,17.32,17.43,6340250
2009-11-20 05:00:00,17.24,17.55,17.15,17.3,6208620
2009-11-23 05:00:00,17.46,17.56,17.18,17.25,5379100
2009-11-24 05:00:00,17.33,17.35,16.99,17.06,6888240
2009-11-25 05:00:00,17.12,17.55,17.12,17.51,6009500
2009-11-27 05:00:00,17.14,17.22,16.96,17.01,2879830
2009-11-30 05:00:00,16.99,17.09,16.74,16.89,5251040
2009-12-01 05:00:00,16.95,17.146,16.79,16.98,5687280
2009-12-02 05:00:00,16.99,17.15,16.76,16.85,6182780
2009-12-03 05:00:00,16.865,17.135,16.545,16.555,4550730
2009-12-04 05:00:00,16.66,16.72,16.02,16.2,11506240
2009-12-07 05:00:00,16.2,16.35,16.1,16.2,5861120
2009-12-08 05:00:00,16.04,16.45,15.96,16.36,8785310
2009-12-09 05:00:00,16.375,16.405,15.855,16.365,11694990
2009-12-10 05:00:00,16.395,16.595,16.355,16.425,6531120
2009-12-11 05:00:00,16.4,16.5,15.99,16.11,6457490
2009-12-14 05:00:00,16.19,16.46,16.14,16.45,4057260
2009-12-15 05:00:00,16.55,16.88,16.42,16.46,6023530
2009-12-16 05:00:00,16.48,16.99,16.48,16.79,6636110
2009-12-17 05:00:00,16.65,16.799,16.45,16.48,6210780
2009-12-18 05:00:00,16.73,16.92,16.66,16.73,6967410
2009-12-21 05:00:00,16.9,16.9,16.511,16.82,5132320
2009-12-22 05:00:00,16.82,17.1,16.73,17.07,3669850
2009-12-23 05:00:00,17.025,17.739,16.976,17.685,6679090
2009-12-24 05:00:00,17.77,17.98,17.7,17.98,2105860
2009-12-28 05:00:00,17.95,17.98,17.82,17.9,3152150
2009-12-29 05:00:00,17.895,17.995,17.72,17.935,2962560
2009-12-30 05:00:00,17.796,18.214,17.676,18.164,4541000
2009-12-31 05:00:00,18.26,18.26,17.73,17.75,3381360
2010-01-04 05:00:00,17.99,18.24,17.89,18.15,3544330
2010-01-05 05:00:00,18.34,18.839,18.2,18.63,6417240
2010-01-06 05:00:00,18.61,18.65,18.06,18.18,4881800
2010-01-07 05:00:00,17.92,18.08,17.79,18.03,5316280
