Date,Open,High,Low,Close,Volume
2009-05-18 04:00:00,17.01,17.38,7.275,7.447,27409840
2009-05-19 04:00:00,7.471,18.02,7.306,7.521,21335262
2009-05-20 04:00:00,7.572,18.25,7.5,17.71,15728348
2009-05-21 04:00:00,17.5,17.6,16.9,17.11,13221803
2009-05-22 04:00:00,17.12,17.49,7.302,7.306,17664460
2009-05-26 04:00:00,7.208,17.58,7.128,17.57,30806233
2009-05-27 04:00:00,17.55,17.59,7.077,7.107,27451407
2009-05-28 04:00:00,7.155,17.45,6.9325,17.35,21101136
2009-05-29 04:00:00,17.33,17.62,17.21,17.62,11325689
2009-06-01 04:00:00,17.87,18.39,7.59,7.679,23066799
2009-06-02 04:00:00,7.692,18.11,7.51,7.553,27071902
2009-06-03 04:00:00,7.635,18.02,7.422,17.97,68309688
2009-06-04 04:00:00,17.85,18.11,17.82,18.0,17039643
2009-06-05 04:00:00,18.02,18.14,7.389,17.85,20081497
2009-06-08 04:00:00,17.96,17.99,17.38,17.63,11424842
2009-06-09 04:00:00,17.84,17.92,7.418,7.452,19308363
2009-06-10 04:00:00,7.567,17.69,7.336,17.62,28332386
2009-06-11 04:00:00,17.75,18.15,17.62,17.87,31821141
2009-06-12 04:00:00,17.94,17.95,7.399,7.496,18539890
2009-06-15 04:00:00,17.56,17.74,7.201,7.344,21883458
2009-06-16 04:00:00,7.351,17.56,7.245,7.245,22649166
2009-06-17 04:00:00,7.224,17.33,7.161,17.1,25693718
2009-06-18 04:00:00,17.06,17.21,7.157,7.207,24748243
2009-06-19 04:00:00,7.302,17.34,7.222,17.3,26426657
2009-06-22 04:00:00,17.08,17.26,16.38,16.44,14862180
2009-06-23 04:00:00,16.35,16.58,16.08,16.41,15262076
2009-06-24 04:00:00,16.52,17.115,16.44,16.75,12786973
2009-06-25 04:00:00,16.7,17.1099,7.125,7.214,18575193
2009-06-26 04:00:00,7.184,7.365,7.172,7.302,26735562
2009-06-29 04:00:00,7.334,17.43,7.271,17.37,30991844
2009-06-30 04:00:00,17.22,17.47,16.83,17.12,22823059
