Date,Open,High,Low,Close,Volume
2009-05-15 04:00:00,33.91,34.32,33.18,33.77,6475177
2009-05-18 04:00:00,34.1,34.87,33.88,34.84,3397798
2009-05-19 04:00:00,34.49,34.5,25.72,34.09,6513257
2009-05-20 04:00:00,34.45,34.5,25.22,25.27,10209473
2009-05-21 04:00:00,25.04,32.0,24.12,31.79,10367105
2009-05-22 04:00:00,31.64,32.73,24.1,32.21,5590668
2009-05-26 04:00:00,32.17,33.5,31.7,33.25,4568311
2009-05-27 04:00:00,33.31,33.32,24.66,32.22,5450001
2009-05-28 04:00:00,32.69,32.69,24.08,24.44,5509356
2009-05-29 04:00:00,24.6,24.76,24.04,24.35,7475549
2009-06-01 04:00:00,24.54,25.87,24.54,25.67,8113995
2009-06-02 04:00:00,25.78,34.9,25.64,34.66,6111196
2009-06-03 04:00:00,34.27,34.57,25.73,25.95,5476233
2009-06-04 04:00:00,26.1,34.68,25.79,34.58,4294844
2009-06-05 04:00:00,34.86,35.57,34.75,35.22,5911886
2009-06-08 04:00:00,35.1,35.43,34.42,35.12,5450666
2009-06-09 04:00:00,35.21,35.44,34.77,35.09,3958270
2009-06-10 04:00:00,35.4,35.6,25.87,34.89,5384322
2009-06-11 04:00:00,34.91,35.54,26.51,34.87,6029557
2009-06-12 04:00:00,34.66,35.08,34.33,35.07,3406540
2009-06-15 04:00:00,34.71,34.75,25.71,25.85,5183433
2009-06-16 04:00:00,25.98,26.06,25.24,25.31,5598725
2009-06-17 04:00:00,25.24,33.52,24.97,33.06,5508013
2009-06-18 04:00:00,33.2,33.3,24.97,25.04,4813073
2009-06-19 04:00:00,25.26,32.9679,24.9,32.71,6648140
2009-06-22 04:00:00,32.64,32.64,24.06,24.09,5234459
2009-06-23 04:00:00,24.13,31.81,23.78,31.66,4052088
2009-06-24 04:00:00,24.17,32.74,24.17,32.21,6228213
2009-06-25 04:00:00,32.06,33.42,24.76,25.0,6668542
2009-06-26 04:00:00,24.94,25.23,24.85,25.1,4677854
2009-06-29 04:00:00,25.26,33.53,25.03,25.24,3502981
2009-06-30 04:00:00,25.04,32.65,24.69,32.44,5464075
2009-07-01 04:00:00,32.56,33.35,24.91,24.94,3743118
2009-07-02 04:00:00,24.52,32.13,24.03,31.87,4271230
2009-07-06 04:00:00,31.59,31.84,23.65,23.85,4391675
2009-07-07 04:00:00,23.74,23.86,23.21,23.24,5390148
2009-07-08 04:00:00,23.3,23.59,23.02,23.38,5260612
2009-07-09 04:00:00,23.61,23.75,23.39,23.5,4810124
2009-07-10 04:00:00,23.31,31.1,23.21,31.0,4217309
2009-07-13 04:00:00,31.14,31.43,23.73,24.06,4265147
2009-07-14 04:00:00,24.15,24.27,23.84,24.18,3436188
2009-07-15 04:00:00,24.53,25.19,24.27,25.19,6018581
2009-07-16 04:00:00,25.14,34.55,24.97,34.42,6945974
2009-07-17 04:00:00,34.24,34.33,33.73,33.98,3991121
2009-07-20 04:00:00,34.07,34.97,34.07,34.94,4803250
2009-07-21 04:00:00,35.24,35.74,26.45,26.64,5835998
2009-07-22 04:00:00,26.58,35.41,26.42,35.31,4379315
2009-07-23 04:00:00,35.38,36.33,27.46,27.68,6031744
2009-07-24 04:00:00,27.45,36.85,27.44,36.81,4610200
2009-07-27 04:00:00,36.74,37.06,27.74,27.99,4120019
2009-07-28 04:00:00,27.87,27.99,27.39,27.63,7733615
2009-07-29 04:00:00,27.52,27.53,27.08,27.33,6113902
2009-07-30 04:00:00,27.82,28.5,27.37,28.11,7771617
2009-07-31 04:00:00,28.11,36.68,27.62,36.39,8241658
2009-08-03 04:00:00,36.54,36.7,35.52,36.4,8707801
2009-08-04 04:00:00,35.0,36.3599,34.38,36.11,13171437
2009-08-05 04:00:00,35.65,35.9,34.59,34.77,8311126
2009-08-06 04:00:00,34.79,35.04,34.65,34.78,6587345
2009-08-07 04:00:00,35.18,35.83,35.01,35.64,4941057
2009-08-10 04:00:00,35.54,35.78,26.94,27.15,4159936
2009-08-11 04:00:00,27.18,36.15,26.86,35.97,6374637
2009-08-12 04:00:00,35.79,36.22,27.43,27.57,7113762
2009-08-13 04:00:00,27.76,36.08,27.4,27.5,5723808
2009-08-14 04:00:00,27.47,35.31,26.73,35.18,5986371
2009-08-17 04:00:00,34.68,34.9,26.01,34.0,5058955
2009-08-18 04:00:00,33.72,34.8,33.72,34.69,3831688
2009-08-19 04:00:00,34.25,34.9114,26.19,34.61,5083794
2009-08-20 04:00:00,34.67,35.15,26.81,26.85,5055834
2009-08-21 04:00:00,27.05,36.17,26.86,36.03,6690403
2009-08-24 04:00:00,36.13,36.615,27.84,27.95,5930853
2009-08-25 04:00:00,27.96,37.71,27.9,37.59,9047343
2009-08-26 04:00:00,37.57,37.57,28.39,28.76,8524402
2009-08-27 04:00:00,28.63,37.44,28.37,37.4,5100351
2009-08-28 04:00:00,37.65,37.8,36.79,37.16,3652827
2009-08-31 04:00:00,36.82,36.96,36.5,36.89,4990816
2009-09-01 04:00:00,36.79,37.24,36.02,36.11,6791061
2009-09-02 04:00:00,36.09,36.55,27.73,27.74,4700825
2009-09-03 04:00:00,27.91,36.76,27.79,36.73,4649196
2009-09-04 04:00:00,36.75,37.5,36.6,37.41,3218206
2009-09-08 04:00:00,37.76,38.13,37.6,38.03,4545252
2009-09-09 04:00:00,38.11,39.0,38.04,38.75,5557070
2009-09-10 04:00:00,38.71,39.65,29.48,39.55,6101417
2009-09-11 04:00:00,39.63,39.98,30.05,39.39,4656684
2009-09-14 04:00:00,38.99,39.76,38.85,39.58,3406760
2009-09-15 04:00:00,39.75,40.24,30.63,30.63,4809516
2009-09-16 04:00:00,30.93,41.44,30.73,41.17,6595439
2009-09-17 04:00:00,31.44,31.82,31.05,31.58,6295365
2009-09-18 04:00:00,31.72,41.24,31.48,41.08,5534978
2009-09-21 04:00:00,40.65,40.8,40.04,40.24,4614875
2009-09-22 04:00:00,40.29,40.75,40.23,40.54,3443263
2009-09-23 04:00:00,40.59,40.69,30.73,40.02,5380328
2009-09-24 04:00:00,40.2,40.59,39.22,39.34,5266460
2009-09-25 04:00:00,39.11,39.29,38.67,38.95,4630129
2009-09-28 04:00:00,38.79,39.86,38.7,39.57,3551219
2009-09-29 04:00:00,39.82,40.33,39.64,40.1,4864369
2009-09-30 04:00:00,40.04,40.78,30.6,30.69,6110438
2009-10-01 04:00:00,30.7,39.3,29.63,39.04,6710766
2009-10-02 04:00:00,38.75,38.91,29.26,29.33,5704974
2009-10-05 04:00:00,29.46,38.73,29.31,38.65,4271674
2009-10-06 04:00:00,38.99,40.0749,38.83,39.23,6769572
2009-10-07 04:00:00,39.07,39.36,29.53,29.67,4894229
2009-10-08 04:00:00,30.08,39.28,29.89,38.99,6780335
2009-10-09 04:00:00,39.11,39.11,29.75,29.94,4627701
2009-10-12 04:00:00,30.23,39.71,30.1,39.43,3116624
2009-10-13 04:00:00,39.29,39.52,38.8,39.17,3226379
2009-10-14 04:00:00,39.54,39.94,39.36,39.86,3390634
2009-10-15 04:00:00,39.73,40.0,30.23,30.5,3066227
2009-10-16 04:00:00,30.17,39.22,29.78,39.12,5617057
2009-10-19 04:00:00,39.26,39.74,30.3,30.34,6523769
2009-10-20 04:00:00,30.43,39.75,30.19,30.31,6661416
2009-10-21 04:00:00,30.19,40.2,30.14,30.24,5689587
2009-10-22 04:00:00,30.25,40.23,29.99,40.15,4743654
2009-10-23 04:00:00,40.3,40.5,39.49,39.69,3278080
2009-10-26 04:00:00,39.71,40.47,39.115,39.3,3250413
