Date,Open,High,Low,Close,Volume
2009-05-15 04:00:00,57.21,58.5,56.46,56.63,948737
2009-05-18 04:00:00,57.67,68.02,56.95,60.46,1114056
2009-05-19 04:00:00,59.77,69.49,59.5,69.04,933823
2009-05-20 04:00:00,68.86,72.5,68.86,70.08,1307836
2009-05-21 04:00:00,69.53,69.53,67.27,68.27,644156
2009-05-22 04:00:00,71.74,72.01,61.78,61.93,1127820
2009-05-26 04:00:00,60.93,71.98,60.93,71.71,710666
2009-05-27 04:00:00,71.53,73.76,63.55,63.62,604045
2009-05-28 04:00:00,64.28,65.99,63.79,65.43,887923
2009-05-29 04:00:00,73.42,74.64,72.3,74.4,909730
2009-06-01 04:00:00,72.99,76.72,66.9,76.49,941168
2009-06-02 04:00:00,74.75,77.66,67.79,68.73,1023136
2009-06-03 04:00:00,68.1,68.64,66.09,66.83,998407
2009-06-04 04:00:00,67.75,76.15,66.15,75.88,787653
2009-06-05 04:00:00,76.94,77.45,67.08,67.14,831640
2009-06-08 04:00:00,63.41,72.48,62.52,71.8,2022136
2009-06-09 04:00:00,63.36,64.8,62.08,64.12,3488728
2009-06-10 04:00:00,65.26,72.22,62.67,72.12,1261159
2009-06-11 04:00:00,73.27,73.57,71.93,73.13,633329
2009-06-12 04:00:00,72.8,72.8526,62.85,63.33,877044
2009-06-15 04:00:00,62.39,63.04,61.51,61.84,821495
2009-06-16 04:00:00,62.16,69.08,60.15,68.78,702045
2009-06-17 04:00:00,68.45,70.03,61.02,61.2,772177
2009-06-18 04:00:00,61.51,62.7,60.86,62.31,730030
2009-06-19 04:00:00,63.2,63.99,62.87,63.77,734948
2009-06-22 04:00:00,63.43,70.4,62.08,69.08,908606
2009-06-23 04:00:00,70.4,71.0,67.6,68.1,1053820
2009-06-24 04:00:00,69.25,69.9,60.45,60.97,961968
2009-06-25 04:00:00,61.11,70.33,60.68,69.81,1371658
2009-06-26 04:00:00,69.81,70.89,61.7,70.23,953788
2009-06-29 04:00:00,70.29,71.63,60.86,61.1,1033406
2009-06-30 04:00:00,60.9,73.44,60.9,73.42,2203373
2009-07-01 04:00:00,73.01,74.14,72.71,72.74,1238074
2009-07-02 04:00:00,71.86,72.06,70.95,71.39,881985
2009-07-06 04:00:00,71.12,71.31,61.3,70.9,809490
2009-07-07 04:00:00,70.6,70.76,68.37,68.62,1090751
2009-07-08 04:00:00,68.6,68.91,63.69,67.1,3445347
2009-07-09 04:00:00,67.32,67.62,59.09,59.47,1602876
2009-07-10 04:00:00,59.25,67.77,58.96,67.5,632113
2009-07-13 04:00:00,67.71,68.79,66.45,68.75,646386
2009-07-14 04:00:00,68.45,70.73,67.9775,70.55,863895
2009-07-15 04:00:00,71.7,73.59,64.71,64.81,1003380
2009-07-16 04:00:00,64.41,74.94,64.17,74.34,610505
2009-07-17 04:00:00,74.32,74.88,73.24,74.16,581633
2009-07-20 04:00:00,74.44,76.79,74.03,76.39,964113
2009-07-21 04:00:00,76.89,77.79,74.93,76.63,787177
2009-07-22 04:00:00,76.47,78.19,75.57,77.5,1049529
2009-07-23 04:00:00,80.0,80.46,69.87,79.32,2091704
