Date,Open,High,Low,Close,Volume
2009-05-15 04:00:00,8.19,8.19,7.77,7.89,339479
2009-05-18 04:00:00,7.95,8.17,7.95,8.08,579135
2009-05-19 04:00:00,8.15,8.3,7.95,8.06,805768
2009-05-20 04:00:00,8.1,8.32,8.06,8.12,1420366
2009-05-21 04:00:00,8.12,8.21,7.98,8.04,803521
2009-05-22 04:00:00,8.1,8.37,8.05,8.2,716636
2009-05-26 04:00:00,8.19,8.63,8.17,8.43,529017
2009-05-27 04:00:00,8.5,8.52,8.28,8.42,598879
2009-05-28 04:00:00,8.37,8.59,7.75,7.95,1086638
2009-05-29 04:00:00,7.99,8.23,7.88,8.06,650946
2009-06-01 04:00:00,8.25,8.3981,7.98,8.0,789404
2009-06-02 04:00:00,7.95,8.08,7.32,7.39,1270035
2009-06-03 04:00:00,7.39,7.72,7.25,7.6,1906730
2009-06-04 04:00:00,7.64,8.28,7.36,8.13,1576985
2009-06-05 04:00:00,8.33,8.42,8.1,8.26,632890
2009-06-08 04:00:00,8.19,8.24,8.0,8.13,559566
2009-06-09 04:00:00,8.13,8.19,7.84,8.05,420237
2009-06-10 04:00:00,8.08,8.14,7.93,8.13,603321
2009-06-11 04:00:00,8.16,8.76,8.15,8.3,1657970
2009-06-12 04:00:00,8.28,8.82,8.28,8.77,1195250
2009-06-15 04:00:00,8.64,9.11,8.56,8.68,1148496
2009-06-16 04:00:00,8.66,8.96,8.61,8.86,1097823
2009-06-17 04:00:00,8.89,8.95,8.59,8.73,752587
2009-06-18 04:00:00,8.61,8.75,8.46,8.51,379422
2009-06-19 04:00:00,8.58,8.68,8.42,8.6,663470
2009-06-22 04:00:00,8.54,8.61,7.86,8.1,447223
2009-06-23 04:00:00,8.05,8.14,7.72,7.86,716144
2009-06-24 04:00:00,8.31,8.53,7.94,8.25,679445
2009-06-25 04:00:00,8.28,8.74,8.08,8.67,537822
2009-06-26 04:00:00,8.69,9.24,8.63,9.03,2633683
2009-06-29 04:00:00,8.99,9.0,8.7,8.99,700341
2009-06-30 04:00:00,9.13,9.27,8.99,9.18,542054
2009-07-01 04:00:00,9.27,9.27,8.62,8.68,904790
2009-07-02 04:00:00,8.61,8.61,8.15,8.22,566181
2009-07-06 04:00:00,8.1,8.12,7.73,7.88,571001
2009-07-07 04:00:00,7.9,7.93,7.66,7.71,500304
2009-07-08 04:00:00,7.78,7.81,7.41,7.59,746110
2009-07-09 04:00:00,7.65,7.82,7.27,7.43,383095
2009-07-10 04:00:00,7.36,7.61,7.2,7.42,783648
2009-07-13 04:00:00,7.42,7.71,7.23,7.58,686269
2009-07-14 04:00:00,7.71,7.85,7.62,7.8,271162
2009-07-15 04:00:00,7.96,8.3498,7.884,8.31,513135
2009-07-16 04:00:00,8.3,8.55,8.13,8.5,440857
2009-07-17 04:00:00,8.51,8.61,8.36,8.52,417687
2009-07-20 04:00:00,8.61,8.74,8.46,8.68,773046
2009-07-21 04:00:00,8.81,8.97,8.75,8.85,698035
