Date,Open,High,Low,Close,Volume
2009-05-14 04:00:00,49.34,49.83,48.4,48.87,3198374
2009-05-15 04:00:00,48.58,48.6,46.15,47.26,5146213
2009-05-18 04:00:00,47.21,47.7,45.53,46.12,4909240
2009-05-19 04:00:00,45.9,47.52,45.79,47.14,4108099
2009-05-20 04:00:00,47.58,47.58,46.23,46.37,3644094
2009-05-21 04:00:00,45.85,46.01,45.3,45.93,3236983
2009-05-22 04:00:00,45.94,47.28,45.9,46.67,2899918
2009-05-26 04:00:00,46.74,48.04,45.7,47.92,3522279
2009-05-27 04:00:00,47.8,48.25,46.93,47.12,3890278
2009-05-28 04:00:00,47.55,48.52,47.24,47.93,3968878
2009-05-29 04:00:00,48.25,48.47,47.38,48.01,4000714
2009-06-01 04:00:00,48.58,49.73,48.13,49.21,5327394
2009-06-02 04:00:00,49.05,49.78,48.47,48.51,4312067
2009-06-03 04:00:00,48.15,48.45,46.23,46.86,3906415
2009-06-04 04:00:00,47.28,48.52,47.1,48.19,3396514
2009-06-05 04:00:00,48.66,49.12,47.67,48.46,2829810
2009-06-08 04:00:00,48.39,48.39,46.9,47.44,2316898
2009-06-09 04:00:00,47.7,48.32,47.56,47.9,2186748
2009-06-10 04:00:00,48.42,50.61,48.42,50.29,6331112
2009-06-11 04:00:00,50.14,51.21,50.01,50.13,5925367
2009-06-12 04:00:00,50.04,51.09,49.28,50.58,3285324
2009-06-15 04:00:00,50.41,50.46,48.44,49.18,2810717
2009-06-16 04:00:00,49.26,49.88,48.68,48.93,2959339
2009-06-17 04:00:00,49.08,49.36,48.15,48.48,3113830
2009-06-18 04:00:00,49.39,50.68,49.15,50.45,3926103
2009-06-19 04:00:00,50.82,51.0,49.6,49.85,4302446
2009-06-22 04:00:00,49.42,49.9,48.93,49.01,2415534
2009-06-23 04:00:00,48.99,49.96,48.42,49.44,4274811
2009-06-24 04:00:00,49.43,50.23,49.39,50.12,3578954
2009-06-25 04:00:00,49.86,51.42,49.54,51.01,7052409
2009-06-26 04:00:00,51.07,51.28,50.5,50.63,2961863
2009-06-29 04:00:00,51.0,51.06,50.09,50.42,5444611
2009-06-30 04:00:00,50.57,51.38,50.2835,51.35,6279657
2009-07-01 04:00:00,51.57,52.16,51.22,51.52,3383828
2009-07-02 04:00:00,51.0,51.0,48.94,49.14,7020073
2009-07-06 04:00:00,48.99,49.3,47.93,48.93,4176120
2009-07-07 04:00:00,48.99,49.16,47.56,47.68,4424067
2009-07-08 04:00:00,48.51,48.89,47.76,48.21,4388604
2009-07-09 04:00:00,48.89,49.17,47.89,48.38,3126539
2009-07-10 04:00:00,48.26,48.8,47.3,48.37,3438845
2009-07-13 04:00:00,48.56,49.77,48.25,49.53,3682489
2009-07-14 04:00:00,49.7,50.19,49.16,50.09,3394814
2009-07-15 04:00:00,50.59,51.73,50.35,51.62,4742436
2009-07-16 04:00:00,51.53,52.08,50.89,51.91,2551659
