Date,Open,High,Low,Close,Volume
2009-05-18 04:00:00,53.58,54.21,52.76,54.17,3387892
2009-05-19 04:00:00,54.1,55.33,54.0,54.62,2811673
2009-05-20 04:00:00,55.5,57.3,54.9,55.68,4327683
2009-05-21 04:00:00,54.92,54.92,52.64,53.41,2798661
2009-05-22 04:00:00,53.45,53.65,51.72,52.86,2919640
2009-05-26 04:00:00,52.38,55.68,52.35,55.31,2909428
2009-05-27 04:00:00,55.45,55.95,53.18,53.37,2323042
2009-05-28 04:00:00,54.08,54.49,52.16,53.58,2828197
2009-05-29 04:00:00,53.71,55.46,53.42,55.39,2505885
2009-06-01 04:00:00,57.29,58.24,55.78,57.87,2414868
2009-06-02 04:00:00,57.99,59.38,57.18,57.65,2079474
2009-06-03 04:00:00,57.24,57.42,55.7,56.36,2424283
2009-06-04 04:00:00,56.39,57.04,55.69,56.97,1789067
2009-06-05 04:00:00,57.72,58.88,56.88,57.15,3720096
2009-06-08 04:00:00,56.84,56.94,55.68,56.48,2290623
2009-06-09 04:00:00,56.31,57.57,56.11,57.12,2158323
2009-06-10 04:00:00,58.43,58.43,56.04,57.29,2341108
2009-06-11 04:00:00,56.85,57.54,56.0,56.1,3381875
2009-06-12 04:00:00,55.75,56.22,53.63,54.37,3679238
2009-06-15 04:00:00,53.6,53.99,51.73,52.06,3762969
2009-06-16 04:00:00,52.3,53.27,50.74,51.36,4782928
2009-06-17 04:00:00,50.24,51.7,49.76,50.64,8318274
2009-06-18 04:00:00,51.63,52.33,50.6,51.97,3989618
2009-06-19 04:00:00,52.3,52.57,51.0,51.45,2872645
2009-06-22 04:00:00,50.58,51.25,49.86,50.0,4215008
2009-06-23 04:00:00,51.37,52.0,50.55,50.75,4627973
2009-06-24 04:00:00,51.17,54.02,50.8,52.92,6361155
2009-06-25 04:00:00,52.74,56.38,52.56,56.37,6239416
2009-06-26 04:00:00,55.62,56.1,55.06,55.44,2993837
2009-06-29 04:00:00,55.55,56.28,54.75,55.59,2441036
2009-06-30 04:00:00,56.93,56.95,55.12,55.68,3717877
2009-07-01 04:00:00,55.81,57.18,55.75,56.13,2165537
2009-07-02 04:00:00,55.15,55.55,54.07,54.11,2959831
2009-07-06 04:00:00,54.12,56.14,53.98,56.09,4886927
2009-07-07 04:00:00,55.93,55.93,54.31,54.38,2645236
2009-07-08 04:00:00,54.79,55.91,52.58,53.36,5199403
2009-07-09 04:00:00,53.59,54.5,53.36,53.88,2189258
2009-07-10 04:00:00,53.67,55.2,53.67,54.88,2173999
2009-07-13 04:00:00,55.34,55.76,53.79,55.74,2388283
2009-07-14 04:00:00,55.77,56.09,54.59,55.48,2076841
2009-07-15 04:00:00,56.31,57.44,56.06,57.34,4453394
2009-07-16 04:00:00,57.14,62.51,57.07,61.8,8546656
2009-07-17 04:00:00,61.32,62.23,60.17,60.51,5171108
2009-07-20 04:00:00,60.67,61.79,60.26,61.66,3023608
2009-07-21 04:00:00,62.0,62.13,59.62,60.44,3230620
2009-07-22 04:00:00,59.85,62.22,59.52,61.78,2801357
2009-07-23 04:00:00,61.29,64.66,61.0,64.21,4319190
2009-07-24 04:00:00,63.69,65.0,63.46,65.0,3215861
2009-07-27 04:00:00,65.04,66.63,64.5,66.63,2930275
2009-07-28 04:00:00,65.93,66.72,65.1,65.61,2786539
2009-07-29 04:00:00,65.15,66.67,64.63,65.83,2508250
2009-07-30 04:00:00,66.54,68.61,66.05,67.45,3385571
2009-07-31 04:00:00,67.2,68.5,67.1,67.85,2355664
2009-08-03 04:00:00,68.35,69.38,67.51,68.9,2521264
2009-08-04 04:00:00,68.51,68.81,67.82,68.38,2975464
2009-08-05 04:00:00,68.54,68.82,66.89,67.4,3192755
2009-08-06 04:00:00,67.79,67.79,66.17,66.38,3119110
2009-08-07 04:00:00,67.2,68.77,66.93,67.86,4719906
2009-08-10 04:00:00,66.84,67.84,66.66,67.18,2563150
2009-08-11 04:00:00,66.68,67.0,65.61,65.94,2949401
2009-08-12 04:00:00,66.0,67.19,65.53,66.38,2355209
2009-08-13 04:00:00,67.35,67.35,65.77,66.94,2040039
2009-08-14 04:00:00,66.79,67.14,64.99,66.0,1715784
2009-08-17 04:00:00,65.35,65.35,63.54,63.9,2209749
2009-08-18 04:00:00,64.28,66.0,64.17,65.75,2491859
2009-08-19 04:00:00,65.2,66.05,64.2,65.7,1981420
2009-08-20 04:00:00,65.43,66.39,65.33,66.1,1409559
2009-08-21 04:00:00,66.71,68.15,66.29,67.87,2686022
2009-08-24 04:00:00,67.99,68.77,67.64,67.84,1780327
2009-08-25 04:00:00,68.4,69.3,68.1,68.29,2500298
2009-08-26 04:00:00,68.23,68.68,67.39,67.8,1970080
2009-08-27 04:00:00,67.87,68.88,66.36,68.54,2708767
2009-08-28 04:00:00,69.14,70.27,68.85,69.9,3035390
2009-08-31 04:00:00,69.16,69.4,68.3,68.74,1604832
2009-09-01 04:00:00,68.85,71.34,68.68,69.01,5156687
2009-09-02 04:00:00,68.75,69.65,68.06,68.56,2687761
2009-09-03 04:00:00,69.24,69.82,68.23,69.74,1833558
2009-09-04 04:00:00,69.88,70.95,69.82,70.84,1883818
2009-09-08 04:00:00,71.67,71.95,69.93,70.9,2790870
2009-09-09 04:00:00,71.72,72.36,70.96,72.03,3227034
2009-09-10 04:00:00,72.17,72.7,71.37,72.63,2281165
2009-09-11 04:00:00,75.96,78.3,75.92,77.33,9932872
2009-09-14 04:00:00,77.0,78.99,76.7,78.88,4780792
2009-09-15 04:00:00,79.36,80.0,78.53,79.53,4299457
2009-09-16 04:00:00,80.01,80.01,77.4,78.19,4082017
2009-09-17 04:00:00,76.45,78.49,75.55,76.54,5779614
2009-09-18 04:00:00,76.84,76.9,75.5,76.04,3732608
2009-09-21 04:00:00,75.72,76.0,74.25,75.6,2829415
2009-09-22 04:00:00,76.125,76.83,76.0,76.22,2639221
2009-09-23 04:00:00,76.47,77.0,75.23,75.33,2635133
2009-09-24 04:00:00,75.3,76.22,74.29,75.39,3007681
2009-09-25 04:00:00,74.87,75.53,72.9,73.39,2881279
2009-09-28 04:00:00,73.52,76.33,73.43,75.84,3233474
2009-09-29 04:00:00,76.04,76.33,74.86,74.96,2458728
2009-09-30 04:00:00,74.99,76.11,73.72,75.16,3080679
2009-10-01 04:00:00,75.54,76.1,73.46,73.56,3675582
2009-10-02 04:00:00,73.2,74.18,72.45,73.63,3063857
2009-10-05 04:00:00,73.78,75.66,73.28,75.4,2976356
2009-10-06 04:00:00,75.57,76.97,74.4,75.04,3003324
2009-10-07 04:00:00,74.96,76.33,74.48,76.21,2370244
2009-10-08 04:00:00,76.74,78.9,76.21,78.17,4675249
2009-10-09 04:00:00,78.11,78.5,77.1,77.54,2258840
2009-10-12 04:00:00,78.04,78.27,77.08,77.61,1451353
2009-10-13 04:00:00,77.59,78.21,76.58,78.19,2324698
2009-10-14 04:00:00,79.17,80.4,78.91,80.24,2718859
2009-10-15 04:00:00,79.82,81.13,79.45,80.9,2626588
2009-10-16 04:00:00,80.1,80.67,79.5,80.0,2601121
2009-10-19 04:00:00,80.31,80.66,79.71,79.97,2034140
