Date,Open,High,Low,Close,Volume
2009-05-14 04:00:00,18.07,18.3,17.95,18.23,2002515
2009-05-15 04:00:00,18.215,18.48,18.06,18.34,1870501
2009-05-18 04:00:00,18.47,18.8,18.25,18.77,2531128
2009-05-19 04:00:00,18.73,18.98,18.57,18.79,2061102
2009-05-20 04:00:00,18.93,19.11,18.71,18.76,1650581
2009-05-21 04:00:00,18.48,18.68,18.36,18.57,2415436
2009-05-22 04:00:00,18.68,18.84,18.55,18.6,1198903
2009-05-26 04:00:00,18.49,19.34,18.48,19.31,2326122
2009-05-27 04:00:00,19.25,19.595,19.09,19.1,1954091
2009-05-28 04:00:00,19.25,19.39,18.79,19.12,2570211
2009-05-29 04:00:00,19.09,19.28,18.82,19.28,2471667
2009-06-01 04:00:00,19.53,20.07,19.43,19.99,3077677
2009-06-02 04:00:00,19.94,20.26,19.91,20.1,1821136
2009-06-03 04:00:00,20.04,20.32,19.97,20.23,2426483
2009-06-04 04:00:00,20.19,20.42,19.88,20.22,1934669
2009-06-05 04:00:00,20.26,20.42,20.15,20.17,2017794
2009-06-08 04:00:00,19.98,20.26,19.86,20.12,2166157
2009-06-09 04:00:00,20.33,20.35,20.13,20.24,1704147
2009-06-10 04:00:00,20.38,20.51,20.22,20.49,2630180
2009-06-11 04:00:00,20.46,20.69,20.2501,20.28,2103464
2009-06-12 04:00:00,20.13,20.14,19.81,20.08,1046518
2009-06-15 04:00:00,19.9,20.22,19.9,20.04,1954857
2009-06-16 04:00:00,20.17,20.25,19.78,19.81,1365288
2009-06-17 04:00:00,19.83,20.05,19.78,19.89,1324475
2009-06-18 04:00:00,19.97,19.97,19.64,19.91,1532576
2009-06-19 04:00:00,20.12,20.15,19.74,19.76,2237021
2009-06-22 04:00:00,19.75,19.8,19.37,19.55,3394022
2009-06-23 04:00:00,19.51,19.74,19.16,19.41,2831900
2009-06-24 04:00:00,19.55,19.73,19.4,19.64,2241260
2009-06-25 04:00:00,19.61,20.01,19.55,20.0,2215492
2009-06-26 04:00:00,19.97,20.06,19.87,19.95,1275472
2009-06-29 04:00:00,19.99,20.09,19.77,20.03,1390378
2009-06-30 04:00:00,20.04,20.29,19.92,19.97,2435343
2009-07-01 04:00:00,20.06,20.52,19.88,20.36,2838982
2009-07-02 04:00:00,20.16,20.22,19.98,20.14,1843814
2009-07-06 04:00:00,19.94,20.18,19.87,20.18,2663584
2009-07-07 04:00:00,20.21,20.21,19.53,19.54,1827107
2009-07-08 04:00:00,19.58,19.59,19.345,19.44,3143283
2009-07-09 04:00:00,19.56,19.57,19.32,19.42,1353390
2009-07-10 04:00:00,19.51,21.0,19.37,19.46,1827079
2009-07-13 04:00:00,19.5,19.9,19.17,19.89,1930550
2009-07-14 04:00:00,19.97,19.97,19.71,19.82,1705461
2009-07-15 04:00:00,19.96,20.16,19.68,20.05,3107389
2009-07-16 04:00:00,19.97,20.62,19.89,20.54,1896644
2009-07-17 04:00:00,20.54,20.72,20.43,20.64,1756158
2009-07-20 04:00:00,20.71,21.08,20.68,20.98,2750454
2009-07-21 04:00:00,21.06,21.06,20.64,20.7,2451314
2009-07-22 04:00:00,20.65,20.73,20.36,20.38,1842647
2009-07-23 04:00:00,20.43,21.31,20.33,21.23,4708882
2009-07-24 04:00:00,20.97,21.42,20.97,21.39,1655289
2009-07-27 04:00:00,21.41,21.55,21.2,21.52,1759918
2009-07-28 04:00:00,21.44,21.63,21.34,21.4,1761788
2009-07-29 04:00:00,22.48,23.72,21.91,23.33,7486667
2009-07-30 04:00:00,23.49,23.75,23.28,23.55,2551123
2009-07-31 04:00:00,23.47,23.69,23.29,23.38,1583869
2009-08-03 04:00:00,23.6,23.6,23.36,23.56,4364396
2009-08-04 04:00:00,23.15,24.34,23.15,24.31,3402548
2009-08-05 04:00:00,24.36,24.51,24.13,24.4,2750440
2009-08-06 04:00:00,24.44,24.63,24.21,24.32,2647608
2009-08-07 04:00:00,24.61,24.63,24.22,24.41,1657366
2009-08-10 04:00:00,24.31,24.43,24.08,24.21,1554839
2009-08-11 04:00:00,24.09,24.29,23.92,24.02,1419371
2009-08-12 04:00:00,23.99,24.68,23.9,24.45,1970748
2009-08-13 04:00:00,24.47,24.65,23.86,24.34,6140577
2009-08-14 04:00:00,24.47,24.52,24.05,24.24,2694772
2009-08-17 04:00:00,24.07,24.46,23.86,24.27,3032660
2009-08-18 04:00:00,24.36,24.46,24.13,24.38,2166926
2009-08-19 04:00:00,24.11,25.02,24.11,24.79,4033237
2009-08-20 04:00:00,24.8,24.88,24.26,24.41,2633705
2009-08-21 04:00:00,24.67,24.87,24.42,24.83,2599514
2009-08-24 04:00:00,24.94,25.17,24.85,25.02,2139282
2009-08-25 04:00:00,25.22,25.32,24.9,24.96,2257886
2009-08-26 04:00:00,24.96,25.09,24.88,25.06,1876999
2009-08-27 04:00:00,25.0,25.05,24.4675,24.8,2102941
2009-08-28 04:00:00,25.05,25.05,24.63,24.74,1290462
2009-08-31 04:00:00,24.52,24.75,24.36,24.57,1246240
2009-09-01 04:00:00,24.42,24.835,24.04,24.07,1428353
2009-09-02 04:00:00,23.97,24.1,23.82,23.92,1650884
2009-09-03 04:00:00,23.98,24.35,23.62,24.29,5833090
2009-09-04 04:00:00,24.2,24.4,23.77,24.16,3624999
2009-09-08 04:00:00,24.26,24.26,23.8,23.98,1726396
2009-09-09 04:00:00,24.0,24.52,23.94,24.48,2135612
2009-09-10 04:00:00,24.48,24.55,24.28,24.36,2273577
2009-09-11 04:00:00,24.34,25.01,24.28,24.8,3258418
2009-09-14 04:00:00,24.71,24.97,24.47,24.84,1956299
2009-09-15 04:00:00,24.89,24.92,24.64,24.85,1719528
2009-09-16 04:00:00,24.83,25.12,24.67,25.12,1509862
2009-09-17 04:00:00,25.07,25.23,24.99,25.08,1489341
2009-09-18 04:00:00,25.12,25.22,24.73,24.91,1735005
2009-09-21 04:00:00,24.82,25.05,24.59,24.93,1783162
2009-09-22 04:00:00,24.97,24.99,24.68,24.72,1437854
2009-09-23 04:00:00,24.71,25.37,24.63,25.17,4715288
2009-09-24 04:00:00,25.23,25.31,24.99,25.3,2304295
2009-09-25 04:00:00,25.3,26.0,25.22,25.4,4356610
2009-09-28 04:00:00,25.5,25.89,25.44,25.68,1647234
2009-09-29 04:00:00,25.64,25.725,25.36,25.39,2105333
2009-09-30 04:00:00,25.17,25.56,24.935,25.51,3249112
2009-10-01 04:00:00,25.4,25.66,24.89,24.92,10391799
2009-10-02 04:00:00,24.55,24.74,23.96,23.97,5294410
2009-10-05 04:00:00,24.07,24.37,23.89,23.95,4579287
2009-10-06 04:00:00,24.01,24.49,23.93,24.24,4287304
2009-10-07 04:00:00,24.23,24.48,23.93,24.12,3585857
2009-10-08 04:00:00,24.36,24.48,24.12,24.262,2563336
2009-10-09 04:00:00,24.21,24.41,24.055,24.35,2131009
2009-10-12 04:00:00,24.19,24.47,24.13,24.29,1781753
2009-10-13 04:00:00,24.21,24.37,23.99,24.17,2130892
2009-10-14 04:00:00,24.24,24.46,24.22,24.44,1910817
2009-10-15 04:00:00,24.28,24.56,24.22,24.53,1853563
2009-10-16 04:00:00,24.38,24.98,24.14,24.41,2883627
2009-10-19 04:00:00,24.46,24.82,24.44,24.59,2352748
2009-10-20 04:00:00,24.55,24.55,24.27,24.5,1903925
2009-10-21 04:00:00,24.38,25.12,24.33,24.8,4884349
2009-10-22 04:00:00,22.58,23.95,22.38,23.65,11074244
2009-10-23 04:00:00,23.79,23.79,22.69,22.82,3332255
2009-10-26 04:00:00,22.8,22.94,22.44,22.63,3483826
2009-10-27 04:00:00,22.63,22.76,22.47,22.58,3138034
2009-10-28 04:00:00,22.46,22.46,21.75,21.78,4215066
2009-10-29 04:00:00,21.99,22.4,21.73,22.26,3270534
2009-10-30 04:00:00,22.12,22.3,21.76,21.77,3303320
2009-11-02 05:00:00,21.77,22.101,21.62,22.02,3129412
2009-11-03 05:00:00,22.0,22.09,21.73,22.0,2969357
2009-11-04 05:00:00,22.12,22.26,21.85,21.87,2619910
2009-11-05 05:00:00,22.12,22.54,21.95,22.53,2570553
2009-11-06 05:00:00,22.53,22.66,22.14,22.46,2535127
2009-11-09 05:00:00,22.5,22.95,22.39,22.95,2302045
2009-11-10 05:00:00,22.82,22.94,22.65,22.9,2438340
2009-11-11 05:00:00,23.03,23.07,22.7,22.94,1931676
2009-11-12 05:00:00,22.9,23.0,22.61,22.69,2265377
2009-11-13 05:00:00,22.59,22.8,22.38,22.57,1970111
2009-11-16 05:00:00,22.58,22.77,22.51,22.63,3591346
2009-11-17 05:00:00,22.65,22.81,22.35,22.61,2769098
2009-11-18 05:00:00,23.39,23.9,22.99,23.46,4443181
2009-11-19 05:00:00,23.27,23.5,22.91,23.13,3392569
2009-11-20 05:00:00,22.89,23.0,22.64,22.73,2781727
2009-11-23 05:00:00,23.06,23.065,22.74,22.98,2534812
2009-11-24 05:00:00,23.04,23.04,22.69,22.76,1798309
2009-11-25 05:00:00,22.89,23.2,22.89,22.99,3259776
2009-11-27 05:00:00,22.53,22.71,22.4,22.48,1302129
2009-11-30 05:00:00,22.46,22.65,22.34,22.61,2061260
2009-12-01 05:00:00,22.73,23.48,22.69,23.42,3121901
2009-12-02 05:00:00,23.23,23.59,23.2,23.3,2100546
2009-12-03 05:00:00,23.34,23.5,23.01,23.18,2096160
2009-12-04 05:00:00,23.38,23.6,23.03,23.45,2179495
2009-12-07 05:00:00,23.31,23.73,23.11,23.48,4217988
2009-12-08 05:00:00,23.37,23.42,23.05,23.17,3342943
2009-12-09 05:00:00,23.03,23.4,22.87,23.33,2870287
2009-12-10 05:00:00,23.45,23.74,23.37,23.7,2474367
2009-12-11 05:00:00,23.72,23.77,23.57,23.73,1909406
2009-12-14 05:00:00,23.77,23.96,23.7,23.95,2153584
2009-12-15 05:00:00,23.76,23.88,23.66,23.77,2692874
2009-12-16 05:00:00,23.83,23.895,23.38,23.5,2610475
2009-12-17 05:00:00,23.42,23.48,23.16,23.18,1644930
2009-12-18 05:00:00,23.47,24.05,23.31,23.51,2158086
2009-12-21 05:00:00,23.49,23.7,23.25,23.3,1832963
2009-12-22 05:00:00,23.35,23.65,23.32,23.56,1302923
2009-12-23 05:00:00,23.55,23.79,23.52,23.73,1104330
2009-12-24 05:00:00,23.79,24.0,23.75,23.96,436221
2009-12-28 05:00:00,23.93,23.96,23.69,23.73,1138217
2009-12-29 05:00:00,23.75,23.94,23.63,23.63,712131
2009-12-30 05:00:00,23.62,23.76,23.49,23.58,1681769
2009-12-31 05:00:00,23.67,23.7,23.44,23.44,773131
2010-01-04 05:00:00,23.63,23.96,23.44,23.84,3848071
2010-01-05 05:00:00,23.99,24.88,23.93,24.84,4521349
2010-01-06 05:00:00,24.93,24.93,24.54,24.69,2380549
2010-01-07 05:00:00,24.69,24.69,24.41,24.58,3258665
2010-01-08 05:00:00,24.0,24.3,23.86,24.05,2379207
2010-01-11 05:00:00,24.2,24.25,23.74,23.91,2868370
2010-01-12 05:00:00,23.8,23.87,23.65,23.83,1901437
2010-01-13 05:00:00,23.53,24.345,23.53,24.23,3203481
2010-01-14 05:00:00,24.24,24.4,24.09,24.34,1086367
2010-01-15 05:00:00,24.34,24.4,23.9,24.01,1856917
2010-01-19 05:00:00,23.88,24.43,23.86,24.42,1606710
2010-01-20 05:00:00,24.21,24.45,23.92,24.23,2045252
2010-01-21 05:00:00,24.25,24.94,24.1,24.38,4772579
2010-01-22 05:00:00,24.23,24.48,23.95,23.99,3612911
2010-01-25 05:00:00,24.15,24.385,23.95,24.09,3265192
2010-01-26 05:00:00,23.99,24.24,23.95,24.02,2043716
2010-01-27 05:00:00,24.01,24.23,23.87,24.21,2304170
2010-01-28 05:00:00,24.21,24.22,23.63,23.75,3510389
2010-01-29 05:00:00,23.83,23.96,23.52,23.55,2398682
2010-02-01 05:00:00,23.8,23.85,23.48,23.77,2143502
2010-02-02 05:00:00,23.79,23.95,23.56,23.94,2202132
2010-02-03 05:00:00,23.83,24.01,23.62,23.97,2382723
2010-02-04 05:00:00,24.01,24.15,23.52,23.52,3784102
2010-02-05 05:00:00,23.62,23.62,22.74,23.05,4559374
2010-02-08 05:00:00,23.0,23.12,22.8,22.91,2649121
2010-02-09 05:00:00,23.17,23.44,22.74,22.79,3906440
2010-02-10 05:00:00,22.73,22.78,22.27,22.31,4974721
2010-02-11 05:00:00,22.28,22.52,22.25,22.49,3612999
2010-02-12 05:00:00,22.3,22.5,22.13,22.37,3662836
2010-02-16 05:00:00,22.48,22.64,22.36,22.5,1785110
2010-02-17 05:00:00,22.61,22.61,22.32,22.59,2742729
2010-02-18 05:00:00,22.56,22.78,22.41,22.61,3584370
2010-02-19 05:00:00,22.48,22.79,22.42,22.66,2518199
2010-02-22 05:00:00,22.71,22.84,22.6,22.65,1688861
2010-02-23 05:00:00,22.65,22.81,22.45,22.6,2498003
2010-02-24 05:00:00,22.68,22.92,22.445,22.88,3045249
2010-02-25 05:00:00,22.61,22.83,22.52,22.79,4089226
2010-02-26 05:00:00,22.78,22.78,22.5,22.53,4702034
2010-03-01 05:00:00,22.56,23.06,22.54,23.06,1778932
2010-03-02 05:00:00,23.0,23.2,22.93,23.0,1648512
2010-03-03 05:00:00,22.98,23.18,22.86,22.91,1752315
2010-03-04 05:00:00,22.99,23.05,22.84,23.01,1382964
2010-03-05 05:00:00,23.11,23.5,22.98,23.45,1592923
2010-03-08 05:00:00,23.45,23.51,23.32,23.4,1382685
2010-03-09 05:00:00,23.25,23.34,23.08,23.13,3886829
2010-03-10 05:00:00,23.1,23.18,22.95,23.16,2685350
2010-03-11 05:00:00,23.21,23.3,23.09,23.19,2195154
2010-03-12 05:00:00,23.16,23.2,23.02,23.16,1493032
2010-03-15 04:00:00,23.15,23.39,23.04,23.34,1642243
2010-03-16 04:00:00,23.33,23.53,23.28,23.52,1761421
2010-03-17 04:00:00,23.51,23.99,23.48,23.82,2851377
2010-03-18 04:00:00,23.74,23.83,23.5,23.58,1975397
2010-03-19 04:00:00,23.63,23.75,23.48,23.65,2930223
2010-03-22 04:00:00,23.57,23.85,23.49,23.71,1346089
2010-03-23 04:00:00,23.78,23.83,23.59,23.77,992117
2010-03-24 04:00:00,23.75,23.75,23.56,23.61,1130317
2010-03-25 04:00:00,23.67,23.78,23.38,23.4,1524657
2010-03-26 04:00:00,23.38,23.76,23.31,23.67,2034709
2010-03-29 04:00:00,23.79,23.82,23.46,23.59,1897943
2010-03-30 04:00:00,23.58,23.63,23.31,23.42,1724979
2010-03-31 04:00:00,23.33,23.47,23.25,23.43,1641089
2010-04-01 04:00:00,23.5,23.78,23.48,23.7,2001111
2010-04-05 04:00:00,23.72,23.86,23.66,23.81,1067255
2010-04-06 04:00:00,23.73,23.98,23.655,23.92,1665168
2010-04-07 04:00:00,23.82,24.27,23.75,24.21,4580272
2010-04-08 04:00:00,24.11,24.4,23.94,24.32,3046405
2010-04-09 04:00:00,24.3,24.55,24.22,24.53,1554134
2010-04-12 04:00:00,24.65,24.91,24.65,24.8,1567307
2010-04-13 04:00:00,24.79,24.92,24.53,24.65,1724086
2010-04-14 04:00:00,24.59,24.94,24.59,24.85,2926234
2010-04-15 04:00:00,24.77,25.38,24.7,25.37,2264350
2010-04-16 04:00:00,25.24,25.55,25.13,25.2,2912505
2010-04-19 04:00:00,25.1,25.19,24.9,25.17,1772129
2010-04-20 04:00:00,25.36,25.72,25.22,25.64,2516250
2010-04-21 04:00:00,25.52,25.82,25.4,25.55,1906882
2010-04-22 04:00:00,25.34,25.8,25.21,25.75,1644892
2010-04-23 04:00:00,25.79,25.88,25.26,25.76,2798344
2010-04-26 04:00:00,25.71,25.9,25.62,25.67,2250472
2010-04-27 04:00:00,25.54,25.78,25.03,25.05,2581633
2010-04-28 04:00:00,25.34,26.6,25.24,26.34,5587856
2010-04-29 04:00:00,26.47,26.74,26.26,26.73,3515394
2010-04-30 04:00:00,26.7,26.75,26.18,26.27,3174760
2010-05-03 04:00:00,26.35,26.52,26.19,26.3,2660684
2010-05-04 04:00:00,26.04,26.19,25.8,25.97,4206887
