Date,Open,High,Low,Close,Volume
2010-11-18 05:00:00,35.0,35.99,33.89,34.0,435013393
2010-11-19 05:00:00,34.15,34.5,33.11,34.2699,95050756
2010-11-22 05:00:00,34.24,34.48,33.81,34.08,32501539
2010-11-23 05:00:00,33.93,33.99,33.19,33.3,28215420
2010-11-24 05:00:00,33.73,33.8,33.22,33.43,22110765
2010-11-26 05:00:00,33.41,33.8,33.21,33.78,10315247
2010-11-29 05:00:00,33.8,33.81,33.07,33.79,24877228
2010-11-30 05:00:00,33.53,34.25,33.36,34.16,36577057
2010-12-01 05:00:00,34.64,34.95,34.42,34.76,31546889
2010-12-02 05:00:00,34.92,34.98,34.51,34.64,19625192
2010-12-03 05:00:00,34.55,34.6,33.97,34.53,17979282
2010-12-06 05:00:00,34.48,34.78,34.41,34.44,10094985
2010-12-07 05:00:00,34.75,34.89,34.46,34.64,18920254
2010-12-08 05:00:00,34.61,34.73,34.33,34.42,11050356
2010-12-09 05:00:00,34.36,34.43,33.62,33.71,16269418
2010-12-10 05:00:00,33.77,33.99,33.53,33.84,11123606
2010-12-13 05:00:00,33.96,34.05,33.7,33.77,10134525
2010-12-14 05:00:00,33.73,33.92,33.45,33.87,13184629
2010-12-15 05:00:00,33.81,34.01,33.62,33.64,8944723
2010-12-16 05:00:00,33.55,33.86,33.55,33.58,9076743
2010-12-17 05:00:00,33.52,33.85,33.19,33.8101,17722218
2010-12-20 05:00:00,33.9,34.05,33.74,33.8,10732166
2010-12-21 05:00:00,33.86,33.94,33.72,33.83,8382362
2010-12-22 05:00:00,33.72,34.95,33.53,34.91,20502512
2010-12-23 05:00:00,34.75,35.52,34.62,34.84,20174742
2010-12-27 05:00:00,34.46,34.89,34.19,34.65,7043405
2010-12-28 05:00:00,35.38,35.67,35.07,35.27,22242269
2010-12-29 05:00:00,35.46,36.3,35.25,36.0,19395615
2010-12-30 05:00:00,36.1,36.98,36.02,36.86,15765264
2010-12-31 05:00:00,36.84,36.96,36.57,36.85,5766990
2011-01-03 05:00:00,37.31,38.0,37.03,37.08,22011400
2011-01-04 05:00:00,37.1,37.99,36.68,37.87,30947217
