Date,Open,High,Low,Close,Volume
2009-05-15 04:00:00,15.763,15.8,15.5,15.58,2249174
2009-05-18 04:00:00,15.75,15.81,15.51,15.66,1740744
2009-05-19 04:00:00,15.625,16.27,15.58,16.1,3317292
2009-05-20 04:00:00,16.19,16.63,16.175,16.5,2506332
2009-05-21 04:00:00,16.845,17.235,16.75,17.22,2733368
2009-05-22 04:00:00,17.235,17.34,17.0,17.03,1792844
2009-05-26 04:00:00,16.955,17.63,16.67,17.555,2027166
2009-05-27 04:00:00,17.585,17.85,17.42,17.5,1655910
2009-05-28 04:00:00,17.64,17.813,17.39,17.725,1574264
2009-05-29 04:00:00,17.715,17.96,17.46,17.945,1196916
2009-06-01 04:00:00,18.015,18.585,18.015,18.295,1853930
2009-06-02 04:00:00,18.295,18.62,18.295,18.585,1492088
2009-06-03 04:00:00,18.505,18.68,18.4,18.495,1248916
2009-06-04 04:00:00,18.485,18.64,18.29,18.635,1799582
2009-06-05 04:00:00,18.735,19.015,18.515,18.855,1305036
2009-06-08 04:00:00,18.735,18.8,18.38,18.66,1234266
2009-06-09 04:00:00,18.745,18.84,18.615,18.75,715216
2009-06-10 04:00:00,18.675,18.905,18.58,18.83,705186
2009-06-11 04:00:00,18.86,19.045,18.634,18.705,716940
2009-06-12 04:00:00,18.71,19.355,18.555,19.245,2612542
2009-06-15 04:00:00,18.75,19.015,18.665,18.92,1600296
2009-06-16 04:00:00,18.955,19.065,18.63,18.675,1668212
2009-06-17 04:00:00,18.695,19.04,18.655,18.94,1223744
2009-06-18 04:00:00,18.865,18.99,18.725,18.985,1686776
2009-06-19 04:00:00,19.04,19.41,18.975,19.215,1688766
2009-06-22 04:00:00,19.095,19.275,18.66,18.675,1338692
2009-06-23 04:00:00,18.72,18.79,18.49,18.74,1046720
2009-06-24 04:00:00,18.87,18.87,18.655,18.775,1014754
2009-06-25 04:00:00,18.755,19.015,18.625,18.965,918330
2009-06-26 04:00:00,18.94,19.02,18.81,18.845,1011466
2009-06-29 04:00:00,18.91,18.97,18.625,18.89,816664
2009-06-30 04:00:00,18.955,18.955,18.585,18.705,1247648
2009-07-01 04:00:00,18.885,19.04,18.765,18.975,1612060
2009-07-02 04:00:00,18.805,18.875,18.45,18.545,755446
2009-07-06 04:00:00,18.345,18.585,18.32,18.585,760788
2009-07-07 04:00:00,18.61,18.61,18.07,18.125,891504
2009-07-08 04:00:00,18.115,18.14,17.83,17.995,1186046
2009-07-09 04:00:00,18.085,18.225,17.995,18.105,726650
2009-07-10 04:00:00,18.005,18.145,17.895,17.975,725434
2009-07-13 04:00:00,18.075,18.645,17.795,18.63,1214552
2009-07-14 04:00:00,18.665,18.965,18.49,18.9,629514
2009-07-15 04:00:00,18.93,19.59,18.93,19.545,1060030
2009-07-16 04:00:00,19.555,19.99,19.345,19.91,711790
2009-07-17 04:00:00,19.855,20.0,19.79,19.965,370812
2009-07-20 04:00:00,19.97,20.25,19.885,20.16,777860
2009-07-21 04:00:00,20.295,20.41,19.925,20.275,445696
2009-07-22 04:00:00,20.2,20.385,19.98,19.99,1385634
2009-07-23 04:00:00,20.075,20.26,19.96,20.105,1979438
2009-07-24 04:00:00,21.495,21.645,20.625,21.175,3310272
2009-07-27 04:00:00,20.05,21.205,19.49,21.135,2484310
2009-07-28 04:00:00,21.11,21.5,21.055,21.315,1331788
2009-07-29 04:00:00,21.245,21.35,20.945,21.075,682066
2009-07-30 04:00:00,21.24,21.625,21.12,21.335,998548
2009-07-31 04:00:00,21.365,21.53,21.13,21.13,754798
2009-08-03 04:00:00,21.295,21.295,20.775,20.985,1246098
2009-08-04 04:00:00,20.985,21.325,20.965,21.31,848398
2009-08-05 04:00:00,21.29,21.74,21.015,21.125,643706
2009-08-06 04:00:00,21.16,21.32,20.84,21.075,622600
2009-08-07 04:00:00,21.24,21.485,21.1,21.44,447118
2009-08-10 04:00:00,21.41,21.535,21.135,21.27,376634
2009-08-11 04:00:00,21.19,21.285,21.085,21.165,431274
2009-08-12 04:00:00,21.0,21.5,21.0,21.42,561410
2009-08-13 04:00:00,21.47,21.47,21.13,21.27,468288
2009-08-14 04:00:00,21.34,21.41,21.095,21.26,359336
2009-08-17 04:00:00,20.98,21.21,20.96,21.05,731248
2009-08-18 04:00:00,21.095,21.365,20.985,21.34,553456
2009-08-19 04:00:00,21.035,21.565,21.035,21.54,540598
2009-08-20 04:00:00,21.535,21.595,21.265,21.495,624910
