Date,Open,High,Low,Close,Volume
2009-05-15 04:00:00,24.45,24.915,24.22,24.43,19528478
2009-05-18 04:00:00,25.66,26.15,25.36,26.03,24900809
2009-05-19 04:00:00,25.39,25.4,24.39,24.61,37434281
2009-05-20 04:00:00,24.85,25.0,23.56,23.79,30511997
2009-05-21 04:00:00,23.49,23.83,22.64,22.89,24508232
2009-05-22 04:00:00,23.2,23.24,22.6,22.86,14842898
2009-05-26 04:00:00,22.67,23.97,22.58,23.78,19476879
2009-05-27 04:00:00,23.95,24.21,23.21,23.32,17634461
2009-05-28 04:00:00,23.63,23.63,22.33,22.71,26350451
2009-05-29 04:00:00,22.99,23.19,22.65,23.19,15966641
2009-06-01 04:00:00,23.53,24.43,23.39,24.19,17297077
2009-06-02 04:00:00,23.96,24.8,23.83,24.52,16558288
2009-06-03 04:00:00,24.42,24.81,24.09,24.3897,12318683
2009-06-04 04:00:00,24.39,24.61,23.75,24.61,14706186
2009-06-05 04:00:00,24.78,24.89,23.97,24.19,13996024
2009-06-08 04:00:00,24.3,24.78,24.0,24.55,12490792
2009-06-09 04:00:00,24.34,24.59,24.08,24.34,12375185
2009-06-10 04:00:00,25.06,25.12,24.19,24.38,22959334
2009-06-11 04:00:00,24.39,24.64,24.16,24.22,17335807
2009-06-12 04:00:00,24.19,24.24,23.8298,24.16,17744370
2009-06-15 04:00:00,23.94,24.0,23.52,23.81,12635734
2009-06-16 04:00:00,23.86,23.98,23.17,23.2,15710922
2009-06-17 04:00:00,23.15,24.04,23.01,23.65,18097137
2009-06-18 04:00:00,23.73,23.76,23.26,23.35,10606712
2009-06-19 04:00:00,23.47,23.71,23.36,23.53,14063258
2009-06-22 04:00:00,23.37,23.64,23.16,23.23,11674056
2009-06-23 04:00:00,23.24,23.25,22.715,22.87,14552017
2009-06-24 04:00:00,23.15,23.16,22.53,22.689,13686501
2009-06-25 04:00:00,22.67,23.75,22.65,23.57,16700196
2009-06-26 04:00:00,23.47,24.06,23.42,23.6,14993631
2009-06-29 04:00:00,23.63,24.16,23.56,23.85,11710575
2009-06-30 04:00:00,23.92,24.01,23.35,23.66,11268871
2009-07-01 04:00:00,23.8,23.94,23.48,23.72,12266826
2009-07-02 04:00:00,23.37,23.48,22.75,22.87,12688102
2009-07-06 04:00:00,22.76,23.14,22.52,22.86,12200373
2009-07-07 04:00:00,22.91,22.91,22.32,22.3701,13811428
2009-07-08 04:00:00,22.38,22.75,22.29,22.66,13923412
2009-07-09 04:00:00,22.85,22.97,22.33,22.66,13977430
2009-07-10 04:00:00,22.58,22.82,22.33,22.52,9196364
2009-07-13 04:00:00,22.51,23.14,22.27,23.12,12449962
2009-07-14 04:00:00,23.09,23.69,22.95,23.67,13723320
2009-07-15 04:00:00,23.89,24.14,23.64,24.11,12676820
