Date,Open,High,Low,Close,Volume
2009-05-15 04:00:00,31.98,32.5,31.69,31.96,5101053
2009-05-18 04:00:00,32.21,33.03,32.09,33.0,6055791
2009-05-19 04:00:00,33.07,33.42,32.56,33.09,5440555
2009-05-20 04:00:00,33.39,33.76,32.96,33.0295,5104135
2009-05-21 04:00:00,32.59,32.59,31.43,31.81,5562785
2009-05-22 04:00:00,31.83,32.61,31.74,32.12,4130757
2009-05-26 04:00:00,31.82,33.05,31.75,32.65,5035554
2009-05-27 04:00:00,32.55,33.005,31.98,32.04,4538762
2009-05-28 04:00:00,32.06,32.42,31.31,32.2,3874588
2009-05-29 04:00:00,32.48,33.22,32.29,33.19,4675491
2009-06-01 04:00:00,33.65,35.57,33.56,35.36,7241419
2009-06-02 04:00:00,35.31,35.58,34.6,35.21,6144800
2009-06-03 04:00:00,34.94,35.08,34.1,34.68,4629200
2009-06-04 04:00:00,34.67,35.56,34.52,35.46,4021182
2009-06-05 04:00:00,36.45,36.66,35.58,35.75,5908811
2009-06-08 04:00:00,35.72,36.0,35.09,35.66,4555189
2009-06-09 04:00:00,35.77,35.97,35.26,35.7,4454275
2009-06-10 04:00:00,35.96,36.18,35.08,35.6,4402291
2009-06-11 04:00:00,35.75,36.33,35.73,35.8,5186650
2009-06-12 04:00:00,35.6,35.67,35.0475,35.35,4142899
2009-06-15 04:00:00,35.09,35.11,33.6,33.89,6818195
2009-06-16 04:00:00,34.06,34.16,32.89,33.13,7757085
2009-06-17 04:00:00,33.07,33.24,32.41,32.77,6140684
2009-06-18 04:00:00,32.86,33.19,32.25,32.99,5641417
2009-06-19 04:00:00,33.07,33.37,32.76,32.81,5690255
2009-06-22 04:00:00,32.57,32.57,31.53,31.58,5029988
2009-06-23 04:00:00,31.46,31.65,30.94,31.44,6989307
2009-06-24 04:00:00,31.69,32.11,30.81,31.01,7972305
2009-06-25 04:00:00,30.89,32.2,30.89,31.84,6634054
2009-06-26 04:00:00,31.86,32.34,31.67,31.78,4049053
2009-06-29 04:00:00,31.91,32.32,31.56,32.2,3833777
2009-06-30 04:00:00,32.3,32.3,31.21,31.42,4137111
2009-07-01 04:00:00,31.59,32.14,31.38,31.88,4773983
2009-07-02 04:00:00,31.4,31.61,30.58,30.62,4240715
2009-07-06 04:00:00,30.5,30.6,29.91,30.29,4158006
2009-07-07 04:00:00,30.33,30.39,29.21,29.27,6671537
2009-07-08 04:00:00,29.38,29.79,29.17,29.48,8106663
2009-07-09 04:00:00,29.68,29.83,29.325,29.66,6683153
2009-07-10 04:00:00,29.53,30.08,29.3,30.02,5947460
2009-07-13 04:00:00,30.15,30.83,29.94,30.8,5523393
2009-07-14 04:00:00,30.87,31.23,30.71,31.2,5111602
2009-07-15 04:00:00,31.54,32.5,31.41,32.41,6006430
2009-07-16 04:00:00,32.36,33.0,32.28,32.81,3193497
2009-07-17 04:00:00,32.71,32.94,32.15,32.41,5385139
2009-07-20 04:00:00,32.53,33.43,32.53,33.35,4355988
2009-07-21 04:00:00,33.77,33.95,32.83,33.41,6937944
2009-07-22 04:00:00,33.24,33.73,33.24,33.36,3252707
2009-07-23 04:00:00,33.44,34.35,33.07,34.22,5480610
2009-07-24 04:00:00,33.95,34.07,33.16,33.95,5884824
2009-07-27 04:00:00,33.2,34.33,33.2,34.27,7947157
2009-07-28 04:00:00,33.9,34.36,33.61,34.14,4651507
2009-07-29 04:00:00,33.87,34.19,33.65,34.04,4781686
2009-07-30 04:00:00,34.39,34.86,34.26,34.47,4422877
2009-07-31 04:00:00,34.48,34.87,34.26,34.66,4373219
2009-08-03 04:00:00,35.01,35.34,34.59,35.27,5843504
2009-08-04 04:00:00,35.07,35.67,35.0,35.63,4366525
2009-08-05 04:00:00,35.6,35.71,35.02,35.23,5135379
2009-08-06 04:00:00,35.5,35.59,35.16,35.3,4625285
2009-08-07 04:00:00,35.87,36.73,35.7,36.38,5624794
2009-08-10 04:00:00,36.29,36.34,35.65,35.99,3249407
2009-08-11 04:00:00,35.79,35.92,35.125,35.4,3275060
2009-08-12 04:00:00,35.31,36.87,35.31,36.5,5020690
2009-08-13 04:00:00,36.61,36.72,35.86,36.22,3736385
2009-08-14 04:00:00,36.26,36.44,35.57,35.89,4136949
2009-08-17 04:00:00,35.26,35.54,34.67,34.91,4148942
2009-08-18 04:00:00,34.77,35.08,34.55,35.02,3771233
2009-08-19 04:00:00,34.73,35.17,34.5,35.05,3679969
2009-08-20 04:00:00,35.18,35.47,34.93,35.37,3209758
2009-08-21 04:00:00,35.92,36.48,35.5,36.32,5366161
2009-08-24 04:00:00,36.39,37.41,36.32,37.29,7669144
2009-08-25 04:00:00,37.56,37.98,37.13,37.54,4742492
2009-08-26 04:00:00,37.38,37.52,36.88,37.11,4398113
2009-08-27 04:00:00,37.22,37.77,37.07,37.35,6053805
2009-08-28 04:00:00,37.73,37.84,36.9,37.25,3521127
2009-08-31 04:00:00,37.03,37.03,36.41,36.76,4006849
2009-09-01 04:00:00,36.66,37.3,35.8,35.9,6064517
2009-09-02 04:00:00,35.92,36.1,35.59,35.73,4680505
2009-09-03 04:00:00,35.99,36.33,35.56,36.27,6567673
2009-09-04 04:00:00,36.3,37.24,36.17,37.17,5364189
2009-09-08 04:00:00,37.5,37.9695,37.31,37.82,5742901
2009-09-09 04:00:00,37.94,38.63,37.69,38.48,5921733
2009-09-10 04:00:00,38.7,39.42,38.13,39.39,5336202
2009-09-11 04:00:00,39.51,39.51,38.54,38.91,6975704
2009-09-14 04:00:00,38.83,40.0,38.5,39.97,7287346
2009-09-15 04:00:00,40.14,40.2,39.66,39.78,4860315
2009-09-16 04:00:00,40.07,40.2,39.365,40.03,5509416
2009-09-17 04:00:00,40.02,40.55,39.65,40.13,7014699
2009-09-18 04:00:00,40.03,40.45,39.92,40.17,5414567
2009-09-21 04:00:00,39.86,39.93,39.14,39.32,5466731
