Date,Open,High,Low,Close,Volume
2009-05-14 04:00:00,30.64,32.19,30.22,31.78,2140141
2009-05-15 04:00:00,32.03,33.1,31.34,31.54,2903414
2009-05-18 04:00:00,31.81,31.81,30.16,31.4,3090375
2009-05-19 04:00:00,31.12,31.98,30.83,31.11,1506601
2009-05-20 04:00:00,31.25,32.23,31.05,31.26,1857170
2009-05-21 04:00:00,31.07,32.06,30.38,30.7,1719260
2009-05-22 04:00:00,30.76,31.2,30.18,30.43,1100563
2009-05-26 04:00:00,30.38,31.3,29.56,31.1,2335570
2009-05-27 04:00:00,31.06,31.85,30.88,31.17,1532595
2009-05-28 04:00:00,31.22,32.24,31.12,31.3,1411742
2009-05-29 04:00:00,31.39,31.59,30.73,31.37,1397308
2009-06-01 04:00:00,31.54,32.35,31.36,32.16,1723877
2009-06-02 04:00:00,32.12,32.91,31.62,32.15,1639116
2009-06-03 04:00:00,31.01,31.75,30.55,31.05,3044693
2009-06-04 04:00:00,31.36,31.67,30.59,31.01,2044821
2009-06-05 04:00:00,31.45,31.5835,30.05,30.98,1779364
2009-06-08 04:00:00,30.85,30.95,29.5,29.89,2802833
2009-06-09 04:00:00,30.25,30.25,29.05,29.2,2456951
2009-06-10 04:00:00,29.4,29.71,29.01,29.48,2883971
2009-06-11 04:00:00,28.85,29.7,28.29,29.08,3043831
2009-06-12 04:00:00,28.9,29.63,28.44,29.42,1880310
2009-06-15 04:00:00,29.17,29.21,28.12,28.19,2341047
2009-06-16 04:00:00,28.2,29.58,27.75,28.28,3229829
2009-06-17 04:00:00,28.3,29.06,28.07,28.3,2121569
2009-06-18 04:00:00,28.46,30.76,28.38,30.64,5212337
2009-06-19 04:00:00,31.35,32.63,30.89,31.59,4568860
2009-06-22 04:00:00,31.13,31.21,29.52,29.72,2244211
2009-06-23 04:00:00,29.91,30.37,29.16,29.76,1815825
2009-06-24 04:00:00,30.0,30.69,29.57,30.49,2224665
2009-06-25 04:00:00,30.43,32.52,30.22,31.52,3223685
2009-06-26 04:00:00,31.59,31.88,30.93,31.65,1729861
2009-06-29 04:00:00,31.7,31.88,30.93,31.37,2235215
2009-06-30 04:00:00,31.37,32.44,31.26,32.31,3483629
2009-07-01 04:00:00,32.3,33.19,31.97,32.55,2475920
2009-07-02 04:00:00,32.03,32.23,31.02,31.06,2060814
2009-07-06 04:00:00,30.99,31.57,30.5,30.9,1748424
2009-07-07 04:00:00,30.82,33.035,30.65,31.98,5488877
2009-07-08 04:00:00,32.07,32.07,30.35,30.83,3402782
