Date,Open,High,Low,Close,Volume
2009-05-14 04:00:00,35.19,35.66,34.4386,35.45,1418663
2009-05-15 04:00:00,35.14,35.75,34.73,35.62,860223
2009-05-18 04:00:00,35.48,36.88,35.09,36.75,1457058
2009-05-19 04:00:00,36.71,37.3,36.05,37.23,1292353
2009-05-20 04:00:00,37.11,37.25,36.4,36.55,862719
2009-05-21 04:00:00,36.26,36.7,35.32,35.63,654785
2009-05-22 04:00:00,36.86,36.86,35.38,35.63,609267
2009-05-26 04:00:00,35.08,36.185,35.05,35.9,814861
2009-05-27 04:00:00,35.76,36.87,35.25,35.65,779699
2009-05-28 04:00:00,35.65,35.93,35.19,35.88,1280891
2009-05-29 04:00:00,35.55,36.77,35.29,36.65,1025558
2009-06-01 04:00:00,37.45,38.07,37.16,37.89,1263894
2009-06-02 04:00:00,36.97,38.53,36.97,38.03,1308925
2009-06-03 04:00:00,37.5,39.67,37.5,38.75,1638729
2009-06-04 04:00:00,38.75,39.1,38.53,38.84,1072285
2009-06-05 04:00:00,38.93,38.99,38.11,38.72,765437
2009-06-08 04:00:00,38.31,38.59,37.62,37.87,770525
2009-06-09 04:00:00,38.38,38.7,38.12,38.28,1341092
2009-06-10 04:00:00,38.92,38.97,37.08,37.87,1501328
2009-06-11 04:00:00,38.0,39.92,37.76,39.47,1451394
2009-06-12 04:00:00,38.47,39.35,37.46,38.06,1967254
2009-06-15 04:00:00,38.0,38.0,37.0,37.2,581936
2009-06-16 04:00:00,37.69,37.84,36.23,36.37,1412012
2009-06-17 04:00:00,36.65,36.78,36.07,36.23,1703303
2009-06-18 04:00:00,36.28,36.64,35.7,36.3,1275382
2009-06-19 04:00:00,36.42,37.1,36.19,36.87,1195773
2009-06-22 04:00:00,36.08,36.84,35.7,35.89,1643554
2009-06-23 04:00:00,36.0,36.52,35.42,35.93,879131
2009-06-24 04:00:00,35.9,36.875,35.72,36.71,842721
2009-06-25 04:00:00,36.37,38.17,36.12,37.79,1646127
2009-06-26 04:00:00,37.5,38.26,37.1,38.15,1047550
2009-06-29 04:00:00,38.16,39.04,37.47,38.73,1465665
2009-06-30 04:00:00,38.87,39.25,38.5,38.94,931055
2009-07-01 04:00:00,39.23,39.23,38.03,38.05,820069
2009-07-02 04:00:00,32.85,34.29,32.5,33.47,9576216
2009-07-06 04:00:00,32.76,33.3,32.33,32.94,3685384
2009-07-07 04:00:00,32.96,33.1499,31.56,31.65,2576556
2009-07-08 04:00:00,31.5,31.95,30.73,31.1,2896178
2009-07-09 04:00:00,32.6,32.62,31.86,32.54,3305861
2009-07-10 04:00:00,32.0,32.73,32.0,32.18,2436166
2009-07-13 04:00:00,31.94,32.17,31.46,31.91,1534767
2009-07-14 04:00:00,31.78,32.365,31.735,31.9,1295800
2009-07-15 04:00:00,32.31,32.31,31.65,32.08,1714804
2009-07-16 04:00:00,32.1,32.55,31.83,32.3,1439155
2009-07-17 04:00:00,32.0,32.5,31.7,31.89,1650856
2009-07-20 04:00:00,31.85,32.24,31.6,32.04,1886277
2009-07-21 04:00:00,32.04,33.01,31.86,32.95,2823478
2009-07-22 04:00:00,35.5,36.24,34.88,35.38,5978587
2009-07-23 04:00:00,35.65,36.28,35.09,35.16,1751184
2009-07-24 04:00:00,34.79,35.71,34.79,35.52,996567
2009-07-27 04:00:00,35.08,36.1,35.01,36.01,1092065
2009-07-28 04:00:00,35.36,36.86,35.11,36.66,2220342
2009-07-29 04:00:00,35.81,37.15,35.77,36.99,1859506
2009-07-30 04:00:00,37.25,37.4,36.41,36.57,869780
2009-07-31 04:00:00,36.62,36.86,36.0,36.14,667740
2009-08-03 04:00:00,36.42,37.11,36.02,37.06,985445
2009-08-04 04:00:00,36.57,37.5,36.57,37.48,970498
2009-08-05 04:00:00,37.16,37.2,36.47,36.78,625035
2009-08-06 04:00:00,36.74,36.74,35.52,36.12,832948
2009-08-07 04:00:00,37.06,37.16,36.2,36.6,923991
2009-08-10 04:00:00,36.13,36.5599,35.88,36.12,599039
2009-08-11 04:00:00,36.0,36.22,35.3801,35.72,619114
2009-08-12 04:00:00,36.22,36.86,35.5,36.32,784864
2009-08-13 04:00:00,36.34,37.19,35.95,37.14,1270461
2009-08-14 04:00:00,37.01,37.03,35.88,36.35,1006879
2009-08-17 04:00:00,35.85,36.17,35.36,35.52,1162802
2009-08-18 04:00:00,35.53,35.76,35.16,35.28,957779
2009-08-19 04:00:00,35.0,35.86,34.82,35.72,574669
2009-08-20 04:00:00,35.34,36.0,35.21,35.75,397077
2009-08-21 04:00:00,35.06,36.0896,35.0,35.55,1280304
2009-08-24 04:00:00,35.5,35.55,35.02,35.28,662465
2009-08-25 04:00:00,35.35,35.8,34.975,35.14,1082385
2009-08-26 04:00:00,35.02,35.67,34.99,35.24,782453
2009-08-27 04:00:00,35.21,35.325,34.43,35.07,911321
2009-08-28 04:00:00,35.22,35.39,34.6,35.22,754466
