Date,Open,High,Low,Close,Volume
2008-01-02 05:00:00,1.7,1.75,1.69,1.69,8760
2008-01-03 05:00:00,1.67,1.7,1.64,1.64,1500
2008-01-04 05:00:00,1.59,1.63,1.59,1.6,2050
2008-01-07 05:00:00,1.63,1.63,1.63,1.63,300
2008-01-08 05:00:00,1.66,1.74,1.64,1.65,4004
2008-01-09 05:00:00,1.63,1.67,1.6,1.61,7725
2008-01-10 05:00:00,1.6,1.62,1.6,1.6,4626
2008-01-11 05:00:00,1.6,1.64,1.6,1.6,2690
2008-01-14 05:00:00,1.62,1.62,1.4601,1.4801,5087
2008-01-15 05:00:00,1.4996,1.52,1.4996,1.52,475
2008-01-16 05:00:00,1.49,1.49,1.4,1.44,1075
2008-01-17 05:00:00,1.43,1.43,1.43,1.43,200
2008-01-18 05:00:00,1.4101,1.44,1.37,1.37,4900
2008-01-22 05:00:00,1.4,1.4,1.37,1.38,1042
2008-01-23 05:00:00,1.35,1.36,1.31,1.31,809
2008-01-24 05:00:00,1.32,1.32,1.05,1.14,6649
2008-01-25 05:00:00,1.32,1.32,1.15,1.2,3925
2008-01-29 05:00:00,1.2,1.23,1.15,1.15,2280
2008-01-30 05:00:00,1.2,1.22,1.18,1.2,2600
2008-01-31 05:00:00,1.19,1.44,1.16,1.44,8212
2008-02-01 05:00:00,1.32,1.32,1.29,1.3,405
2008-02-04 05:00:00,1.3,1.3,1.28,1.3,400
2008-02-05 05:00:00,1.3,1.3,1.21,1.24,1100
2008-02-06 05:00:00,1.25,1.25,1.2492,1.2492,900
2008-02-07 05:00:00,1.24,1.25,1.17,1.17,900
2008-02-11 05:00:00,1.15,1.24,1.15,1.24,378
2008-02-12 05:00:00,1.1601,1.1601,1.12,1.16,2197
2008-02-13 05:00:00,1.19,1.19,1.12,1.19,1000
2008-02-14 05:00:00,1.12,1.19,1.12,1.19,518
2008-02-15 05:00:00,1.1408,1.2,1.1408,1.2,256
2008-02-19 05:00:00,1.12,1.15,1.12,1.15,723
2008-02-20 05:00:00,1.13,1.22,1.13,1.22,785
2008-02-21 05:00:00,1.23,1.23,1.18,1.18,300
2008-02-22 05:00:00,1.19,1.19,1.19,1.19,400
2008-02-25 05:00:00,1.25,1.25,1.05,1.13,15989
2008-02-26 05:00:00,1.0801,1.1284,1.0801,1.1284,630
2008-02-27 05:00:00,1.13,1.14,1.13,1.14,300
2008-02-28 05:00:00,1.09,1.13,1.06,1.06,2400
2008-02-29 05:00:00,1.05,1.14,1.05,1.1,11525
2008-03-03 05:00:00,0.8,1.06,0.8,1.0,20886
2008-03-04 05:00:00,0.99,0.9998,0.95,0.9998,300
2008-03-05 05:00:00,1.01,1.01,1.01,1.01,500
2008-03-06 05:00:00,1.01,1.01,1.01,1.01,200
2008-03-07 05:00:00,0.97,0.97,0.97,0.97,100
2008-03-10 04:00:00,0.97,0.98,0.97,0.98,200
2008-03-11 04:00:00,0.99,0.99,0.81,0.86,6436
2008-03-12 04:00:00,0.79,0.88,0.74,0.82,9921
2008-03-13 04:00:00,0.82,0.82,0.7001,0.8044,3223
2008-03-14 04:00:00,0.76,0.8099,0.76,0.8099,3400
2008-03-17 04:00:00,0.7002,0.7799,0.7001,0.73,7550
2008-03-18 04:00:00,0.7001,0.7999,0.7001,0.7999,450
2008-03-19 04:00:00,0.67,0.72,0.58,0.67,2260
2008-03-20 04:00:00,0.82,0.82,0.66,0.71,2135
2008-03-24 04:00:00,0.7699,0.7699,0.7699,0.7699,100
2008-03-25 04:00:00,0.69,0.72,0.6,0.6499,13180
2008-03-26 04:00:00,0.64,0.7699,0.6261,0.7699,10432
2008-03-27 04:00:00,0.83,0.83,0.72,0.7499,1628
2008-03-28 04:00:00,0.7,0.7,0.7,0.7,100
2008-03-31 04:00:00,0.69,0.81,0.69,0.76,6200
2008-04-01 04:00:00,0.73,0.7899,0.65,0.6999,12464
2008-04-02 04:00:00,0.6542,0.6999,0.65,0.6999,4775
2008-04-03 04:00:00,0.68,0.9298,0.68,0.9,43196
2008-04-04 04:00:00,0.9199,0.95,0.82,0.93,5546
2008-04-07 04:00:00,1.0,1.0,0.82,0.87,6120
2008-04-08 04:00:00,0.76,0.86,0.75,0.86,2850
2008-04-09 04:00:00,0.77,0.8,0.76,0.8,400
