Date,Open,High,Low,Close,Volume
2009-05-18 04:00:00,15.32,15.55,15.18,15.55,38700230
2009-05-19 04:00:00,15.48,15.91,15.2658,15.65,55645584
2009-05-20 04:00:00,15.82,16.05,15.49,15.58,55799760
2009-05-21 04:00:00,15.35,15.4301,15.05,15.21,54907783
2009-05-22 04:00:00,15.23,15.26,15.01,15.06,41251156
2009-05-26 04:00:00,15.0,15.51,15.0,15.48,57338618
2009-05-27 04:00:00,15.52,15.86,15.34,15.44,57994854
2009-05-28 04:00:00,15.53,15.72,15.15,15.71,56062826
2009-05-29 04:00:00,15.75,15.79,15.241,15.71,65129228
2009-06-01 04:00:00,16.03,16.59,15.97,16.52,71255904
2009-06-02 04:00:00,16.25,16.54,16.05,16.17,55597737
2009-06-03 04:00:00,15.95,16.04,15.721,15.93,45332543
2009-06-04 04:00:00,15.99,16.25,15.881,16.12,44548189
2009-06-05 04:00:00,16.31,16.45,15.79,15.92,59108569
2009-06-08 04:00:00,15.86,16.1,15.61,15.93,39975255
2009-06-09 04:00:00,16.21,16.61,16.13,16.44,60249758
2009-06-10 04:00:00,16.58,16.61,16.15,16.45,44923011
2009-06-11 04:00:00,16.49,16.7,16.3,16.34,49525571
2009-06-12 04:00:00,16.24,16.31,16.02,16.31,45724688
2009-06-15 04:00:00,16.1,16.17,15.72,15.97,48228544
2009-06-16 04:00:00,16.05,16.19,15.8,15.85,50948461
2009-06-17 04:00:00,15.83,16.29,15.81,16.15,55537599
2009-06-18 04:00:00,16.14,16.22,15.85,15.85,54743661
2009-06-19 04:00:00,16.0,16.18,15.85,16.0,51028677
2009-06-22 04:00:00,15.91,16.17,15.63,15.67,60509390
2009-06-23 04:00:00,15.87,15.99,15.61,15.84,65782268
2009-06-24 04:00:00,16.04,16.309,15.99,16.1,50236607
2009-06-25 04:00:00,16.05,16.35,15.91,16.32,51863977
2009-06-26 04:00:00,16.18,16.43,16.14,16.29,36611517
2009-06-29 04:00:00,16.45,16.66,16.27,16.39,55726588
2009-06-30 04:00:00,16.39,16.64,16.24,16.53,57324881
2009-07-01 04:00:00,16.67,17.31,16.67,17.05,86811411
2009-07-02 04:00:00,16.87,16.95,16.68,16.71,51227225
2009-07-06 04:00:00,16.61,16.84,16.37,16.53,44575774
2009-07-07 04:00:00,16.84,16.93,16.2,16.25,65795660
2009-07-08 04:00:00,16.31,16.36,15.78,15.95,76740471
2009-07-09 04:00:00,16.09,16.28,15.96,16.01,62215096
2009-07-10 04:00:00,15.97,16.22,15.86,16.04,47835335
2009-07-13 04:00:00,16.15,16.54,15.9,16.47,56149086
2009-07-14 04:00:00,16.52,16.89,16.46,16.83,77912513
2009-07-15 04:00:00,17.99,18.19,17.72,18.05,168853955
2009-07-16 04:00:00,17.95,18.59,17.94,18.53,84852022
2009-07-17 04:00:00,18.51,18.81,18.25,18.8,76318364
2009-07-20 04:00:00,18.87,18.93,18.52,18.91,72702436
2009-07-21 04:00:00,18.9,18.92,18.51,18.89,59233478
2009-07-22 04:00:00,18.87,19.28,18.84,19.14,106080633
2009-07-23 04:00:00,19.09,19.58,18.99,19.48,81827683
2009-07-24 04:00:00,19.13,19.4,19.01,19.36,47777952
2009-07-27 04:00:00,19.29,19.49,19.15,19.49,39673973
2009-07-28 04:00:00,19.29,19.46,19.05,19.39,56400521
2009-07-29 04:00:00,19.29,19.44,19.11,19.42,46885263
2009-07-30 04:00:00,19.57,19.8,19.3,19.34,56950351
2009-07-31 04:00:00,19.34,19.56,19.25,19.26,41018639
2009-08-03 04:00:00,19.5,19.56,19.18,19.37,40012343
2009-08-04 04:00:00,19.22,19.38,19.15,19.32,43848935
2009-08-05 04:00:00,19.27,19.3,18.86,18.87,56304925
2009-08-06 04:00:00,18.93,19.18,18.56,18.69,62847613
2009-08-07 04:00:00,18.94,19.0,18.5,18.65,56362430
2009-08-10 04:00:00,18.6,18.825,18.56,18.78,45385235
2009-08-11 04:00:00,18.7,18.95,18.62,18.64,30102761
2009-08-12 04:00:00,18.68,19.09,18.66,18.84,50415638
2009-08-13 04:00:00,18.97,19.08,18.78,19.06,41616757
2009-08-14 04:00:00,18.97,19.0,18.58,18.76,40177720
2009-08-17 04:00:00,18.44,18.58,18.41,18.47,41990421
2009-08-18 04:00:00,18.49,18.87,18.46,18.76,39807971
2009-08-19 04:00:00,18.55,18.89,18.51,18.8,45460025
2009-08-20 04:00:00,18.73,18.81,18.5601,18.71,41104301
2009-08-21 04:00:00,18.89,18.92,18.55,18.9,51141296
2009-08-24 04:00:00,18.97,19.0,18.66,18.76,37212350
2009-08-25 04:00:00,18.76,19.25,18.74,19.12,55507659
2009-08-26 04:00:00,19.21,19.49,19.13,19.44,53187962
2009-08-27 04:00:00,19.35,19.53,19.16,19.48,47471831
2009-08-28 04:00:00,20.26,20.65,20.17,20.25,91306445
2009-08-31 04:00:00,20.09,20.38,19.97,20.33,48434385
2009-09-01 04:00:00,20.22,20.58,19.66,19.7,68276844
2009-09-02 04:00:00,19.62,19.83,19.47,19.48,39880885
2009-09-03 04:00:00,19.62,19.63,19.23,19.42,45228966
2009-09-04 04:00:00,19.43,19.69,19.28,19.66,44449723
2009-09-08 04:00:00,19.88,19.99,19.55,19.79,41782279
2009-09-09 04:00:00,19.81,20.15,19.61,19.92,46809445
2009-09-10 04:00:00,19.88,20.08,19.65,19.76,45237148
2009-09-11 04:00:00,19.9,19.94,19.37,19.51,56316844
2009-09-14 04:00:00,19.32,19.49,19.28,19.36,50423659
2009-09-15 04:00:00,19.54,19.705,19.4,19.54,44217863
2009-09-16 04:00:00,19.7,19.75,19.44,19.67,44851506
2009-09-17 04:00:00,19.63,19.89,19.22,19.4,57960271
2009-09-18 04:00:00,19.53,19.7,19.37,19.56,48533948
2009-09-21 04:00:00,19.47,19.755,19.42,19.54,34071893
2009-09-22 04:00:00,19.63,19.7301,19.45,19.54,34873275
2009-09-23 04:00:00,19.63,20.24,19.6,19.88,67831069
2009-09-24 04:00:00,19.87,20.0,19.45,19.54,48344671
