Date,Open,High,Low,Close,Volume
2009-05-18 04:00:00,55.8,56.12,55.22,56.1,11616975
2009-05-19 04:00:00,56.21,56.21,55.7,55.86,12414687
2009-05-20 04:00:00,56.22,56.48,55.8,55.85,13205816
2009-05-21 04:00:00,55.43,55.58,54.45,55.03,11392425
2009-05-22 04:00:00,55.1,55.44,54.63,54.78,7077832
2009-05-26 04:00:00,54.69,55.42,54.12,55.3,10601337
2009-05-27 04:00:00,55.44,55.5,54.16,54.2,11524113
2009-05-28 04:00:00,54.25,54.92,53.86,54.53,10306084
2009-05-29 04:00:00,54.59,55.28,54.0,55.26,9422348
2009-06-01 04:00:00,55.75,56.05,55.27,55.88,11486266
2009-06-02 04:00:00,56.05,56.48,55.62,56.21,9395475
2009-06-03 04:00:00,55.9,56.3,55.66,56.19,8605415
2009-06-04 04:00:00,56.36,56.4,55.47,55.79,10962687
2009-06-05 04:00:00,55.81,56.2,55.14,55.97,9446451
2009-06-08 04:00:00,55.78,56.14,55.16,55.61,9146305
2009-06-09 04:00:00,56.22,56.25,55.65,55.7,10536667
2009-06-10 04:00:00,56.02,56.25,55.22,55.61,10235456
2009-06-11 04:00:00,55.65,56.48,55.61,56.02,11900341
2009-06-12 04:00:00,55.88,56.54,55.72,56.08,11434035
2009-06-15 04:00:00,55.66,55.98,54.54,54.74,13435993
2009-06-16 04:00:00,55.01,55.32,54.59,54.64,11814413
2009-06-17 04:00:00,54.68,55.53,54.55,55.24,11112103
2009-06-18 04:00:00,55.37,56.17,55.01,55.75,11155247
2009-06-19 04:00:00,56.28,56.65,55.91,56.1,17268865
2009-06-22 04:00:00,55.87,55.96,55.385,55.45,11606677
2009-06-23 04:00:00,55.54,55.59,54.91,54.96,11531635
2009-06-24 04:00:00,55.26,55.83,55.0382,55.49,11429905
2009-06-25 04:00:00,55.29,56.44,55.12,56.27,12995186
2009-06-26 04:00:00,56.21,56.57,55.65,56.42,10667532
2009-06-29 04:00:00,56.48,57.0,56.03,57.0,11616333
2009-06-30 04:00:00,57.23,57.23,56.23,56.78,13423740
2009-07-01 04:00:00,56.82,57.18,56.39,57.06,13737088
2009-07-02 04:00:00,56.73,56.73,55.95,55.96,13431427
2009-07-06 04:00:00,56.11,56.76,55.71,56.63,11311710
2009-07-07 04:00:00,56.61,56.71,56.13,56.19,8889442
2009-07-08 04:00:00,56.22,57.22,56.22,57.11,13972737
2009-07-09 04:00:00,57.1,57.25,56.29,56.63,10798698
2009-07-10 04:00:00,56.43,57.38,56.25,56.9,12291247
2009-07-13 04:00:00,56.73,57.86,56.73,57.67,12154619
2009-07-14 04:00:00,58.0,58.71,57.44,58.25,19223724
2009-07-15 04:00:00,58.46,59.0,58.22,58.97,11766587
2009-07-16 04:00:00,58.94,59.7,58.82,59.2,10550087
2009-07-17 04:00:00,59.56,59.56,58.74,59.19,10359898
2009-07-20 04:00:00,59.46,59.46,58.74,59.04,8174387
2009-07-21 04:00:00,59.31,59.9,58.82,59.47,10323940
2009-07-22 04:00:00,59.43,59.62,58.95,59.19,8751700
2009-07-23 04:00:00,59.26,60.35,59.1,60.2,10931948
2009-07-24 04:00:00,60.26,61.62,60.22,61.55,10800267
2009-07-27 04:00:00,61.49,61.69,60.62,61.328,7091347
2009-07-28 04:00:00,61.03,61.57,60.6,60.87,8352156
2009-07-29 04:00:00,60.92,61.44,60.69,61.2,9109953
2009-07-30 04:00:00,61.66,62.47,61.52,61.73,11695568
2009-07-31 04:00:00,61.83,62.17,60.78,60.84,11666443
2009-08-03 04:00:00,61.0,61.19,60.43,61.09,10416628
2009-08-04 04:00:00,61.15,61.15,60.67,61.05,7926516
2009-08-05 04:00:00,61.19,61.23,60.29,60.39,7798900
2009-08-06 04:00:00,60.67,60.67,59.7,59.91,9414439
