Date,Open,High,Low,Close,Volume
2009-05-18 04:00:00,35.69,37.35,35.2,37.11,60236827
2009-05-19 04:00:00,37.29,37.68,35.77,35.87,55876437
2009-05-20 04:00:00,36.61,36.76,34.26,34.54,69571509
2009-05-21 04:00:00,34.19,35.36,33.67,34.86,60773046
2009-05-22 04:00:00,35.22,35.3,34.5,34.54,35022933
2009-05-26 04:00:00,34.26,36.56,34.12,36.4,58703311
2009-05-27 04:00:00,36.5,36.72,34.76,34.86,67938780
2009-05-28 04:00:00,35.14,36.67,34.6,36.56,59035209
2009-05-29 04:00:00,36.95,37.06,35.68,37.03,54328433
2009-06-01 04:00:00,37.4,37.73,35.77,36.71,78195212
2009-06-02 04:00:00,35.07,35.52,34.45,34.52,139592940
2009-06-03 04:00:00,34.47,34.97,33.65,34.11,66380652
2009-06-04 04:00:00,34.35,35.44,34.23,35.19,62869893
2009-06-05 04:00:00,35.72,35.76,34.5,34.79,56195835
2009-06-08 04:00:00,34.55,35.73,34.55,35.4,58998088
2009-06-09 04:00:00,35.72,35.78,35.09,35.27,53210706
2009-06-10 04:00:00,35.58,35.67,34.37,34.8,55306561
2009-06-11 04:00:00,35.07,35.87,34.54,34.97,63754469
2009-06-12 04:00:00,34.84,35.44,34.8,35.15,40063076
2009-06-15 04:00:00,34.88,35.04,33.93,33.99,49906156
2009-06-16 04:00:00,34.25,34.39,33.38,33.44,52496065
2009-06-17 04:00:00,33.43,33.52,32.18,32.75,61365225
2009-06-18 04:00:00,32.85,34.31,32.84,34.18,50569384
2009-06-19 04:00:00,34.65,35.12,33.79,34.95,58887541
2009-06-22 04:00:00,34.69,35.0,32.86,32.93,58883630
2009-06-23 04:00:00,33.11,34.09,32.925,33.53,51866879
2009-06-24 04:00:00,33.78,33.93,33.07,33.42,48404775
2009-06-25 04:00:00,33.49,34.18,32.81,34.12,51295278
2009-06-26 04:00:00,34.01,34.74,33.48,34.48,42307850
2009-06-29 04:00:00,34.55,34.7,34.04,34.54,30663878
2009-06-30 04:00:00,34.6,34.79,33.87,34.27,36010012
2009-07-01 04:00:00,34.27,34.57,33.65,33.76,32549983
2009-07-02 04:00:00,33.36,33.4,32.45,32.61,34267454
2009-07-06 04:00:00,32.04,32.6,31.59,32.53,56960039
2009-07-07 04:00:00,32.67,33.4,32.13,32.83,52687995
2009-07-08 04:00:00,32.93,33.49,31.79,32.72,66013809
2009-07-09 04:00:00,32.95,33.75,32.87,33.58,38119717
2009-07-10 04:00:00,33.31,33.67,32.21,32.32,47410021
2009-07-13 04:00:00,32.87,34.68,32.43,34.59,61658301
2009-07-14 04:00:00,34.53,35.09,34.06,34.67,49696880
2009-07-15 04:00:00,35.11,36.765,35.01,36.33,76118658
2009-07-16 04:00:00,35.5,36.41,35.22,36.15,62306088
2009-07-17 04:00:00,36.42,37.2,36.18,36.89,58882953
2009-07-20 04:00:00,37.02,37.44,36.59,36.97,40606264
2009-07-21 04:00:00,37.1,37.31,36.6,36.95,40342098
2009-07-22 04:00:00,36.38,37.33,36.21,36.83,34841400
