Date,Open,High,Low,Close,Volume
2009-05-12 04:00:00,51.89,52.05,51.3,51.84,2012661
2009-05-13 04:00:00,51.6,52.0,51.28,51.53,2126848
2009-05-14 04:00:00,51.65,51.77,50.5,50.55,2330158
2009-05-15 04:00:00,50.53,51.0,50.33,50.5,2748823
2009-05-18 04:00:00,50.88,52.05,50.64,52.02,2327056
2009-05-19 04:00:00,51.96,52.033,51.14,51.16,3107625
2009-05-20 04:00:00,51.49,51.98,51.28,51.35,1887212
2009-05-21 04:00:00,50.99,51.28,50.35,50.79,2059043
2009-05-22 04:00:00,50.84,51.65,50.79,51.19,1431701
2009-05-26 04:00:00,51.1,52.57,50.88,52.51,2461780
2009-05-27 04:00:00,52.57,52.69,50.97,51.13,2156629
2009-05-28 04:00:00,51.1,51.67,50.73,51.54,2112072
2009-05-29 04:00:00,51.68,51.89,50.98,51.89,1909842
2009-06-01 04:00:00,52.31,53.61,51.97,53.46,2691022
2009-06-02 04:00:00,53.28,54.31,53.12,53.87,2478816
2009-06-03 04:00:00,53.13,53.58,52.62,52.99,1905010
2009-06-04 04:00:00,53.0,53.14,52.36,52.6,1632315
2009-06-05 04:00:00,52.97,53.09,52.12,52.4,1841820
2009-06-08 04:00:00,52.16,53.18,52.16,52.78,3000951
2009-06-09 04:00:00,53.04,53.09,52.34,52.56,2186335
2009-06-10 04:00:00,52.97,53.12,51.98,52.49,1892973
2009-06-11 04:00:00,52.5,52.97,52.37,52.45,1779792
2009-06-12 04:00:00,52.16,52.95,52.15,52.7,1423211
2009-06-15 04:00:00,51.51,51.95,51.0,51.45,2643874
2009-06-16 04:00:00,51.53,51.53,50.76,50.86,2787273
2009-06-17 04:00:00,51.0,51.615,50.82,50.93,2845497
2009-06-18 04:00:00,51.15,51.6,51.14,51.33,2269453
2009-06-19 04:00:00,51.58,51.58,50.58,50.62,3118593
2009-06-22 04:00:00,50.42,51.4,50.42,51.09,2452717
2009-06-23 04:00:00,51.27,51.53,50.99,51.12,2304833
2009-06-24 04:00:00,51.4,51.92,51.26,51.75,2961730
2009-06-25 04:00:00,51.7,52.8,51.17,52.73,2897421
2009-06-26 04:00:00,52.71,52.95,51.75,52.33,2658208
2009-06-29 04:00:00,52.49,53.21,52.02,53.198,1870755
2009-06-30 04:00:00,53.12,53.22,52.09,52.48,1979033
2009-07-01 04:00:00,52.57,53.98,52.42,53.75,2401222
2009-07-02 04:00:00,53.23,53.42,52.65,53.26,2457278
2009-07-06 04:00:00,52.77,53.52,52.77,53.19,2566253
2009-07-07 04:00:00,53.05,53.39,52.7,52.88,2688897
2009-07-08 04:00:00,53.0,53.04,52.41,52.54,2573773
2009-07-09 04:00:00,52.74,52.78,51.91,52.07,2421106
2009-07-10 04:00:00,52.27,52.38,51.71,51.9,1713803
2009-07-13 04:00:00,52.1,53.25,51.98,53.1,2149120
2009-07-14 04:00:00,52.94,53.19,52.71,53.1,2777665
2009-07-15 04:00:00,53.5,53.97,53.04,53.89,2113786
2009-07-16 04:00:00,53.87,54.52,53.69,54.37,1977532
2009-07-17 04:00:00,54.45,54.61,54.2475,54.48,1423530
2009-07-20 04:00:00,54.66,54.88,54.04,54.8,1487868
2009-07-21 04:00:00,54.98,55.25,53.86,54.26,2077670
2009-07-22 04:00:00,54.15,54.8,54.11,54.44,2081744
2009-07-23 04:00:00,55.73,57.94,55.61,57.86,4946836
2009-07-24 04:00:00,57.41,58.33,57.38,57.97,2356243
2009-07-27 04:00:00,57.85,58.57,57.77,58.55,2116258
2009-07-28 04:00:00,58.34,58.95,58.16,58.79,2424779
2009-07-29 04:00:00,58.47,59.17,58.18,58.57,1991145
2009-07-30 04:00:00,58.66,58.97,57.92,58.31,2288491
2009-07-31 04:00:00,58.37,59.16,58.3,58.47,1882261
2009-08-03 04:00:00,58.82,58.82,57.66,58.25,2138957
2009-08-04 04:00:00,58.05,59.23,58.05,59.16,2338947
2009-08-05 04:00:00,58.9,58.94,58.14,58.54,1958923
2009-08-06 04:00:00,58.63,58.89,57.64,57.87,1615402
2009-08-07 04:00:00,58.06,58.18,57.41,57.53,2741436
2009-08-10 04:00:00,57.47,57.86,57.2,57.8,1687211
2009-08-11 04:00:00,57.48,58.28,57.48,58.1,1701525
2009-08-12 04:00:00,58.05,58.83,57.78,58.45,1636996
2009-08-13 04:00:00,58.33,58.9,58.04,58.9,2278799
2009-08-14 04:00:00,58.96,59.24,58.46,58.93,2443657
2009-08-17 04:00:00,58.44,58.58,58.15,58.39,1780533
2009-08-18 04:00:00,58.38,58.49,57.92,58.39,1630427
2009-08-19 04:00:00,58.1,58.97,58.08,58.94,1740281
2009-08-20 04:00:00,58.99,59.09,58.35,58.79,1656684
2009-08-21 04:00:00,59.05,59.67,58.67,59.51,2187637
2009-08-24 04:00:00,59.6,59.75,59.06,59.31,2045445
2009-08-25 04:00:00,59.26,59.75,59.11,59.54,1683879
2009-08-26 04:00:00,59.57,60.25,59.38,60.14,2253161
2009-08-27 04:00:00,60.17,60.26,59.49,59.79,1499653
2009-08-28 04:00:00,59.88,60.18,59.395,59.74,1564889
2009-08-31 04:00:00,59.58,60.48,59.58,60.46,1983590
2009-09-01 04:00:00,60.46,60.47,59.0,59.07,2388396
2009-09-02 04:00:00,58.62,58.88,58.07,58.31,2303664
2009-09-03 04:00:00,58.47,58.48,57.52,58.04,1480819
2009-09-04 04:00:00,58.31,58.31,57.85,58.18,1824259
2009-09-08 04:00:00,58.36,58.36,57.54,57.84,3229432
