Date,Open,High,Low,Close,Volume
2009-05-14 04:00:00,21.96,22.585,21.955,22.45,32058616
2009-05-15 04:00:00,22.415,22.54,22.317,22.49,24678352
2009-05-18 04:00:00,22.57,23.06,22.34,23.05,26547506
2009-05-19 04:00:00,23.05,23.465,22.91,23.335,29871730
2009-05-20 04:00:00,23.405,23.645,23.27,23.49,31595562
2009-05-21 04:00:00,23.32,23.41,23.2,23.34,26941528
2009-05-22 04:00:00,23.335,23.855,23.285,23.67,23755782
2009-05-26 04:00:00,23.5,23.74,23.44,23.61,26728082
2009-05-27 04:00:00,23.565,23.595,23.27,23.31,17513130
2009-05-28 04:00:00,23.345,23.6,23.18,23.44,17198820
2009-05-29 04:00:00,23.505,24.565,23.475,24.56,37262632
2009-06-01 04:00:00,24.625,24.725,24.36,24.515,40074006
2009-06-02 04:00:00,24.505,24.965,24.44,24.83,31350930
2009-06-03 04:00:00,24.665,24.75,24.385,24.555,23042920
2009-06-04 04:00:00,24.57,24.895,24.355,24.855,18498494
2009-06-05 04:00:00,24.955,24.97,24.615,24.74,17997398
2009-06-08 04:00:00,24.615,24.815,24.405,24.69,14853968
2009-06-09 04:00:00,24.755,24.8,24.428,24.53,17013716
2009-06-10 04:00:00,24.65,24.68,24.025,24.21,23206502
2009-06-11 04:00:00,24.04,24.605,24.04,24.295,18352560
2009-06-12 04:00:00,24.34,24.52,24.24,24.445,16451126
2009-06-15 04:00:00,24.305,24.33,24.05,24.07,15335418
2009-06-16 04:00:00,24.095,24.165,23.91,23.925,14495594
2009-06-17 04:00:00,23.94,24.32,23.92,23.97,15107422
2009-06-18 04:00:00,23.995,24.82,23.98,24.76,22248470
2009-06-19 04:00:00,24.865,24.945,24.355,24.415,28096820
2009-06-22 04:00:00,24.26,24.405,24.0,24.01,17723598
2009-06-23 04:00:00,24.095,24.265,23.875,23.9,17853342
2009-06-24 04:00:00,24.06,24.245,23.68,23.75,16591570
2009-06-25 04:00:00,23.71,24.015,23.59,23.94,18463746
2009-06-26 04:00:00,23.86,24.145,23.815,24.055,17342364
2009-06-29 04:00:00,24.07,24.25,24.06,24.135,16541646
2009-06-30 04:00:00,24.105,24.125,23.905,23.985,28294304
2009-07-01 04:00:00,24.24,24.798,24.205,24.56,22437710
2009-07-02 04:00:00,24.385,24.715,24.385,24.425,20767540
2009-07-06 04:00:00,24.34,24.525,24.19,24.505,15626222
2009-07-07 04:00:00,24.37,24.585,24.275,24.305,16108502
2009-07-08 04:00:00,24.275,24.44,24.085,24.255,18634594
2009-07-09 04:00:00,24.36,24.425,24.255,24.335,16547324
2009-07-10 04:00:00,24.25,24.435,24.01,24.13,14441432
2009-07-13 04:00:00,24.19,24.59,24.05,24.545,16759758
