Date,Open,High,Low,Close,Volume
2009-05-15 04:00:00,2.39,2.65,2.33,2.36,79343
2009-05-18 04:00:00,2.39,2.76,2.32,2.76,55300
2009-05-19 04:00:00,2.7,2.86,2.41,2.43,139900
2009-05-20 04:00:00,2.38,2.38,2.17,2.21,114532
2009-05-21 04:00:00,2.17,2.17,1.98,2.12,69383
2009-05-22 04:00:00,2.12,2.12,1.92,1.96,63248
2009-05-26 04:00:00,1.93,2.5,1.93,2.5,168122
2009-05-27 04:00:00,2.5,2.56,2.29,2.3,138140
2009-05-28 04:00:00,2.38,2.44,2.02,2.11,172181
2009-05-29 04:00:00,2.2,2.2,1.99,2.0,141547
2009-06-01 04:00:00,2.03,2.14,1.99,2.1,101568
2009-06-02 04:00:00,2.09,2.17,1.84,2.0,250069
2009-06-03 04:00:00,1.97,1.99,1.86,1.97,108257
2009-06-04 04:00:00,2.0,2.04,1.95,2.01,74605
2009-06-05 04:00:00,2.04,2.07,2.01,2.04,57687
2009-06-08 04:00:00,2.05,2.11,1.96,1.99,34045
2009-06-09 04:00:00,1.98,2.0,1.89,1.96,79081
2009-06-10 04:00:00,2.0,2.0,1.85,1.99,96218
2009-06-11 04:00:00,1.99,2.03,1.97,1.97,29908
2009-06-12 04:00:00,2.0,2.05,1.98,2.01,58013
2009-06-15 04:00:00,1.96,1.995,1.87,1.9,31174
2009-06-16 04:00:00,1.9,1.92,1.9,1.91,62838
2009-06-17 04:00:00,1.91,2.0,1.86,1.98,111349
2009-06-18 04:00:00,1.95,2.04,1.95,2.02,30255
2009-06-19 04:00:00,2.05,2.05,1.99,2.0099,255220
2009-06-22 04:00:00,2.0,2.01,1.86,1.93,147201
2009-06-23 04:00:00,1.92,1.92,1.89,1.91,85538
2009-06-24 04:00:00,1.91,1.91,1.81,1.85,97887
2009-06-25 04:00:00,1.79,1.86,1.75,1.84,308889
2009-06-26 04:00:00,1.82,1.87,1.7,1.75,184172
2009-06-29 04:00:00,1.74,1.84,1.65,1.78,57424
2009-06-30 04:00:00,1.78,1.78,1.61,1.69,67231
2009-07-01 04:00:00,1.71,1.77,1.69,1.695,81808
2009-07-02 04:00:00,1.64,1.68,1.58,1.58,99776
2009-07-06 04:00:00,1.5,1.5603,1.47,1.47,49551
2009-07-07 04:00:00,1.38,1.38,1.31,1.35,75175
2009-07-08 04:00:00,1.35,1.35,1.27,1.29,82459
2009-07-09 04:00:00,1.3,1.3301,1.27,1.3,43625
2009-07-10 04:00:00,1.3,1.3,1.26,1.28,39629
2009-07-13 04:00:00,1.28,1.32,1.25,1.3,29339
2009-07-14 04:00:00,1.27,1.3587,1.21,1.21,73746
2009-07-15 04:00:00,1.25,1.35,1.25,1.31,278379
2009-07-16 04:00:00,1.33,1.34,1.24,1.28,130354
2009-07-17 04:00:00,1.36,1.4,1.24,1.27,246926
2009-07-20 04:00:00,1.28,1.46,1.27,1.38,104380
2009-07-21 04:00:00,1.4,1.43,1.18,1.25,105440
2009-07-22 04:00:00,1.25,1.65,1.25,1.5,154899
2009-07-23 04:00:00,1.55,1.64,1.44,1.47,137573
2009-07-24 04:00:00,1.45,1.58,1.4,1.41,57532
2009-07-27 04:00:00,1.52,1.62,1.51,1.6,98581
2009-07-28 04:00:00,1.63,1.65,1.57,1.64,74757
2009-07-29 04:00:00,1.67,1.69,1.61,1.61,55706
2009-07-30 04:00:00,1.64,1.86,1.47,1.86,173820
2009-07-31 04:00:00,1.77,1.95,1.76,1.95,146953
2009-08-03 04:00:00,1.99,2.25,1.92,2.02,117992
2009-08-04 04:00:00,2.03,2.2,1.93,2.17,115489
2009-08-05 04:00:00,2.18,2.47,2.11,2.4,80357
2009-08-06 04:00:00,2.46,2.59,2.28,2.51,167273
2009-08-07 04:00:00,2.45,3.08,2.45,3.06,251748
2009-08-10 04:00:00,3.0,3.69,2.85,3.67,370247
