Date,Open,High,Low,Close,Volume
2009-05-18 04:00:00,34.42,34.75,34.01,34.7,4438713
2009-05-19 04:00:00,34.81,34.85,34.34,34.5,3883727
2009-05-20 04:00:00,34.86,35.23,34.5,34.68,4268380
2009-05-21 04:00:00,35.12,35.12,34.18,34.6,4814763
2009-05-22 04:00:00,34.63,34.77,34.14,34.36,3055764
2009-05-26 04:00:00,34.23,34.92,34.05,34.85,3700340
2009-05-27 04:00:00,34.84,35.03,33.58,33.65,4667799
2009-05-28 04:00:00,33.72,34.12,33.57,33.74,4138372
2009-05-29 04:00:00,33.85,34.6,33.6,34.6,4072540
2009-06-01 04:00:00,34.89,35.06,34.28,34.64,4330467
2009-06-02 04:00:00,34.5,35.34,34.4,35.0,4993475
2009-06-03 04:00:00,34.61,34.87,34.3,34.61,4320639
2009-06-04 04:00:00,34.65,34.84,34.0,34.42,4111155
2009-06-05 04:00:00,34.54,34.81,33.97,34.79,5054041
2009-06-08 04:00:00,34.8,34.81,33.7,34.08,5209526
2009-06-09 04:00:00,33.95,34.37,33.51,33.89,3828284
2009-06-10 04:00:00,34.12,34.22,33.6,33.919,4065755
2009-06-11 04:00:00,33.94,34.9,33.94,34.35,6142530
2009-06-12 04:00:00,34.39,34.84,34.07,34.3,4792142
2009-06-15 04:00:00,33.89,33.99,32.94,32.97,6465570
2009-06-16 04:00:00,33.14,33.5298,32.78,32.98,5471129
2009-06-17 04:00:00,32.99,33.81,32.99,33.41,4798146
2009-06-18 04:00:00,33.44,34.18,33.3,33.85,4645394
2009-06-19 04:00:00,34.08,34.28,33.6,33.71,6514652
2009-06-22 04:00:00,33.4,33.4,32.78,33.24,7404934
2009-06-23 04:00:00,33.25,33.76,33.15,33.56,5451666
2009-06-24 04:00:00,33.63,33.97,33.36,33.64,5847495
2009-06-25 04:00:00,33.35,35.41,33.2502,35.37,11902109
2009-06-26 04:00:00,35.2,35.47,34.02,35.29,11289111
2009-06-29 04:00:00,35.3,35.3,34.53,35.04,6041253
2009-06-30 04:00:00,35.03,35.22,34.32,34.67,5465348
2009-07-01 04:00:00,34.76,35.24,34.64,34.98,4921276
2009-07-02 04:00:00,34.71,34.71,33.91,34.0,4105874
2009-07-06 04:00:00,33.68,33.97,33.265,33.57,5945842
2009-07-07 04:00:00,33.56,33.88,33.3,33.47,5417810
2009-07-08 04:00:00,33.04,33.93,33.04,33.42,5370134
2009-07-09 04:00:00,33.5,33.58,32.88,32.97,5281525
2009-07-10 04:00:00,32.85,33.92,32.75,33.32,13518834
2009-07-13 04:00:00,33.39,33.45,32.19,32.94,12666949
2009-07-14 04:00:00,32.81,33.12,32.6,32.87,9328664
2009-07-15 04:00:00,33.01,33.56,32.63,33.5,6718112
2009-07-16 04:00:00,33.37,33.91,33.37,33.77,5589388
2009-07-17 04:00:00,33.71,33.73,33.22,33.5,4236818
2009-07-20 04:00:00,33.76,33.93,33.14,33.69,5879594
2009-07-21 04:00:00,34.11,34.53,33.96,34.45,6244294
2009-07-22 04:00:00,34.85,34.87,33.78,33.81,9459750
2009-07-23 04:00:00,34.06,34.54,33.8,34.25,5980761
2009-07-24 04:00:00,34.14,34.76,33.82,34.69,6765282
2009-07-27 04:00:00,34.82,35.15,34.51,35.14,4462270
2009-07-28 04:00:00,35.01,35.32,34.52,35.07,4524950
2009-07-29 04:00:00,34.99,35.27,34.61,34.89,3745688
2009-07-30 04:00:00,35.22,35.65,34.91,35.03,4310538
2009-07-31 04:00:00,35.01,35.41,34.88,34.9,5149167
2009-08-03 04:00:00,35.33,35.63,34.57,34.94,5357971
2009-08-04 04:00:00,34.89,35.04,34.61,35.04,3966928
2009-08-05 04:00:00,35.14,35.27,34.5,34.671,4302394
2009-08-06 04:00:00,34.69,34.79,34.34,34.41,3903474
2009-08-07 04:00:00,34.74,35.06,34.57,34.89,4437801
2009-08-10 04:00:00,33.975,34.0,33.68,33.81,9073415
2009-08-11 04:00:00,33.94,34.03,33.53,33.65,5829769
2009-08-12 04:00:00,33.4,33.42,32.9,32.9,7188631
2009-08-13 04:00:00,32.98,33.15,32.39,32.88,5788504
2009-08-14 04:00:00,32.91,32.97,32.4,32.87,3359332
2009-08-17 04:00:00,32.73,32.94,32.45,32.71,3814590
2009-08-18 04:00:00,32.23,33.01,32.23,32.8,4660949
2009-08-19 04:00:00,32.34,32.95,32.34,32.95,5695175
2009-08-20 04:00:00,33.04,33.27,32.82,33.13,4171135
2009-08-21 04:00:00,33.2,33.84,33.2,33.43,5463090
2009-08-24 04:00:00,33.57,33.9,33.38,33.73,5299764
2009-08-25 04:00:00,33.76,34.15,33.73,33.87,4820038
2009-08-26 04:00:00,33.74,34.15,33.6,33.69,5120788
2009-08-27 04:00:00,33.58,34.15,33.58,34.09,5772297
2009-08-28 04:00:00,34.11,34.22,33.3801,33.6,8090574
2009-08-31 04:00:00,33.31,33.81,33.31,33.47,5064650
2009-09-01 04:00:00,33.3,33.55,32.74,32.89,6575800
2009-09-02 04:00:00,32.75,33.11,32.65,32.97,6650972
2009-09-03 04:00:00,32.97,33.03,32.47,32.64,5291096
2009-09-04 04:00:00,32.68,32.99,32.64,32.97,3756767
2009-09-08 04:00:00,33.17,33.25,32.64,32.81,4619595
2009-09-09 04:00:00,32.77,33.15,32.72,32.87,5826276
2009-09-10 04:00:00,33.17,33.195,32.75,32.8,5060600
2009-09-11 04:00:00,32.89,33.125,32.665,32.85,6203141
2009-09-14 04:00:00,33.22,33.33,33.01,33.11,8077841
2009-09-15 04:00:00,33.24,33.24,32.71,32.75,6367761
2009-09-16 04:00:00,32.86,32.95,32.68,32.85,5557089
2009-09-17 04:00:00,32.9,32.96,32.68,32.77,6525991
2009-09-18 04:00:00,33.0,33.07,32.84,32.84,8029713
2009-09-21 04:00:00,33.0,33.03,32.75,32.88,4195493
2009-09-22 04:00:00,32.94,33.0165,32.69,32.75,5558952
2009-09-23 04:00:00,32.85,32.85,32.46,32.48,6064825
2009-09-24 04:00:00,32.49,32.73,32.3,32.38,6391621
2009-09-25 04:00:00,32.38,32.87,32.38,32.72,5876968
2009-09-28 04:00:00,32.73,33.35,32.73,33.06,4633762
2009-09-29 04:00:00,33.18,33.55,32.92,33.39,8381512
2009-09-30 04:00:00,33.52,33.52,32.75,33.03,5488850
2009-10-01 04:00:00,32.97,33.03,32.6,32.62,5807841
2009-10-02 04:00:00,32.5,32.655,32.3,32.51,5207788
2009-10-05 04:00:00,32.61,32.66,32.27,32.45,4750920
2009-10-06 04:00:00,32.65,33.18,32.52,32.98,4382395
2009-10-07 04:00:00,33.0,33.12,32.85,33.11,5158292
2009-10-08 04:00:00,33.23,33.52,33.19,33.35,4511925
2009-10-09 04:00:00,33.39,33.89,33.14,33.77,4827176
2009-10-12 04:00:00,33.9,34.06,33.75,33.87,4100585
2009-10-13 04:00:00,33.81,33.85,33.3,33.36,4704939
2009-10-14 04:00:00,33.59,34.08,33.38,33.93,6207791
2009-10-15 04:00:00,33.79,34.51,33.75,34.5,6282964
2009-10-16 04:00:00,34.26,34.58,34.26,34.43,5404061
2009-10-19 04:00:00,34.72,35.55,34.56,35.28,9187071
2009-10-20 04:00:00,35.19,35.63,34.84,35.24,8938513
2009-10-21 04:00:00,35.4,35.51,33.48,33.67,16937006
2009-10-22 04:00:00,33.97,34.13,33.45,34.07,9198353
2009-10-23 04:00:00,34.23,34.28,33.8,33.95,7440536
2009-10-26 04:00:00,34.05,34.4,33.73,33.92,7544932
2009-10-27 04:00:00,34.0,34.43,33.88,34.15,6009686
2009-10-28 04:00:00,34.16,34.37,34.0,34.02,7610600
2009-10-29 04:00:00,34.15,34.15,33.7,34.11,6787912
2009-10-30 04:00:00,34.07,34.33,33.7,33.98,7738394
2009-11-02 05:00:00,34.05,34.19,33.82,34.02,6652847
2009-11-03 05:00:00,33.9,34.0,33.382,33.55,6641212
2009-11-04 05:00:00,33.82,34.38,33.6525,33.98,5489297
2009-11-05 05:00:00,34.14,34.6,34.01,34.43,4463186
2009-11-06 05:00:00,34.39,34.53,34.16,34.48,4749546
2009-11-09 05:00:00,34.76,35.38,34.61,35.3,5492115
2009-11-10 05:00:00,34.75,35.34,34.69,35.24,5740667
2009-11-11 05:00:00,35.31,35.4,34.86,35.17,5480127
2009-11-12 05:00:00,35.02,35.4,34.9115,34.98,5038934
2009-11-13 05:00:00,35.09,35.52,34.95,35.36,4601897
2009-11-16 05:00:00,35.39,36.06,35.25,35.9,6941943
2009-11-17 05:00:00,35.89,35.95,35.58,35.92,4594908
2009-11-18 05:00:00,36.0,36.22,35.53,36.2,5136335
