Date,Open,High,Low,Close,Volume
2009-05-15 04:00:00,80.73,80.9,79.05,79.95,2100815
2009-05-18 04:00:00,79.5,80.64,79.06,80.44,1713493
2009-05-19 04:00:00,79.85,80.99,79.3,80.61,2263490
2009-05-20 04:00:00,80.94,83.31,80.7301,82.42,3079600
2009-05-21 04:00:00,81.64,81.7615,80.35,81.39,1974924
2009-05-22 04:00:00,81.8,82.48,81.14,81.49,1071665
2009-05-26 04:00:00,81.11,83.86,81.06,83.34,1715528
2009-05-27 04:00:00,83.42,83.47,81.7,81.78,1577686
2009-05-28 04:00:00,81.67,83.25,80.634,83.1,1798884
2009-05-29 04:00:00,83.0,83.74,81.75,83.71,1437055
2009-06-01 04:00:00,83.75,85.29,83.69,84.14,3133201
2009-06-02 04:00:00,84.13,84.82,83.17,84.32,2122851
2009-06-03 04:00:00,83.5,84.55,82.63,83.32,2092597
2009-06-04 04:00:00,83.66,84.76,83.55,84.62,1474013
2009-06-05 04:00:00,85.34,87.06,84.65,86.17,1831067
2009-06-08 04:00:00,84.82,86.37,84.2,85.85,1435344
2009-06-09 04:00:00,85.6,86.0,83.2,83.91,2137564
2009-06-10 04:00:00,84.35,84.49,81.61,82.8654,2499535
2009-06-11 04:00:00,83.18,84.39,82.11,82.17,2179556
2009-06-12 04:00:00,81.69,82.88,81.61,82.7,2133345
2009-06-15 04:00:00,82.11,82.53,81.22,82.13,1882200
2009-06-16 04:00:00,82.48,82.85,81.46,81.86,1434022
2009-06-17 04:00:00,81.86,82.55,81.21,82.12,1968744
2009-06-18 04:00:00,82.36,84.36,81.5,83.45,1976439
2009-06-19 04:00:00,84.2,84.2,82.44,82.5,2144677
2009-06-22 04:00:00,82.34,82.79,81.31,81.52,1604742
2009-06-23 04:00:00,81.82,81.91,80.09,81.35,2038674
2009-06-24 04:00:00,81.59,82.53,79.14,79.51,2812408
2009-06-25 04:00:00,79.16,81.33,79.16,81.22,2326280
2009-06-26 04:00:00,80.98,81.55,80.61,80.99,1520282
2009-06-29 04:00:00,81.37,82.28,80.64,82.07,992845
2009-06-30 04:00:00,82.04,82.04,80.3,80.7,1403360
2009-07-01 04:00:00,80.96,81.32,80.4,80.58,1651622
2009-07-02 04:00:00,79.81,79.91,78.02,79.07,1961600
2009-07-06 04:00:00,78.87,80.7152,78.38,80.53,1711847
2009-07-07 04:00:00,80.19,80.48,77.6,78.0,2484630
2009-07-08 04:00:00,78.11,78.71,77.77,78.4,2014445
2009-07-09 04:00:00,78.6,78.95,77.72,78.19,1411692
2009-07-10 04:00:00,78.01,78.38,77.0,77.91,1528687
2009-07-13 04:00:00,78.05,80.41,77.67,80.0,2000361
2009-07-14 04:00:00,79.95,81.56,79.61,81.19,1356828
2009-07-15 04:00:00,81.78,82.3,80.69,81.18,2623512
2009-07-16 04:00:00,81.49,82.92,81.09,82.51,1292125
2009-07-17 04:00:00,82.1,82.48,80.61,81.06,2399593
2009-07-20 04:00:00,81.24,82.15,80.27,82.08,2312205
2009-07-21 04:00:00,80.16,80.27,74.36,75.15,13328288
2009-07-22 04:00:00,75.84,77.69,75.2,76.17,5617182
2009-07-23 04:00:00,76.43,76.55,74.63,75.3,3640332
2009-07-24 04:00:00,75.2,75.73,73.93,74.09,4254556
2009-07-27 04:00:00,74.14,74.65,73.11,74.58,2660852
2009-07-28 04:00:00,73.71,75.42,73.7,75.07,2651123
2009-07-29 04:00:00,74.41,75.3299,73.79,74.73,3140239
2009-07-30 04:00:00,74.62,76.19,74.53,74.55,3456293
2009-07-31 04:00:00,74.86,75.91,74.62,74.76,2830158
2009-08-03 04:00:00,75.4,75.89,73.35,75.78,3094840
2009-08-04 04:00:00,75.51,75.79,75.0,75.56,3604245
2009-08-05 04:00:00,75.32,75.6,73.92,74.32,3434661
2009-08-06 04:00:00,74.665,75.49,73.96,75.42,2939907
2009-08-07 04:00:00,75.93,77.16,75.12,76.77,2110135
2009-08-10 04:00:00,76.68,76.73,75.51,76.08,1704408
2009-08-11 04:00:00,76.1,76.1,75.05,75.15,2235373
2009-08-12 04:00:00,75.3,76.34,75.0,75.68,2477253
2009-08-13 04:00:00,75.5,75.77,74.75,75.4,1807866
2009-08-14 04:00:00,75.53,75.75,74.11,74.62,1859814
2009-08-17 04:00:00,73.83,74.5895,73.6,73.96,2163020
2009-08-18 04:00:00,74.21,74.8,73.61,74.06,1918265
