Date,Open,High,Low,Close,Volume
2009-05-18 04:00:00,25.15,25.76,24.56,25.73,1994101
2009-05-19 04:00:00,25.19,26.63,25.15,26.22,2628377
2009-05-20 04:00:00,26.61,27.07,25.82,26.0,2264759
2009-05-21 04:00:00,25.97,26.17,24.96,25.38,3214454
2009-05-22 04:00:00,25.46,25.48,24.47,24.52,3001299
2009-05-26 04:00:00,24.1,25.89,24.1,25.46,3027597
2009-05-27 04:00:00,25.34,26.42,25.03,25.6,2202706
2009-05-28 04:00:00,26.26,26.27,25.05,25.97,2908084
2009-05-29 04:00:00,25.93,26.21,25.32,26.14,1936067
2009-06-01 04:00:00,26.28,28.51,26.28,28.36,3237706
2009-06-02 04:00:00,28.11,28.24,27.14,27.36,1808272
2009-06-03 04:00:00,27.37,27.4,26.28,26.58,2874247
2009-06-04 04:00:00,26.47,27.34,26.45,27.0,2144297
2009-06-05 04:00:00,26.34,26.624,25.5,25.65,4548552
2009-06-08 04:00:00,25.23,25.7,24.86,25.4,2047464
2009-06-09 04:00:00,25.66,26.665,25.64,26.39,2225067
2009-06-10 04:00:00,26.64,26.72,25.795,26.08,2657158
2009-06-11 04:00:00,26.3,26.54,25.59,25.75,2107188
2009-06-12 04:00:00,25.74,26.02,24.81,25.64,1920692
2009-06-15 04:00:00,24.99,25.34,24.234,24.81,2317556
2009-06-16 04:00:00,25.16,25.16,24.1,24.2,2103722
2009-06-17 04:00:00,24.86,24.92,23.43,24.64,2871320
2009-06-18 04:00:00,24.66,24.87,24.18,24.45,1536169
2009-06-19 04:00:00,24.84,24.98,24.4,24.62,2084103
2009-06-22 04:00:00,24.36,24.76,24.05,24.05,2704510
2009-06-23 04:00:00,24.2,24.24,23.5,23.65,3228234
2009-06-24 04:00:00,23.6,24.47,23.51,24.22,2381500
2009-06-25 04:00:00,24.14,24.8,23.8,24.75,1608516
2009-06-26 04:00:00,24.48,25.33,24.48,24.8,1117905
2009-06-29 04:00:00,24.44,25.49,24.43,25.45,2688461
2009-06-30 04:00:00,25.6,26.05,25.33,26.0,3483157
2009-07-01 04:00:00,26.44,26.91,26.17,26.35,4387147
2009-07-02 04:00:00,26.25,27.16,25.94,26.95,5059471
2009-07-06 04:00:00,27.17,27.83,26.76,27.39,4424565
2009-07-07 04:00:00,27.19,27.79,26.2,26.22,3723063
2009-07-08 04:00:00,26.64,26.72,25.51,26.1,2781065
