Date,Open,High,Low,Close,Volume
2009-05-18 04:00:00,53.51,54.27,53.04,54.24,7223614
2009-05-19 04:00:00,54.34,54.46,53.715,53.84,5866560
2009-05-20 04:00:00,55.18,57.0,55.02,56.2,14595598
2009-05-21 04:00:00,55.68,56.25,55.22,55.71,9562330
2009-05-22 04:00:00,55.92,57.69,55.85,57.12,10348379
2009-05-26 04:00:00,56.9,58.92,56.78,58.79,11676546
2009-05-27 04:00:00,58.68,58.95,57.77,57.82,9760405
2009-05-28 04:00:00,57.99,58.6,57.4,58.13,8022034
2009-05-29 04:00:00,58.28,59.01,57.69,59.0,7007192
2009-06-01 04:00:00,59.18,59.99,58.92,59.89,7435588
2009-06-02 04:00:00,59.59,60.77,59.45,60.37,8644228
2009-06-03 04:00:00,59.85,61.0,59.75,61.0,8464166
2009-06-04 04:00:00,60.65,60.65,59.8,60.18,9547737
2009-06-05 04:00:00,60.4,60.49,59.35,59.83,9654892
2009-06-08 04:00:00,58.64,59.18,57.75,58.72,13932961
2009-06-09 04:00:00,59.02,59.55,58.75,59.02,7477881
2009-06-10 04:00:00,59.35,59.63,57.87,58.3,9268865
2009-06-11 04:00:00,58.32,58.71,57.63,57.66,8716142
2009-06-12 04:00:00,57.72,58.48,57.5,58.35,6677912
2009-06-15 04:00:00,58.1,58.15,57.24,57.79,6762756
2009-06-16 04:00:00,57.91,57.91,56.82,57.13,8108682
2009-06-17 04:00:00,57.21,58.12,57.21,57.37,6768236
2009-06-18 04:00:00,57.55,58.82,57.21,58.14,6260995
2009-06-19 04:00:00,58.41,58.83,58.0,58.22,7791185
2009-06-22 04:00:00,57.8,58.02,57.13,57.18,6901871
2009-06-23 04:00:00,57.54,57.61,56.64,56.72,6661711
2009-06-24 04:00:00,57.07,57.1,56.04,56.35,6807408
2009-06-25 04:00:00,56.21,57.7,56.15,57.44,7243673
2009-06-26 04:00:00,57.39,57.4,56.75,56.97,5672068
2009-06-29 04:00:00,57.19,57.35,56.6,57.24,5450821
2009-06-30 04:00:00,57.3,58.14,57.21,57.43,6534354
2009-07-01 04:00:00,57.65,58.55,57.65,58.17,5277288
2009-07-02 04:00:00,57.69,57.83,57.25,57.46,6476291
2009-07-06 04:00:00,57.1,58.24,56.8,57.97,7201178
2009-07-07 04:00:00,58.0,58.0,56.75,56.79,7535203
2009-07-08 04:00:00,57.1,57.19,56.44,57.04,9170240
2009-07-09 04:00:00,57.25,57.29,56.28,56.71,7469647
2009-07-10 04:00:00,56.56,57.72,56.56,57.0,6276699
2009-07-13 04:00:00,57.07,57.53,56.56,57.25,6161179
2009-07-14 04:00:00,57.24,57.5173,56.86,57.45,6226785
2009-07-15 04:00:00,57.48,57.49,56.71,57.06,10914098
2009-07-16 04:00:00,57.19,57.33,56.92,57.23,9613227
2009-07-17 04:00:00,57.31,58.05,57.2643,57.87,9492179
2009-07-20 04:00:00,58.22,58.5,57.98,58.28,7707824
2009-07-21 04:00:00,58.64,58.67,57.91,58.66,7405812
2009-07-22 04:00:00,58.53,59.59,58.48,58.82,8652254
2009-07-23 04:00:00,57.0,57.19,55.62,56.07,32608611
2009-07-24 04:00:00,56.39,56.47,55.75,56.1,11791794
2009-07-27 04:00:00,56.22,56.31,55.7,55.98,7574025
2009-07-28 04:00:00,55.9,56.7,55.8,56.5,8056974
2009-07-29 04:00:00,56.25,56.96,56.2,56.45,7477995
2009-07-30 04:00:00,56.61,56.69,55.55,55.55,13218321
2009-07-31 04:00:00,55.62,55.79,54.92,55.01,12428451
2009-08-03 04:00:00,55.11,55.39,54.68,55.25,9851956
2009-08-04 04:00:00,55.32,55.49,54.91,55.03,10906541
2009-08-05 04:00:00,55.13,55.24,54.8,55.02,8472629
2009-08-06 04:00:00,55.2,55.25,54.67,54.86,9713137
2009-08-07 04:00:00,55.08,55.4,54.79,55.15,7527324
2009-08-10 04:00:00,55.81,56.49,55.75,56.29,10367282
2009-08-11 04:00:00,56.06,56.37,55.85,56.03,8269134
2009-08-12 04:00:00,55.91,56.63,55.76,56.22,6740132
2009-08-13 04:00:00,56.45,56.65,55.56,55.8,9420371
2009-08-14 04:00:00,55.69,55.8,54.83,55.23,6801610
2009-08-17 04:00:00,54.77,55.245,54.51,54.51,8546980
2009-08-18 04:00:00,54.57,55.27,54.43,55.21,8171062
2009-08-19 04:00:00,55.21,55.99,55.11,55.68,6918493
2009-08-20 04:00:00,55.76,56.25,55.65,56.19,5073400
2009-08-21 04:00:00,56.5,56.62,56.05,56.27,6530341
2009-08-24 04:00:00,56.38,56.38,55.75,55.88,6148240
2009-08-25 04:00:00,56.18,56.75,56.15,56.47,6818454
2009-08-26 04:00:00,56.47,57.22,56.3,57.07,7806339
2009-08-27 04:00:00,57.06,57.18,56.59,57.12,8008271
2009-08-28 04:00:00,57.02,57.05,55.76,56.09,7952301
2009-08-31 04:00:00,55.75,56.23,55.65,56.19,6378147
2009-09-01 04:00:00,56.05,56.4,55.46,55.63,7052876
2009-09-02 04:00:00,55.64,55.7,54.69,55.32,6516943
2009-09-03 04:00:00,55.55,55.6,55.06,55.578,5246873
2009-09-04 04:00:00,55.6,56.24,55.4,56.1,4657624
2009-09-08 04:00:00,56.4,56.62,56.0,56.23,6682913
2009-09-09 04:00:00,55.1,55.52,54.69,55.05,17005911
2009-09-10 04:00:00,55.25,55.39,54.75,54.86,11666597
2009-09-11 04:00:00,55.11,55.12,54.23,54.41,11422835
2009-09-14 04:00:00,54.1,54.34,53.88,54.22,9764465
2009-09-15 04:00:00,54.58,55.29,54.17,55.01,13520320
2009-09-16 04:00:00,55.29,56.64,55.0,56.5,15940635
2009-09-17 04:00:00,56.41,56.73,56.05,56.53,8324667
2009-09-18 04:00:00,56.6,56.75,56.3,56.6,8321619
2009-09-21 04:00:00,56.52,56.75,55.83,56.11,8853898
2009-09-22 04:00:00,56.5,56.5,55.58,55.78,7472343
2009-09-23 04:00:00,55.88,56.27,55.5,55.54,8117399
2009-09-24 04:00:00,55.68,56.39,55.54,56.15,8388484
2009-09-25 04:00:00,56.47,57.46,56.42,56.96,10422321
2009-09-28 04:00:00,57.24,57.67,57.08,57.1705,7323999
2009-09-29 04:00:00,57.18,57.66,57.05,57.14,7028090
2009-09-30 04:00:00,56.96,57.33,56.22,57.06,8602757
2009-10-01 04:00:00,56.99,57.14,56.46,56.72,8623736
2009-10-02 04:00:00,56.27,57.18,56.09,56.73,8361275
2009-10-05 04:00:00,56.9,57.0,56.29,56.67,7128340
2009-10-06 04:00:00,56.72,57.64,56.72,57.44,6779507
2009-10-07 04:00:00,57.23,57.56,56.72,57.14,6705308
2009-10-08 04:00:00,57.38,57.62,56.81,56.85,8112682
2009-10-09 04:00:00,56.56,56.768,56.03,56.69,9382413
2009-10-12 04:00:00,56.93,57.54,56.57,56.64,8134829
2009-10-13 04:00:00,56.71,57.2982,56.68,57.11,5534131
2009-10-14 04:00:00,57.4,57.93,57.39,57.53,6764046
2009-10-15 04:00:00,57.27,58.25,57.27,58.2,7478465
2009-10-16 04:00:00,58.08,59.23,58.06,58.79,9419474
2009-10-19 04:00:00,58.91,59.45,58.82,59.29,7241505
2009-10-20 04:00:00,59.57,59.65,58.62,58.89,7008529
2009-10-21 04:00:00,58.81,59.11,58.0,58.28,9141218
2009-10-22 04:00:00,59.86,60.6,59.09,59.52,22654336
2009-10-23 04:00:00,59.5,59.61,59.02,59.44,7212668
2009-10-26 04:00:00,59.51,59.955,59.12,59.2,8703000
2009-10-27 04:00:00,59.22,59.28,58.44,59.0,7938117
2009-10-28 04:00:00,58.65,59.32,58.6,58.64,8249632
2009-10-29 04:00:00,58.98,59.22,58.6,59.09,6232204
2009-10-30 04:00:00,59.09,59.5,58.56,58.61,8979356
2009-11-02 05:00:00,58.84,59.54,58.6,59.14,7104714
2009-11-03 05:00:00,58.82,59.54,58.82,59.24,5767303
2009-11-04 05:00:00,59.5,60.85,59.2,60.34,11722488
2009-11-05 05:00:00,60.46,61.5,60.29,61.44,9953361
2009-11-06 05:00:00,61.05,62.18,61.03,61.69,10130958
2009-11-09 05:00:00,62.27,62.88,62.13,62.67,9861104
2009-11-10 05:00:00,62.49,62.76,61.98,62.3,7046036
2009-11-11 05:00:00,62.58,63.1,62.45,62.84,6448247
2009-11-12 05:00:00,62.72,62.81,61.99,62.17,6019724
2009-11-13 05:00:00,62.23,63.8,62.17,63.59,9267688
2009-11-16 05:00:00,63.92,64.75,63.71,64.5499,10748250
2009-11-17 05:00:00,64.34,64.48,63.45,63.58,7379215
2009-11-18 05:00:00,63.61,63.98,63.22,63.97,6305351
2009-11-19 05:00:00,63.94,63.94,63.05,63.4322,5569362
2009-11-20 05:00:00,63.36,64.19,63.25,64.02,7561677
2009-11-23 05:00:00,64.3,64.3,63.68,63.97,6399695
2009-11-24 05:00:00,64.01,64.29,63.27,64.24,7951209
2009-11-25 05:00:00,64.41,64.6,64.27,64.44,5968914
2009-11-27 05:00:00,63.24,63.86,62.98,63.52,3281934
2009-11-30 05:00:00,63.76,63.76,63.03,63.25,5302463
2009-12-01 05:00:00,63.64,64.05,63.51,63.53,8875423
2009-12-02 05:00:00,63.5,63.85,62.49,62.49,10101037
2009-12-03 05:00:00,62.63,62.85,61.95,61.98,9713015
2009-12-04 05:00:00,62.46,62.7,61.14,61.58,9133785
2009-12-07 05:00:00,61.66,62.26,61.29,61.93,8416479
2009-12-08 05:00:00,60.43,60.905,60.04,60.55,12350935
2009-12-09 05:00:00,60.73,61.03,60.33,60.6,10425819
2009-12-10 05:00:00,60.98,61.35,60.69,61.05,7715334
2009-12-11 05:00:00,61.37,61.91,61.19,61.65,4818611
2009-12-14 05:00:00,62.23,62.4,61.82,62.14,5157690
2009-12-15 05:00:00,62.24,62.43,61.89,62.01,4548621
2009-12-16 05:00:00,62.32,62.74,61.93,62.43,4391568
2009-12-17 05:00:00,62.24,62.476,61.92,61.94,4926351
2009-12-18 05:00:00,61.99,62.43,61.97,62.19,6376421
2009-12-21 05:00:00,62.24,63.08,62.14,62.7,4213175
2009-12-22 05:00:00,62.68,63.09,62.66,62.97,3204749
2009-12-23 05:00:00,62.97,63.675,62.57,63.39,5494989
2009-12-24 05:00:00,63.34,63.71,63.25,63.44,2492705
2009-12-28 05:00:00,63.43,63.7,63.15,63.59,2155833
2009-12-29 05:00:00,63.65,63.92,63.5632,63.61,2292304
2009-12-30 05:00:00,63.45,63.65,62.81,62.86,6169065
2009-12-31 05:00:00,62.97,63.07,62.4,62.4,3648664
2010-01-04 05:00:00,62.63,63.07,62.31,62.81,5419222
2010-01-05 05:00:00,62.66,62.75,62.19,62.3,6454174
2010-01-06 05:00:00,62.26,62.41,61.06,61.46,9002010
