Date,Open,High,Low,Close,Volume
2009-05-18 04:00:00,20.47,20.72,20.27,20.7,3236454
2009-05-19 04:00:00,20.83,21.04,20.2,20.7,4830376
2009-05-20 04:00:00,21.195,21.94,20.97,21.04,4988290
2009-05-21 04:00:00,20.89,21.03,20.29,20.52,2668459
2009-05-22 04:00:00,20.7,21.28,20.25,21.01,4869374
2009-05-26 04:00:00,20.87,21.84,20.8,21.57,4220878
2009-05-27 04:00:00,21.93,22.19,21.48,21.49,6027928
2009-05-28 04:00:00,21.67,21.7,21.06,21.57,4747422
2009-05-29 04:00:00,21.69,21.69,21.12,21.57,3253786
2009-06-01 04:00:00,21.77,22.675,21.75,22.6,4425154
2009-06-02 04:00:00,22.42,22.61,21.96,22.05,2809563
2009-06-03 04:00:00,21.9,22.1,21.65,21.85,2915450
2009-06-04 04:00:00,21.8,22.29,21.69,22.12,3611111
2009-06-05 04:00:00,22.46,22.46,21.5,21.74,7515387
2009-06-08 04:00:00,21.53,21.895,21.3,21.75,2944420
2009-06-09 04:00:00,22.51,23.3,22.38,23.08,6645325
2009-06-10 04:00:00,23.36,23.37,22.62,23.2,4142419
2009-06-11 04:00:00,23.3,23.5,22.98,23.11,3673207
2009-06-12 04:00:00,22.99,23.05,22.4,22.75,2908092
2009-06-15 04:00:00,22.35,22.58,22.04,22.55,2812066
2009-06-16 04:00:00,22.69,22.78,22.16,22.29,3195086
2009-06-17 04:00:00,22.4,22.87,22.12,22.6,3025137
2009-06-18 04:00:00,22.76,22.76,22.21,22.31,2460418
2009-06-19 04:00:00,22.74,22.77,22.26,22.45,3732876
2009-06-22 04:00:00,22.21,22.49,21.63,21.63,3416088
2009-06-23 04:00:00,21.63,21.66,21.19,21.39,3668127
2009-06-24 04:00:00,21.47,22.01,21.42,21.79,4169873
2009-06-25 04:00:00,21.74,22.29,21.59,22.27,2878919
2009-06-26 04:00:00,21.99,22.62,21.98,22.41,2904989
2009-06-29 04:00:00,22.35,22.66,22.22,22.57,2924546
2009-06-30 04:00:00,22.51,23.03,22.21,22.54,2927346
2009-07-01 04:00:00,22.42,23.28,22.31,22.75,2584489
2009-07-02 04:00:00,22.51,22.9,22.2,22.81,3792486
2009-07-06 04:00:00,22.69,22.91,22.17,22.61,2712261
2009-07-07 04:00:00,22.63,22.93,21.83,21.9,3854870
2009-07-08 04:00:00,21.85,22.1,21.48,21.84,2640092
2009-07-09 04:00:00,21.8,22.53,21.8,22.38,3990099
2009-07-10 04:00:00,22.2,22.8,22.17,22.72,3643954
2009-07-13 04:00:00,22.76,23.15,22.25,23.11,3000279
2009-07-14 04:00:00,23.15,23.89,22.9,23.65,5199804
2009-07-15 04:00:00,24.1,24.62,23.91,24.39,3408494
2009-07-16 04:00:00,24.5,25.11,24.17,24.99,3193961
2009-07-17 04:00:00,24.91,25.79,24.91,25.69,4725658
2009-07-20 04:00:00,25.8,26.12,25.56,26.06,4207172
2009-07-21 04:00:00,26.2,26.23,25.39,25.88,4265668
2009-07-22 04:00:00,25.91,26.72,25.8,26.46,3655410
2009-07-23 04:00:00,26.42,27.07,26.07,26.89,3546638
2009-07-24 04:00:00,26.8,27.05,26.27,27.03,4516156
2009-07-27 04:00:00,27.05,27.14,26.61,27.05,2375958
2009-07-28 04:00:00,26.86,27.35,26.75,27.07,3669726
2009-07-29 04:00:00,27.0,27.13,26.6,27.0,3110904
2009-07-30 04:00:00,27.36,27.71,26.85,26.97,3346796
2009-07-31 04:00:00,26.94,27.09,26.66,26.92,2263179
2009-08-03 04:00:00,27.12,27.36,26.86,27.25,3156210
2009-08-04 04:00:00,27.15,27.4,26.99,27.18,2196237
2009-08-05 04:00:00,27.32,27.51,26.9,27.42,3244095
2009-08-06 04:00:00,27.39,27.67,26.6,26.68,3252842
2009-08-07 04:00:00,26.3,26.63,25.89,26.44,5625023
2009-08-10 04:00:00,26.24,26.69,26.14,26.61,2692325
2009-08-11 04:00:00,26.45,26.8599,26.245,26.31,2078806
2009-08-12 04:00:00,26.41,27.17,26.33,26.81,3738995
2009-08-13 04:00:00,26.87,27.46,26.55,27.41,4338252
2009-08-14 04:00:00,27.28,27.28,26.8,27.03,2639758
2009-08-17 04:00:00,26.81,26.81,26.4027,26.43,2379550
2009-08-18 04:00:00,26.39,26.65,26.18,26.55,2975761
2009-08-19 04:00:00,26.09,26.63,26.01,26.58,2684325
2009-08-20 04:00:00,26.55,26.74,26.41,26.56,2265422
2009-08-21 04:00:00,26.84,26.9,26.37,26.73,3528999
