Date,Open,High,Low,Close,Volume
2009-05-18 04:00:00,28.87,29.85,28.33,29.73,2046960
2009-05-19 04:00:00,29.55,29.92,29.2,29.44,1990086
2009-05-20 04:00:00,29.79,29.96,28.58,28.77,1758877
2009-05-21 04:00:00,28.23,28.44,27.66,28.16,1733321
2009-05-22 04:00:00,28.27,28.54,27.8,27.84,1218748
2009-05-26 04:00:00,27.69,29.11,27.4,28.94,2114415
2009-05-27 04:00:00,28.96,29.39,28.1,28.15,1533768
2009-05-28 04:00:00,27.01,27.51,25.68,26.91,5519436
2009-05-29 04:00:00,26.77,27.47,26.65,27.38,2961493
2009-06-01 04:00:00,27.51,28.79,27.44,28.56,2673746
2009-06-02 04:00:00,28.36,28.76,28.12,28.64,2609344
2009-06-03 04:00:00,28.18,28.8,27.95,28.78,2811048
2009-06-04 04:00:00,28.96,28.97,28.21,28.87,2053627
2009-06-05 04:00:00,29.23,29.77,28.72,28.91,2936158
2009-06-08 04:00:00,28.61,29.14,28.08,28.74,2291225
2009-06-09 04:00:00,28.73,29.53,28.64,29.3,1649160
2009-06-10 04:00:00,29.88,29.94,28.65,29.14,1844297
2009-06-11 04:00:00,29.04,29.4,28.56,28.59,2294811
2009-06-12 04:00:00,28.57,28.76,27.97,28.31,1720317
2009-06-15 04:00:00,28.09,28.41,26.36,26.44,4402891
2009-06-16 04:00:00,26.78,27.03,25.62,25.71,2568814
2009-06-17 04:00:00,25.5,27.07,25.16,26.47,3406482
2009-06-18 04:00:00,26.49,26.6,25.7,25.98,2784158
2009-06-19 04:00:00,26.2,26.72,25.8,26.03,2026746
2009-06-22 04:00:00,25.76,25.84,24.46,24.48,2765722
2009-06-23 04:00:00,24.88,25.3,24.5,25.18,2432269
2009-06-24 04:00:00,25.39,26.07,25.22,25.68,1914923
2009-06-25 04:00:00,25.76,25.76,25.2018,25.65,2221748
2009-06-26 04:00:00,25.65,26.16,25.46,26.01,1743119
2009-06-29 04:00:00,25.98,26.61,25.54,26.47,1830176
2009-06-30 04:00:00,26.43,26.45,25.065,26.36,1753216
2009-07-01 04:00:00,26.28,27.26,26.18,26.88,2651764
2009-07-02 04:00:00,26.68,26.68,25.82,26.03,2514711
2009-07-06 04:00:00,25.55,26.49,25.55,26.48,2429686
2009-07-07 04:00:00,27.12,27.39,26.04,26.11,3785162
2009-07-08 04:00:00,26.38,26.93,26.11,26.52,3616499
2009-07-09 04:00:00,27.01,27.01,26.26,26.7,1551885
2009-07-10 04:00:00,26.48,26.75,26.12,26.31,1395782
2009-07-13 04:00:00,26.46,27.56,26.08,27.5,2251303
2009-07-14 04:00:00,27.46,28.12,27.21,27.92,2243277
2009-07-15 04:00:00,28.71,29.53,28.42,28.7,5300585
2009-07-16 04:00:00,28.7,29.26,28.55,29.02,2491152
2009-07-17 04:00:00,29.03,29.41,28.85,29.03,1757169
2009-07-20 04:00:00,29.4,29.4,28.405,28.64,4686327
2009-07-21 04:00:00,28.64,28.865,25.87,26.75,13751837
2009-07-22 04:00:00,27.0,27.38,26.3301,26.51,6263593
2009-07-23 04:00:00,24.02,26.12,23.7,25.52,13183141
2009-07-24 04:00:00,25.17,25.96,25.13,25.91,2922262
2009-07-27 04:00:00,25.93,26.75,25.22,26.72,3838827
2009-07-28 04:00:00,26.66,27.69,26.52,27.67,5169992
2009-07-29 04:00:00,27.27,27.6,25.38,25.47,6550024
2009-07-30 04:00:00,25.81,26.03,23.92,23.96,6153562
2009-07-31 04:00:00,24.03,24.18,23.69,23.74,4804632
2009-08-03 04:00:00,24.09,24.57,23.45,24.06,4302422
2009-08-04 04:00:00,24.01,25.11,23.88,25.02,4934381
2009-08-05 04:00:00,25.2,25.41,24.28,24.71,3356304
2009-08-06 04:00:00,24.99,24.99,24.17,24.43,2426855
2009-08-07 04:00:00,24.74,25.61,24.38,25.52,3330476
2009-08-10 04:00:00,25.16,25.71,24.92,25.25,2604516
2009-08-11 04:00:00,24.93,25.21,24.39,24.65,1994178
2009-08-12 04:00:00,24.74,25.38,24.3903,25.04,1720053
2009-08-13 04:00:00,25.15,25.15,24.24,24.87,2155386
2009-08-14 04:00:00,24.93,25.0,24.22,24.51,1835008
2009-08-17 04:00:00,24.09,24.22,23.51,23.67,2580806
2009-08-18 04:00:00,23.71,24.14,23.71,23.91,1786456
2009-08-19 04:00:00,23.66,25.02,23.66,25.01,3397844
2009-08-20 04:00:00,24.78,25.38,24.68,25.31,2678658
2009-08-21 04:00:00,25.51,26.2,25.25,26.01,3727963
2009-08-24 04:00:00,26.06,27.3,26.06,26.67,3968611
2009-08-25 04:00:00,26.84,27.29,26.68,26.78,1860057
2009-08-26 04:00:00,26.6,26.81,26.36,26.71,1442939
2009-08-27 04:00:00,26.55,27.52,26.4,27.52,2914728
2009-08-28 04:00:00,27.71,27.97,27.06,27.6,2131675
2009-08-31 04:00:00,27.23,27.39,26.78,27.27,1665202
2009-09-01 04:00:00,26.9,27.75,26.31,26.39,3576819
2009-09-02 04:00:00,26.23,26.37,25.84,26.09,2149810
2009-09-03 04:00:00,26.04,26.07,22.99,24.3,18167962
2009-09-04 04:00:00,24.01,24.58,23.74,24.4,9296632
2009-09-08 04:00:00,23.42,24.25,23.25,23.64,10830497
2009-09-09 04:00:00,23.64,24.59,23.27,24.57,6672555
2009-09-10 04:00:00,24.45,24.84,24.11,24.72,4445728
2009-09-11 04:00:00,24.66,25.36,24.5,25.21,4479673
2009-09-14 04:00:00,24.98,25.19,24.58,25.15,3987344
2009-09-15 04:00:00,25.21,25.37,24.77,25.1,3797651
2009-09-16 04:00:00,25.07,25.93,24.94,25.9,3859949
2009-09-17 04:00:00,25.24,25.48,23.841,24.09,10351476
2009-09-18 04:00:00,24.18,24.43,23.55,23.6,5001303
2009-09-21 04:00:00,23.29,23.3,22.1,22.17,8573415
2009-09-22 04:00:00,22.21,22.79,22.0,22.38,6618999
2009-09-23 04:00:00,21.98,21.98,20.41,20.47,11153187
2009-09-24 04:00:00,20.56,20.89,19.13,19.58,13840921
