Date,Open,High,Low,Close,Volume
2009-05-18 04:00:00,24.89,25.08,24.7,25.07,7938420
2009-05-19 04:00:00,24.93,25.15,24.81,25.06,6702850
2009-05-20 04:00:00,25.13,25.33,24.79,24.85,8479420
2009-05-21 04:00:00,24.65,24.94,24.41,24.92,8211470
2009-05-22 04:00:00,24.98,25.77,24.9,25.46,9352500
2009-05-26 04:00:00,25.39,25.91,25.17,25.86,8216210
2009-05-27 04:00:00,25.82,25.87,25.36,25.46,7788980
2009-05-28 04:00:00,25.53,25.9,25.22,25.82,9208730
2009-05-29 04:00:00,25.8,26.12,25.65,26.11,7164050
2009-06-01 04:00:00,26.28,26.67,26.18,26.64,10569840
2009-06-02 04:00:00,26.56,27.14,26.56,27.0,9819190
2009-06-03 04:00:00,26.9,26.91,26.43,26.81,9876560
2009-06-04 04:00:00,26.9,27.23,26.64,27.04,9615990
2009-06-05 04:00:00,27.24,27.24,26.46,26.63,9917420
2009-06-08 04:00:00,26.66,26.86,26.42,26.59,7278080
2009-06-09 04:00:00,26.73,26.8,26.11,26.21,8713640
2009-06-10 04:00:00,26.32,26.49,25.63,25.85,11633210
2009-06-11 04:00:00,25.96,26.41,25.91,25.96,8939870
2009-06-12 04:00:00,25.9,26.18,25.71,25.94,6317150
2009-06-15 04:00:00,25.85,25.85,25.23,25.27,9001980
2009-06-16 04:00:00,25.38,25.38,24.8,24.82,11296410
2009-06-17 04:00:00,24.88,25.33,24.8,24.88,12876260
2009-06-18 04:00:00,24.95,25.98,24.87,25.85,10712310
2009-06-19 04:00:00,26.09,26.09,25.29,25.41,11951190
2009-06-22 04:00:00,25.3,25.51,25.17,25.25,8895420
2009-06-23 04:00:00,25.34,25.72,25.2,25.63,10826750
2009-06-24 04:00:00,25.82,26.0,25.65,25.74,10453360
2009-06-25 04:00:00,25.81,26.2,25.5,25.97,11145360
2009-06-26 04:00:00,25.73,25.78,25.26,25.56,9137540
2009-06-29 04:00:00,25.56,25.74,25.39,25.59,6197800
2009-06-30 04:00:00,25.71,25.83,25.08,25.34,9201280
2009-07-01 04:00:00,25.51,26.76,25.49,26.61,15435330
2009-07-02 04:00:00,26.26,26.39,25.87,25.96,9976110
2009-07-06 04:00:00,25.97,26.49,25.81,26.43,10961820
2009-07-07 04:00:00,26.36,26.5,25.78,25.79,11341460
2009-07-08 04:00:00,25.89,25.95,25.41,25.7,11918070
2009-07-09 04:00:00,25.72,25.92,25.43,25.73,8233670
2009-07-10 04:00:00,25.9,26.18,25.51,26.08,8122050
2009-07-13 04:00:00,26.42,27.0,26.36,26.88,10393380
2009-07-14 04:00:00,27.01,27.08,26.71,27.01,7255670
2009-07-15 04:00:00,27.14,27.61,27.03,27.55,7744390
2009-07-16 04:00:00,27.48,27.78,27.41,27.73,7726820
2009-07-17 04:00:00,27.81,27.94,27.27,27.43,7338190
2009-07-20 04:00:00,27.61,27.65,27.21,27.59,5341700
2009-07-21 04:00:00,27.73,27.96,27.27,27.65,6043560
2009-07-22 04:00:00,27.9,28.09,27.77,27.94,9717900
2009-07-23 04:00:00,27.95,28.8,27.84,28.37,12151100
2009-07-24 04:00:00,28.3,28.54,28.05,28.22,11638400
2009-07-27 04:00:00,28.14,28.29,27.79,28.27,7221120
2009-07-28 04:00:00,28.2,28.53,28.13,28.47,6796220
2009-07-29 04:00:00,28.36,28.65,28.24,28.54,5988540
2009-07-30 04:00:00,28.87,29.11,28.51,28.54,9413060
