Date,Open,High,Low,Close,Volume
2009-05-18 04:00:00,34.14,34.21,33.135,33.98,6641915
2009-05-19 04:00:00,33.45,33.5,31.02,31.73,24357354
2009-05-20 04:00:00,31.99,32.84,31.72,32.15,11903270
2009-05-21 04:00:00,32.0,32.18,31.76,32.0,8896609
2009-05-22 04:00:00,32.11,32.6,31.99,32.17,5480001
2009-05-26 04:00:00,32.19,33.57,31.82,33.56,11634480
2009-05-27 04:00:00,33.37,34.05,33.27,33.76,13036415
2009-05-28 04:00:00,33.74,34.5,33.52,33.98,12133171
2009-05-29 04:00:00,34.08,34.41,33.59,34.4,5827453
2009-06-01 04:00:00,34.66,34.99,34.19,34.93,9705437
2009-06-02 04:00:00,35.0,36.05,34.56,35.83,10185055
2009-06-03 04:00:00,35.75,35.75,35.0,35.2,8000124
2009-06-04 04:00:00,35.29,35.29,33.84,34.11,9957727
2009-06-05 04:00:00,34.23,34.53,33.67,33.99,7883940
2009-06-08 04:00:00,34.0,34.13,33.265,33.75,5404295
2009-06-09 04:00:00,33.88,34.22,33.81,34.06,4696821
2009-06-10 04:00:00,34.23,34.5,33.3,33.61,7575255
2009-06-11 04:00:00,33.48,34.02,33.22,33.61,7758668
2009-06-12 04:00:00,33.62,33.825,33.23,33.6,6030446
2009-06-15 04:00:00,33.26,33.29,32.07,32.16,7517603
2009-06-16 04:00:00,32.32,33.07,32.13,32.42,5229880
2009-06-17 04:00:00,32.37,33.4,32.32,32.93,4443411
2009-06-18 04:00:00,32.92,33.71,32.78,33.35,6226938
2009-06-19 04:00:00,33.65,34.42,33.61,33.93,8230401
2009-06-22 04:00:00,33.75,33.75,33.15,33.15,5831764
2009-06-23 04:00:00,33.75,34.19,33.13,33.35,8540919
2009-06-24 04:00:00,33.51,33.87,33.29,33.62,5329680
2009-06-25 04:00:00,33.6,34.92,33.44,34.74,6072031
2009-06-26 04:00:00,34.66,35.11,33.83,34.97,7613719
2009-06-29 04:00:00,34.97,35.02,34.3145,34.78,6145046
2009-06-30 04:00:00,34.68,34.9,34.4,34.89,6300516
2009-07-01 04:00:00,34.97,34.97,34.36,34.7,4470584
2009-07-02 04:00:00,34.78,34.91,33.84,33.95,5605262
2009-07-06 04:00:00,34.39,34.5,33.71,33.92,4133094
2009-07-07 04:00:00,33.97,34.085,33.25,33.35,4035760
2009-07-08 04:00:00,33.29,33.52,32.7,32.82,6014507
2009-07-09 04:00:00,32.99,32.99,32.38,32.66,4004117
2009-07-10 04:00:00,32.71,33.16,32.45,32.76,4446470
2009-07-13 04:00:00,32.93,33.535,32.68,33.44,3671025
2009-07-14 04:00:00,33.42,33.82,33.24,33.79,4473003
2009-07-15 04:00:00,33.93,34.56,33.63,34.52,5233532
2009-07-16 04:00:00,34.43,34.82,34.3,34.68,4526387
2009-07-17 04:00:00,34.57,34.89,34.5,34.65,4921813
2009-07-20 04:00:00,34.74,35.11,34.4,34.73,5250519
2009-07-21 04:00:00,34.96,35.35,34.68,34.99,3221211
2009-07-22 04:00:00,34.91,35.14,33.93,34.06,5852743
2009-07-23 04:00:00,34.13,34.8699,34.11,34.38,6392613
2009-07-24 04:00:00,34.29,35.08,34.24,35.02,4333301
2009-07-27 04:00:00,35.12,35.22,34.44,34.82,5391880
2009-07-28 04:00:00,34.71,35.01,34.64,34.78,5771692
2009-07-29 04:00:00,34.7,35.0,34.42,34.99,4888890
2009-07-30 04:00:00,35.24,35.62,34.82,35.32,5969680
2009-07-31 04:00:00,35.39,35.95,35.3,35.37,5718767
2009-08-03 04:00:00,35.69,35.95,35.18,35.92,5447895
2009-08-04 04:00:00,35.88,36.35,35.63,36.21,5959620
2009-08-05 04:00:00,36.17,36.35,35.56,36.0,4679479
2009-08-06 04:00:00,36.01,36.18,35.22,35.53,3697034
2009-08-07 04:00:00,35.77,36.01,35.59,35.74,3594115
2009-08-10 04:00:00,35.69,36.65,35.63,36.63,4753526
2009-08-11 04:00:00,36.61,36.99,36.43,36.57,4424067
2009-08-12 04:00:00,36.45,37.22,36.2,36.91,5132764
2009-08-13 04:00:00,37.05,37.05,36.36,36.53,4799284
2009-08-14 04:00:00,36.54,37.13,36.54,37.04,5241381
2009-08-17 04:00:00,36.84,37.32,36.77,37.04,4406611
2009-08-18 04:00:00,37.1,37.15,36.3,36.53,3944356
2009-08-19 04:00:00,36.32,37.17,36.32,37.05,5942127
2009-08-20 04:00:00,37.26,37.75,36.92,37.63,3729299
2009-08-21 04:00:00,37.95,38.45,37.15,37.84,6989548
2009-08-24 04:00:00,38.02,38.12,37.63,37.99,6207470
2009-08-25 04:00:00,37.32,38.15,37.29,37.89,9554551
2009-08-26 04:00:00,37.74,38.45,37.74,38.2,7406646
2009-08-27 04:00:00,38.25,39.02,38.06,38.9,6508561
2009-08-28 04:00:00,39.16,39.21,38.12,38.69,5449957
2009-08-31 04:00:00,38.67,38.77,37.85,38.3,4734074
2009-09-01 04:00:00,38.27,38.82,37.61,37.77,7062060
2009-09-02 04:00:00,37.85,38.45,37.67,38.11,4840222
2009-09-03 04:00:00,38.34,38.34,37.56,38.05,4307220
2009-09-04 04:00:00,38.03,38.8285,37.95,38.71,3740696
2009-09-08 04:00:00,38.95,38.95,38.15,38.48,5291413
2009-09-09 04:00:00,38.53,39.39,38.52,39.06,4151192
2009-09-10 04:00:00,39.08,39.29,38.56,39.0,4713898
2009-09-11 04:00:00,38.93,39.05,37.88,37.9,9106340
2009-09-14 04:00:00,37.86,38.68,37.3536,38.62,7650913
2009-09-15 04:00:00,38.69,38.76,37.81,38.13,5273222
2009-09-16 04:00:00,38.23,38.23,37.34,37.84,5818173
2009-09-17 04:00:00,37.75,38.17,37.37,37.85,5985459
2009-09-18 04:00:00,37.86,38.01,37.41,37.43,7182333
2009-09-21 04:00:00,37.29,37.61,37.17,37.46,4504552
2009-09-22 04:00:00,37.53,37.565,36.8802,37.35,5211518
2009-09-23 04:00:00,37.4,37.49,36.81,36.83,4957724
2009-09-24 04:00:00,36.99,37.17,36.58,36.79,3819790
2009-09-25 04:00:00,36.82,37.06,36.53,36.81,4058254
2009-09-28 04:00:00,36.89,37.75,36.79,37.47,4172205
2009-09-29 04:00:00,37.51,37.67,37.08,37.11,3690468
2009-09-30 04:00:00,37.27,37.28,36.38,36.78,5724055
2009-10-01 04:00:00,36.8,36.95,36.36,36.7,7259167
2009-10-02 04:00:00,36.31,36.76,36.24,36.48,4496329
2009-10-05 04:00:00,36.58,36.58,35.91,36.44,4601058
2009-10-06 04:00:00,35.57,36.22,35.24,36.19,14986019
2009-10-07 04:00:00,36.11,36.88,35.75,36.83,6785248
2009-10-08 04:00:00,36.73,37.52,36.71,36.93,6696489
2009-10-09 04:00:00,36.96,37.28,36.88,37.2,3970156
2009-10-12 04:00:00,37.17,37.28,36.78,36.9,4312840
2009-10-13 04:00:00,36.8,37.32,36.78,37.05,6103495
2009-10-14 04:00:00,37.09,37.19,36.85,37.01,7054241
2009-10-15 04:00:00,36.83,37.11,36.65,37.05,9611651
2009-10-16 04:00:00,37.1,37.53,36.79,37.42,7490702
2009-10-19 04:00:00,37.51,38.07,37.42,37.96,7232266
2009-10-20 04:00:00,37.5,37.5,36.54,36.69,12611005
2009-10-21 04:00:00,36.69,37.42,36.57,36.59,6741889
2009-10-22 04:00:00,36.57,37.37,36.38,37.19,5403131
2009-10-23 04:00:00,37.11,37.23,36.34,36.35,7850046
2009-10-26 04:00:00,36.41,36.84,36.06,36.3,4714811
2009-10-27 04:00:00,36.37,36.68,36.0,36.35,5047425
2009-10-28 04:00:00,36.26,36.58,36.03,36.03,5122514
2009-10-29 04:00:00,36.04,36.315,35.58,36.25,5142911
2009-10-30 04:00:00,36.14,36.65,35.64,35.7,5716203
2009-11-02 05:00:00,35.73,36.3,35.67,36.11,4914430
2009-11-03 05:00:00,36.12,36.3636,35.67,35.99,3804988
2009-11-04 05:00:00,35.95,36.88,35.91,36.54,4861420
2009-11-05 05:00:00,37.36,38.49,37.28,38.41,8392841
2009-11-06 05:00:00,38.37,38.48,37.79,38.0,5031222
2009-11-09 05:00:00,38.28,39.32,38.09,39.28,6637081
2009-11-10 05:00:00,39.35,39.95,39.27,39.54,5420222
2009-11-11 05:00:00,39.67,40.1805,39.66,40.11,7038054
2009-11-12 05:00:00,39.87,40.2,39.62,39.82,4919677
2009-11-13 05:00:00,39.79,40.08,39.33,39.47,4412773
2009-11-16 05:00:00,39.59,40.22,39.49,40.08,4438757
2009-11-17 05:00:00,39.38,40.2,39.27,40.19,6420738
2009-11-18 05:00:00,39.9,40.1,39.5,39.72,4812596
2009-11-19 05:00:00,39.655,39.72,39.15,39.62,3308966
2009-11-20 05:00:00,39.59,39.94,39.38,39.62,4511230
2009-11-23 05:00:00,39.76,40.46,39.76,40.31,5330285
2009-11-24 05:00:00,42.89,43.65,42.2,43.26,21072583
2009-11-25 05:00:00,42.95,43.48,42.79,43.17,5516411
2009-11-27 05:00:00,42.52,43.22,42.08,42.97,2828639
2009-11-30 05:00:00,42.67,42.77,42.03,42.42,6505342
2009-12-01 05:00:00,42.7,42.95,42.28,42.68,5396881
2009-12-02 05:00:00,42.53,43.67,42.53,43.6,8032231
2009-12-03 05:00:00,43.73,43.92,43.04,43.12,5408514
2009-12-04 05:00:00,43.37,43.68,42.735,43.07,5655538
2009-12-07 05:00:00,43.02,43.75,43.02,43.07,4940507
2009-12-08 05:00:00,43.0,43.21,42.4,42.78,5920875
2009-12-09 05:00:00,42.89,42.91,42.24,42.84,4274208
2009-12-10 05:00:00,42.89,43.43,42.83,43.32,6182131
2009-12-11 05:00:00,43.49,43.92,43.32,43.49,3603180
