Date,Open,High,Low,Close,Volume
2009-05-13 04:00:00,31.28,31.6,28.51,28.82,15772751
2009-05-14 04:00:00,28.65,31.06,28.49,30.49,11426534
2009-05-15 04:00:00,31.08,31.18,29.29,29.46,10511275
2009-05-18 04:00:00,30.04,31.45,29.8,31.32,11239594
2009-05-19 04:00:00,30.95,32.27,30.58,31.51,9839768
2009-05-20 04:00:00,32.24,32.9,30.25,30.5,9214799
2009-05-21 04:00:00,29.62,30.83,29.62,30.3,6853198
2009-05-22 04:00:00,30.58,30.99,29.83,30.24,4758900
2009-05-26 04:00:00,29.83,30.76,29.45,30.66,8090043
2009-05-27 04:00:00,31.34,31.48,29.58,29.64,7692979
2009-05-28 04:00:00,29.9,31.16,29.68,31.04,6269799
2009-05-29 04:00:00,31.35,31.69,30.27,31.5,6906889
2009-06-01 04:00:00,31.94,32.29,31.06,31.56,7878639
2009-06-02 04:00:00,31.32,32.74,31.32,31.98,6973703
2009-06-03 04:00:00,31.5,31.6,29.61,30.27,8509746
2009-06-04 04:00:00,30.51,32.0,30.42,31.75,7104462
2009-06-05 04:00:00,33.09,33.09,31.02,31.47,7904543
2009-06-08 04:00:00,32.11,33.18,31.37,32.74,10405093
2009-06-09 04:00:00,32.78,33.16,32.02,32.95,7161267
2009-06-10 04:00:00,33.42,33.69,32.02,32.29,6915009
2009-06-11 04:00:00,32.33,32.7,31.67,32.018,7114495
2009-06-12 04:00:00,31.95,32.09,30.5,31.11,5821656
2009-06-15 04:00:00,30.84,30.93,29.82,29.95,5036989
2009-06-16 04:00:00,30.25,30.58,29.29,29.38,5024896
2009-06-17 04:00:00,29.41,29.65,28.12,29.0,8084179
2009-06-18 04:00:00,29.18,30.64,29.06,30.22,6107141
2009-06-19 04:00:00,30.69,31.35,30.44,31.2,7622118
2009-06-22 04:00:00,30.79,30.98,28.81,28.88,7232597
2009-06-23 04:00:00,29.04,29.53,28.85,29.39,5728800
2009-06-24 04:00:00,29.66,30.43,29.6,29.92,4491268
2009-06-25 04:00:00,29.78,30.14,29.1618,29.99,6596933
2009-06-26 04:00:00,29.84,30.0,29.49,29.81,5631792
2009-06-29 04:00:00,30.16,30.28,29.53,30.05,5631121
2009-06-30 04:00:00,29.92,30.18,29.07,30.05,6214099
2009-07-01 04:00:00,30.07,30.2,29.53,29.75,5428186
2009-07-02 04:00:00,29.49,29.49,28.07,28.17,5383204
2009-07-06 04:00:00,28.18,28.88,27.54,28.83,5225600
2009-07-07 04:00:00,28.54,28.75,27.3,27.34,6329411
2009-07-08 04:00:00,27.54,28.04,26.0,26.85,10145107
2009-07-09 04:00:00,27.33,28.04,27.16,27.62,5084165
2009-07-10 04:00:00,27.38,27.52,26.68,27.33,4578327
2009-07-13 04:00:00,27.84,29.42,27.73,29.37,5862415
2009-07-14 04:00:00,29.34,29.67,28.95,29.22,4424056
2009-07-15 04:00:00,29.41,31.3,29.41,30.91,6248449
2009-07-16 04:00:00,30.59,31.32,30.31,31.0,4206468
2009-07-17 04:00:00,30.83,30.89,30.07,30.45,4019257
2009-07-20 04:00:00,30.59,31.05,30.53,30.97,3689753
2009-07-21 04:00:00,31.58,31.65,30.67,30.98,4550758
2009-07-22 04:00:00,30.31,31.13,30.3,30.97,3622824
2009-07-23 04:00:00,30.95,32.94,30.78,32.8,9559672
2009-07-24 04:00:00,32.4,33.87,32.36,33.69,4685792
2009-07-27 04:00:00,33.65,34.93,33.5,34.14,4363275
2009-07-28 04:00:00,32.97,33.33,32.46,32.93,4826171
2009-07-29 04:00:00,32.35,32.85,32.0,32.23,3697071
2009-07-30 04:00:00,33.54,34.58,33.08,33.51,8583553
2009-07-31 04:00:00,33.72,34.55,33.62,33.94,6547296
2009-08-03 04:00:00,34.65,35.71,34.54,35.63,5998173
2009-08-04 04:00:00,35.38,36.82,35.12,36.7,5902940
2009-08-05 04:00:00,36.85,37.32,35.74,37.05,6072233
2009-08-06 04:00:00,36.53,36.93,34.84,35.49,7378642
2009-08-07 04:00:00,36.1,37.4,36.08,36.84,6492074
2009-08-10 04:00:00,36.68,36.96,35.81,36.36,3453365
2009-08-11 04:00:00,36.23,36.59,34.8,34.8,4909932
2009-08-12 04:00:00,35.14,36.33,34.9,35.93,5689397
2009-08-13 04:00:00,36.42,37.24,35.82,37.24,4153906
2009-08-14 04:00:00,37.2,37.2,35.85,36.41,3595612
2009-08-17 04:00:00,35.47,35.68,34.33,34.42,5607225
2009-08-18 04:00:00,34.44,35.66,34.42,35.48,4253685
2009-08-19 04:00:00,34.98,36.45,34.69,36.34,6070475
2009-08-20 04:00:00,36.4,37.69,36.29,37.47,5042294
2009-08-21 04:00:00,37.74,39.1,37.74,38.94,5407211
2009-08-24 04:00:00,39.22,40.24,38.58,38.85,5590139
2009-08-25 04:00:00,39.22,40.15,38.94,39.19,6238586
2009-08-26 04:00:00,38.75,39.09,37.81,38.29,5691706
2009-08-27 04:00:00,38.55,38.56,37.0,38.05,5594964
2009-08-28 04:00:00,38.52,38.52,37.7,38.08,4339757
2009-08-31 04:00:00,37.42,38.04,37.25,37.78,3564187
2009-09-01 04:00:00,36.86,37.39,34.9075,34.99,8829344
2009-09-02 04:00:00,34.99,35.71,34.64,35.06,5070356
2009-09-03 04:00:00,35.32,36.17,35.05,36.11,4124916
2009-09-04 04:00:00,36.36,36.62,35.84,36.6,3539715
2009-09-08 04:00:00,37.45,37.84,37.2,37.69,5020044
2009-09-09 04:00:00,37.65,38.12,37.36,37.95,4117745
2009-09-10 04:00:00,37.89,38.54,36.92,38.47,5125055
2009-09-11 04:00:00,38.54,39.11,37.9,38.83,4511462
2009-09-14 04:00:00,38.29,39.58,37.71,39.52,4896574
2009-09-15 04:00:00,39.7,40.0,38.95,39.36,4329179
2009-09-16 04:00:00,39.47,41.07,39.38,40.88,6034800
2009-09-17 04:00:00,40.33,41.45,39.86,39.99,6186304
2009-09-18 04:00:00,40.22,40.29,39.22,39.31,5424967
2009-09-21 04:00:00,38.9,38.99,37.93,38.25,4657090
2009-09-22 04:00:00,38.78,39.43,38.45,38.8,5026242
2009-09-23 04:00:00,38.6,39.16,37.68,37.69,5093235
2009-09-24 04:00:00,37.68,38.063,36.72,37.14,6803897
2009-09-25 04:00:00,36.86,37.661,36.73,36.91,4179477
2009-09-28 04:00:00,37.19,38.93,36.93,38.87,3952321
2009-09-29 04:00:00,39.0,39.9,38.05,38.59,4406353
2009-09-30 04:00:00,38.85,39.41,37.89,38.05,5954526
2009-10-01 04:00:00,37.98,37.98,36.01,36.05,6350211
2009-10-02 04:00:00,35.47,36.13,35.05,35.65,7246659
2009-10-05 04:00:00,36.05,37.35,35.75,37.11,5593925
2009-10-06 04:00:00,37.56,38.531,36.78,37.72,5675663
2009-10-07 04:00:00,37.61,37.76,37.16,37.4,4926238
2009-10-08 04:00:00,38.02,38.75,37.55,38.07,6723395
2009-10-09 04:00:00,37.99,38.5,37.82,38.25,3994670
2009-10-12 04:00:00,38.5,38.52,37.77,38.07,3845656
2009-10-13 04:00:00,37.1,37.59,36.63,37.04,5381071
2009-10-14 04:00:00,38.13,38.33,37.49,38.28,5677732
2009-10-15 04:00:00,37.85,38.4,37.65,38.35,3385788
2009-10-16 04:00:00,37.54,38.0,36.9,37.28,5469102
2009-10-19 04:00:00,37.52,38.5,37.46,37.91,4828363
2009-10-20 04:00:00,37.96,37.96,36.89,37.03,4412456
2009-10-21 04:00:00,36.93,38.15,36.71,36.72,5578450
2009-10-22 04:00:00,37.11,38.17,36.72,38.08,4987999
2009-10-23 04:00:00,38.13,38.13,36.71,37.01,4462372
2009-10-26 04:00:00,37.03,37.62,35.69,36.03,6812736
2009-10-27 04:00:00,36.23,36.25,34.78,34.97,10194903
2009-10-28 04:00:00,34.73,35.21,33.98,34.2,8753162
2009-10-29 04:00:00,35.03,36.86,34.92,36.77,7505099
2009-10-30 04:00:00,35.05,35.53,33.61,33.99,13379137
2009-11-02 05:00:00,34.24,34.52,32.57,33.23,9857242
2009-11-03 05:00:00,32.8,33.89,32.16,33.44,7286080
2009-11-04 05:00:00,34.45,34.48,33.29,33.39,6756419
2009-11-05 05:00:00,33.33,33.82,32.78,33.81,6237987
2009-11-06 05:00:00,33.14,34.23,32.85,33.53,4363194
2009-11-09 05:00:00,34.02,35.12,33.9,35.08,3975315
2009-11-10 05:00:00,34.96,35.06,34.4,34.76,3628322
2009-11-11 05:00:00,35.03,35.77,34.94,35.52,4929224
2009-11-12 05:00:00,35.44,35.44,34.26,34.3299,4318683
2009-11-13 05:00:00,34.42,34.73,33.99,34.23,4221212
2009-11-16 05:00:00,34.57,35.67,34.57,35.26,3846917
