Date,Open,High,Low,Close,Volume
2009-05-15 04:00:00,19.07,19.45,18.91,19.13,5584457
2009-05-18 04:00:00,19.34,19.85,19.02,19.75,5489054
2009-05-19 04:00:00,19.62,19.62,18.97,18.99,5060723
2009-05-20 04:00:00,19.3,19.64,19.04,19.11,4653066
2009-05-21 04:00:00,18.86,19.06,18.67,18.99,3844276
2009-05-22 04:00:00,18.99,19.21,18.83,18.85,2057496
2009-05-26 04:00:00,18.93,19.24,18.5,19.11,4219253
2009-05-27 04:00:00,19.18,19.31,18.69,18.7,5422588
2009-05-28 04:00:00,18.85,18.99,18.5,18.75,4659891
2009-05-29 04:00:00,18.79,18.95,18.43,18.95,3295049
2009-06-01 04:00:00,18.56,19.22,18.56,19.09,5538291
2009-06-02 04:00:00,19.25,19.72,19.1,19.53,5346803
2009-06-03 04:00:00,19.44,19.69,19.23,19.55,3877104
2009-06-04 04:00:00,19.63,19.89,19.23,19.66,3589626
2009-06-05 04:00:00,19.7,20.01,19.54,19.82,4048929
2009-06-08 04:00:00,19.53,20.15,19.53,20.01,3151659
2009-06-09 04:00:00,19.85,20.38,19.85,20.29,3470833
2009-06-10 04:00:00,20.38,20.48,20.23,20.44,4471973
2009-06-11 04:00:00,20.45,20.73,20.32,20.58,4843544
2009-06-12 04:00:00,20.55,20.66,20.3,20.63,2558481
2009-06-15 04:00:00,20.49,20.65,20.16,20.22,4170192
2009-06-16 04:00:00,20.3,20.62,20.1,20.29,4104216
2009-06-17 04:00:00,20.29,20.74,20.1,20.45,4273886
2009-06-18 04:00:00,20.37,20.68,20.24,20.41,2957665
2009-06-19 04:00:00,20.46,20.81,20.44,20.68,4417363
2009-06-22 04:00:00,20.43,20.75,20.39,20.41,3673669
2009-06-23 04:00:00,20.65,20.65,20.23,20.4,3102788
2009-06-24 04:00:00,20.52,20.65,20.12,20.29,2736998
2009-06-25 04:00:00,20.19,20.54,20.02,20.54,2325196
2009-06-26 04:00:00,20.47,20.51,20.08,20.33,2159100
2009-06-29 04:00:00,20.31,20.5,20.17,20.44,1855239
2009-06-30 04:00:00,20.4,20.44,19.8,20.16,3180772
2009-07-01 04:00:00,20.21,20.21,20.01,20.07,1618279
2009-07-02 04:00:00,19.92,20.07,19.47,19.66,2531097
2009-07-06 04:00:00,19.56,19.75,19.25,19.56,3776636
2009-07-07 04:00:00,19.57,19.57,19.12,19.15,3210175
2009-07-08 04:00:00,19.03,19.11,18.46,18.67,6150626
2009-07-09 04:00:00,18.74,19.06,18.5,18.83,6206980
2009-07-10 04:00:00,18.75,18.8,18.522,18.63,2465223
2009-07-13 04:00:00,18.76,19.25,18.58,19.23,4104126
2009-07-14 04:00:00,19.16,19.25,18.87,19.06,2536691
2009-07-15 04:00:00,19.16,19.57,19.1,19.44,4079940
2009-07-16 04:00:00,19.38,19.85,19.33,19.71,2491707
2009-07-17 04:00:00,19.56,19.75,19.4,19.52,2255805
2009-07-20 04:00:00,19.63,19.7,19.06,19.17,5222924
2009-07-21 04:00:00,19.37,19.38,19.12,19.2,3711474
2009-07-22 04:00:00,18.98,19.52,18.98,19.27,2858042
2009-07-23 04:00:00,19.32,19.81,19.15,19.61,4300889
2009-07-24 04:00:00,19.53,19.75,19.52,19.63,2569744
2009-07-27 04:00:00,19.7,19.77,19.53,19.66,3032689
2009-07-28 04:00:00,19.6,19.69,19.51,19.59,3071011
2009-07-29 04:00:00,19.6,20.71,19.6,20.62,10419041
2009-07-30 04:00:00,20.8,20.8,20.13,20.24,5003789
2009-07-31 04:00:00,20.38,20.46,20.16,20.39,3223388
2009-08-03 04:00:00,20.63,20.9,20.5,20.9,3383288
2009-08-04 04:00:00,20.96,21.5,20.82,21.5,5948094
2009-08-05 04:00:00,22.18,22.94,22.0,22.62,9992757
2009-08-06 04:00:00,22.9,22.9,22.3,22.66,6026610
