Date,Open,High,Low,Close,Volume
2009-05-18 04:00:00,7.177,7.199,6.96,7.065,8077860
2009-05-19 04:00:00,6.992,7.027,6.844,6.922,9624000
2009-05-20 04:00:00,6.897,7.03,6.82,6.857,6805500
2009-05-21 04:00:00,6.805,6.807,6.504,6.604,9011760
2009-05-22 04:00:00,6.66,6.735,6.534,6.552,3792660
2009-05-26 04:00:00,6.514,6.795,6.454,6.729,5356380
2009-05-27 04:00:00,6.742,6.765,6.6,6.605,6721020
2009-05-28 04:00:00,6.744,6.794,6.265,6.41,10424580
2009-05-29 04:00:00,6.357,6.372,5.989,6.114,18547080
2009-06-01 04:00:00,6.109,6.109,5.884,6.022,15471780
2009-06-02 04:00:00,6.115,6.254,6.004,6.105,10400340
2009-06-03 04:00:00,6.219,6.219,6.004,6.069,5625540
2009-06-04 04:00:00,6.077,6.125,6.03,6.099,4459980
2009-06-05 04:00:00,6.067,6.08,5.34,5.394,45188400
2009-06-08 04:00:00,5.337,5.619,5.337,5.582,20899620
2009-06-09 04:00:00,5.649,5.705,5.614,5.667,12002520
2009-06-10 04:00:00,5.689,5.714,5.429,5.464,12050220
2009-06-11 04:00:00,5.45,5.564,5.387,5.4,7158960
2009-06-12 04:00:00,5.37,5.404,5.164,5.209,17380800
2009-06-15 04:00:00,5.18,5.22,4.967,5.124,12844380
2009-06-16 04:00:00,5.172,5.177,5.067,5.1,8960640
2009-06-17 04:00:00,5.099,5.139,4.989,5.027,13286400
2009-06-18 04:00:00,5.007,5.134,4.942,5.117,8355240
2009-06-19 04:00:00,5.167,5.189,5.084,5.129,8181540
2009-06-22 04:00:00,5.059,5.062,4.95,4.979,7829580
2009-06-23 04:00:00,5.04,5.122,4.984,5.095,11106900
2009-06-24 04:00:00,5.11,5.177,5.035,5.054,7600620
2009-06-25 04:00:00,5.029,5.2,5.025,5.17,8139600
2009-06-26 04:00:00,5.225,5.32,5.084,5.295,10548000
2009-06-29 04:00:00,5.295,5.319,5.157,5.192,10430100
2009-06-30 04:00:00,5.184,5.215,5.097,5.144,6414660
2009-07-01 04:00:00,5.195,5.289,5.139,5.199,7855740
2009-07-02 04:00:00,5.169,5.195,5.0,5.029,6941580
2009-07-06 04:00:00,4.914,5.004,4.867,4.932,8509920
2009-07-07 04:00:00,4.979,4.979,4.81,4.81,8590920
2009-07-08 04:00:00,4.86,4.874,4.652,4.712,12846300
2009-07-09 04:00:00,4.737,4.82,4.667,4.787,7969980
2009-07-10 04:00:00,4.772,4.804,4.735,4.762,7530300
2009-07-13 04:00:00,4.785,4.847,4.659,4.834,8615940
2009-07-14 04:00:00,4.834,4.894,4.809,4.855,5022240
2009-07-15 04:00:00,4.882,4.987,4.844,4.949,4784760
2009-07-16 04:00:00,4.899,4.992,4.87,4.919,5101320
2009-07-17 04:00:00,4.919,4.947,4.86,4.914,4405560
2009-07-20 04:00:00,4.895,4.94,4.844,4.927,8569020
2009-07-21 04:00:00,4.932,4.952,4.762,4.86,8717700
2009-07-22 04:00:00,4.819,4.887,4.802,4.85,7987860
2009-07-23 04:00:00,4.86,5.04,4.854,5.019,9737700
2009-07-24 04:00:00,4.964,4.98,4.845,4.944,7639800
2009-07-27 04:00:00,4.917,4.94,4.847,4.885,8124960
2009-07-28 04:00:00,4.86,4.974,4.852,4.94,7697520
2009-07-29 04:00:00,5.0,5.074,4.882,4.895,5574720
2009-07-30 04:00:00,4.979,5.019,4.964,4.979,9393240
2009-07-31 04:00:00,4.98,5.2,4.959,5.169,11581500
2009-08-03 04:00:00,5.259,5.38,5.207,5.375,12470160
